result/tencentBlock.ns5200.oracleGeneral.zst FIFO cache size      557, 4970666 req, miss ratio 0.5405, byte miss ratio 0.5405
result/tencentBlock.ns5200.oracleGeneral.zst FIFO cache size     1671, 4970666 req, miss ratio 0.5143, byte miss ratio 0.5143
result/tencentBlock.ns5200.oracleGeneral.zst FIFO cache size     5570, 4970666 req, miss ratio 0.5010, byte miss ratio 0.5010
result/tencentBlock.ns5200.oracleGeneral.zst FIFO cache size    16710, 4970666 req, miss ratio 0.4172, byte miss ratio 0.4172
result/tencentBlock.ns5200.oracleGeneral.zst FIFO cache size    55702, 4970666 req, miss ratio 0.2555, byte miss ratio 0.2555
result/tencentBlock.ns5200.oracleGeneral.zst FIFO cache size   111404, 4970666 req, miss ratio 0.1933, byte miss ratio 0.1933
result/tencentBlock.ns5200.oracleGeneral.zst FIFO cache size   222809, 4970666 req, miss ratio 0.1532, byte miss ratio 0.1532
result/tencentBlock.ns5200.oracleGeneral.zst FIFO cache size   445619, 4970666 req, miss ratio 0.1210, byte miss ratio 0.1210
result/tencentBlock.ns5200.oracleGeneral.zst ARC cache size      557, 4970666 req, miss ratio 0.4990, byte miss ratio 0.4990
result/tencentBlock.ns5200.oracleGeneral.zst ARC cache size     1671, 4970666 req, miss ratio 0.4971, byte miss ratio 0.4971
result/tencentBlock.ns5200.oracleGeneral.zst ARC cache size     5570, 4970666 req, miss ratio 0.4707, byte miss ratio 0.4707
result/tencentBlock.ns5200.oracleGeneral.zst ARC cache size    16710, 4970666 req, miss ratio 0.3901, byte miss ratio 0.3901
result/tencentBlock.ns5200.oracleGeneral.zst ARC cache size    55702, 4970666 req, miss ratio 0.2262, byte miss ratio 0.2262
result/tencentBlock.ns5200.oracleGeneral.zst ARC cache size   111404, 4970666 req, miss ratio 0.1621, byte miss ratio 0.1621
result/tencentBlock.ns5200.oracleGeneral.zst ARC cache size   222809, 4970666 req, miss ratio 0.1326, byte miss ratio 0.1326
result/tencentBlock.ns5200.oracleGeneral.zst ARC cache size   445619, 4970666 req, miss ratio 0.1135, byte miss ratio 0.1135
result/tencentBlock.ns5200.oracleGeneral.zst Cacheus cache size      557, 4970666 req, miss ratio 0.4996, byte miss ratio 0.4996
result/tencentBlock.ns5200.oracleGeneral.zst Cacheus cache size     1671, 4970666 req, miss ratio 0.4952, byte miss ratio 0.4952
result/tencentBlock.ns5200.oracleGeneral.zst Cacheus cache size     5570, 4970666 req, miss ratio 0.4797, byte miss ratio 0.4797
result/tencentBlock.ns5200.oracleGeneral.zst Cacheus cache size    16710, 4970666 req, miss ratio 0.3997, byte miss ratio 0.3997
result/tencentBlock.ns5200.oracleGeneral.zst Cacheus cache size    55702, 4970666 req, miss ratio 0.2225, byte miss ratio 0.2225
result/tencentBlock.ns5200.oracleGeneral.zst Cacheus cache size   111404, 4970666 req, miss ratio 0.1723, byte miss ratio 0.1723
result/tencentBlock.ns5200.oracleGeneral.zst Cacheus cache size   222809, 4970666 req, miss ratio 0.1326, byte miss ratio 0.1326
result/tencentBlock.ns5200.oracleGeneral.zst Cacheus cache size   445619, 4970666 req, miss ratio 0.1134, byte miss ratio 0.1134
result/tencentBlock.ns5200.oracleGeneral.zst LeCaR cache size      557, 4970666 req, miss ratio 0.5117, byte miss ratio 0.5117
result/tencentBlock.ns5200.oracleGeneral.zst LeCaR cache size     1671, 4970666 req, miss ratio 0.4964, byte miss ratio 0.4964
result/tencentBlock.ns5200.oracleGeneral.zst LeCaR cache size     5570, 4970666 req, miss ratio 0.4718, byte miss ratio 0.4718
result/tencentBlock.ns5200.oracleGeneral.zst LeCaR cache size    16710, 4970666 req, miss ratio 0.3911, byte miss ratio 0.3911
result/tencentBlock.ns5200.oracleGeneral.zst LeCaR cache size    55702, 4970666 req, miss ratio 0.2260, byte miss ratio 0.2260
result/tencentBlock.ns5200.oracleGeneral.zst LeCaR cache size   111404, 4970666 req, miss ratio 0.1723, byte miss ratio 0.1723
result/tencentBlock.ns5200.oracleGeneral.zst LeCaR cache size   222809, 4970666 req, miss ratio 0.1305, byte miss ratio 0.1305
result/tencentBlock.ns5200.oracleGeneral.zst LeCaR cache size   445619, 4970666 req, miss ratio 0.1134, byte miss ratio 0.1134
result/tencentBlock.ns5200.oracleGeneral.zst LIRS cache size      557, 4970666 req, miss ratio 0.5536, byte miss ratio 0.5536
result/tencentBlock.ns5200.oracleGeneral.zst LIRS cache size     1671, 4970666 req, miss ratio 0.5062, byte miss ratio 0.5062
result/tencentBlock.ns5200.oracleGeneral.zst LIRS cache size     5570, 4970666 req, miss ratio 0.4667, byte miss ratio 0.4667
result/tencentBlock.ns5200.oracleGeneral.zst LIRS cache size    16710, 4970666 req, miss ratio 0.3851, byte miss ratio 0.3851
result/tencentBlock.ns5200.oracleGeneral.zst LIRS cache size    55702, 4970666 req, miss ratio 0.2362, byte miss ratio 0.2362
result/tencentBlock.ns5200.oracleGeneral.zst LIRS cache size   111404, 4970666 req, miss ratio 0.1803, byte miss ratio 0.1803
result/tencentBlock.ns5200.oracleGeneral.zst LIRS cache size   222809, 4970666 req, miss ratio 0.1408, byte miss ratio 0.1408
result/tencentBlock.ns5200.oracleGeneral.zst LIRS cache size   445619, 4970666 req, miss ratio 0.1159, byte miss ratio 0.1159
result/tencentBlock.ns5200.oracleGeneral.zst S3FIFO-1 cache size      557, 4970666 req, miss ratio 0.4983, byte miss ratio 0.4983
result/tencentBlock.ns5200.oracleGeneral.zst S3FIFO-1 cache size     1671, 4970666 req, miss ratio 0.4949, byte miss ratio 0.4949
result/tencentBlock.ns5200.oracleGeneral.zst S3FIFO-1 cache size     5570, 4970666 req, miss ratio 0.4693, byte miss ratio 0.4693
result/tencentBlock.ns5200.oracleGeneral.zst S3FIFO-1 cache size    16710, 4970666 req, miss ratio 0.3907, byte miss ratio 0.3907
result/tencentBlock.ns5200.oracleGeneral.zst S3FIFO-1 cache size    55702, 4970666 req, miss ratio 0.2287, byte miss ratio 0.2287
result/tencentBlock.ns5200.oracleGeneral.zst S3FIFO-1 cache size   111404, 4970666 req, miss ratio 0.1562, byte miss ratio 0.1562
result/tencentBlock.ns5200.oracleGeneral.zst S3FIFO-1 cache size   222809, 4970666 req, miss ratio 0.1343, byte miss ratio 0.1343
result/tencentBlock.ns5200.oracleGeneral.zst S3FIFO-1 cache size   445619, 4970666 req, miss ratio 0.1132, byte miss ratio 0.1132
result/tencentBlock.ns5200.oracleGeneral.zst LRU cache size      557, 4970666 req, miss ratio 0.5153, byte miss ratio 0.5153
result/tencentBlock.ns5200.oracleGeneral.zst LRU cache size     1671, 4970666 req, miss ratio 0.4976, byte miss ratio 0.4976
result/tencentBlock.ns5200.oracleGeneral.zst LRU cache size     5570, 4970666 req, miss ratio 0.4945, byte miss ratio 0.4945
result/tencentBlock.ns5200.oracleGeneral.zst LRU cache size    16710, 4970666 req, miss ratio 0.3920, byte miss ratio 0.3920
result/tencentBlock.ns5200.oracleGeneral.zst LRU cache size    55702, 4970666 req, miss ratio 0.2256, byte miss ratio 0.2256
result/tencentBlock.ns5200.oracleGeneral.zst LRU cache size   111404, 4970666 req, miss ratio 0.1573, byte miss ratio 0.1573
result/tencentBlock.ns5200.oracleGeneral.zst LRU cache size   222809, 4970666 req, miss ratio 0.1310, byte miss ratio 0.1310
result/tencentBlock.ns5200.oracleGeneral.zst LRU cache size   445619, 4970666 req, miss ratio 0.1140, byte miss ratio 0.1140
result/tencentBlock.ns5200.oracleGeneral.zst LHD cache size      557, 4970666 req, miss ratio 0.5130, byte miss ratio 0.5130
result/tencentBlock.ns5200.oracleGeneral.zst LHD cache size     1671, 4970666 req, miss ratio 0.4956, byte miss ratio 0.4956
result/tencentBlock.ns5200.oracleGeneral.zst LHD cache size     5570, 4970666 req, miss ratio 0.4727, byte miss ratio 0.4727
result/tencentBlock.ns5200.oracleGeneral.zst LHD cache size    16710, 4970666 req, miss ratio 0.3916, byte miss ratio 0.3916
result/tencentBlock.ns5200.oracleGeneral.zst LHD cache size    55702, 4970666 req, miss ratio 0.2056, byte miss ratio 0.2056
result/tencentBlock.ns5200.oracleGeneral.zst LHD cache size   111404, 4970666 req, miss ratio 0.1421, byte miss ratio 0.1421
result/tencentBlock.ns5200.oracleGeneral.zst LHD cache size   222809, 4970666 req, miss ratio 0.1285, byte miss ratio 0.1285
result/tencentBlock.ns5200.oracleGeneral.zst LHD cache size   445619, 4970666 req, miss ratio 0.1132, byte miss ratio 0.1132
result/tencentBlock.ns5200.oracleGeneral.zst clock2 cache size      557, 4970666 req, miss ratio 0.5160, byte miss ratio 0.5160
result/tencentBlock.ns5200.oracleGeneral.zst clock2 cache size     1671, 4970666 req, miss ratio 0.4962, byte miss ratio 0.4962
result/tencentBlock.ns5200.oracleGeneral.zst clock2 cache size     5570, 4970666 req, miss ratio 0.4943, byte miss ratio 0.4943
result/tencentBlock.ns5200.oracleGeneral.zst clock2 cache size    16710, 4970666 req, miss ratio 0.4120, byte miss ratio 0.4120
result/tencentBlock.ns5200.oracleGeneral.zst clock2 cache size    55702, 4970666 req, miss ratio 0.2553, byte miss ratio 0.2553
result/tencentBlock.ns5200.oracleGeneral.zst clock2 cache size   111404, 4970666 req, miss ratio 0.1843, byte miss ratio 0.1843
result/tencentBlock.ns5200.oracleGeneral.zst clock2 cache size   222809, 4970666 req, miss ratio 0.1450, byte miss ratio 0.1450
result/tencentBlock.ns5200.oracleGeneral.zst clock2 cache size   445619, 4970666 req, miss ratio 0.1132, byte miss ratio 0.1132
result/tencentBlock.ns5200.oracleGeneral.zst Clock cache size      557, 4970666 req, miss ratio 0.5148, byte miss ratio 0.5148
result/tencentBlock.ns5200.oracleGeneral.zst Clock cache size     1671, 4970666 req, miss ratio 0.4971, byte miss ratio 0.4971
result/tencentBlock.ns5200.oracleGeneral.zst Clock cache size     5570, 4970666 req, miss ratio 0.4943, byte miss ratio 0.4943
result/tencentBlock.ns5200.oracleGeneral.zst Clock cache size    16710, 4970666 req, miss ratio 0.4055, byte miss ratio 0.4055
result/tencentBlock.ns5200.oracleGeneral.zst Clock cache size    55702, 4970666 req, miss ratio 0.2347, byte miss ratio 0.2347
result/tencentBlock.ns5200.oracleGeneral.zst Clock cache size   111404, 4970666 req, miss ratio 0.1781, byte miss ratio 0.1781
result/tencentBlock.ns5200.oracleGeneral.zst Clock cache size   222809, 4970666 req, miss ratio 0.1378, byte miss ratio 0.1378
result/tencentBlock.ns5200.oracleGeneral.zst Clock cache size   445619, 4970666 req, miss ratio 0.1133, byte miss ratio 0.1133
result/tencentBlock.ns5200.oracleGeneral.zst S3FIFO-d-1 cache size      557, 4970666 req, miss ratio 0.4974, byte miss ratio 0.4974
result/tencentBlock.ns5200.oracleGeneral.zst S3FIFO-d-1 cache size     1671, 4970666 req, miss ratio 0.4949, byte miss ratio 0.4949
result/tencentBlock.ns5200.oracleGeneral.zst S3FIFO-d-1 cache size     5570, 4970666 req, miss ratio 0.4699, byte miss ratio 0.4699
