result/tweetdeck_content_collector_events_cache.0.oracleGeneral.sample10.zst S3FIFO-1 cache size   366367, 40325268 req, miss ratio 0.3029, byte miss ratio 0.3029
result/tweetdeck_content_collector_events_cache.0.oracleGeneral.sample10.zst S3FIFO-1 cache size  1221223, 40325268 req, miss ratio 0.3028, byte miss ratio 0.3028
result/tweetdeck_content_collector_events_cache.0.oracleGeneral.sample10.zst S3FIFO-1 cache size  2442446, 40325268 req, miss ratio 0.3028, byte miss ratio 0.3028
result/tweetdeck_content_collector_events_cache.0.oracleGeneral.sample10.zst S3FIFO-1 cache size  4884893, 40325268 req, miss ratio 0.3028, byte miss ratio 0.3028
result/tweetdeck_content_collector_events_cache.0.oracleGeneral.sample10.zst S3FIFO-1 cache size  9769787, 40325268 req, miss ratio 0.3028, byte miss ratio 0.3028
result/tweetdeck_content_collector_events_cache.0.oracleGeneral.sample10.zst clock2 cache size    12212, 40325268 req, miss ratio 0.3030, byte miss ratio 0.3030
result/tweetdeck_content_collector_events_cache.0.oracleGeneral.sample10.zst clock2 cache size    36636, 40325268 req, miss ratio 0.3029, byte miss ratio 0.3029
result/tweetdeck_content_collector_events_cache.0.oracleGeneral.sample10.zst clock2 cache size   122122, 40325268 req, miss ratio 0.3029, byte miss ratio 0.3029
result/tweetdeck_content_collector_events_cache.0.oracleGeneral.sample10.zst clock2 cache size   366367, 40325268 req, miss ratio 0.3029, byte miss ratio 0.3029
result/tweetdeck_content_collector_events_cache.0.oracleGeneral.sample10.zst clock2 cache size  1221223, 40325268 req, miss ratio 0.3028, byte miss ratio 0.3028
result/tweetdeck_content_collector_events_cache.0.oracleGeneral.sample10.zst clock2 cache size  2442446, 40325268 req, miss ratio 0.3028, byte miss ratio 0.3028
result/tweetdeck_content_collector_events_cache.0.oracleGeneral.sample10.zst clock2 cache size  4884893, 40325268 req, miss ratio 0.3028, byte miss ratio 0.3028
result/tweetdeck_content_collector_events_cache.0.oracleGeneral.sample10.zst clock2 cache size  9769787, 40325268 req, miss ratio 0.3028, byte miss ratio 0.3028
result/tweetdeck_content_collector_events_cache.0.oracleGeneral.sample10.zst LeCaR cache size    12212, 40325268 req, miss ratio 0.3030, byte miss ratio 0.3030
result/tweetdeck_content_collector_events_cache.0.oracleGeneral.sample10.zst LeCaR cache size    36636, 40325268 req, miss ratio 0.3029, byte miss ratio 0.3029
result/tweetdeck_content_collector_events_cache.0.oracleGeneral.sample10.zst LeCaR cache size   122122, 40325268 req, miss ratio 0.3029, byte miss ratio 0.3029
result/tweetdeck_content_collector_events_cache.0.oracleGeneral.sample10.zst LeCaR cache size   366367, 40325268 req, miss ratio 0.3029, byte miss ratio 0.3029
result/tweetdeck_content_collector_events_cache.0.oracleGeneral.sample10.zst LeCaR cache size  1221223, 40325268 req, miss ratio 0.3028, byte miss ratio 0.3028
result/tweetdeck_content_collector_events_cache.0.oracleGeneral.sample10.zst LeCaR cache size  2442446, 40325268 req, miss ratio 0.3028, byte miss ratio 0.3028
result/tweetdeck_content_collector_events_cache.0.oracleGeneral.sample10.zst LeCaR cache size  4884893, 40325268 req, miss ratio 0.3028, byte miss ratio 0.3028
result/tweetdeck_content_collector_events_cache.0.oracleGeneral.sample10.zst LeCaR cache size  9769787, 40325268 req, miss ratio 0.3028, byte miss ratio 0.3028
result/tweetdeck_content_collector_events_cache.0.oracleGeneral.sample10.zst FIFO cache size    12212, 40325268 req, miss ratio 0.3030, byte miss ratio 0.3030
result/tweetdeck_content_collector_events_cache.0.oracleGeneral.sample10.zst FIFO cache size    36636, 40325268 req, miss ratio 0.3029, byte miss ratio 0.3029
result/tweetdeck_content_collector_events_cache.0.oracleGeneral.sample10.zst FIFO cache size   122122, 40325268 req, miss ratio 0.3029, byte miss ratio 0.3029
result/tweetdeck_content_collector_events_cache.0.oracleGeneral.sample10.zst FIFO cache size   366367, 40325268 req, miss ratio 0.3029, byte miss ratio 0.3029
result/tweetdeck_content_collector_events_cache.0.oracleGeneral.sample10.zst FIFO cache size  1221223, 40325268 req, miss ratio 0.3029, byte miss ratio 0.3029
result/tweetdeck_content_collector_events_cache.0.oracleGeneral.sample10.zst FIFO cache size  2442446, 40325268 req, miss ratio 0.3028, byte miss ratio 0.3028
result/tweetdeck_content_collector_events_cache.0.oracleGeneral.sample10.zst FIFO cache size  4884893, 40325268 req, miss ratio 0.3028, byte miss ratio 0.3028
result/tweetdeck_content_collector_events_cache.0.oracleGeneral.sample10.zst FIFO cache size  9769787, 40325268 req, miss ratio 0.3028, byte miss ratio 0.3028
result/tweetdeck_content_collector_events_cache.0.oracleGeneral.sample10.zst ARC cache size    12212, 40325268 req, miss ratio 0.3030, byte miss ratio 0.3030
result/tweetdeck_content_collector_events_cache.0.oracleGeneral.sample10.zst ARC cache size    36636, 40325268 req, miss ratio 0.3029, byte miss ratio 0.3029
result/tweetdeck_content_collector_events_cache.0.oracleGeneral.sample10.zst ARC cache size   122122, 40325268 req, miss ratio 0.3029, byte miss ratio 0.3029
result/tweetdeck_content_collector_events_cache.0.oracleGeneral.sample10.zst ARC cache size   366367, 40325268 req, miss ratio 0.3029, byte miss ratio 0.3029
result/tweetdeck_content_collector_events_cache.0.oracleGeneral.sample10.zst ARC cache size  1221223, 40325268 req, miss ratio 0.3029, byte miss ratio 0.3029
result/tweetdeck_content_collector_events_cache.0.oracleGeneral.sample10.zst ARC cache size  2442446, 40325268 req, miss ratio 0.3029, byte miss ratio 0.3029
result/tweetdeck_content_collector_events_cache.0.oracleGeneral.sample10.zst ARC cache size  4884893, 40325268 req, miss ratio 0.3029, byte miss ratio 0.3029
result/tweetdeck_content_collector_events_cache.0.oracleGeneral.sample10.zst ARC cache size  9769787, 40325268 req, miss ratio 0.3029, byte miss ratio 0.3029
result/tweetdeck_content_collector_events_cache.0.oracleGeneral.sample10.zst Cacheus cache size    12212, 40325268 req, miss ratio 0.3030, byte miss ratio 0.3030
result/tweetdeck_content_collector_events_cache.0.oracleGeneral.sample10.zst Cacheus cache size    36636, 40325268 req, miss ratio 0.3029, byte miss ratio 0.3029
result/tweetdeck_content_collector_events_cache.0.oracleGeneral.sample10.zst Cacheus cache size   122122, 40325268 req, miss ratio 0.3029, byte miss ratio 0.3029
result/tweetdeck_content_collector_events_cache.0.oracleGeneral.sample10.zst Cacheus cache size   366367, 40325268 req, miss ratio 0.3029, byte miss ratio 0.3029
result/tweetdeck_content_collector_events_cache.0.oracleGeneral.sample10.zst Cacheus cache size  1221223, 40325268 req, miss ratio 0.3028, byte miss ratio 0.3028
result/tweetdeck_content_collector_events_cache.0.oracleGeneral.sample10.zst Cacheus cache size  2442446, 40325268 req, miss ratio 0.3028, byte miss ratio 0.3028
result/tweetdeck_content_collector_events_cache.0.oracleGeneral.sample10.zst Cacheus cache size  4884893, 40325268 req, miss ratio 0.3028, byte miss ratio 0.3028
result/tweetdeck_content_collector_events_cache.0.oracleGeneral.sample10.zst Cacheus cache size  9769787, 40325268 req, miss ratio 0.3028, byte miss ratio 0.3028
result/tweetdeck_content_collector_events_cache.0.oracleGeneral.sample10.zst LIRS cache size    12212, 40325268 req, miss ratio 0.5077, byte miss ratio 0.5077
