result/devices_cache.1.oracleGeneral.sample10.zst LIRS cache size  1059872, 268091786 req, miss ratio 0.0182, byte miss ratio 0.0182
result/devices_cache.1.oracleGeneral.sample10.zst LIRS cache size  2119744, 268091786 req, miss ratio 0.0133, byte miss ratio 0.0133
result/devices_cache.1.oracleGeneral.sample10.zst clock2 cache size     2649, 268091786 req, miss ratio 0.5505, byte miss ratio 0.5505
result/devices_cache.1.oracleGeneral.sample10.zst clock2 cache size     7949, 268091786 req, miss ratio 0.4525, byte miss ratio 0.4525
result/devices_cache.1.oracleGeneral.sample10.zst clock2 cache size    26496, 268091786 req, miss ratio 0.3566, byte miss ratio 0.3566
result/devices_cache.1.oracleGeneral.sample10.zst clock2 cache size    79490, 268091786 req, miss ratio 0.2793, byte miss ratio 0.2793
result/devices_cache.1.oracleGeneral.sample10.zst clock2 cache size   264968, 268091786 req, miss ratio 0.1327, byte miss ratio 0.1327
result/devices_cache.1.oracleGeneral.sample10.zst clock2 cache size   529936, 268091786 req, miss ratio 0.0315, byte miss ratio 0.0315
result/devices_cache.1.oracleGeneral.sample10.zst clock2 cache size  1059872, 268091786 req, miss ratio 0.0182, byte miss ratio 0.0182
result/devices_cache.1.oracleGeneral.sample10.zst clock2 cache size  2119744, 268091786 req, miss ratio 0.0121, byte miss ratio 0.0121
result/devices_cache.1.oracleGeneral.sample10.zst LeCaR cache size     2649, 268091786 req, miss ratio 0.5535, byte miss ratio 0.5535
result/devices_cache.1.oracleGeneral.sample10.zst LeCaR cache size     7949, 268091786 req, miss ratio 0.4531, byte miss ratio 0.4531
result/devices_cache.1.oracleGeneral.sample10.zst LeCaR cache size    26496, 268091786 req, miss ratio 0.3518, byte miss ratio 0.3518
result/devices_cache.1.oracleGeneral.sample10.zst LeCaR cache size    79490, 268091786 req, miss ratio 0.2726, byte miss ratio 0.2726
result/devices_cache.1.oracleGeneral.sample10.zst LeCaR cache size   264968, 268091786 req, miss ratio 0.0843, byte miss ratio 0.0843
result/devices_cache.1.oracleGeneral.sample10.zst LeCaR cache size   529936, 268091786 req, miss ratio 0.0311, byte miss ratio 0.0311
result/devices_cache.1.oracleGeneral.sample10.zst LeCaR cache size  1059872, 268091786 req, miss ratio 0.0183, byte miss ratio 0.0183
result/devices_cache.1.oracleGeneral.sample10.zst LeCaR cache size  2119744, 268091786 req, miss ratio 0.0132, byte miss ratio 0.0132
result/devices_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size     2649, 268091786 req, miss ratio 0.5279, byte miss ratio 0.5279
result/devices_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size     7949, 268091786 req, miss ratio 0.4307, byte miss ratio 0.4307
result/devices_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size    26496, 268091786 req, miss ratio 0.3315, byte miss ratio 0.3315
result/devices_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size    79490, 268091786 req, miss ratio 0.2499, byte miss ratio 0.2499
result/devices_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size   264968, 268091786 req, miss ratio 0.0881, byte miss ratio 0.0881
result/devices_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size   529936, 268091786 req, miss ratio 0.0295, byte miss ratio 0.0295
result/devices_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size  1059872, 268091786 req, miss ratio 0.0227, byte miss ratio 0.0227
result/devices_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size  2119744, 268091786 req, miss ratio 0.0128, byte miss ratio 0.0128
result/devices_cache.1.oracleGeneral.sample10.zst LRB cache size     2649, 268091786 req, miss ratio 0.5198, byte miss ratio 0.5198
result/devices_cache.1.oracleGeneral.sample10.zst LRB cache size     7949, 268091786 req, miss ratio 0.4235, byte miss ratio 0.4235
result/devices_cache.1.oracleGeneral.sample10.zst LRB cache size    26496, 268091786 req, miss ratio 0.3287, byte miss ratio 0.3287
result/devices_cache.1.oracleGeneral.sample10.zst LRB cache size    79490, 268091786 req, miss ratio 0.2337, byte miss ratio 0.2337
result/devices_cache.1.oracleGeneral.sample10.zst LRB cache size   264968, 268091786 req, miss ratio 0.0629, byte miss ratio 0.0629
result/devices_cache.1.oracleGeneral.sample10.zst LRB cache size   529936, 268091786 req, miss ratio 0.0238, byte miss ratio 0.0238
result/devices_cache.1.oracleGeneral.sample10.zst LRB cache size  1059872, 268091786 req, miss ratio 0.0162, byte miss ratio 0.0162
result/devices_cache.1.oracleGeneral.sample10.zst LRB cache size  2119744, 268091786 req, miss ratio 0.0132, byte miss ratio 0.0132
result/devices_cache.1.oracleGeneral.sample10.zst B-LRU cache size     2649, 268091786 req, miss ratio 0.5669, byte miss ratio 0.5669
result/devices_cache.1.oracleGeneral.sample10.zst B-LRU cache size     7949, 268091786 req, miss ratio 0.4709, byte miss ratio 0.4709
result/devices_cache.1.oracleGeneral.sample10.zst B-LRU cache size    26496, 268091786 req, miss ratio 0.3804, byte miss ratio 0.3804
result/devices_cache.1.oracleGeneral.sample10.zst B-LRU cache size    79490, 268091786 req, miss ratio 0.2977, byte miss ratio 0.2977
result/devices_cache.1.oracleGeneral.sample10.zst B-LRU cache size   264968, 268091786 req, miss ratio 0.1091, byte miss ratio 0.1091
result/devices_cache.1.oracleGeneral.sample10.zst B-LRU cache size   529936, 268091786 req, miss ratio 0.0395, byte miss ratio 0.0395
