result/cdn2_colo28.ns2841.oracleGeneral.zst LeCaR cache size      456, 1099690 req, miss ratio 0.0005, byte miss ratio 0.0005
result/cdn2_colo28.ns2841.oracleGeneral.zst ARC cache size        5, 1099690 req, miss ratio 0.8415, byte miss ratio 0.8415
result/cdn2_colo28.ns2841.oracleGeneral.zst ARC cache size       17, 1099690 req, miss ratio 0.3588, byte miss ratio 0.3588
result/cdn2_colo28.ns2841.oracleGeneral.zst ARC cache size       57, 1099690 req, miss ratio 0.0027, byte miss ratio 0.0027
result/cdn2_colo28.ns2841.oracleGeneral.zst ARC cache size      114, 1099690 req, miss ratio 0.0006, byte miss ratio 0.0006
result/cdn2_colo28.ns2841.oracleGeneral.zst ARC cache size      228, 1099690 req, miss ratio 0.0005, byte miss ratio 0.0005
result/cdn2_colo28.ns2841.oracleGeneral.zst ARC cache size      456, 1099690 req, miss ratio 0.0005, byte miss ratio 0.0005
result/cdn2_colo28.ns2841.oracleGeneral.zst FIFO cache size        5, 1099690 req, miss ratio 0.9323, byte miss ratio 0.9323
result/cdn2_colo28.ns2841.oracleGeneral.zst FIFO cache size       17, 1099690 req, miss ratio 0.3917, byte miss ratio 0.3917
result/cdn2_colo28.ns2841.oracleGeneral.zst FIFO cache size       57, 1099690 req, miss ratio 0.0063, byte miss ratio 0.0063
result/cdn2_colo28.ns2841.oracleGeneral.zst FIFO cache size      114, 1099690 req, miss ratio 0.0017, byte miss ratio 0.0017
result/cdn2_colo28.ns2841.oracleGeneral.zst FIFO cache size      228, 1099690 req, miss ratio 0.0008, byte miss ratio 0.0008
result/cdn2_colo28.ns2841.oracleGeneral.zst FIFO cache size      456, 1099690 req, miss ratio 0.0006, byte miss ratio 0.0006
result/cdn2_colo28.ns2841.oracleGeneral.zst S3FIFO-d-1 cache size        5, 1099690 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_colo28.ns2841.oracleGeneral.zst S3FIFO-d-1 cache size       17, 1099690 req, miss ratio 0.2165, byte miss ratio 0.2165
result/cdn2_colo28.ns2841.oracleGeneral.zst S3FIFO-d-1 cache size       57, 1099690 req, miss ratio 0.0024, byte miss ratio 0.0024
result/cdn2_colo28.ns2841.oracleGeneral.zst S3FIFO-d-1 cache size      114, 1099690 req, miss ratio 0.0007, byte miss ratio 0.0007
result/cdn2_colo28.ns2841.oracleGeneral.zst S3FIFO-d-1 cache size      228, 1099690 req, miss ratio 0.0005, byte miss ratio 0.0005
result/cdn2_colo28.ns2841.oracleGeneral.zst S3FIFO-d-1 cache size      456, 1099690 req, miss ratio 0.0005, byte miss ratio 0.0005
result/cdn2_colo28.ns2841.oracleGeneral.zst LRB cache size        5, 1099690 req, miss ratio 0.7890, byte miss ratio 0.7890
result/cdn2_colo28.ns2841.oracleGeneral.zst LRB cache size       17, 1099690 req, miss ratio 0.2019, byte miss ratio 0.2019
result/cdn2_colo28.ns2841.oracleGeneral.zst LRB cache size       57, 1099690 req, miss ratio 0.0024, byte miss ratio 0.0024
result/cdn2_colo28.ns2841.oracleGeneral.zst LRB cache size      114, 1099690 req, miss ratio 0.0007, byte miss ratio 0.0007
result/cdn2_colo28.ns2841.oracleGeneral.zst LRB cache size      228, 1099690 req, miss ratio 0.0006, byte miss ratio 0.0006
result/cdn2_colo28.ns2841.oracleGeneral.zst LRB cache size      456, 1099690 req, miss ratio 0.0005, byte miss ratio 0.0005
result/cdn2_colo28.ns2841.oracleGeneral.zst TwoQ cache size        5, 1099690 req, miss ratio 0.8389, byte miss ratio 0.8389
result/cdn2_colo28.ns2841.oracleGeneral.zst TwoQ cache size       17, 1099690 req, miss ratio 0.3083, byte miss ratio 0.3083
result/cdn2_colo28.ns2841.oracleGeneral.zst TwoQ cache size       57, 1099690 req, miss ratio 0.0031, byte miss ratio 0.0031
result/cdn2_colo28.ns2841.oracleGeneral.zst TwoQ cache size      114, 1099690 req, miss ratio 0.0008, byte miss ratio 0.0008
result/cdn2_colo28.ns2841.oracleGeneral.zst TwoQ cache size      228, 1099690 req, miss ratio 0.0006, byte miss ratio 0.0006
result/cdn2_colo28.ns2841.oracleGeneral.zst TwoQ cache size      456, 1099690 req, miss ratio 0.0006, byte miss ratio 0.0006
