result/tencentBlock.ns2115.oracleGeneral.zst clock2 cache size      310, 32077502 req, miss ratio 0.4317, byte miss ratio 0.4317
result/tencentBlock.ns2115.oracleGeneral.zst clock2 cache size      931, 32077502 req, miss ratio 0.2699, byte miss ratio 0.2699
result/tencentBlock.ns2115.oracleGeneral.zst clock2 cache size     3105, 32077502 req, miss ratio 0.1814, byte miss ratio 0.1814
result/tencentBlock.ns2115.oracleGeneral.zst clock2 cache size     9317, 32077502 req, miss ratio 0.1207, byte miss ratio 0.1207
result/tencentBlock.ns2115.oracleGeneral.zst clock2 cache size    31059, 32077502 req, miss ratio 0.0480, byte miss ratio 0.0480
result/tencentBlock.ns2115.oracleGeneral.zst clock2 cache size    62119, 32077502 req, miss ratio 0.0325, byte miss ratio 0.0325
result/tencentBlock.ns2115.oracleGeneral.zst clock2 cache size   124239, 32077502 req, miss ratio 0.0205, byte miss ratio 0.0205
result/tencentBlock.ns2115.oracleGeneral.zst clock2 cache size   248478, 32077502 req, miss ratio 0.0101, byte miss ratio 0.0101
result/tencentBlock.ns2115.oracleGeneral.zst LRU cache size      310, 32077502 req, miss ratio 0.4669, byte miss ratio 0.4669
result/tencentBlock.ns2115.oracleGeneral.zst LRU cache size      931, 32077502 req, miss ratio 0.2840, byte miss ratio 0.2840
result/tencentBlock.ns2115.oracleGeneral.zst LRU cache size     3105, 32077502 req, miss ratio 0.1924, byte miss ratio 0.1924
result/tencentBlock.ns2115.oracleGeneral.zst LRU cache size     9317, 32077502 req, miss ratio 0.1178, byte miss ratio 0.1178
result/tencentBlock.ns2115.oracleGeneral.zst LRU cache size    31059, 32077502 req, miss ratio 0.0504, byte miss ratio 0.0504
result/tencentBlock.ns2115.oracleGeneral.zst LRU cache size    62119, 32077502 req, miss ratio 0.0341, byte miss ratio 0.0341
result/tencentBlock.ns2115.oracleGeneral.zst LRU cache size   124239, 32077502 req, miss ratio 0.0220, byte miss ratio 0.0220
result/tencentBlock.ns2115.oracleGeneral.zst LRU cache size   248478, 32077502 req, miss ratio 0.0102, byte miss ratio 0.0102
result/tencentBlock.ns2115.oracleGeneral.zst LIRS cache size      310, 32077502 req, miss ratio 0.3726, byte miss ratio 0.3726
