result/tencentBlock.ns19342.oracleGeneral.zst Clock cache size       84, 3163841 req, miss ratio 0.4915, byte miss ratio 0.4915
result/tencentBlock.ns19342.oracleGeneral.zst Clock cache size      252, 3163841 req, miss ratio 0.3643, byte miss ratio 0.3643
result/tencentBlock.ns19342.oracleGeneral.zst Clock cache size      842, 3163841 req, miss ratio 0.1735, byte miss ratio 0.1735
result/tencentBlock.ns19342.oracleGeneral.zst Clock cache size     2527, 3163841 req, miss ratio 0.1675, byte miss ratio 0.1675
result/tencentBlock.ns19342.oracleGeneral.zst Clock cache size     8424, 3163841 req, miss ratio 0.1603, byte miss ratio 0.1603
result/tencentBlock.ns19342.oracleGeneral.zst Clock cache size    16848, 3163841 req, miss ratio 0.1586, byte miss ratio 0.1586
result/tencentBlock.ns19342.oracleGeneral.zst Clock cache size    33696, 3163841 req, miss ratio 0.1233, byte miss ratio 0.1233
result/tencentBlock.ns19342.oracleGeneral.zst Clock cache size    67392, 3163841 req, miss ratio 0.0382, byte miss ratio 0.0382
result/tencentBlock.ns19342.oracleGeneral.zst ARC cache size       84, 3163841 req, miss ratio 0.3903, byte miss ratio 0.3903
result/tencentBlock.ns19342.oracleGeneral.zst ARC cache size      252, 3163841 req, miss ratio 0.2988, byte miss ratio 0.2988
result/tencentBlock.ns19342.oracleGeneral.zst ARC cache size      842, 3163841 req, miss ratio 0.1682, byte miss ratio 0.1682
result/tencentBlock.ns19342.oracleGeneral.zst ARC cache size     2527, 3163841 req, miss ratio 0.1621, byte miss ratio 0.1621
result/tencentBlock.ns19342.oracleGeneral.zst ARC cache size     8424, 3163841 req, miss ratio 0.1485, byte miss ratio 0.1485
result/tencentBlock.ns19342.oracleGeneral.zst ARC cache size    16848, 3163841 req, miss ratio 0.1443, byte miss ratio 0.1443
result/tencentBlock.ns19342.oracleGeneral.zst ARC cache size    33696, 3163841 req, miss ratio 0.1044, byte miss ratio 0.1044
result/tencentBlock.ns19342.oracleGeneral.zst ARC cache size    67392, 3163841 req, miss ratio 0.0271, byte miss ratio 0.0271
result/tencentBlock.ns19342.oracleGeneral.zst LIRS cache size       84, 3163841 req, miss ratio 0.3920, byte miss ratio 0.3920
result/tencentBlock.ns19342.oracleGeneral.zst LIRS cache size      252, 3163841 req, miss ratio 0.2470, byte miss ratio 0.2470
result/tencentBlock.ns19342.oracleGeneral.zst LIRS cache size      842, 3163841 req, miss ratio 0.1722, byte miss ratio 0.1722
result/tencentBlock.ns19342.oracleGeneral.zst LIRS cache size     2527, 3163841 req, miss ratio 0.1635, byte miss ratio 0.1635
result/tencentBlock.ns19342.oracleGeneral.zst LIRS cache size     8424, 3163841 req, miss ratio 0.1443, byte miss ratio 0.1443
result/tencentBlock.ns19342.oracleGeneral.zst LIRS cache size    16848, 3163841 req, miss ratio 0.1192, byte miss ratio 0.1192
result/tencentBlock.ns19342.oracleGeneral.zst LIRS cache size    33696, 3163841 req, miss ratio 0.0943, byte miss ratio 0.0943
result/tencentBlock.ns19342.oracleGeneral.zst LIRS cache size    67392, 3163841 req, miss ratio 0.0272, byte miss ratio 0.0272
result/tencentBlock.ns19342.oracleGeneral.zst LHD cache size       84, 3163841 req, miss ratio 0.4215, byte miss ratio 0.4215
result/tencentBlock.ns19342.oracleGeneral.zst LHD cache size      252, 3163841 req, miss ratio 0.2549, byte miss ratio 0.2549
result/tencentBlock.ns19342.oracleGeneral.zst LHD cache size      842, 3163841 req, miss ratio 0.1718, byte miss ratio 0.1718
result/tencentBlock.ns19342.oracleGeneral.zst LHD cache size     2527, 3163841 req, miss ratio 0.1655, byte miss ratio 0.1655
result/tencentBlock.ns19342.oracleGeneral.zst LHD cache size     8424, 3163841 req, miss ratio 0.1540, byte miss ratio 0.1540
result/tencentBlock.ns19342.oracleGeneral.zst LHD cache size    16848, 3163841 req, miss ratio 0.1418, byte miss ratio 0.1418
result/tencentBlock.ns19342.oracleGeneral.zst LHD cache size    33696, 3163841 req, miss ratio 0.1044, byte miss ratio 0.1044
result/tencentBlock.ns19342.oracleGeneral.zst LHD cache size    67392, 3163841 req, miss ratio 0.0354, byte miss ratio 0.0354
result/tencentBlock.ns19342.oracleGeneral.zst S3FIFO-d-1 cache size       84, 3163841 req, miss ratio 0.3975, byte miss ratio 0.3975
result/tencentBlock.ns19342.oracleGeneral.zst S3FIFO-d-1 cache size      252, 3163841 req, miss ratio 0.3105, byte miss ratio 0.3105
result/tencentBlock.ns19342.oracleGeneral.zst S3FIFO-d-1 cache size      842, 3163841 req, miss ratio 0.1682, byte miss ratio 0.1682
result/tencentBlock.ns19342.oracleGeneral.zst S3FIFO-d-1 cache size     2527, 3163841 req, miss ratio 0.1599, byte miss ratio 0.1599
result/tencentBlock.ns19342.oracleGeneral.zst S3FIFO-d-1 cache size     8424, 3163841 req, miss ratio 0.1498, byte miss ratio 0.1498
result/tencentBlock.ns19342.oracleGeneral.zst S3FIFO-d-1 cache size    16848, 3163841 req, miss ratio 0.1240, byte miss ratio 0.1240
result/tencentBlock.ns19342.oracleGeneral.zst S3FIFO-d-1 cache size    33696, 3163841 req, miss ratio 0.1048, byte miss ratio 0.1048
result/tencentBlock.ns19342.oracleGeneral.zst S3FIFO-d-1 cache size    67392, 3163841 req, miss ratio 0.0277, byte miss ratio 0.0277
result/tencentBlock.ns19342.oracleGeneral.zst LRB cache size       84, 3163841 req, miss ratio 0.4614, byte miss ratio 0.4614
result/tencentBlock.ns19342.oracleGeneral.zst LRB cache size      252, 3163841 req, miss ratio 0.2717, byte miss ratio 0.2717
result/tencentBlock.ns19342.oracleGeneral.zst LRB cache size      842, 3163841 req, miss ratio 0.1714, byte miss ratio 0.1714
result/tencentBlock.ns19342.oracleGeneral.zst LRB cache size     2527, 3163841 req, miss ratio 0.1593, byte miss ratio 0.1593
result/tencentBlock.ns19342.oracleGeneral.zst LRB cache size     8424, 3163841 req, miss ratio 0.1422, byte miss ratio 0.1422
result/tencentBlock.ns19342.oracleGeneral.zst LRB cache size    16848, 3163841 req, miss ratio 0.1222, byte miss ratio 0.1222
result/tencentBlock.ns19342.oracleGeneral.zst LRB cache size    33696, 3163841 req, miss ratio 0.0842, byte miss ratio 0.0842
result/tencentBlock.ns19342.oracleGeneral.zst LRB cache size    67392, 3163841 req, miss ratio 0.0391, byte miss ratio 0.0391
result/tencentBlock.ns19342.oracleGeneral.zst S4LRU(25:25:25:25) cache size       84, 3163841 req, miss ratio 0.4612, byte miss ratio 0.4612
result/tencentBlock.ns19342.oracleGeneral.zst S4LRU(25:25:25:25) cache size      252, 3163841 req, miss ratio 0.3493, byte miss ratio 0.3493
