result/tencentBlock.ns5326.oracleGeneral.zst LeCaR cache size      540, 4192004 req, miss ratio 0.5766, byte miss ratio 0.5766
result/tencentBlock.ns5326.oracleGeneral.zst LeCaR cache size     1622, 4192004 req, miss ratio 0.4333, byte miss ratio 0.4333
result/tencentBlock.ns5326.oracleGeneral.zst LeCaR cache size     5408, 4192004 req, miss ratio 0.3351, byte miss ratio 0.3351
result/tencentBlock.ns5326.oracleGeneral.zst LeCaR cache size    16224, 4192004 req, miss ratio 0.2942, byte miss ratio 0.2942
result/tencentBlock.ns5326.oracleGeneral.zst LeCaR cache size    54080, 4192004 req, miss ratio 0.2285, byte miss ratio 0.2285
result/tencentBlock.ns5326.oracleGeneral.zst LeCaR cache size   108160, 4192004 req, miss ratio 0.1760, byte miss ratio 0.1760
result/tencentBlock.ns5326.oracleGeneral.zst LeCaR cache size   216320, 4192004 req, miss ratio 0.1382, byte miss ratio 0.1382
result/tencentBlock.ns5326.oracleGeneral.zst LeCaR cache size   432640, 4192004 req, miss ratio 0.1298, byte miss ratio 0.1298
result/tencentBlock.ns5326.oracleGeneral.zst LRU cache size      540, 4192004 req, miss ratio 0.5793, byte miss ratio 0.5793
result/tencentBlock.ns5326.oracleGeneral.zst LRU cache size     1622, 4192004 req, miss ratio 0.4550, byte miss ratio 0.4550
result/tencentBlock.ns5326.oracleGeneral.zst LRU cache size     5408, 4192004 req, miss ratio 0.3399, byte miss ratio 0.3399
result/tencentBlock.ns5326.oracleGeneral.zst LRU cache size    16224, 4192004 req, miss ratio 0.2977, byte miss ratio 0.2977
result/tencentBlock.ns5326.oracleGeneral.zst LRU cache size    54080, 4192004 req, miss ratio 0.2296, byte miss ratio 0.2296
result/tencentBlock.ns5326.oracleGeneral.zst LRU cache size   108160, 4192004 req, miss ratio 0.1788, byte miss ratio 0.1788
result/tencentBlock.ns5326.oracleGeneral.zst LRU cache size   216320, 4192004 req, miss ratio 0.1400, byte miss ratio 0.1400
result/tencentBlock.ns5326.oracleGeneral.zst LRU cache size   432640, 4192004 req, miss ratio 0.1298, byte miss ratio 0.1298
result/tencentBlock.ns5326.oracleGeneral.zst LHD cache size      540, 4192004 req, miss ratio 0.5789, byte miss ratio 0.5789
result/tencentBlock.ns5326.oracleGeneral.zst LHD cache size     1622, 4192004 req, miss ratio 0.4105, byte miss ratio 0.4105
result/tencentBlock.ns5326.oracleGeneral.zst LHD cache size     5408, 4192004 req, miss ratio 0.3334, byte miss ratio 0.3334
result/tencentBlock.ns5326.oracleGeneral.zst LHD cache size    16224, 4192004 req, miss ratio 0.2880, byte miss ratio 0.2880
result/tencentBlock.ns5326.oracleGeneral.zst LHD cache size    54080, 4192004 req, miss ratio 0.2268, byte miss ratio 0.2268
result/tencentBlock.ns5326.oracleGeneral.zst LHD cache size   108160, 4192004 req, miss ratio 0.1696, byte miss ratio 0.1696
result/tencentBlock.ns5326.oracleGeneral.zst LHD cache size   216320, 4192004 req, miss ratio 0.1430, byte miss ratio 0.1430
result/tencentBlock.ns5326.oracleGeneral.zst LHD cache size   432640, 4192004 req, miss ratio 0.1300, byte miss ratio 0.1300
result/tencentBlock.ns5326.oracleGeneral.zst S3FIFO-1 cache size      540, 4192004 req, miss ratio 0.5628, byte miss ratio 0.5628
result/tencentBlock.ns5326.oracleGeneral.zst S3FIFO-1 cache size     1622, 4192004 req, miss ratio 0.3536, byte miss ratio 0.3536
result/tencentBlock.ns5326.oracleGeneral.zst S3FIFO-1 cache size     5408, 4192004 req, miss ratio 0.3319, byte miss ratio 0.3319
result/tencentBlock.ns5326.oracleGeneral.zst S3FIFO-1 cache size    16224, 4192004 req, miss ratio 0.2838, byte miss ratio 0.2838
result/tencentBlock.ns5326.oracleGeneral.zst S3FIFO-1 cache size    54080, 4192004 req, miss ratio 0.2398, byte miss ratio 0.2398
result/tencentBlock.ns5326.oracleGeneral.zst S3FIFO-1 cache size   108160, 4192004 req, miss ratio 0.1801, byte miss ratio 0.1801
result/tencentBlock.ns5326.oracleGeneral.zst S3FIFO-1 cache size   216320, 4192004 req, miss ratio 0.1402, byte miss ratio 0.1402
result/tencentBlock.ns5326.oracleGeneral.zst S3FIFO-1 cache size   432640, 4192004 req, miss ratio 0.1303, byte miss ratio 0.1303
result/tencentBlock.ns5326.oracleGeneral.zst Clock cache size      540, 4192004 req, miss ratio 0.5765, byte miss ratio 0.5765
