result/cdn1_lax.ns567.oracleGeneral.bin.zst ARC cache size    78695, 1772758 req, miss ratio 0.1359, byte miss ratio 0.1359
result/cdn1_lax.ns567.oracleGeneral.bin.zst ARC cache size   157390, 1772758 req, miss ratio 0.1112, byte miss ratio 0.1112
result/cdn1_lax.ns567.oracleGeneral.bin.zst Clock cache size      196, 1772758 req, miss ratio 0.8741, byte miss ratio 0.8741
result/cdn1_lax.ns567.oracleGeneral.bin.zst Clock cache size      590, 1772758 req, miss ratio 0.8139, byte miss ratio 0.8139
result/cdn1_lax.ns567.oracleGeneral.bin.zst Clock cache size     1967, 1772758 req, miss ratio 0.6921, byte miss ratio 0.6921
result/cdn1_lax.ns567.oracleGeneral.bin.zst Clock cache size     5902, 1772758 req, miss ratio 0.5289, byte miss ratio 0.5289
result/cdn1_lax.ns567.oracleGeneral.bin.zst Clock cache size    19673, 1772758 req, miss ratio 0.3262, byte miss ratio 0.3262
result/cdn1_lax.ns567.oracleGeneral.bin.zst Clock cache size    39347, 1772758 req, miss ratio 0.2150, byte miss ratio 0.2150
result/cdn1_lax.ns567.oracleGeneral.bin.zst Clock cache size    78695, 1772758 req, miss ratio 0.1326, byte miss ratio 0.1326
result/cdn1_lax.ns567.oracleGeneral.bin.zst Clock cache size   157390, 1772758 req, miss ratio 0.1112, byte miss ratio 0.1112
result/cdn1_lax.ns567.oracleGeneral.bin.zst LeCaR cache size      196, 1772758 req, miss ratio 0.8726, byte miss ratio 0.8726
result/cdn1_lax.ns567.oracleGeneral.bin.zst LeCaR cache size      590, 1772758 req, miss ratio 0.8112, byte miss ratio 0.8112
result/cdn1_lax.ns567.oracleGeneral.bin.zst LeCaR cache size     1967, 1772758 req, miss ratio 0.6879, byte miss ratio 0.6879
result/cdn1_lax.ns567.oracleGeneral.bin.zst LeCaR cache size     5902, 1772758 req, miss ratio 0.5263, byte miss ratio 0.5263
result/cdn1_lax.ns567.oracleGeneral.bin.zst LeCaR cache size    19673, 1772758 req, miss ratio 0.3227, byte miss ratio 0.3227
result/cdn1_lax.ns567.oracleGeneral.bin.zst LeCaR cache size    39347, 1772758 req, miss ratio 0.2099, byte miss ratio 0.2099
result/cdn1_lax.ns567.oracleGeneral.bin.zst LeCaR cache size    78695, 1772758 req, miss ratio 0.1313, byte miss ratio 0.1313
result/cdn1_lax.ns567.oracleGeneral.bin.zst LeCaR cache size   157390, 1772758 req, miss ratio 0.1110, byte miss ratio 0.1110
result/cdn1_lax.ns567.oracleGeneral.bin.zst LHD cache size      196, 1772758 req, miss ratio 0.8656, byte miss ratio 0.8656
result/cdn1_lax.ns567.oracleGeneral.bin.zst LHD cache size      590, 1772758 req, miss ratio 0.8109, byte miss ratio 0.8109
