result/tencentBlock.ns18981.oracleGeneral.zst LeCaR cache size      645, 1666608 req, miss ratio 0.4764, byte miss ratio 0.4764
result/tencentBlock.ns18981.oracleGeneral.zst LeCaR cache size     2150, 1666608 req, miss ratio 0.4469, byte miss ratio 0.4469
result/tencentBlock.ns18981.oracleGeneral.zst LeCaR cache size     6452, 1666608 req, miss ratio 0.3892, byte miss ratio 0.3892
result/tencentBlock.ns18981.oracleGeneral.zst LeCaR cache size    21508, 1666608 req, miss ratio 0.3653, byte miss ratio 0.3653
result/tencentBlock.ns18981.oracleGeneral.zst LeCaR cache size    43017, 1666608 req, miss ratio 0.3092, byte miss ratio 0.3092
result/tencentBlock.ns18981.oracleGeneral.zst LeCaR cache size    86034, 1666608 req, miss ratio 0.1801, byte miss ratio 0.1801
result/tencentBlock.ns18981.oracleGeneral.zst LeCaR cache size   172068, 1666608 req, miss ratio 0.1294, byte miss ratio 0.1294
result/tencentBlock.ns18981.oracleGeneral.zst clock2 cache size      215, 1666608 req, miss ratio 0.5065, byte miss ratio 0.5065
result/tencentBlock.ns18981.oracleGeneral.zst clock2 cache size      645, 1666608 req, miss ratio 0.4753, byte miss ratio 0.4753
result/tencentBlock.ns18981.oracleGeneral.zst clock2 cache size     2150, 1666608 req, miss ratio 0.4437, byte miss ratio 0.4437
result/tencentBlock.ns18981.oracleGeneral.zst clock2 cache size     6452, 1666608 req, miss ratio 0.3894, byte miss ratio 0.3894
result/tencentBlock.ns18981.oracleGeneral.zst clock2 cache size    21508, 1666608 req, miss ratio 0.3752, byte miss ratio 0.3752
result/tencentBlock.ns18981.oracleGeneral.zst clock2 cache size    43017, 1666608 req, miss ratio 0.3175, byte miss ratio 0.3175
result/tencentBlock.ns18981.oracleGeneral.zst clock2 cache size    86034, 1666608 req, miss ratio 0.1933, byte miss ratio 0.1933
result/tencentBlock.ns18981.oracleGeneral.zst clock2 cache size   172068, 1666608 req, miss ratio 0.1295, byte miss ratio 0.1295
result/tencentBlock.ns18981.oracleGeneral.zst LIRS cache size      215, 1666608 req, miss ratio 0.5176, byte miss ratio 0.5176
result/tencentBlock.ns18981.oracleGeneral.zst LIRS cache size      645, 1666608 req, miss ratio 0.4888, byte miss ratio 0.4888
result/tencentBlock.ns18981.oracleGeneral.zst LIRS cache size     2150, 1666608 req, miss ratio 0.4063, byte miss ratio 0.4063
result/tencentBlock.ns18981.oracleGeneral.zst LIRS cache size     6452, 1666608 req, miss ratio 0.3811, byte miss ratio 0.3811
result/tencentBlock.ns18981.oracleGeneral.zst LIRS cache size    21508, 1666608 req, miss ratio 0.3278, byte miss ratio 0.3278
result/tencentBlock.ns18981.oracleGeneral.zst LIRS cache size    43017, 1666608 req, miss ratio 0.2888, byte miss ratio 0.2888
result/tencentBlock.ns18981.oracleGeneral.zst LIRS cache size    86034, 1666608 req, miss ratio 0.1574, byte miss ratio 0.1574
result/tencentBlock.ns18981.oracleGeneral.zst LIRS cache size   172068, 1666608 req, miss ratio 0.1299, byte miss ratio 0.1299
result/tencentBlock.ns18981.oracleGeneral.zst S3FIFO-1 cache size      215, 1666608 req, miss ratio 0.4981, byte miss ratio 0.4981
result/tencentBlock.ns18981.oracleGeneral.zst S3FIFO-1 cache size      645, 1666608 req, miss ratio 0.4622, byte miss ratio 0.4622
result/tencentBlock.ns18981.oracleGeneral.zst S3FIFO-1 cache size     2150, 1666608 req, miss ratio 0.3908, byte miss ratio 0.3908
result/tencentBlock.ns18981.oracleGeneral.zst S3FIFO-1 cache size     6452, 1666608 req, miss ratio 0.3810, byte miss ratio 0.3810
result/tencentBlock.ns18981.oracleGeneral.zst S3FIFO-1 cache size    21508, 1666608 req, miss ratio 0.3320, byte miss ratio 0.3320
result/tencentBlock.ns18981.oracleGeneral.zst S3FIFO-1 cache size    43017, 1666608 req, miss ratio 0.2916, byte miss ratio 0.2916
result/tencentBlock.ns18981.oracleGeneral.zst S3FIFO-1 cache size    86034, 1666608 req, miss ratio 0.1683, byte miss ratio 0.1683
result/tencentBlock.ns18981.oracleGeneral.zst S3FIFO-1 cache size   172068, 1666608 req, miss ratio 0.1295, byte miss ratio 0.1295
result/tencentBlock.ns18981.oracleGeneral.zst S3FIFO-d-1 cache size      215, 1666608 req, miss ratio 0.4858, byte miss ratio 0.4858
result/tencentBlock.ns18981.oracleGeneral.zst S3FIFO-d-1 cache size      645, 1666608 req, miss ratio 0.4618, byte miss ratio 0.4618
result/tencentBlock.ns18981.oracleGeneral.zst S3FIFO-d-1 cache size     2150, 1666608 req, miss ratio 0.3908, byte miss ratio 0.3908
result/tencentBlock.ns18981.oracleGeneral.zst S3FIFO-d-1 cache size     6452, 1666608 req, miss ratio 0.3810, byte miss ratio 0.3810
result/tencentBlock.ns18981.oracleGeneral.zst S3FIFO-d-1 cache size    21508, 1666608 req, miss ratio 0.3316, byte miss ratio 0.3316
result/tencentBlock.ns18981.oracleGeneral.zst S3FIFO-d-1 cache size    43017, 1666608 req, miss ratio 0.2923, byte miss ratio 0.2923
result/tencentBlock.ns18981.oracleGeneral.zst S3FIFO-d-1 cache size    86034, 1666608 req, miss ratio 0.1762, byte miss ratio 0.1762
result/tencentBlock.ns18981.oracleGeneral.zst S3FIFO-d-1 cache size   172068, 1666608 req, miss ratio 0.1295, byte miss ratio 0.1295
result/tencentBlock.ns18981.oracleGeneral.zst LRB cache size      215, 1666608 req, miss ratio 0.5133, byte miss ratio 0.5133
result/tencentBlock.ns18981.oracleGeneral.zst LRB cache size      645, 1666608 req, miss ratio 0.4609, byte miss ratio 0.4609
result/tencentBlock.ns18981.oracleGeneral.zst LRB cache size     2150, 1666608 req, miss ratio 0.4048, byte miss ratio 0.4048
result/tencentBlock.ns18981.oracleGeneral.zst LRB cache size     6452, 1666608 req, miss ratio 0.3781, byte miss ratio 0.3781
result/tencentBlock.ns18981.oracleGeneral.zst LRB cache size    21508, 1666608 req, miss ratio 0.3288, byte miss ratio 0.3288
result/tencentBlock.ns18981.oracleGeneral.zst LRB cache size    43017, 1666608 req, miss ratio 0.2745, byte miss ratio 0.2745
result/tencentBlock.ns18981.oracleGeneral.zst LRB cache size    86034, 1666608 req, miss ratio 0.1760, byte miss ratio 0.1760
result/tencentBlock.ns18981.oracleGeneral.zst LRB cache size   172068, 1666608 req, miss ratio 0.1294, byte miss ratio 0.1294
result/tencentBlock.ns18981.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      215, 1666608 req, miss ratio 0.5732, byte miss ratio 0.5732
result/tencentBlock.ns18981.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      645, 1666608 req, miss ratio 0.4832, byte miss ratio 0.4832
result/tencentBlock.ns18981.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     2150, 1666608 req, miss ratio 0.4425, byte miss ratio 0.4425
result/tencentBlock.ns18981.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     6452, 1666608 req, miss ratio 0.3975, byte miss ratio 0.3975
result/tencentBlock.ns18981.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    21508, 1666608 req, miss ratio 0.3640, byte miss ratio 0.3640
result/tencentBlock.ns18981.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    43017, 1666608 req, miss ratio 0.3112, byte miss ratio 0.3112
result/tencentBlock.ns18981.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    86034, 1666608 req, miss ratio 0.1949, byte miss ratio 0.1949
result/tencentBlock.ns18981.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   172068, 1666608 req, miss ratio 0.1420, byte miss ratio 0.1420
result/tencentBlock.ns18981.oracleGeneral.zst B-LRU cache size      215, 1666608 req, miss ratio 0.5367, byte miss ratio 0.5367
result/tencentBlock.ns18981.oracleGeneral.zst B-LRU cache size      645, 1666608 req, miss ratio 0.5040, byte miss ratio 0.5040
result/tencentBlock.ns18981.oracleGeneral.zst B-LRU cache size     2150, 1666608 req, miss ratio 0.4709, byte miss ratio 0.4709
result/tencentBlock.ns18981.oracleGeneral.zst B-LRU cache size     6452, 1666608 req, miss ratio 0.4314, byte miss ratio 0.4314
result/tencentBlock.ns18981.oracleGeneral.zst B-LRU cache size    21508, 1666608 req, miss ratio 0.3781, byte miss ratio 0.3781
result/tencentBlock.ns18981.oracleGeneral.zst B-LRU cache size    43017, 1666608 req, miss ratio 0.3458, byte miss ratio 0.3458
result/tencentBlock.ns18981.oracleGeneral.zst B-LRU cache size    86034, 1666608 req, miss ratio 0.2206, byte miss ratio 0.2206
result/tencentBlock.ns18981.oracleGeneral.zst B-LRU cache size   172068, 1666608 req, miss ratio 0.2085, byte miss ratio 0.2085
result/tencentBlock.ns18981.oracleGeneral.zst TwoQ cache size      215, 1666608 req, miss ratio 0.4904, byte miss ratio 0.4904
result/tencentBlock.ns18981.oracleGeneral.zst TwoQ cache size      645, 1666608 req, miss ratio 0.4493, byte miss ratio 0.4493
result/tencentBlock.ns18981.oracleGeneral.zst TwoQ cache size     2150, 1666608 req, miss ratio 0.3936, byte miss ratio 0.3936
result/tencentBlock.ns18981.oracleGeneral.zst TwoQ cache size     6452, 1666608 req, miss ratio 0.3851, byte miss ratio 0.3851
result/tencentBlock.ns18981.oracleGeneral.zst TwoQ cache size    21508, 1666608 req, miss ratio 0.3297, byte miss ratio 0.3297
result/tencentBlock.ns18981.oracleGeneral.zst TwoQ cache size    43017, 1666608 req, miss ratio 0.2791, byte miss ratio 0.2791
result/tencentBlock.ns18981.oracleGeneral.zst TwoQ cache size    86034, 1666608 req, miss ratio 0.1793, byte miss ratio 0.1793
result/tencentBlock.ns18981.oracleGeneral.zst TwoQ cache size   172068, 1666608 req, miss ratio 0.1463, byte miss ratio 0.1463
result/tencentBlock.ns18981.oracleGeneral.zst S4LRU(25:25:25:25) cache size      215, 1666608 req, miss ratio 0.5028, byte miss ratio 0.5028
result/tencentBlock.ns18981.oracleGeneral.zst S4LRU(25:25:25:25) cache size      645, 1666608 req, miss ratio 0.4719, byte miss ratio 0.4719
result/tencentBlock.ns18981.oracleGeneral.zst S4LRU(25:25:25:25) cache size     2150, 1666608 req, miss ratio 0.4014, byte miss ratio 0.4014
result/tencentBlock.ns18981.oracleGeneral.zst S4LRU(25:25:25:25) cache size     6452, 1666608 req, miss ratio 0.3826, byte miss ratio 0.3826
result/tencentBlock.ns18981.oracleGeneral.zst S4LRU(25:25:25:25) cache size    21508, 1666608 req, miss ratio 0.3497, byte miss ratio 0.3497
result/tencentBlock.ns18981.oracleGeneral.zst S4LRU(25:25:25:25) cache size    43017, 1666608 req, miss ratio 0.3121, byte miss ratio 0.3121
result/tencentBlock.ns18981.oracleGeneral.zst S4LRU(25:25:25:25) cache size    86034, 1666608 req, miss ratio 0.1963, byte miss ratio 0.1963
result/tencentBlock.ns18981.oracleGeneral.zst S4LRU(25:25:25:25) cache size   172068, 1666608 req, miss ratio 0.1294, byte miss ratio 0.1294
result/tencentBlock.ns18981.oracleGeneral.zst S3FIFO cache size      215, 1666608 req, miss ratio 0.4966, byte miss ratio 0.4966
result/tencentBlock.ns18981.oracleGeneral.zst S3FIFO cache size      645, 1666608 req, miss ratio 0.4506, byte miss ratio 0.4506
result/tencentBlock.ns18981.oracleGeneral.zst S3FIFO cache size     2150, 1666608 req, miss ratio 0.3908, byte miss ratio 0.3908
result/tencentBlock.ns18981.oracleGeneral.zst S3FIFO cache size     6452, 1666608 req, miss ratio 0.3804, byte miss ratio 0.3804
result/tencentBlock.ns18981.oracleGeneral.zst S3FIFO cache size    21508, 1666608 req, miss ratio 0.3226, byte miss ratio 0.3226
result/tencentBlock.ns18981.oracleGeneral.zst S3FIFO cache size    43017, 1666608 req, miss ratio 0.2868, byte miss ratio 0.2868
result/tencentBlock.ns18981.oracleGeneral.zst S3FIFO cache size    86034, 1666608 req, miss ratio 0.1636, byte miss ratio 0.1636
result/tencentBlock.ns18981.oracleGeneral.zst S3FIFO cache size   172068, 1666608 req, miss ratio 0.1296, byte miss ratio 0.1296
result/tencentBlock.ns18981.oracleGeneral.zst S3FIFO-d cache size      215, 1666608 req, miss ratio 0.4860, byte miss ratio 0.4860
result/tencentBlock.ns18981.oracleGeneral.zst S3FIFO-d cache size      645, 1666608 req, miss ratio 0.4497, byte miss ratio 0.4497
result/tencentBlock.ns18981.oracleGeneral.zst S3FIFO-d cache size     2150, 1666608 req, miss ratio 0.3908, byte miss ratio 0.3908
result/tencentBlock.ns18981.oracleGeneral.zst S3FIFO-d cache size     6452, 1666608 req, miss ratio 0.3804, byte miss ratio 0.3804
result/tencentBlock.ns18981.oracleGeneral.zst S3FIFO-d cache size    21508, 1666608 req, miss ratio 0.3223, byte miss ratio 0.3223
result/tencentBlock.ns18981.oracleGeneral.zst S3FIFO-d cache size    43017, 1666608 req, miss ratio 0.2861, byte miss ratio 0.2861
result/tencentBlock.ns18981.oracleGeneral.zst S3FIFO-d cache size    86034, 1666608 req, miss ratio 0.1636, byte miss ratio 0.1636
result/tencentBlock.ns18981.oracleGeneral.zst S3FIFO-d cache size   172068, 1666608 req, miss ratio 0.1296, byte miss ratio 0.1296
result/tencentBlock.ns18981.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      215, 1666608 req, miss ratio 0.5311, byte miss ratio 0.5311
result/tencentBlock.ns18981.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      645, 1666608 req, miss ratio 0.4859, byte miss ratio 0.4859
result/tencentBlock.ns18981.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     2150, 1666608 req, miss ratio 0.4327, byte miss ratio 0.4327
result/tencentBlock.ns18981.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     6452, 1666608 req, miss ratio 0.3835, byte miss ratio 0.3835
result/tencentBlock.ns18981.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    21508, 1666608 req, miss ratio 0.3228, byte miss ratio 0.3228
result/tencentBlock.ns18981.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    43017, 1666608 req, miss ratio 0.2601, byte miss ratio 0.2601
result/tencentBlock.ns18981.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    86034, 1666608 req, miss ratio 0.1636, byte miss ratio 0.1636
result/tencentBlock.ns18981.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   172068, 1666608 req, miss ratio 0.1329, byte miss ratio 0.1329
result/tencentBlock.ns18981.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      215, 1666608 req, miss ratio 0.5195, byte miss ratio 0.5195
result/tencentBlock.ns18981.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      645, 1666608 req, miss ratio 0.4616, byte miss ratio 0.4616
result/tencentBlock.ns18981.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     2150, 1666608 req, miss ratio 0.4170, byte miss ratio 0.4170
result/tencentBlock.ns18981.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     6452, 1666608 req, miss ratio 0.3722, byte miss ratio 0.3722
result/tencentBlock.ns18981.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    21508, 1666608 req, miss ratio 0.3267, byte miss ratio 0.3267
result/tencentBlock.ns18981.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    43017, 1666608 req, miss ratio 0.2619, byte miss ratio 0.2619
result/tencentBlock.ns18981.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    86034, 1666608 req, miss ratio 0.1721, byte miss ratio 0.1721
result/tencentBlock.ns18981.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   172068, 1666608 req, miss ratio 0.1405, byte miss ratio 0.1405
