result/tencentBlock.ns13126.oracleGeneral.zst S3FIFO-1 cache size      496, 4315865 req, miss ratio 0.5307, byte miss ratio 0.5307
result/tencentBlock.ns13126.oracleGeneral.zst S3FIFO-1 cache size     1489, 4315865 req, miss ratio 0.3390, byte miss ratio 0.3390
result/tencentBlock.ns13126.oracleGeneral.zst S3FIFO-1 cache size     4963, 4315865 req, miss ratio 0.3041, byte miss ratio 0.3041
result/tencentBlock.ns13126.oracleGeneral.zst S3FIFO-1 cache size    14890, 4315865 req, miss ratio 0.2616, byte miss ratio 0.2616
result/tencentBlock.ns13126.oracleGeneral.zst S3FIFO-1 cache size    49633, 4315865 req, miss ratio 0.2243, byte miss ratio 0.2243
result/tencentBlock.ns13126.oracleGeneral.zst S3FIFO-1 cache size    99267, 4315865 req, miss ratio 0.1753, byte miss ratio 0.1753
result/tencentBlock.ns13126.oracleGeneral.zst S3FIFO-1 cache size   198534, 4315865 req, miss ratio 0.1329, byte miss ratio 0.1329
result/tencentBlock.ns13126.oracleGeneral.zst S3FIFO-1 cache size   397068, 4315865 req, miss ratio 0.1163, byte miss ratio 0.1163
result/tencentBlock.ns13126.oracleGeneral.zst LHD cache size      496, 4315865 req, miss ratio 0.5355, byte miss ratio 0.5355
result/tencentBlock.ns13126.oracleGeneral.zst LHD cache size     1489, 4315865 req, miss ratio 0.3971, byte miss ratio 0.3971
result/tencentBlock.ns13126.oracleGeneral.zst LHD cache size     4963, 4315865 req, miss ratio 0.3037, byte miss ratio 0.3037
result/tencentBlock.ns13126.oracleGeneral.zst LHD cache size    14890, 4315865 req, miss ratio 0.2631, byte miss ratio 0.2631
result/tencentBlock.ns13126.oracleGeneral.zst LHD cache size    49633, 4315865 req, miss ratio 0.2040, byte miss ratio 0.2040
result/tencentBlock.ns13126.oracleGeneral.zst LHD cache size    99267, 4315865 req, miss ratio 0.1531, byte miss ratio 0.1531
result/tencentBlock.ns13126.oracleGeneral.zst LHD cache size   198534, 4315865 req, miss ratio 0.1291, byte miss ratio 0.1291
result/tencentBlock.ns13126.oracleGeneral.zst LHD cache size   397068, 4315865 req, miss ratio 0.1163, byte miss ratio 0.1163
result/tencentBlock.ns13126.oracleGeneral.zst FIFO cache size      496, 4315865 req, miss ratio 0.6152, byte miss ratio 0.6152
result/tencentBlock.ns13126.oracleGeneral.zst FIFO cache size     1489, 4315865 req, miss ratio 0.4711, byte miss ratio 0.4711
result/tencentBlock.ns13126.oracleGeneral.zst FIFO cache size     4963, 4315865 req, miss ratio 0.3596, byte miss ratio 0.3596
result/tencentBlock.ns13126.oracleGeneral.zst FIFO cache size    14890, 4315865 req, miss ratio 0.2974, byte miss ratio 0.2974
result/tencentBlock.ns13126.oracleGeneral.zst FIFO cache size    49633, 4315865 req, miss ratio 0.2267, byte miss ratio 0.2267
result/tencentBlock.ns13126.oracleGeneral.zst FIFO cache size    99267, 4315865 req, miss ratio 0.1719, byte miss ratio 0.1719
result/tencentBlock.ns13126.oracleGeneral.zst FIFO cache size   198534, 4315865 req, miss ratio 0.1420, byte miss ratio 0.1420
result/tencentBlock.ns13126.oracleGeneral.zst FIFO cache size   397068, 4315865 req, miss ratio 0.1260, byte miss ratio 0.1260
result/tencentBlock.ns13126.oracleGeneral.zst ARC cache size      496, 4315865 req, miss ratio 0.5208, byte miss ratio 0.5208
result/tencentBlock.ns13126.oracleGeneral.zst ARC cache size     1489, 4315865 req, miss ratio 0.3655, byte miss ratio 0.3655
result/tencentBlock.ns13126.oracleGeneral.zst ARC cache size     4963, 4315865 req, miss ratio 0.3026, byte miss ratio 0.3026
result/tencentBlock.ns13126.oracleGeneral.zst ARC cache size    14890, 4315865 req, miss ratio 0.2629, byte miss ratio 0.2629
result/tencentBlock.ns13126.oracleGeneral.zst ARC cache size    49633, 4315865 req, miss ratio 0.2111, byte miss ratio 0.2111
result/tencentBlock.ns13126.oracleGeneral.zst ARC cache size    99267, 4315865 req, miss ratio 0.1645, byte miss ratio 0.1645
result/tencentBlock.ns13126.oracleGeneral.zst ARC cache size   198534, 4315865 req, miss ratio 0.1273, byte miss ratio 0.1273
result/tencentBlock.ns13126.oracleGeneral.zst ARC cache size   397068, 4315865 req, miss ratio 0.1163, byte miss ratio 0.1163
result/tencentBlock.ns13126.oracleGeneral.zst LIRS cache size      496, 4315865 req, miss ratio 0.5502, byte miss ratio 0.5502
result/tencentBlock.ns13126.oracleGeneral.zst LIRS cache size     1489, 4315865 req, miss ratio 0.3699, byte miss ratio 0.3699
result/tencentBlock.ns13126.oracleGeneral.zst LIRS cache size     4963, 4315865 req, miss ratio 0.3146, byte miss ratio 0.3146
result/tencentBlock.ns13126.oracleGeneral.zst LIRS cache size    14890, 4315865 req, miss ratio 0.2652, byte miss ratio 0.2652
result/tencentBlock.ns13126.oracleGeneral.zst LIRS cache size    49633, 4315865 req, miss ratio 0.2238, byte miss ratio 0.2238
result/tencentBlock.ns13126.oracleGeneral.zst LIRS cache size    99267, 4315865 req, miss ratio 0.1825, byte miss ratio 0.1825
result/tencentBlock.ns13126.oracleGeneral.zst LIRS cache size   198534, 4315865 req, miss ratio 0.1406, byte miss ratio 0.1406
result/tencentBlock.ns13126.oracleGeneral.zst LIRS cache size   397068, 4315865 req, miss ratio 0.1189, byte miss ratio 0.1189
result/tencentBlock.ns13126.oracleGeneral.zst LeCaR cache size      496, 4315865 req, miss ratio 0.5354, byte miss ratio 0.5354
result/tencentBlock.ns13126.oracleGeneral.zst LeCaR cache size     1489, 4315865 req, miss ratio 0.4185, byte miss ratio 0.4185
result/tencentBlock.ns13126.oracleGeneral.zst LeCaR cache size     4963, 4315865 req, miss ratio 0.3063, byte miss ratio 0.3063
result/tencentBlock.ns13126.oracleGeneral.zst LeCaR cache size    14890, 4315865 req, miss ratio 0.2754, byte miss ratio 0.2754
result/tencentBlock.ns13126.oracleGeneral.zst LeCaR cache size    49633, 4315865 req, miss ratio 0.2108, byte miss ratio 0.2108
result/tencentBlock.ns13126.oracleGeneral.zst LeCaR cache size    99267, 4315865 req, miss ratio 0.1607, byte miss ratio 0.1607
result/tencentBlock.ns13126.oracleGeneral.zst LeCaR cache size   198534, 4315865 req, miss ratio 0.1267, byte miss ratio 0.1267
result/tencentBlock.ns13126.oracleGeneral.zst LeCaR cache size   397068, 4315865 req, miss ratio 0.1169, byte miss ratio 0.1169
result/tencentBlock.ns13126.oracleGeneral.zst Cacheus cache size      496, 4315865 req, miss ratio 0.5240, byte miss ratio 0.5240
result/tencentBlock.ns13126.oracleGeneral.zst Cacheus cache size     1489, 4315865 req, miss ratio 0.3888, byte miss ratio 0.3888
result/tencentBlock.ns13126.oracleGeneral.zst Cacheus cache size     4963, 4315865 req, miss ratio 0.3026, byte miss ratio 0.3026
result/tencentBlock.ns13126.oracleGeneral.zst Cacheus cache size    14890, 4315865 req, miss ratio 0.2684, byte miss ratio 0.2684
result/tencentBlock.ns13126.oracleGeneral.zst Cacheus cache size    49633, 4315865 req, miss ratio 0.2136, byte miss ratio 0.2136
result/tencentBlock.ns13126.oracleGeneral.zst Cacheus cache size    99267, 4315865 req, miss ratio 0.1650, byte miss ratio 0.1650
result/tencentBlock.ns13126.oracleGeneral.zst Cacheus cache size   198534, 4315865 req, miss ratio 0.1322, byte miss ratio 0.1322
result/tencentBlock.ns13126.oracleGeneral.zst Cacheus cache size   397068, 4315865 req, miss ratio 0.1167, byte miss ratio 0.1167
result/tencentBlock.ns13126.oracleGeneral.zst LRU cache size      496, 4315865 req, miss ratio 0.5405, byte miss ratio 0.5405
result/tencentBlock.ns13126.oracleGeneral.zst LRU cache size     1489, 4315865 req, miss ratio 0.4258, byte miss ratio 0.4258
result/tencentBlock.ns13126.oracleGeneral.zst LRU cache size     4963, 4315865 req, miss ratio 0.3120, byte miss ratio 0.3120
result/tencentBlock.ns13126.oracleGeneral.zst LRU cache size    14890, 4315865 req, miss ratio 0.2776, byte miss ratio 0.2776
result/tencentBlock.ns13126.oracleGeneral.zst LRU cache size    49633, 4315865 req, miss ratio 0.2117, byte miss ratio 0.2117
result/tencentBlock.ns13126.oracleGeneral.zst LRU cache size    99267, 4315865 req, miss ratio 0.1608, byte miss ratio 0.1608
result/tencentBlock.ns13126.oracleGeneral.zst LRU cache size   198534, 4315865 req, miss ratio 0.1268, byte miss ratio 0.1268
result/tencentBlock.ns13126.oracleGeneral.zst LRU cache size   397068, 4315865 req, miss ratio 0.1168, byte miss ratio 0.1168
result/tencentBlock.ns13126.oracleGeneral.zst clock2 cache size      496, 4315865 req, miss ratio 0.5412, byte miss ratio 0.5412
result/tencentBlock.ns13126.oracleGeneral.zst clock2 cache size     1489, 4315865 req, miss ratio 0.4257, byte miss ratio 0.4257
result/tencentBlock.ns13126.oracleGeneral.zst clock2 cache size     4963, 4315865 req, miss ratio 0.3056, byte miss ratio 0.3056
result/tencentBlock.ns13126.oracleGeneral.zst clock2 cache size    14890, 4315865 req, miss ratio 0.2828, byte miss ratio 0.2828
result/tencentBlock.ns13126.oracleGeneral.zst clock2 cache size    49633, 4315865 req, miss ratio 0.2220, byte miss ratio 0.2220
result/tencentBlock.ns13126.oracleGeneral.zst clock2 cache size    99267, 4315865 req, miss ratio 0.1955, byte miss ratio 0.1955
result/tencentBlock.ns13126.oracleGeneral.zst clock2 cache size   198534, 4315865 req, miss ratio 0.1398, byte miss ratio 0.1398
result/tencentBlock.ns13126.oracleGeneral.zst clock2 cache size   397068, 4315865 req, miss ratio 0.1163, byte miss ratio 0.1163
result/tencentBlock.ns13126.oracleGeneral.zst Clock cache size      496, 4315865 req, miss ratio 0.5390, byte miss ratio 0.5390
result/tencentBlock.ns13126.oracleGeneral.zst Clock cache size     1489, 4315865 req, miss ratio 0.4223, byte miss ratio 0.4223
result/tencentBlock.ns13126.oracleGeneral.zst Clock cache size     4963, 4315865 req, miss ratio 0.3094, byte miss ratio 0.3094
result/tencentBlock.ns13126.oracleGeneral.zst Clock cache size    14890, 4315865 req, miss ratio 0.2801, byte miss ratio 0.2801
result/tencentBlock.ns13126.oracleGeneral.zst Clock cache size    49633, 4315865 req, miss ratio 0.2154, byte miss ratio 0.2154
result/tencentBlock.ns13126.oracleGeneral.zst Clock cache size    99267, 4315865 req, miss ratio 0.1769, byte miss ratio 0.1769
result/tencentBlock.ns13126.oracleGeneral.zst Clock cache size   198534, 4315865 req, miss ratio 0.1316, byte miss ratio 0.1316
result/tencentBlock.ns13126.oracleGeneral.zst Clock cache size   397068, 4315865 req, miss ratio 0.1163, byte miss ratio 0.1163
result/tencentBlock.ns13126.oracleGeneral.zst S3FIFO-d-1 cache size      496, 4315865 req, miss ratio 0.5204, byte miss ratio 0.5204
result/tencentBlock.ns13126.oracleGeneral.zst S3FIFO-d-1 cache size     1489, 4315865 req, miss ratio 0.3387, byte miss ratio 0.3387
result/tencentBlock.ns13126.oracleGeneral.zst S3FIFO-d-1 cache size     4963, 4315865 req, miss ratio 0.3035, byte miss ratio 0.3035
result/tencentBlock.ns13126.oracleGeneral.zst S3FIFO-d-1 cache size    14890, 4315865 req, miss ratio 0.2614, byte miss ratio 0.2614
result/tencentBlock.ns13126.oracleGeneral.zst S3FIFO-d-1 cache size    49633, 4315865 req, miss ratio 0.2204, byte miss ratio 0.2204
result/tencentBlock.ns13126.oracleGeneral.zst S3FIFO-d-1 cache size    99267, 4315865 req, miss ratio 0.1768, byte miss ratio 0.1768
result/tencentBlock.ns13126.oracleGeneral.zst S3FIFO-d-1 cache size   198534, 4315865 req, miss ratio 0.1314, byte miss ratio 0.1314
result/tencentBlock.ns13126.oracleGeneral.zst S3FIFO-d-1 cache size   397068, 4315865 req, miss ratio 0.1163, byte miss ratio 0.1163
result/tencentBlock.ns13126.oracleGeneral.zst LRB cache size      496, 4315865 req, miss ratio 0.5463, byte miss ratio 0.5463
result/tencentBlock.ns13126.oracleGeneral.zst LRB cache size     1489, 4315865 req, miss ratio 0.3542, byte miss ratio 0.3542
result/tencentBlock.ns13126.oracleGeneral.zst LRB cache size     4963, 4315865 req, miss ratio 0.3012, byte miss ratio 0.3012
result/tencentBlock.ns13126.oracleGeneral.zst LRB cache size    14890, 4315865 req, miss ratio 0.2667, byte miss ratio 0.2667
result/tencentBlock.ns13126.oracleGeneral.zst LRB cache size    49633, 4315865 req, miss ratio 0.2173, byte miss ratio 0.2173
result/tencentBlock.ns13126.oracleGeneral.zst LRB cache size    99267, 4315865 req, miss ratio 0.1592, byte miss ratio 0.1592
result/tencentBlock.ns13126.oracleGeneral.zst LRB cache size   198534, 4315865 req, miss ratio 0.1268, byte miss ratio 0.1268
result/tencentBlock.ns13126.oracleGeneral.zst LRB cache size   397068, 4315865 req, miss ratio 0.1168, byte miss ratio 0.1168
result/tencentBlock.ns13126.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      496, 4315865 req, miss ratio 0.5748, byte miss ratio 0.5748
result/tencentBlock.ns13126.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     1489, 4315865 req, miss ratio 0.4467, byte miss ratio 0.4467
result/tencentBlock.ns13126.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     4963, 4315865 req, miss ratio 0.3236, byte miss ratio 0.3236
result/tencentBlock.ns13126.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    14890, 4315865 req, miss ratio 0.2923, byte miss ratio 0.2923
result/tencentBlock.ns13126.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    49633, 4315865 req, miss ratio 0.2403, byte miss ratio 0.2403
result/tencentBlock.ns13126.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    99267, 4315865 req, miss ratio 0.2055, byte miss ratio 0.2055
result/tencentBlock.ns13126.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   198534, 4315865 req, miss ratio 0.1539, byte miss ratio 0.1539
result/tencentBlock.ns13126.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   397068, 4315865 req, miss ratio 0.1226, byte miss ratio 0.1226
result/tencentBlock.ns13126.oracleGeneral.zst TwoQ cache size      496, 4315865 req, miss ratio 0.5100, byte miss ratio 0.5100
result/tencentBlock.ns13126.oracleGeneral.zst TwoQ cache size     1489, 4315865 req, miss ratio 0.3384, byte miss ratio 0.3384
result/tencentBlock.ns13126.oracleGeneral.zst TwoQ cache size     4963, 4315865 req, miss ratio 0.3013, byte miss ratio 0.3013
result/tencentBlock.ns13126.oracleGeneral.zst TwoQ cache size    14890, 4315865 req, miss ratio 0.2665, byte miss ratio 0.2665
result/tencentBlock.ns13126.oracleGeneral.zst TwoQ cache size    49633, 4315865 req, miss ratio 0.2160, byte miss ratio 0.2160
result/tencentBlock.ns13126.oracleGeneral.zst TwoQ cache size    99267, 4315865 req, miss ratio 0.1561, byte miss ratio 0.1561
result/tencentBlock.ns13126.oracleGeneral.zst TwoQ cache size   198534, 4315865 req, miss ratio 0.1355, byte miss ratio 0.1355
result/tencentBlock.ns13126.oracleGeneral.zst TwoQ cache size   397068, 4315865 req, miss ratio 0.1260, byte miss ratio 0.1260
result/tencentBlock.ns13126.oracleGeneral.zst S4LRU(25:25:25:25) cache size      496, 4315865 req, miss ratio 0.6067, byte miss ratio 0.6067
result/tencentBlock.ns13126.oracleGeneral.zst S4LRU(25:25:25:25) cache size     1489, 4315865 req, miss ratio 0.3885, byte miss ratio 0.3885
result/tencentBlock.ns13126.oracleGeneral.zst S4LRU(25:25:25:25) cache size     4963, 4315865 req, miss ratio 0.3087, byte miss ratio 0.3087
result/tencentBlock.ns13126.oracleGeneral.zst S4LRU(25:25:25:25) cache size    14890, 4315865 req, miss ratio 0.2856, byte miss ratio 0.2856
result/tencentBlock.ns13126.oracleGeneral.zst S4LRU(25:25:25:25) cache size    49633, 4315865 req, miss ratio 0.2412, byte miss ratio 0.2412
result/tencentBlock.ns13126.oracleGeneral.zst S4LRU(25:25:25:25) cache size    99267, 4315865 req, miss ratio 0.1998, byte miss ratio 0.1998
result/tencentBlock.ns13126.oracleGeneral.zst S4LRU(25:25:25:25) cache size   198534, 4315865 req, miss ratio 0.1421, byte miss ratio 0.1421
result/tencentBlock.ns13126.oracleGeneral.zst S4LRU(25:25:25:25) cache size   397068, 4315865 req, miss ratio 0.1163, byte miss ratio 0.1163
result/tencentBlock.ns13126.oracleGeneral.zst B-LRU cache size      496, 4315865 req, miss ratio 0.5758, byte miss ratio 0.5758
result/tencentBlock.ns13126.oracleGeneral.zst B-LRU cache size     1489, 4315865 req, miss ratio 0.4564, byte miss ratio 0.4564
result/tencentBlock.ns13126.oracleGeneral.zst B-LRU cache size     4963, 4315865 req, miss ratio 0.3584, byte miss ratio 0.3584
result/tencentBlock.ns13126.oracleGeneral.zst B-LRU cache size    14890, 4315865 req, miss ratio 0.3266, byte miss ratio 0.3266
result/tencentBlock.ns13126.oracleGeneral.zst B-LRU cache size    49633, 4315865 req, miss ratio 0.2785, byte miss ratio 0.2785
result/tencentBlock.ns13126.oracleGeneral.zst B-LRU cache size    99267, 4315865 req, miss ratio 0.2330, byte miss ratio 0.2330
result/tencentBlock.ns13126.oracleGeneral.zst B-LRU cache size   198534, 4315865 req, miss ratio 0.2091, byte miss ratio 0.2091
result/tencentBlock.ns13126.oracleGeneral.zst B-LRU cache size   397068, 4315865 req, miss ratio 0.2051, byte miss ratio 0.2051
result/tencentBlock.ns13126.oracleGeneral.zst S3FIFO cache size      496, 4315865 req, miss ratio 0.5304, byte miss ratio 0.5304
result/tencentBlock.ns13126.oracleGeneral.zst S3FIFO cache size     1489, 4315865 req, miss ratio 0.3340, byte miss ratio 0.3340
result/tencentBlock.ns13126.oracleGeneral.zst S3FIFO cache size     4963, 4315865 req, miss ratio 0.3041, byte miss ratio 0.3041
result/tencentBlock.ns13126.oracleGeneral.zst S3FIFO cache size    14890, 4315865 req, miss ratio 0.2623, byte miss ratio 0.2623
result/tencentBlock.ns13126.oracleGeneral.zst S3FIFO cache size    49633, 4315865 req, miss ratio 0.2263, byte miss ratio 0.2263
result/tencentBlock.ns13126.oracleGeneral.zst S3FIFO cache size    99267, 4315865 req, miss ratio 0.1758, byte miss ratio 0.1758
result/tencentBlock.ns13126.oracleGeneral.zst S3FIFO cache size   198534, 4315865 req, miss ratio 0.1348, byte miss ratio 0.1348
result/tencentBlock.ns13126.oracleGeneral.zst S3FIFO cache size   397068, 4315865 req, miss ratio 0.1165, byte miss ratio 0.1165
