result/tencentBlock.ns21784.oracleGeneral.zst Cacheus cache size      209, 1945201 req, miss ratio 0.3262, byte miss ratio 0.3262
result/tencentBlock.ns21784.oracleGeneral.zst Cacheus cache size      627, 1945201 req, miss ratio 0.3232, byte miss ratio 0.3232
result/tencentBlock.ns21784.oracleGeneral.zst Cacheus cache size     2091, 1945201 req, miss ratio 0.3220, byte miss ratio 0.3220
result/tencentBlock.ns21784.oracleGeneral.zst Cacheus cache size     6275, 1945201 req, miss ratio 0.3217, byte miss ratio 0.3217
result/tencentBlock.ns21784.oracleGeneral.zst Cacheus cache size    20918, 1945201 req, miss ratio 0.2907, byte miss ratio 0.2907
result/tencentBlock.ns21784.oracleGeneral.zst Cacheus cache size    41836, 1945201 req, miss ratio 0.2704, byte miss ratio 0.2704
result/tencentBlock.ns21784.oracleGeneral.zst Cacheus cache size    83672, 1945201 req, miss ratio 0.1561, byte miss ratio 0.1561
result/tencentBlock.ns21784.oracleGeneral.zst Cacheus cache size   167344, 1945201 req, miss ratio 0.1083, byte miss ratio 0.1083
result/tencentBlock.ns21784.oracleGeneral.zst LRU cache size      209, 1945201 req, miss ratio 0.3383, byte miss ratio 0.3383
result/tencentBlock.ns21784.oracleGeneral.zst LRU cache size      627, 1945201 req, miss ratio 0.3240, byte miss ratio 0.3240
result/tencentBlock.ns21784.oracleGeneral.zst LRU cache size     2091, 1945201 req, miss ratio 0.3226, byte miss ratio 0.3226
result/tencentBlock.ns21784.oracleGeneral.zst LRU cache size     6275, 1945201 req, miss ratio 0.3218, byte miss ratio 0.3218
result/tencentBlock.ns21784.oracleGeneral.zst LRU cache size    20918, 1945201 req, miss ratio 0.2832, byte miss ratio 0.2832
result/tencentBlock.ns21784.oracleGeneral.zst LRU cache size    41836, 1945201 req, miss ratio 0.2609, byte miss ratio 0.2609
result/tencentBlock.ns21784.oracleGeneral.zst LRU cache size    83672, 1945201 req, miss ratio 0.1710, byte miss ratio 0.1710
result/tencentBlock.ns21784.oracleGeneral.zst LRU cache size   167344, 1945201 req, miss ratio 0.1081, byte miss ratio 0.1081
result/tencentBlock.ns21784.oracleGeneral.zst LHD cache size      209, 1945201 req, miss ratio 0.3332, byte miss ratio 0.3332
result/tencentBlock.ns21784.oracleGeneral.zst LHD cache size      627, 1945201 req, miss ratio 0.3239, byte miss ratio 0.3239
result/tencentBlock.ns21784.oracleGeneral.zst LHD cache size     2091, 1945201 req, miss ratio 0.3223, byte miss ratio 0.3223
result/tencentBlock.ns21784.oracleGeneral.zst LHD cache size     6275, 1945201 req, miss ratio 0.3161, byte miss ratio 0.3161
result/tencentBlock.ns21784.oracleGeneral.zst LHD cache size    20918, 1945201 req, miss ratio 0.2787, byte miss ratio 0.2787
result/tencentBlock.ns21784.oracleGeneral.zst LHD cache size    41836, 1945201 req, miss ratio 0.2364, byte miss ratio 0.2364
result/tencentBlock.ns21784.oracleGeneral.zst LHD cache size    83672, 1945201 req, miss ratio 0.1528, byte miss ratio 0.1528
result/tencentBlock.ns21784.oracleGeneral.zst LHD cache size   167344, 1945201 req, miss ratio 0.1093, byte miss ratio 0.1093
result/tencentBlock.ns21784.oracleGeneral.zst LeCaR cache size      209, 1945201 req, miss ratio 0.3352, byte miss ratio 0.3352
result/tencentBlock.ns21784.oracleGeneral.zst LeCaR cache size      627, 1945201 req, miss ratio 0.3237, byte miss ratio 0.3237
result/tencentBlock.ns21784.oracleGeneral.zst LeCaR cache size     2091, 1945201 req, miss ratio 0.3226, byte miss ratio 0.3226
result/tencentBlock.ns21784.oracleGeneral.zst LeCaR cache size     6275, 1945201 req, miss ratio 0.3218, byte miss ratio 0.3218
result/tencentBlock.ns21784.oracleGeneral.zst LeCaR cache size    20918, 1945201 req, miss ratio 0.2831, byte miss ratio 0.2831
result/tencentBlock.ns21784.oracleGeneral.zst LeCaR cache size    41836, 1945201 req, miss ratio 0.2534, byte miss ratio 0.2534
result/tencentBlock.ns21784.oracleGeneral.zst LeCaR cache size    83672, 1945201 req, miss ratio 0.1531, byte miss ratio 0.1531
result/tencentBlock.ns21784.oracleGeneral.zst LeCaR cache size   167344, 1945201 req, miss ratio 0.1079, byte miss ratio 0.1079
result/tencentBlock.ns21784.oracleGeneral.zst S3FIFO-1 cache size      209, 1945201 req, miss ratio 0.3271, byte miss ratio 0.3271
result/tencentBlock.ns21784.oracleGeneral.zst S3FIFO-1 cache size      627, 1945201 req, miss ratio 0.3231, byte miss ratio 0.3231
result/tencentBlock.ns21784.oracleGeneral.zst S3FIFO-1 cache size     2091, 1945201 req, miss ratio 0.3222, byte miss ratio 0.3222
result/tencentBlock.ns21784.oracleGeneral.zst S3FIFO-1 cache size     6275, 1945201 req, miss ratio 0.3216, byte miss ratio 0.3216
result/tencentBlock.ns21784.oracleGeneral.zst S3FIFO-1 cache size    20918, 1945201 req, miss ratio 0.2791, byte miss ratio 0.2791
result/tencentBlock.ns21784.oracleGeneral.zst S3FIFO-1 cache size    41836, 1945201 req, miss ratio 0.2507, byte miss ratio 0.2507
result/tencentBlock.ns21784.oracleGeneral.zst S3FIFO-1 cache size    83672, 1945201 req, miss ratio 0.1676, byte miss ratio 0.1676
result/tencentBlock.ns21784.oracleGeneral.zst S3FIFO-1 cache size   167344, 1945201 req, miss ratio 0.1085, byte miss ratio 0.1085
result/tencentBlock.ns21784.oracleGeneral.zst clock2 cache size      209, 1945201 req, miss ratio 0.3378, byte miss ratio 0.3378
result/tencentBlock.ns21784.oracleGeneral.zst clock2 cache size      627, 1945201 req, miss ratio 0.3236, byte miss ratio 0.3236
result/tencentBlock.ns21784.oracleGeneral.zst clock2 cache size     2091, 1945201 req, miss ratio 0.3227, byte miss ratio 0.3227
result/tencentBlock.ns21784.oracleGeneral.zst clock2 cache size     6275, 1945201 req, miss ratio 0.3218, byte miss ratio 0.3218
result/tencentBlock.ns21784.oracleGeneral.zst clock2 cache size    20918, 1945201 req, miss ratio 0.3151, byte miss ratio 0.3151
result/tencentBlock.ns21784.oracleGeneral.zst clock2 cache size    41836, 1945201 req, miss ratio 0.2723, byte miss ratio 0.2723
result/tencentBlock.ns21784.oracleGeneral.zst clock2 cache size    83672, 1945201 req, miss ratio 0.2058, byte miss ratio 0.2058
