result/tencent_photo2.oracleGeneral.sample10.zst LIRS cache size 10181848, 273066692 req, miss ratio 0.2287, byte miss ratio 0.2287
result/tencent_photo2.oracleGeneral.sample10.zst LIRS cache size 20363697, 273066692 req, miss ratio 0.2074, byte miss ratio 0.2074
result/tencent_photo2.oracleGeneral.sample10.zst LIRS cache size 40727394, 273066692 req, miss ratio 0.1903, byte miss ratio 0.1903
result/tencent_photo2.oracleGeneral.sample10.zst FIFO cache size    50909, 273066692 req, miss ratio 0.7187, byte miss ratio 0.7187
result/tencent_photo2.oracleGeneral.sample10.zst FIFO cache size   152727, 273066692 req, miss ratio 0.6209, byte miss ratio 0.6209
result/tencent_photo2.oracleGeneral.sample10.zst FIFO cache size   509092, 273066692 req, miss ratio 0.4925, byte miss ratio 0.4925
result/tencent_photo2.oracleGeneral.sample10.zst FIFO cache size  1527277, 273066692 req, miss ratio 0.3768, byte miss ratio 0.3768
result/tencent_photo2.oracleGeneral.sample10.zst FIFO cache size  5090924, 273066692 req, miss ratio 0.2764, byte miss ratio 0.2764
result/tencent_photo2.oracleGeneral.sample10.zst FIFO cache size 10181848, 273066692 req, miss ratio 0.2347, byte miss ratio 0.2347
result/tencent_photo2.oracleGeneral.sample10.zst FIFO cache size 20363697, 273066692 req, miss ratio 0.2059, byte miss ratio 0.2059
result/tencent_photo2.oracleGeneral.sample10.zst FIFO cache size 40727394, 273066692 req, miss ratio 0.1891, byte miss ratio 0.1891
result/tencent_photo2.oracleGeneral.sample10.zst LRU cache size    50909, 273066692 req, miss ratio 0.6987, byte miss ratio 0.6987
result/tencent_photo2.oracleGeneral.sample10.zst LRU cache size   152727, 273066692 req, miss ratio 0.5917, byte miss ratio 0.5917
result/tencent_photo2.oracleGeneral.sample10.zst LRU cache size   509092, 273066692 req, miss ratio 0.4539, byte miss ratio 0.4539
result/tencent_photo2.oracleGeneral.sample10.zst LRU cache size  1527277, 273066692 req, miss ratio 0.3411, byte miss ratio 0.3411
result/tencent_photo2.oracleGeneral.sample10.zst LRU cache size  5090924, 273066692 req, miss ratio 0.2547, byte miss ratio 0.2547
result/tencent_photo2.oracleGeneral.sample10.zst LRU cache size 10181848, 273066692 req, miss ratio 0.2203, byte miss ratio 0.2203
result/tencent_photo2.oracleGeneral.sample10.zst LRU cache size 20363697, 273066692 req, miss ratio 0.1975, byte miss ratio 0.1975
