result/tencentBlock.ns20378.oracleGeneral.zst LeCaR cache size      203, 2633928 req, miss ratio 0.6439, byte miss ratio 0.6439
result/tencentBlock.ns20378.oracleGeneral.zst LeCaR cache size      611, 2633928 req, miss ratio 0.6047, byte miss ratio 0.6047
result/tencentBlock.ns20378.oracleGeneral.zst LeCaR cache size     2037, 2633928 req, miss ratio 0.5900, byte miss ratio 0.5900
result/tencentBlock.ns20378.oracleGeneral.zst LeCaR cache size     6111, 2633928 req, miss ratio 0.5136, byte miss ratio 0.5136
result/tencentBlock.ns20378.oracleGeneral.zst LeCaR cache size    20372, 2633928 req, miss ratio 0.4773, byte miss ratio 0.4773
result/tencentBlock.ns20378.oracleGeneral.zst LeCaR cache size    40745, 2633928 req, miss ratio 0.4556, byte miss ratio 0.4556
result/tencentBlock.ns20378.oracleGeneral.zst LeCaR cache size    81490, 2633928 req, miss ratio 0.4362, byte miss ratio 0.4362
result/tencentBlock.ns20378.oracleGeneral.zst LeCaR cache size   162980, 2633928 req, miss ratio 0.0838, byte miss ratio 0.0838
result/tencentBlock.ns20378.oracleGeneral.zst clock2 cache size      203, 2633928 req, miss ratio 0.6454, byte miss ratio 0.6454
result/tencentBlock.ns20378.oracleGeneral.zst clock2 cache size      611, 2633928 req, miss ratio 0.6073, byte miss ratio 0.6073
result/tencentBlock.ns20378.oracleGeneral.zst clock2 cache size     2037, 2633928 req, miss ratio 0.5917, byte miss ratio 0.5917
result/tencentBlock.ns20378.oracleGeneral.zst clock2 cache size     6111, 2633928 req, miss ratio 0.5361, byte miss ratio 0.5361
result/tencentBlock.ns20378.oracleGeneral.zst clock2 cache size    20372, 2633928 req, miss ratio 0.4720, byte miss ratio 0.4720
result/tencentBlock.ns20378.oracleGeneral.zst clock2 cache size    40745, 2633928 req, miss ratio 0.4577, byte miss ratio 0.4577
result/tencentBlock.ns20378.oracleGeneral.zst clock2 cache size    81490, 2633928 req, miss ratio 0.4256, byte miss ratio 0.4256
result/tencentBlock.ns20378.oracleGeneral.zst clock2 cache size   162980, 2633928 req, miss ratio 0.0833, byte miss ratio 0.0833
result/tencentBlock.ns20378.oracleGeneral.zst LRU cache size      203, 2633928 req, miss ratio 0.6494, byte miss ratio 0.6494
result/tencentBlock.ns20378.oracleGeneral.zst LRU cache size      611, 2633928 req, miss ratio 0.6120, byte miss ratio 0.6120
result/tencentBlock.ns20378.oracleGeneral.zst LRU cache size     2037, 2633928 req, miss ratio 0.5960, byte miss ratio 0.5960
result/tencentBlock.ns20378.oracleGeneral.zst LRU cache size     6111, 2633928 req, miss ratio 0.5251, byte miss ratio 0.5251
result/tencentBlock.ns20378.oracleGeneral.zst LRU cache size    20372, 2633928 req, miss ratio 0.4845, byte miss ratio 0.4845
result/tencentBlock.ns20378.oracleGeneral.zst LRU cache size    40745, 2633928 req, miss ratio 0.4704, byte miss ratio 0.4704
result/tencentBlock.ns20378.oracleGeneral.zst LRU cache size    81490, 2633928 req, miss ratio 0.4386, byte miss ratio 0.4386
result/tencentBlock.ns20378.oracleGeneral.zst LRU cache size   162980, 2633928 req, miss ratio 0.0932, byte miss ratio 0.0932
result/tencentBlock.ns20378.oracleGeneral.zst LIRS cache size      203, 2633928 req, miss ratio 0.6191, byte miss ratio 0.6191
result/tencentBlock.ns20378.oracleGeneral.zst LIRS cache size      611, 2633928 req, miss ratio 0.5984, byte miss ratio 0.5984
result/tencentBlock.ns20378.oracleGeneral.zst LIRS cache size     2037, 2633928 req, miss ratio 0.5846, byte miss ratio 0.5846
result/tencentBlock.ns20378.oracleGeneral.zst LIRS cache size     6111, 2633928 req, miss ratio 0.4746, byte miss ratio 0.4746
