result/tencentBlock.ns23030.oracleGeneral.zst LeCaR cache size      163, 1058660 req, miss ratio 0.4884, byte miss ratio 0.4884
result/tencentBlock.ns23030.oracleGeneral.zst LeCaR cache size      489, 1058660 req, miss ratio 0.4770, byte miss ratio 0.4770
result/tencentBlock.ns23030.oracleGeneral.zst LeCaR cache size     1631, 1058660 req, miss ratio 0.4679, byte miss ratio 0.4679
result/tencentBlock.ns23030.oracleGeneral.zst LeCaR cache size     4895, 1058660 req, miss ratio 0.4631, byte miss ratio 0.4631
result/tencentBlock.ns23030.oracleGeneral.zst LeCaR cache size    16317, 1058660 req, miss ratio 0.3981, byte miss ratio 0.3981
result/tencentBlock.ns23030.oracleGeneral.zst LeCaR cache size    32634, 1058660 req, miss ratio 0.3040, byte miss ratio 0.3040
result/tencentBlock.ns23030.oracleGeneral.zst LeCaR cache size    65268, 1058660 req, miss ratio 0.1979, byte miss ratio 0.1979
result/tencentBlock.ns23030.oracleGeneral.zst LeCaR cache size   130537, 1058660 req, miss ratio 0.1579, byte miss ratio 0.1579
result/tencentBlock.ns23030.oracleGeneral.zst LRU cache size      163, 1058660 req, miss ratio 0.4917, byte miss ratio 0.4917
result/tencentBlock.ns23030.oracleGeneral.zst LRU cache size      489, 1058660 req, miss ratio 0.4778, byte miss ratio 0.4778
result/tencentBlock.ns23030.oracleGeneral.zst LRU cache size     1631, 1058660 req, miss ratio 0.4687, byte miss ratio 0.4687
result/tencentBlock.ns23030.oracleGeneral.zst LRU cache size     4895, 1058660 req, miss ratio 0.4639, byte miss ratio 0.4639
result/tencentBlock.ns23030.oracleGeneral.zst LRU cache size    16317, 1058660 req, miss ratio 0.4003, byte miss ratio 0.4003
result/tencentBlock.ns23030.oracleGeneral.zst LRU cache size    32634, 1058660 req, miss ratio 0.3101, byte miss ratio 0.3101
result/tencentBlock.ns23030.oracleGeneral.zst LRU cache size    65268, 1058660 req, miss ratio 0.2072, byte miss ratio 0.2072
result/tencentBlock.ns23030.oracleGeneral.zst LRU cache size   130537, 1058660 req, miss ratio 0.1579, byte miss ratio 0.1579
result/tencentBlock.ns23030.oracleGeneral.zst S3FIFO-1 cache size      163, 1058660 req, miss ratio 0.4930, byte miss ratio 0.4930
result/tencentBlock.ns23030.oracleGeneral.zst S3FIFO-1 cache size      489, 1058660 req, miss ratio 0.4740, byte miss ratio 0.4740
result/tencentBlock.ns23030.oracleGeneral.zst S3FIFO-1 cache size     1631, 1058660 req, miss ratio 0.4667, byte miss ratio 0.4667
result/tencentBlock.ns23030.oracleGeneral.zst S3FIFO-1 cache size     4895, 1058660 req, miss ratio 0.4624, byte miss ratio 0.4624
result/tencentBlock.ns23030.oracleGeneral.zst S3FIFO-1 cache size    16317, 1058660 req, miss ratio 0.3776, byte miss ratio 0.3776
result/tencentBlock.ns23030.oracleGeneral.zst S3FIFO-1 cache size    32634, 1058660 req, miss ratio 0.2842, byte miss ratio 0.2842
result/tencentBlock.ns23030.oracleGeneral.zst S3FIFO-1 cache size    65268, 1058660 req, miss ratio 0.1920, byte miss ratio 0.1920
result/tencentBlock.ns23030.oracleGeneral.zst S3FIFO-1 cache size   130537, 1058660 req, miss ratio 0.1583, byte miss ratio 0.1583
result/tencentBlock.ns23030.oracleGeneral.zst clock2 cache size      163, 1058660 req, miss ratio 0.4881, byte miss ratio 0.4881
result/tencentBlock.ns23030.oracleGeneral.zst clock2 cache size      489, 1058660 req, miss ratio 0.4763, byte miss ratio 0.4763
result/tencentBlock.ns23030.oracleGeneral.zst clock2 cache size     1631, 1058660 req, miss ratio 0.4681, byte miss ratio 0.4681
result/tencentBlock.ns23030.oracleGeneral.zst clock2 cache size     4895, 1058660 req, miss ratio 0.4632, byte miss ratio 0.4632
result/tencentBlock.ns23030.oracleGeneral.zst clock2 cache size    16317, 1058660 req, miss ratio 0.4302, byte miss ratio 0.4302
result/tencentBlock.ns23030.oracleGeneral.zst clock2 cache size    32634, 1058660 req, miss ratio 0.3249, byte miss ratio 0.3249
result/tencentBlock.ns23030.oracleGeneral.zst clock2 cache size    65268, 1058660 req, miss ratio 0.2002, byte miss ratio 0.2002
result/tencentBlock.ns23030.oracleGeneral.zst clock2 cache size   130537, 1058660 req, miss ratio 0.1583, byte miss ratio 0.1583
result/tencentBlock.ns23030.oracleGeneral.zst Clock cache size      163, 1058660 req, miss ratio 0.4899, byte miss ratio 0.4899
