result/tencentBlock.ns13750.oracleGeneral.zst LRU cache size      195, 1697450 req, miss ratio 0.4587, byte miss ratio 0.4587
result/tencentBlock.ns13750.oracleGeneral.zst LRU cache size      585, 1697450 req, miss ratio 0.4331, byte miss ratio 0.4331
result/tencentBlock.ns13750.oracleGeneral.zst LRU cache size     1951, 1697450 req, miss ratio 0.4127, byte miss ratio 0.4127
result/tencentBlock.ns13750.oracleGeneral.zst LRU cache size     5854, 1697450 req, miss ratio 0.3812, byte miss ratio 0.3812
result/tencentBlock.ns13750.oracleGeneral.zst LRU cache size    19515, 1697450 req, miss ratio 0.3544, byte miss ratio 0.3544
result/tencentBlock.ns13750.oracleGeneral.zst LRU cache size    39030, 1697450 req, miss ratio 0.3021, byte miss ratio 0.3021
result/tencentBlock.ns13750.oracleGeneral.zst LRU cache size    78060, 1697450 req, miss ratio 0.1751, byte miss ratio 0.1751
result/tencentBlock.ns13750.oracleGeneral.zst LRU cache size   156120, 1697450 req, miss ratio 0.1152, byte miss ratio 0.1152
result/tencentBlock.ns13750.oracleGeneral.zst S3FIFO-1 cache size      195, 1697450 req, miss ratio 0.4495, byte miss ratio 0.4495
result/tencentBlock.ns13750.oracleGeneral.zst S3FIFO-1 cache size      585, 1697450 req, miss ratio 0.4303, byte miss ratio 0.4303
result/tencentBlock.ns13750.oracleGeneral.zst S3FIFO-1 cache size     1951, 1697450 req, miss ratio 0.3756, byte miss ratio 0.3756
result/tencentBlock.ns13750.oracleGeneral.zst S3FIFO-1 cache size     5854, 1697450 req, miss ratio 0.3580, byte miss ratio 0.3580
result/tencentBlock.ns13750.oracleGeneral.zst S3FIFO-1 cache size    19515, 1697450 req, miss ratio 0.3193, byte miss ratio 0.3193
result/tencentBlock.ns13750.oracleGeneral.zst S3FIFO-1 cache size    39030, 1697450 req, miss ratio 0.2853, byte miss ratio 0.2853
result/tencentBlock.ns13750.oracleGeneral.zst S3FIFO-1 cache size    78060, 1697450 req, miss ratio 0.1754, byte miss ratio 0.1754
result/tencentBlock.ns13750.oracleGeneral.zst S3FIFO-1 cache size   156120, 1697450 req, miss ratio 0.1164, byte miss ratio 0.1164
result/tencentBlock.ns13750.oracleGeneral.zst LIRS cache size      195, 1697450 req, miss ratio 0.4901, byte miss ratio 0.4901
result/tencentBlock.ns13750.oracleGeneral.zst LIRS cache size      585, 1697450 req, miss ratio 0.4607, byte miss ratio 0.4607
result/tencentBlock.ns13750.oracleGeneral.zst LIRS cache size     1951, 1697450 req, miss ratio 0.3977, byte miss ratio 0.3977
result/tencentBlock.ns13750.oracleGeneral.zst LIRS cache size     5854, 1697450 req, miss ratio 0.3592, byte miss ratio 0.3592
result/tencentBlock.ns13750.oracleGeneral.zst LIRS cache size    19515, 1697450 req, miss ratio 0.3180, byte miss ratio 0.3180
result/tencentBlock.ns13750.oracleGeneral.zst LIRS cache size    39030, 1697450 req, miss ratio 0.2579, byte miss ratio 0.2579
result/tencentBlock.ns13750.oracleGeneral.zst LIRS cache size    78060, 1697450 req, miss ratio 0.1682, byte miss ratio 0.1682
result/tencentBlock.ns13750.oracleGeneral.zst LIRS cache size   156120, 1697450 req, miss ratio 0.1156, byte miss ratio 0.1156
result/tencentBlock.ns13750.oracleGeneral.zst clock2 cache size      195, 1697450 req, miss ratio 0.4543, byte miss ratio 0.4543
result/tencentBlock.ns13750.oracleGeneral.zst clock2 cache size      585, 1697450 req, miss ratio 0.4329, byte miss ratio 0.4329
result/tencentBlock.ns13750.oracleGeneral.zst clock2 cache size     1951, 1697450 req, miss ratio 0.4137, byte miss ratio 0.4137
result/tencentBlock.ns13750.oracleGeneral.zst clock2 cache size     5854, 1697450 req, miss ratio 0.3738, byte miss ratio 0.3738
result/tencentBlock.ns13750.oracleGeneral.zst clock2 cache size    19515, 1697450 req, miss ratio 0.3533, byte miss ratio 0.3533
result/tencentBlock.ns13750.oracleGeneral.zst clock2 cache size    39030, 1697450 req, miss ratio 0.3011, byte miss ratio 0.3011
result/tencentBlock.ns13750.oracleGeneral.zst clock2 cache size    78060, 1697450 req, miss ratio 0.2279, byte miss ratio 0.2279
result/tencentBlock.ns13750.oracleGeneral.zst clock2 cache size   156120, 1697450 req, miss ratio 0.1156, byte miss ratio 0.1156
result/tencentBlock.ns13750.oracleGeneral.zst ARC cache size      195, 1697450 req, miss ratio 0.4429, byte miss ratio 0.4429
result/tencentBlock.ns13750.oracleGeneral.zst ARC cache size      585, 1697450 req, miss ratio 0.4294, byte miss ratio 0.4294
result/tencentBlock.ns13750.oracleGeneral.zst ARC cache size     1951, 1697450 req, miss ratio 0.3934, byte miss ratio 0.3934
result/tencentBlock.ns13750.oracleGeneral.zst ARC cache size     5854, 1697450 req, miss ratio 0.3596, byte miss ratio 0.3596
result/tencentBlock.ns13750.oracleGeneral.zst ARC cache size    19515, 1697450 req, miss ratio 0.3268, byte miss ratio 0.3268
result/tencentBlock.ns13750.oracleGeneral.zst ARC cache size    39030, 1697450 req, miss ratio 0.2910, byte miss ratio 0.2910
result/tencentBlock.ns13750.oracleGeneral.zst ARC cache size    78060, 1697450 req, miss ratio 0.1832, byte miss ratio 0.1832
result/tencentBlock.ns13750.oracleGeneral.zst ARC cache size   156120, 1697450 req, miss ratio 0.1155, byte miss ratio 0.1155
result/tencentBlock.ns13750.oracleGeneral.zst FIFO cache size      195, 1697450 req, miss ratio 0.5892, byte miss ratio 0.5892
result/tencentBlock.ns13750.oracleGeneral.zst FIFO cache size      585, 1697450 req, miss ratio 0.4792, byte miss ratio 0.4792
result/tencentBlock.ns13750.oracleGeneral.zst FIFO cache size     1951, 1697450 req, miss ratio 0.4292, byte miss ratio 0.4292
result/tencentBlock.ns13750.oracleGeneral.zst FIFO cache size     5854, 1697450 req, miss ratio 0.3964, byte miss ratio 0.3964
result/tencentBlock.ns13750.oracleGeneral.zst FIFO cache size    19515, 1697450 req, miss ratio 0.3675, byte miss ratio 0.3675
result/tencentBlock.ns13750.oracleGeneral.zst FIFO cache size    39030, 1697450 req, miss ratio 0.3092, byte miss ratio 0.3092
result/tencentBlock.ns13750.oracleGeneral.zst FIFO cache size    78060, 1697450 req, miss ratio 0.1974, byte miss ratio 0.1974
result/tencentBlock.ns13750.oracleGeneral.zst FIFO cache size   156120, 1697450 req, miss ratio 0.1328, byte miss ratio 0.1328
result/tencentBlock.ns13750.oracleGeneral.zst Clock cache size      195, 1697450 req, miss ratio 0.4555, byte miss ratio 0.4555
result/tencentBlock.ns13750.oracleGeneral.zst Clock cache size      585, 1697450 req, miss ratio 0.4329, byte miss ratio 0.4329
result/tencentBlock.ns13750.oracleGeneral.zst Clock cache size     1951, 1697450 req, miss ratio 0.4126, byte miss ratio 0.4126
result/tencentBlock.ns13750.oracleGeneral.zst Clock cache size     5854, 1697450 req, miss ratio 0.3780, byte miss ratio 0.3780
result/tencentBlock.ns13750.oracleGeneral.zst Clock cache size    19515, 1697450 req, miss ratio 0.3534, byte miss ratio 0.3534
result/tencentBlock.ns13750.oracleGeneral.zst Clock cache size    39030, 1697450 req, miss ratio 0.2968, byte miss ratio 0.2968
result/tencentBlock.ns13750.oracleGeneral.zst Clock cache size    78060, 1697450 req, miss ratio 0.1836, byte miss ratio 0.1836
result/tencentBlock.ns13750.oracleGeneral.zst Clock cache size   156120, 1697450 req, miss ratio 0.1174, byte miss ratio 0.1174
result/tencentBlock.ns13750.oracleGeneral.zst LHD cache size      195, 1697450 req, miss ratio 0.4540, byte miss ratio 0.4540
result/tencentBlock.ns13750.oracleGeneral.zst LHD cache size      585, 1697450 req, miss ratio 0.4332, byte miss ratio 0.4332
result/tencentBlock.ns13750.oracleGeneral.zst LHD cache size     1951, 1697450 req, miss ratio 0.4098, byte miss ratio 0.4098
result/tencentBlock.ns13750.oracleGeneral.zst LHD cache size     5854, 1697450 req, miss ratio 0.3723, byte miss ratio 0.3723
result/tencentBlock.ns13750.oracleGeneral.zst LHD cache size    19515, 1697450 req, miss ratio 0.3337, byte miss ratio 0.3337
result/tencentBlock.ns13750.oracleGeneral.zst LHD cache size    39030, 1697450 req, miss ratio 0.2789, byte miss ratio 0.2789
result/tencentBlock.ns13750.oracleGeneral.zst LHD cache size    78060, 1697450 req, miss ratio 0.1713, byte miss ratio 0.1713
result/tencentBlock.ns13750.oracleGeneral.zst LHD cache size   156120, 1697450 req, miss ratio 0.1193, byte miss ratio 0.1193
result/tencentBlock.ns13750.oracleGeneral.zst Cacheus cache size      195, 1697450 req, miss ratio 0.4432, byte miss ratio 0.4432
result/tencentBlock.ns13750.oracleGeneral.zst Cacheus cache size      585, 1697450 req, miss ratio 0.4295, byte miss ratio 0.4295
result/tencentBlock.ns13750.oracleGeneral.zst Cacheus cache size     1951, 1697450 req, miss ratio 0.3983, byte miss ratio 0.3983
result/tencentBlock.ns13750.oracleGeneral.zst Cacheus cache size     5854, 1697450 req, miss ratio 0.3617, byte miss ratio 0.3617
result/tencentBlock.ns13750.oracleGeneral.zst Cacheus cache size    19515, 1697450 req, miss ratio 0.3326, byte miss ratio 0.3326
result/tencentBlock.ns13750.oracleGeneral.zst Cacheus cache size    39030, 1697450 req, miss ratio 0.2985, byte miss ratio 0.2985
result/tencentBlock.ns13750.oracleGeneral.zst Cacheus cache size    78060, 1697450 req, miss ratio 0.1914, byte miss ratio 0.1914
result/tencentBlock.ns13750.oracleGeneral.zst Cacheus cache size   156120, 1697450 req, miss ratio 0.1156, byte miss ratio 0.1156
result/tencentBlock.ns13750.oracleGeneral.zst LeCaR cache size      195, 1697450 req, miss ratio 0.4513, byte miss ratio 0.4513
result/tencentBlock.ns13750.oracleGeneral.zst LeCaR cache size      585, 1697450 req, miss ratio 0.4327, byte miss ratio 0.4327
result/tencentBlock.ns13750.oracleGeneral.zst LeCaR cache size     1951, 1697450 req, miss ratio 0.4123, byte miss ratio 0.4123
result/tencentBlock.ns13750.oracleGeneral.zst LeCaR cache size     5854, 1697450 req, miss ratio 0.3689, byte miss ratio 0.3689
result/tencentBlock.ns13750.oracleGeneral.zst LeCaR cache size    19515, 1697450 req, miss ratio 0.3540, byte miss ratio 0.3540
result/tencentBlock.ns13750.oracleGeneral.zst LeCaR cache size    39030, 1697450 req, miss ratio 0.2989, byte miss ratio 0.2989
result/tencentBlock.ns13750.oracleGeneral.zst LeCaR cache size    78060, 1697450 req, miss ratio 0.1725, byte miss ratio 0.1725
result/tencentBlock.ns13750.oracleGeneral.zst LeCaR cache size   156120, 1697450 req, miss ratio 0.1151, byte miss ratio 0.1151
result/tencentBlock.ns13750.oracleGeneral.zst S3FIFO-d-1 cache size      195, 1697450 req, miss ratio 0.4422, byte miss ratio 0.4422
result/tencentBlock.ns13750.oracleGeneral.zst S3FIFO-d-1 cache size      585, 1697450 req, miss ratio 0.4284, byte miss ratio 0.4284
result/tencentBlock.ns13750.oracleGeneral.zst S3FIFO-d-1 cache size     1951, 1697450 req, miss ratio 0.3756, byte miss ratio 0.3756
result/tencentBlock.ns13750.oracleGeneral.zst S3FIFO-d-1 cache size     5854, 1697450 req, miss ratio 0.3580, byte miss ratio 0.3580
result/tencentBlock.ns13750.oracleGeneral.zst S3FIFO-d-1 cache size    19515, 1697450 req, miss ratio 0.3192, byte miss ratio 0.3192
result/tencentBlock.ns13750.oracleGeneral.zst S3FIFO-d-1 cache size    39030, 1697450 req, miss ratio 0.2841, byte miss ratio 0.2841
result/tencentBlock.ns13750.oracleGeneral.zst S3FIFO-d-1 cache size    78060, 1697450 req, miss ratio 0.1787, byte miss ratio 0.1787
result/tencentBlock.ns13750.oracleGeneral.zst S3FIFO-d-1 cache size   156120, 1697450 req, miss ratio 0.1164, byte miss ratio 0.1164
result/tencentBlock.ns13750.oracleGeneral.zst LRB cache size      195, 1697450 req, miss ratio 0.4935, byte miss ratio 0.4935
result/tencentBlock.ns13750.oracleGeneral.zst LRB cache size      585, 1697450 req, miss ratio 0.4423, byte miss ratio 0.4423
result/tencentBlock.ns13750.oracleGeneral.zst LRB cache size     1951, 1697450 req, miss ratio 0.3862, byte miss ratio 0.3862
result/tencentBlock.ns13750.oracleGeneral.zst LRB cache size     5854, 1697450 req, miss ratio 0.3566, byte miss ratio 0.3566
result/tencentBlock.ns13750.oracleGeneral.zst LRB cache size    19515, 1697450 req, miss ratio 0.3101, byte miss ratio 0.3101
result/tencentBlock.ns13750.oracleGeneral.zst LRB cache size    39030, 1697450 req, miss ratio 0.2569, byte miss ratio 0.2569
result/tencentBlock.ns13750.oracleGeneral.zst LRB cache size    78060, 1697450 req, miss ratio 0.1651, byte miss ratio 0.1651
result/tencentBlock.ns13750.oracleGeneral.zst LRB cache size   156120, 1697450 req, miss ratio 0.1152, byte miss ratio 0.1152
result/tencentBlock.ns13750.oracleGeneral.zst B-LRU cache size      195, 1697450 req, miss ratio 0.5045, byte miss ratio 0.5045
result/tencentBlock.ns13750.oracleGeneral.zst B-LRU cache size      585, 1697450 req, miss ratio 0.4818, byte miss ratio 0.4818
result/tencentBlock.ns13750.oracleGeneral.zst B-LRU cache size     1951, 1697450 req, miss ratio 0.4596, byte miss ratio 0.4596
result/tencentBlock.ns13750.oracleGeneral.zst B-LRU cache size     5854, 1697450 req, miss ratio 0.4286, byte miss ratio 0.4286
result/tencentBlock.ns13750.oracleGeneral.zst B-LRU cache size    19515, 1697450 req, miss ratio 0.3963, byte miss ratio 0.3963
result/tencentBlock.ns13750.oracleGeneral.zst B-LRU cache size    39030, 1697450 req, miss ratio 0.3433, byte miss ratio 0.3433
result/tencentBlock.ns13750.oracleGeneral.zst B-LRU cache size    78060, 1697450 req, miss ratio 0.2480, byte miss ratio 0.2480
result/tencentBlock.ns13750.oracleGeneral.zst B-LRU cache size   156120, 1697450 req, miss ratio 0.2102, byte miss ratio 0.2102
result/tencentBlock.ns13750.oracleGeneral.zst TwoQ cache size      195, 1697450 req, miss ratio 0.4448, byte miss ratio 0.4448
result/tencentBlock.ns13750.oracleGeneral.zst TwoQ cache size      585, 1697450 req, miss ratio 0.4147, byte miss ratio 0.4147
result/tencentBlock.ns13750.oracleGeneral.zst TwoQ cache size     1951, 1697450 req, miss ratio 0.3678, byte miss ratio 0.3678
result/tencentBlock.ns13750.oracleGeneral.zst TwoQ cache size     5854, 1697450 req, miss ratio 0.3596, byte miss ratio 0.3596
result/tencentBlock.ns13750.oracleGeneral.zst TwoQ cache size    19515, 1697450 req, miss ratio 0.3117, byte miss ratio 0.3117
result/tencentBlock.ns13750.oracleGeneral.zst TwoQ cache size    39030, 1697450 req, miss ratio 0.2628, byte miss ratio 0.2628
result/tencentBlock.ns13750.oracleGeneral.zst TwoQ cache size    78060, 1697450 req, miss ratio 0.1735, byte miss ratio 0.1735
result/tencentBlock.ns13750.oracleGeneral.zst TwoQ cache size   156120, 1697450 req, miss ratio 0.1328, byte miss ratio 0.1328
result/tencentBlock.ns13750.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      195, 1697450 req, miss ratio 0.5299, byte miss ratio 0.5299
result/tencentBlock.ns13750.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      585, 1697450 req, miss ratio 0.4405, byte miss ratio 0.4405
result/tencentBlock.ns13750.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     1951, 1697450 req, miss ratio 0.4172, byte miss ratio 0.4172
result/tencentBlock.ns13750.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     5854, 1697450 req, miss ratio 0.3784, byte miss ratio 0.3784
result/tencentBlock.ns13750.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    19515, 1697450 req, miss ratio 0.3503, byte miss ratio 0.3503
result/tencentBlock.ns13750.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    39030, 1697450 req, miss ratio 0.3130, byte miss ratio 0.3130
result/tencentBlock.ns13750.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    78060, 1697450 req, miss ratio 0.2270, byte miss ratio 0.2270
result/tencentBlock.ns13750.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   156120, 1697450 req, miss ratio 0.1322, byte miss ratio 0.1322
result/tencentBlock.ns13750.oracleGeneral.zst S4LRU(25:25:25:25) cache size      195, 1697450 req, miss ratio 0.4641, byte miss ratio 0.4641
result/tencentBlock.ns13750.oracleGeneral.zst S4LRU(25:25:25:25) cache size      585, 1697450 req, miss ratio 0.4345, byte miss ratio 0.4345
result/tencentBlock.ns13750.oracleGeneral.zst S4LRU(25:25:25:25) cache size     1951, 1697450 req, miss ratio 0.4081, byte miss ratio 0.4081
result/tencentBlock.ns13750.oracleGeneral.zst S4LRU(25:25:25:25) cache size     5854, 1697450 req, miss ratio 0.3617, byte miss ratio 0.3617
result/tencentBlock.ns13750.oracleGeneral.zst S4LRU(25:25:25:25) cache size    19515, 1697450 req, miss ratio 0.3433, byte miss ratio 0.3433
result/tencentBlock.ns13750.oracleGeneral.zst S4LRU(25:25:25:25) cache size    39030, 1697450 req, miss ratio 0.3081, byte miss ratio 0.3081
result/tencentBlock.ns13750.oracleGeneral.zst S4LRU(25:25:25:25) cache size    78060, 1697450 req, miss ratio 0.2051, byte miss ratio 0.2051
result/tencentBlock.ns13750.oracleGeneral.zst S4LRU(25:25:25:25) cache size   156120, 1697450 req, miss ratio 0.1155, byte miss ratio 0.1155
result/tencentBlock.ns13750.oracleGeneral.zst S3FIFO cache size      195, 1697450 req, miss ratio 0.4533, byte miss ratio 0.4533
result/tencentBlock.ns13750.oracleGeneral.zst S3FIFO cache size      585, 1697450 req, miss ratio 0.4299, byte miss ratio 0.4299
result/tencentBlock.ns13750.oracleGeneral.zst S3FIFO cache size     1951, 1697450 req, miss ratio 0.3688, byte miss ratio 0.3688
result/tencentBlock.ns13750.oracleGeneral.zst S3FIFO cache size     5854, 1697450 req, miss ratio 0.3593, byte miss ratio 0.3593
result/tencentBlock.ns13750.oracleGeneral.zst S3FIFO cache size    19515, 1697450 req, miss ratio 0.3170, byte miss ratio 0.3170
result/tencentBlock.ns13750.oracleGeneral.zst S3FIFO cache size    39030, 1697450 req, miss ratio 0.2815, byte miss ratio 0.2815
result/tencentBlock.ns13750.oracleGeneral.zst S3FIFO cache size    78060, 1697450 req, miss ratio 0.1786, byte miss ratio 0.1786
result/tencentBlock.ns13750.oracleGeneral.zst S3FIFO cache size   156120, 1697450 req, miss ratio 0.1167, byte miss ratio 0.1167
result/tencentBlock.ns13750.oracleGeneral.zst S3FIFO-d cache size      195, 1697450 req, miss ratio 0.4450, byte miss ratio 0.4450
result/tencentBlock.ns13750.oracleGeneral.zst S3FIFO-d cache size      585, 1697450 req, miss ratio 0.4266, byte miss ratio 0.4266
result/tencentBlock.ns13750.oracleGeneral.zst S3FIFO-d cache size     1951, 1697450 req, miss ratio 0.3688, byte miss ratio 0.3688
result/tencentBlock.ns13750.oracleGeneral.zst S3FIFO-d cache size     5854, 1697450 req, miss ratio 0.3593, byte miss ratio 0.3593
result/tencentBlock.ns13750.oracleGeneral.zst S3FIFO-d cache size    19515, 1697450 req, miss ratio 0.3168, byte miss ratio 0.3168
result/tencentBlock.ns13750.oracleGeneral.zst S3FIFO-d cache size    39030, 1697450 req, miss ratio 0.2791, byte miss ratio 0.2791
result/tencentBlock.ns13750.oracleGeneral.zst S3FIFO-d cache size    78060, 1697450 req, miss ratio 0.1797, byte miss ratio 0.1797
result/tencentBlock.ns13750.oracleGeneral.zst S3FIFO-d cache size   156120, 1697450 req, miss ratio 0.1167, byte miss ratio 0.1167
result/tencentBlock.ns13750.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      195, 1697450 req, miss ratio 0.5576, byte miss ratio 0.5576
result/tencentBlock.ns13750.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      585, 1697450 req, miss ratio 0.5639, byte miss ratio 0.5639
result/tencentBlock.ns13750.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     1951, 1697450 req, miss ratio 0.4109, byte miss ratio 0.4109
result/tencentBlock.ns13750.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     5854, 1697450 req, miss ratio 0.3626, byte miss ratio 0.3626
result/tencentBlock.ns13750.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    19515, 1697450 req, miss ratio 0.3073, byte miss ratio 0.3073
result/tencentBlock.ns13750.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    39030, 1697450 req, miss ratio 0.2426, byte miss ratio 0.2426
result/tencentBlock.ns13750.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    78060, 1697450 req, miss ratio 0.1490, byte miss ratio 0.1490
result/tencentBlock.ns13750.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   156120, 1697450 req, miss ratio 0.1179, byte miss ratio 0.1179
result/tencentBlock.ns13750.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      195, 1697450 req, miss ratio 0.4793, byte miss ratio 0.4793
result/tencentBlock.ns13750.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      585, 1697450 req, miss ratio 0.4335, byte miss ratio 0.4335
result/tencentBlock.ns13750.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     1951, 1697450 req, miss ratio 0.3710, byte miss ratio 0.3710
result/tencentBlock.ns13750.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     5854, 1697450 req, miss ratio 0.3494, byte miss ratio 0.3494
result/tencentBlock.ns13750.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    19515, 1697450 req, miss ratio 0.3047, byte miss ratio 0.3047
result/tencentBlock.ns13750.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    39030, 1697450 req, miss ratio 0.2465, byte miss ratio 0.2465
result/tencentBlock.ns13750.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    78060, 1697450 req, miss ratio 0.1523, byte miss ratio 0.1523
result/tencentBlock.ns13750.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   156120, 1697450 req, miss ratio 0.1225, byte miss ratio 0.1225
