result/cdn1_nyc.ns685.oracleGeneral.bin.zst LRU cache size     1015, 3571285 req, miss ratio 0.2878, byte miss ratio 0.2878
result/cdn1_nyc.ns685.oracleGeneral.bin.zst LRU cache size     3046, 3571285 req, miss ratio 0.2857, byte miss ratio 0.2857
result/cdn1_nyc.ns685.oracleGeneral.bin.zst LRU cache size    10154, 3571285 req, miss ratio 0.2851, byte miss ratio 0.2851
result/cdn1_nyc.ns685.oracleGeneral.bin.zst LRU cache size    30462, 3571285 req, miss ratio 0.2847, byte miss ratio 0.2847
result/cdn1_nyc.ns685.oracleGeneral.bin.zst LRU cache size   101542, 3571285 req, miss ratio 0.2845, byte miss ratio 0.2845
result/cdn1_nyc.ns685.oracleGeneral.bin.zst LRU cache size   203085, 3571285 req, miss ratio 0.2844, byte miss ratio 0.2844
result/cdn1_nyc.ns685.oracleGeneral.bin.zst LRU cache size   406170, 3571285 req, miss ratio 0.2843, byte miss ratio 0.2843
result/cdn1_nyc.ns685.oracleGeneral.bin.zst LRU cache size   812340, 3571285 req, miss ratio 0.2843, byte miss ratio 0.2843
result/cdn1_nyc.ns685.oracleGeneral.bin.zst ARC cache size     1015, 3571285 req, miss ratio 0.2877, byte miss ratio 0.2877
result/cdn1_nyc.ns685.oracleGeneral.bin.zst ARC cache size     3046, 3571285 req, miss ratio 0.2859, byte miss ratio 0.2859
result/cdn1_nyc.ns685.oracleGeneral.bin.zst ARC cache size    10154, 3571285 req, miss ratio 0.2853, byte miss ratio 0.2853
result/cdn1_nyc.ns685.oracleGeneral.bin.zst ARC cache size    30462, 3571285 req, miss ratio 0.2849, byte miss ratio 0.2849
result/cdn1_nyc.ns685.oracleGeneral.bin.zst ARC cache size   101542, 3571285 req, miss ratio 0.2846, byte miss ratio 0.2846
result/cdn1_nyc.ns685.oracleGeneral.bin.zst ARC cache size   203085, 3571285 req, miss ratio 0.2846, byte miss ratio 0.2846
result/cdn1_nyc.ns685.oracleGeneral.bin.zst ARC cache size   406170, 3571285 req, miss ratio 0.2845, byte miss ratio 0.2845
result/cdn1_nyc.ns685.oracleGeneral.bin.zst ARC cache size   812340, 3571285 req, miss ratio 0.2843, byte miss ratio 0.2843
result/cdn1_nyc.ns685.oracleGeneral.bin.zst FIFO cache size     1015, 3571285 req, miss ratio 0.2928, byte miss ratio 0.2928
result/cdn1_nyc.ns685.oracleGeneral.bin.zst FIFO cache size     3046, 3571285 req, miss ratio 0.2875, byte miss ratio 0.2875
result/cdn1_nyc.ns685.oracleGeneral.bin.zst FIFO cache size    10154, 3571285 req, miss ratio 0.2858, byte miss ratio 0.2858
result/cdn1_nyc.ns685.oracleGeneral.bin.zst FIFO cache size    30462, 3571285 req, miss ratio 0.2851, byte miss ratio 0.2851
result/cdn1_nyc.ns685.oracleGeneral.bin.zst FIFO cache size   101542, 3571285 req, miss ratio 0.2847, byte miss ratio 0.2847
result/cdn1_nyc.ns685.oracleGeneral.bin.zst FIFO cache size   203085, 3571285 req, miss ratio 0.2845, byte miss ratio 0.2845
result/cdn1_nyc.ns685.oracleGeneral.bin.zst FIFO cache size   406170, 3571285 req, miss ratio 0.2844, byte miss ratio 0.2844
result/cdn1_nyc.ns685.oracleGeneral.bin.zst FIFO cache size   812340, 3571285 req, miss ratio 0.2844, byte miss ratio 0.2844
result/cdn1_nyc.ns685.oracleGeneral.bin.zst LeCaR cache size     1015, 3571285 req, miss ratio 0.2875, byte miss ratio 0.2875
result/cdn1_nyc.ns685.oracleGeneral.bin.zst LeCaR cache size     3046, 3571285 req, miss ratio 0.2858, byte miss ratio 0.2858
result/cdn1_nyc.ns685.oracleGeneral.bin.zst LeCaR cache size    10154, 3571285 req, miss ratio 0.2851, byte miss ratio 0.2851
result/cdn1_nyc.ns685.oracleGeneral.bin.zst LeCaR cache size    30462, 3571285 req, miss ratio 0.2847, byte miss ratio 0.2847
result/cdn1_nyc.ns685.oracleGeneral.bin.zst LeCaR cache size   101542, 3571285 req, miss ratio 0.2844, byte miss ratio 0.2844
result/cdn1_nyc.ns685.oracleGeneral.bin.zst LeCaR cache size   203085, 3571285 req, miss ratio 0.2844, byte miss ratio 0.2844
result/cdn1_nyc.ns685.oracleGeneral.bin.zst LeCaR cache size   406170, 3571285 req, miss ratio 0.2843, byte miss ratio 0.2843
result/cdn1_nyc.ns685.oracleGeneral.bin.zst LeCaR cache size   812340, 3571285 req, miss ratio 0.2843, byte miss ratio 0.2843
result/cdn1_nyc.ns685.oracleGeneral.bin.zst LIRS cache size     1015, 3571285 req, miss ratio 0.3082, byte miss ratio 0.3082
result/cdn1_nyc.ns685.oracleGeneral.bin.zst LIRS cache size     3046, 3571285 req, miss ratio 0.2952, byte miss ratio 0.2952
result/cdn1_nyc.ns685.oracleGeneral.bin.zst LIRS cache size    10154, 3571285 req, miss ratio 0.2896, byte miss ratio 0.2896
result/cdn1_nyc.ns685.oracleGeneral.bin.zst LIRS cache size    30462, 3571285 req, miss ratio 0.2863, byte miss ratio 0.2863
result/cdn1_nyc.ns685.oracleGeneral.bin.zst LIRS cache size   101542, 3571285 req, miss ratio 0.2847, byte miss ratio 0.2847
result/cdn1_nyc.ns685.oracleGeneral.bin.zst LIRS cache size   203085, 3571285 req, miss ratio 0.2844, byte miss ratio 0.2844
result/cdn1_nyc.ns685.oracleGeneral.bin.zst LIRS cache size   406170, 3571285 req, miss ratio 0.2843, byte miss ratio 0.2843
result/cdn1_nyc.ns685.oracleGeneral.bin.zst LIRS cache size   812340, 3571285 req, miss ratio 0.2843, byte miss ratio 0.2843
result/cdn1_nyc.ns685.oracleGeneral.bin.zst S3FIFO-d-1 cache size     1015, 3571285 req, miss ratio 0.2884, byte miss ratio 0.2884
result/cdn1_nyc.ns685.oracleGeneral.bin.zst S3FIFO-d-1 cache size     3046, 3571285 req, miss ratio 0.2865, byte miss ratio 0.2865
result/cdn1_nyc.ns685.oracleGeneral.bin.zst S3FIFO-d-1 cache size    10154, 3571285 req, miss ratio 0.2850, byte miss ratio 0.2850
result/cdn1_nyc.ns685.oracleGeneral.bin.zst S3FIFO-d-1 cache size    30462, 3571285 req, miss ratio 0.2844, byte miss ratio 0.2844
result/cdn1_nyc.ns685.oracleGeneral.bin.zst S3FIFO-d-1 cache size   101542, 3571285 req, miss ratio 0.2844, byte miss ratio 0.2844
result/cdn1_nyc.ns685.oracleGeneral.bin.zst S3FIFO-d-1 cache size   203085, 3571285 req, miss ratio 0.2844, byte miss ratio 0.2844
result/cdn1_nyc.ns685.oracleGeneral.bin.zst S3FIFO-d-1 cache size   406170, 3571285 req, miss ratio 0.2843, byte miss ratio 0.2843
result/cdn1_nyc.ns685.oracleGeneral.bin.zst S3FIFO-d-1 cache size   812340, 3571285 req, miss ratio 0.2843, byte miss ratio 0.2843
result/cdn1_nyc.ns685.oracleGeneral.bin.zst LRB cache size     1015, 3571285 req, miss ratio 0.2878, byte miss ratio 0.2878
result/cdn1_nyc.ns685.oracleGeneral.bin.zst LRB cache size     3046, 3571285 req, miss ratio 0.2857, byte miss ratio 0.2857
result/cdn1_nyc.ns685.oracleGeneral.bin.zst LRB cache size    10154, 3571285 req, miss ratio 0.2851, byte miss ratio 0.2851
result/cdn1_nyc.ns685.oracleGeneral.bin.zst LRB cache size    30462, 3571285 req, miss ratio 0.2847, byte miss ratio 0.2847
result/cdn1_nyc.ns685.oracleGeneral.bin.zst LRB cache size   101542, 3571285 req, miss ratio 0.2845, byte miss ratio 0.2845
result/cdn1_nyc.ns685.oracleGeneral.bin.zst LRB cache size   203085, 3571285 req, miss ratio 0.2844, byte miss ratio 0.2844
result/cdn1_nyc.ns685.oracleGeneral.bin.zst LRB cache size   406170, 3571285 req, miss ratio 0.2843, byte miss ratio 0.2843
result/cdn1_nyc.ns685.oracleGeneral.bin.zst LRB cache size   812340, 3571285 req, miss ratio 0.2843, byte miss ratio 0.2843
result/cdn1_nyc.ns685.oracleGeneral.bin.zst B-LRU cache size     1015, 3571285 req, miss ratio 0.4157, byte miss ratio 0.4157
result/cdn1_nyc.ns685.oracleGeneral.bin.zst B-LRU cache size     3046, 3571285 req, miss ratio 0.4149, byte miss ratio 0.4149
result/cdn1_nyc.ns685.oracleGeneral.bin.zst B-LRU cache size    10154, 3571285 req, miss ratio 0.4144, byte miss ratio 0.4144
result/cdn1_nyc.ns685.oracleGeneral.bin.zst B-LRU cache size    30462, 3571285 req, miss ratio 0.4142, byte miss ratio 0.4142
result/cdn1_nyc.ns685.oracleGeneral.bin.zst B-LRU cache size   101542, 3571285 req, miss ratio 0.4140, byte miss ratio 0.4140
result/cdn1_nyc.ns685.oracleGeneral.bin.zst B-LRU cache size   203085, 3571285 req, miss ratio 0.4140, byte miss ratio 0.4140
result/cdn1_nyc.ns685.oracleGeneral.bin.zst B-LRU cache size   406170, 3571285 req, miss ratio 0.4140, byte miss ratio 0.4140
result/cdn1_nyc.ns685.oracleGeneral.bin.zst B-LRU cache size   812340, 3571285 req, miss ratio 0.4140, byte miss ratio 0.4140
result/cdn1_nyc.ns685.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size     1015, 3571285 req, miss ratio 0.2899, byte miss ratio 0.2899
result/cdn1_nyc.ns685.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size     3046, 3571285 req, miss ratio 0.2867, byte miss ratio 0.2867
result/cdn1_nyc.ns685.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size    10154, 3571285 req, miss ratio 0.2851, byte miss ratio 0.2851
result/cdn1_nyc.ns685.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size    30462, 3571285 req, miss ratio 0.2846, byte miss ratio 0.2846
result/cdn1_nyc.ns685.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size   101542, 3571285 req, miss ratio 0.2844, byte miss ratio 0.2844
result/cdn1_nyc.ns685.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size   203085, 3571285 req, miss ratio 0.2844, byte miss ratio 0.2844
result/cdn1_nyc.ns685.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size   406170, 3571285 req, miss ratio 0.2843, byte miss ratio 0.2843
result/cdn1_nyc.ns685.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size   812340, 3571285 req, miss ratio 0.2843, byte miss ratio 0.2843
result/cdn1_nyc.ns685.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size     1015, 3571285 req, miss ratio 0.2884, byte miss ratio 0.2884
result/cdn1_nyc.ns685.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size     3046, 3571285 req, miss ratio 0.2862, byte miss ratio 0.2862
result/cdn1_nyc.ns685.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size    10154, 3571285 req, miss ratio 0.2849, byte miss ratio 0.2849
result/cdn1_nyc.ns685.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size    30462, 3571285 req, miss ratio 0.2846, byte miss ratio 0.2846
