result/cdn2_allcolo.ns247.oracleGeneral.zst S3FIFO-1 cache size     1056, 2347927 req, miss ratio 0.0006, byte miss ratio 0.0006
result/cdn2_allcolo.ns247.oracleGeneral.zst FIFO cache size       13, 2347927 req, miss ratio 0.0029, byte miss ratio 0.0029
result/cdn2_allcolo.ns247.oracleGeneral.zst FIFO cache size       39, 2347927 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_allcolo.ns247.oracleGeneral.zst FIFO cache size      132, 2347927 req, miss ratio 0.0015, byte miss ratio 0.0015
result/cdn2_allcolo.ns247.oracleGeneral.zst FIFO cache size      264, 2347927 req, miss ratio 0.0011, byte miss ratio 0.0011
result/cdn2_allcolo.ns247.oracleGeneral.zst FIFO cache size      528, 2347927 req, miss ratio 0.0009, byte miss ratio 0.0009
result/cdn2_allcolo.ns247.oracleGeneral.zst FIFO cache size     1056, 2347927 req, miss ratio 0.0006, byte miss ratio 0.0006
result/cdn2_allcolo.ns247.oracleGeneral.zst LRU cache size       13, 2347927 req, miss ratio 0.0025, byte miss ratio 0.0025
result/cdn2_allcolo.ns247.oracleGeneral.zst LRU cache size       39, 2347927 req, miss ratio 0.0019, byte miss ratio 0.0019
result/cdn2_allcolo.ns247.oracleGeneral.zst LRU cache size      132, 2347927 req, miss ratio 0.0013, byte miss ratio 0.0013
result/cdn2_allcolo.ns247.oracleGeneral.zst LRU cache size      264, 2347927 req, miss ratio 0.0010, byte miss ratio 0.0010
result/cdn2_allcolo.ns247.oracleGeneral.zst LRU cache size      528, 2347927 req, miss ratio 0.0007, byte miss ratio 0.0007
result/cdn2_allcolo.ns247.oracleGeneral.zst LRU cache size     1056, 2347927 req, miss ratio 0.0006, byte miss ratio 0.0006
result/cdn2_allcolo.ns247.oracleGeneral.zst S3FIFO-d-1 cache size       13, 2347927 req, miss ratio 0.0021, byte miss ratio 0.0021
result/cdn2_allcolo.ns247.oracleGeneral.zst S3FIFO-d-1 cache size       39, 2347927 req, miss ratio 0.0016, byte miss ratio 0.0016
result/cdn2_allcolo.ns247.oracleGeneral.zst S3FIFO-d-1 cache size      132, 2347927 req, miss ratio 0.0011, byte miss ratio 0.0011
result/cdn2_allcolo.ns247.oracleGeneral.zst S3FIFO-d-1 cache size      264, 2347927 req, miss ratio 0.0009, byte miss ratio 0.0009
result/cdn2_allcolo.ns247.oracleGeneral.zst S3FIFO-d-1 cache size      528, 2347927 req, miss ratio 0.0007, byte miss ratio 0.0007
result/cdn2_allcolo.ns247.oracleGeneral.zst S3FIFO-d-1 cache size     1056, 2347927 req, miss ratio 0.0006, byte miss ratio 0.0006
result/cdn2_allcolo.ns247.oracleGeneral.zst LRB cache size       13, 2347927 req, miss ratio 0.0021, byte miss ratio 0.0021
result/cdn2_allcolo.ns247.oracleGeneral.zst LRB cache size       39, 2347927 req, miss ratio 0.0017, byte miss ratio 0.0017
result/cdn2_allcolo.ns247.oracleGeneral.zst LRB cache size      132, 2347927 req, miss ratio 0.0011, byte miss ratio 0.0011
result/cdn2_allcolo.ns247.oracleGeneral.zst LRB cache size      264, 2347927 req, miss ratio 0.0009, byte miss ratio 0.0009
result/cdn2_allcolo.ns247.oracleGeneral.zst LRB cache size      528, 2347927 req, miss ratio 0.0007, byte miss ratio 0.0007
result/cdn2_allcolo.ns247.oracleGeneral.zst LRB cache size     1056, 2347927 req, miss ratio 0.0006, byte miss ratio 0.0006
result/cdn2_allcolo.ns247.oracleGeneral.zst B-LRU cache size       13, 2347927 req, miss ratio 0.0025, byte miss ratio 0.0025
result/cdn2_allcolo.ns247.oracleGeneral.zst B-LRU cache size       39, 2347927 req, miss ratio 0.0018, byte miss ratio 0.0018
result/cdn2_allcolo.ns247.oracleGeneral.zst B-LRU cache size      132, 2347927 req, miss ratio 0.0012, byte miss ratio 0.0012
result/cdn2_allcolo.ns247.oracleGeneral.zst B-LRU cache size      264, 2347927 req, miss ratio 0.0010, byte miss ratio 0.0010
result/cdn2_allcolo.ns247.oracleGeneral.zst B-LRU cache size      528, 2347927 req, miss ratio 0.0008, byte miss ratio 0.0008
result/cdn2_allcolo.ns247.oracleGeneral.zst B-LRU cache size     1056, 2347927 req, miss ratio 0.0008, byte miss ratio 0.0008
result/cdn2_allcolo.ns247.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       13, 2347927 req, miss ratio 0.0029, byte miss ratio 0.0029
result/cdn2_allcolo.ns247.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       39, 2347927 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_allcolo.ns247.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      132, 2347927 req, miss ratio 0.0013, byte miss ratio 0.0013
result/cdn2_allcolo.ns247.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      264, 2347927 req, miss ratio 0.0010, byte miss ratio 0.0010
result/cdn2_allcolo.ns247.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      528, 2347927 req, miss ratio 0.0007, byte miss ratio 0.0007
result/cdn2_allcolo.ns247.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     1056, 2347927 req, miss ratio 0.0006, byte miss ratio 0.0006
result/cdn2_allcolo.ns247.oracleGeneral.zst TwoQ cache size       13, 2347927 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_allcolo.ns247.oracleGeneral.zst TwoQ cache size       39, 2347927 req, miss ratio 0.0017, byte miss ratio 0.0017
result/cdn2_allcolo.ns247.oracleGeneral.zst TwoQ cache size      132, 2347927 req, miss ratio 0.0011, byte miss ratio 0.0011
result/cdn2_allcolo.ns247.oracleGeneral.zst TwoQ cache size      264, 2347927 req, miss ratio 0.0009, byte miss ratio 0.0009
result/cdn2_allcolo.ns247.oracleGeneral.zst TwoQ cache size      528, 2347927 req, miss ratio 0.0008, byte miss ratio 0.0008
