result/tencentBlock.ns8981.oracleGeneral.zst LeCaR cache size      626, 1890366 req, miss ratio 0.5151, byte miss ratio 0.5151
result/tencentBlock.ns8981.oracleGeneral.zst LeCaR cache size     1880, 1890366 req, miss ratio 0.5121, byte miss ratio 0.5121
result/tencentBlock.ns8981.oracleGeneral.zst LeCaR cache size     6267, 1890366 req, miss ratio 0.5090, byte miss ratio 0.5090
result/tencentBlock.ns8981.oracleGeneral.zst LeCaR cache size    18801, 1890366 req, miss ratio 0.4695, byte miss ratio 0.4695
result/tencentBlock.ns8981.oracleGeneral.zst LeCaR cache size    62671, 1890366 req, miss ratio 0.4149, byte miss ratio 0.4149
result/tencentBlock.ns8981.oracleGeneral.zst LeCaR cache size   125343, 1890366 req, miss ratio 0.3655, byte miss ratio 0.3655
result/tencentBlock.ns8981.oracleGeneral.zst LeCaR cache size   250687, 1890366 req, miss ratio 0.3398, byte miss ratio 0.3398
result/tencentBlock.ns8981.oracleGeneral.zst LeCaR cache size   501375, 1890366 req, miss ratio 0.3342, byte miss ratio 0.3342
result/tencentBlock.ns8981.oracleGeneral.zst S3FIFO-1 cache size      626, 1890366 req, miss ratio 0.5140, byte miss ratio 0.5140
result/tencentBlock.ns8981.oracleGeneral.zst S3FIFO-1 cache size     1880, 1890366 req, miss ratio 0.5112, byte miss ratio 0.5112
result/tencentBlock.ns8981.oracleGeneral.zst S3FIFO-1 cache size     6267, 1890366 req, miss ratio 0.5089, byte miss ratio 0.5089
result/tencentBlock.ns8981.oracleGeneral.zst S3FIFO-1 cache size    18801, 1890366 req, miss ratio 0.4780, byte miss ratio 0.4780
result/tencentBlock.ns8981.oracleGeneral.zst S3FIFO-1 cache size    62671, 1890366 req, miss ratio 0.3972, byte miss ratio 0.3972
result/tencentBlock.ns8981.oracleGeneral.zst S3FIFO-1 cache size   125343, 1890366 req, miss ratio 0.3570, byte miss ratio 0.3570
result/tencentBlock.ns8981.oracleGeneral.zst S3FIFO-1 cache size   250687, 1890366 req, miss ratio 0.3420, byte miss ratio 0.3420
result/tencentBlock.ns8981.oracleGeneral.zst S3FIFO-1 cache size   501375, 1890366 req, miss ratio 0.3329, byte miss ratio 0.3329
result/tencentBlock.ns8981.oracleGeneral.zst FIFO cache size      626, 1890366 req, miss ratio 0.5364, byte miss ratio 0.5364
result/tencentBlock.ns8981.oracleGeneral.zst FIFO cache size     1880, 1890366 req, miss ratio 0.5200, byte miss ratio 0.5200
result/tencentBlock.ns8981.oracleGeneral.zst FIFO cache size     6267, 1890366 req, miss ratio 0.5120, byte miss ratio 0.5120
result/tencentBlock.ns8981.oracleGeneral.zst FIFO cache size    18801, 1890366 req, miss ratio 0.4816, byte miss ratio 0.4816
result/tencentBlock.ns8981.oracleGeneral.zst FIFO cache size    62671, 1890366 req, miss ratio 0.4310, byte miss ratio 0.4310
result/tencentBlock.ns8981.oracleGeneral.zst FIFO cache size   125343, 1890366 req, miss ratio 0.3940, byte miss ratio 0.3940
result/tencentBlock.ns8981.oracleGeneral.zst FIFO cache size   250687, 1890366 req, miss ratio 0.3641, byte miss ratio 0.3641
result/tencentBlock.ns8981.oracleGeneral.zst FIFO cache size   501375, 1890366 req, miss ratio 0.3450, byte miss ratio 0.3450
result/tencentBlock.ns8981.oracleGeneral.zst clock2 cache size      626, 1890366 req, miss ratio 0.5148, byte miss ratio 0.5148
result/tencentBlock.ns8981.oracleGeneral.zst clock2 cache size     1880, 1890366 req, miss ratio 0.5118, byte miss ratio 0.5118
result/tencentBlock.ns8981.oracleGeneral.zst clock2 cache size     6267, 1890366 req, miss ratio 0.5091, byte miss ratio 0.5091
result/tencentBlock.ns8981.oracleGeneral.zst clock2 cache size    18801, 1890366 req, miss ratio 0.5036, byte miss ratio 0.5036
result/tencentBlock.ns8981.oracleGeneral.zst clock2 cache size    62671, 1890366 req, miss ratio 0.4320, byte miss ratio 0.4320
result/tencentBlock.ns8981.oracleGeneral.zst clock2 cache size   125343, 1890366 req, miss ratio 0.3735, byte miss ratio 0.3735
result/tencentBlock.ns8981.oracleGeneral.zst clock2 cache size   250687, 1890366 req, miss ratio 0.3404, byte miss ratio 0.3404
result/tencentBlock.ns8981.oracleGeneral.zst clock2 cache size   501375, 1890366 req, miss ratio 0.3329, byte miss ratio 0.3329
result/tencentBlock.ns8981.oracleGeneral.zst LRU cache size      626, 1890366 req, miss ratio 0.5151, byte miss ratio 0.5151
