result/tencentBlock.ns1755.oracleGeneral.zst ARC cache size      678, 5587501 req, miss ratio 0.5633, byte miss ratio 0.5633
result/tencentBlock.ns1755.oracleGeneral.zst ARC cache size     2036, 5587501 req, miss ratio 0.3894, byte miss ratio 0.3894
result/tencentBlock.ns1755.oracleGeneral.zst ARC cache size     6789, 5587501 req, miss ratio 0.3591, byte miss ratio 0.3591
result/tencentBlock.ns1755.oracleGeneral.zst ARC cache size    20368, 5587501 req, miss ratio 0.3143, byte miss ratio 0.3143
result/tencentBlock.ns1755.oracleGeneral.zst ARC cache size    67894, 5587501 req, miss ratio 0.2749, byte miss ratio 0.2749
result/tencentBlock.ns1755.oracleGeneral.zst ARC cache size   135789, 5587501 req, miss ratio 0.2076, byte miss ratio 0.2076
result/tencentBlock.ns1755.oracleGeneral.zst ARC cache size   271578, 5587501 req, miss ratio 0.1386, byte miss ratio 0.1386
result/tencentBlock.ns1755.oracleGeneral.zst ARC cache size   543157, 5587501 req, miss ratio 0.1229, byte miss ratio 0.1229
result/tencentBlock.ns1755.oracleGeneral.zst clock2 cache size      678, 5587501 req, miss ratio 0.5938, byte miss ratio 0.5938
result/tencentBlock.ns1755.oracleGeneral.zst clock2 cache size     2036, 5587501 req, miss ratio 0.4349, byte miss ratio 0.4349
result/tencentBlock.ns1755.oracleGeneral.zst clock2 cache size     6789, 5587501 req, miss ratio 0.3639, byte miss ratio 0.3639
result/tencentBlock.ns1755.oracleGeneral.zst clock2 cache size    20368, 5587501 req, miss ratio 0.3283, byte miss ratio 0.3283
result/tencentBlock.ns1755.oracleGeneral.zst clock2 cache size    67894, 5587501 req, miss ratio 0.2722, byte miss ratio 0.2722
result/tencentBlock.ns1755.oracleGeneral.zst clock2 cache size   135789, 5587501 req, miss ratio 0.2376, byte miss ratio 0.2376
result/tencentBlock.ns1755.oracleGeneral.zst clock2 cache size   271578, 5587501 req, miss ratio 0.1472, byte miss ratio 0.1472
result/tencentBlock.ns1755.oracleGeneral.zst clock2 cache size   543157, 5587501 req, miss ratio 0.1229, byte miss ratio 0.1229
result/tencentBlock.ns1755.oracleGeneral.zst Cacheus cache size      678, 5587501 req, miss ratio 0.5762, byte miss ratio 0.5762
result/tencentBlock.ns1755.oracleGeneral.zst Cacheus cache size     2036, 5587501 req, miss ratio 0.4149, byte miss ratio 0.4149
result/tencentBlock.ns1755.oracleGeneral.zst Cacheus cache size     6789, 5587501 req, miss ratio 0.3597, byte miss ratio 0.3597
