result/tencentBlock.ns23491.oracleGeneral.zst clock2 cache size      729, 5819414 req, miss ratio 0.5211, byte miss ratio 0.5211
result/tencentBlock.ns23491.oracleGeneral.zst clock2 cache size     2188, 5819414 req, miss ratio 0.4393, byte miss ratio 0.4393
result/tencentBlock.ns23491.oracleGeneral.zst clock2 cache size     7294, 5819414 req, miss ratio 0.3743, byte miss ratio 0.3743
result/tencentBlock.ns23491.oracleGeneral.zst clock2 cache size    21883, 5819414 req, miss ratio 0.3534, byte miss ratio 0.3534
result/tencentBlock.ns23491.oracleGeneral.zst clock2 cache size    72946, 5819414 req, miss ratio 0.2989, byte miss ratio 0.2989
result/tencentBlock.ns23491.oracleGeneral.zst clock2 cache size   145892, 5819414 req, miss ratio 0.2462, byte miss ratio 0.2462
result/tencentBlock.ns23491.oracleGeneral.zst clock2 cache size   291785, 5819414 req, miss ratio 0.1665, byte miss ratio 0.1665
result/tencentBlock.ns23491.oracleGeneral.zst clock2 cache size   583570, 5819414 req, miss ratio 0.1266, byte miss ratio 0.1266
result/tencentBlock.ns23491.oracleGeneral.zst ARC cache size      729, 5819414 req, miss ratio 0.5041, byte miss ratio 0.5041
result/tencentBlock.ns23491.oracleGeneral.zst ARC cache size     2188, 5819414 req, miss ratio 0.4009, byte miss ratio 0.4009
result/tencentBlock.ns23491.oracleGeneral.zst ARC cache size     7294, 5819414 req, miss ratio 0.3696, byte miss ratio 0.3696
result/tencentBlock.ns23491.oracleGeneral.zst ARC cache size    21883, 5819414 req, miss ratio 0.3467, byte miss ratio 0.3467
result/tencentBlock.ns23491.oracleGeneral.zst ARC cache size    72946, 5819414 req, miss ratio 0.2855, byte miss ratio 0.2855
result/tencentBlock.ns23491.oracleGeneral.zst ARC cache size   145892, 5819414 req, miss ratio 0.2224, byte miss ratio 0.2224
result/tencentBlock.ns23491.oracleGeneral.zst ARC cache size   291785, 5819414 req, miss ratio 0.1518, byte miss ratio 0.1518
result/tencentBlock.ns23491.oracleGeneral.zst ARC cache size   583570, 5819414 req, miss ratio 0.1266, byte miss ratio 0.1266
result/tencentBlock.ns23491.oracleGeneral.zst LIRS cache size      729, 5819414 req, miss ratio 0.5407, byte miss ratio 0.5407
result/tencentBlock.ns23491.oracleGeneral.zst LIRS cache size     2188, 5819414 req, miss ratio 0.4117, byte miss ratio 0.4117
result/tencentBlock.ns23491.oracleGeneral.zst LIRS cache size     7294, 5819414 req, miss ratio 0.3780, byte miss ratio 0.3780
result/tencentBlock.ns23491.oracleGeneral.zst LIRS cache size    21883, 5819414 req, miss ratio 0.3480, byte miss ratio 0.3480
result/tencentBlock.ns23491.oracleGeneral.zst LIRS cache size    72946, 5819414 req, miss ratio 0.2925, byte miss ratio 0.2925
result/tencentBlock.ns23491.oracleGeneral.zst LIRS cache size   145892, 5819414 req, miss ratio 0.2203, byte miss ratio 0.2203
result/tencentBlock.ns23491.oracleGeneral.zst LIRS cache size   291785, 5819414 req, miss ratio 0.1576, byte miss ratio 0.1576
result/tencentBlock.ns23491.oracleGeneral.zst LIRS cache size   583570, 5819414 req, miss ratio 0.1299, byte miss ratio 0.1299
result/tencentBlock.ns23491.oracleGeneral.zst Clock cache size      729, 5819414 req, miss ratio 0.5196, byte miss ratio 0.5196
result/tencentBlock.ns23491.oracleGeneral.zst Clock cache size     2188, 5819414 req, miss ratio 0.4402, byte miss ratio 0.4402
result/tencentBlock.ns23491.oracleGeneral.zst Clock cache size     7294, 5819414 req, miss ratio 0.3765, byte miss ratio 0.3765
result/tencentBlock.ns23491.oracleGeneral.zst Clock cache size    21883, 5819414 req, miss ratio 0.3512, byte miss ratio 0.3512
result/tencentBlock.ns23491.oracleGeneral.zst Clock cache size    72946, 5819414 req, miss ratio 0.2909, byte miss ratio 0.2909
