result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst Cacheus cache size    71287, 257114254 req, miss ratio 0.0039, byte miss ratio 0.0039
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst Cacheus cache size   142575, 257114254 req, miss ratio 0.0033, byte miss ratio 0.0033
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst Cacheus cache size   285150, 257114254 req, miss ratio 0.0030, byte miss ratio 0.0030
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst Cacheus cache size   570301, 257114254 req, miss ratio 0.0028, byte miss ratio 0.0028
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst LeCaR cache size      712, 257114254 req, miss ratio 0.2546, byte miss ratio 0.2546
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst LeCaR cache size     2138, 257114254 req, miss ratio 0.1178, byte miss ratio 0.1178
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst LeCaR cache size     7128, 257114254 req, miss ratio 0.0321, byte miss ratio 0.0321
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst LeCaR cache size    21386, 257114254 req, miss ratio 0.0078, byte miss ratio 0.0078
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst LeCaR cache size    71287, 257114254 req, miss ratio 0.0040, byte miss ratio 0.0040
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst LeCaR cache size   142575, 257114254 req, miss ratio 0.0033, byte miss ratio 0.0033
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst LeCaR cache size   285150, 257114254 req, miss ratio 0.0029, byte miss ratio 0.0029
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst LeCaR cache size   570301, 257114254 req, miss ratio 0.0028, byte miss ratio 0.0028
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst LIRS cache size      712, 257114254 req, miss ratio 0.2658, byte miss ratio 0.2658
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst LIRS cache size     2138, 257114254 req, miss ratio 0.1208, byte miss ratio 0.1208
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst LIRS cache size     7128, 257114254 req, miss ratio 0.0309, byte miss ratio 0.0309
