result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst ARC cache size 21452916, 121795012 req, miss ratio 0.4589, byte miss ratio 0.4589
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst ARC cache size 42905832, 121795012 req, miss ratio 0.4427, byte miss ratio 0.4427
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst LeCaR cache size    53632, 121795012 req, miss ratio 0.5170, byte miss ratio 0.5170
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst LeCaR cache size   160896, 121795012 req, miss ratio 0.5086, byte miss ratio 0.5086
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst LeCaR cache size   536322, 121795012 req, miss ratio 0.5003, byte miss ratio 0.5003
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst LeCaR cache size  1608968, 121795012 req, miss ratio 0.4912, byte miss ratio 0.4912
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst LeCaR cache size  5363229, 121795012 req, miss ratio 0.4834, byte miss ratio 0.4834
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst LeCaR cache size 10726458, 121795012 req, miss ratio 0.4732, byte miss ratio 0.4732
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst LeCaR cache size 21452916, 121795012 req, miss ratio 0.4591, byte miss ratio 0.4591
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst LeCaR cache size 42905832, 121795012 req, miss ratio 0.4419, byte miss ratio 0.4419
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst Clock cache size    53632, 121795012 req, miss ratio 0.5218, byte miss ratio 0.5218
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst Clock cache size   160896, 121795012 req, miss ratio 0.5114, byte miss ratio 0.5114
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst Clock cache size   536322, 121795012 req, miss ratio 0.5026, byte miss ratio 0.5026
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst Clock cache size  1608968, 121795012 req, miss ratio 0.4927, byte miss ratio 0.4927
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst Clock cache size  5363229, 121795012 req, miss ratio 0.4821, byte miss ratio 0.4821
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst Clock cache size 10726458, 121795012 req, miss ratio 0.4715, byte miss ratio 0.4715
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst Clock cache size 21452916, 121795012 req, miss ratio 0.4568, byte miss ratio 0.4568
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst Clock cache size 42905832, 121795012 req, miss ratio 0.4416, byte miss ratio 0.4416
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst clock2 cache size    53632, 121795012 req, miss ratio 0.5219, byte miss ratio 0.5219
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst clock2 cache size   160896, 121795012 req, miss ratio 0.5111, byte miss ratio 0.5111
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst clock2 cache size   536322, 121795012 req, miss ratio 0.5024, byte miss ratio 0.5024
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst clock2 cache size  1608968, 121795012 req, miss ratio 0.4927, byte miss ratio 0.4927
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst clock2 cache size  5363229, 121795012 req, miss ratio 0.4818, byte miss ratio 0.4818
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst clock2 cache size 10726458, 121795012 req, miss ratio 0.4717, byte miss ratio 0.4717
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst clock2 cache size 21452916, 121795012 req, miss ratio 0.4566, byte miss ratio 0.4566
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst clock2 cache size 42905832, 121795012 req, miss ratio 0.4416, byte miss ratio 0.4416
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst LRU cache size    53632, 121795012 req, miss ratio 0.5168, byte miss ratio 0.5168
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst LRU cache size   160896, 121795012 req, miss ratio 0.5084, byte miss ratio 0.5084
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst LRU cache size   536322, 121795012 req, miss ratio 0.4998, byte miss ratio 0.4998
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst LRU cache size  1608968, 121795012 req, miss ratio 0.4905, byte miss ratio 0.4905
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst LRU cache size  5363229, 121795012 req, miss ratio 0.4805, byte miss ratio 0.4805
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst LRU cache size 10726458, 121795012 req, miss ratio 0.4695, byte miss ratio 0.4695
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst LRU cache size 21452916, 121795012 req, miss ratio 0.4561, byte miss ratio 0.4561
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst LRU cache size 42905832, 121795012 req, miss ratio 0.4420, byte miss ratio 0.4420
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst LIRS cache size    53632, 121795012 req, miss ratio 0.5836, byte miss ratio 0.5836
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst LIRS cache size   160896, 121795012 req, miss ratio 0.5571, byte miss ratio 0.5571
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst LIRS cache size   536322, 121795012 req, miss ratio 0.5324, byte miss ratio 0.5324
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst LIRS cache size  1608968, 121795012 req, miss ratio 0.5162, byte miss ratio 0.5162
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst LIRS cache size  5363229, 121795012 req, miss ratio 0.4974, byte miss ratio 0.4974
