result/tencentBlock.ns7498.oracleGeneral.zst clock2 cache size      763, 6995740 req, miss ratio 0.4861, byte miss ratio 0.4861
result/tencentBlock.ns7498.oracleGeneral.zst clock2 cache size     2290, 6995740 req, miss ratio 0.4629, byte miss ratio 0.4629
result/tencentBlock.ns7498.oracleGeneral.zst clock2 cache size     7635, 6995740 req, miss ratio 0.4527, byte miss ratio 0.4527
result/tencentBlock.ns7498.oracleGeneral.zst clock2 cache size    22906, 6995740 req, miss ratio 0.4265, byte miss ratio 0.4265
result/tencentBlock.ns7498.oracleGeneral.zst clock2 cache size    76356, 6995740 req, miss ratio 0.3757, byte miss ratio 0.3757
result/tencentBlock.ns7498.oracleGeneral.zst clock2 cache size   152712, 6995740 req, miss ratio 0.3344, byte miss ratio 0.3344
result/tencentBlock.ns7498.oracleGeneral.zst clock2 cache size   305425, 6995740 req, miss ratio 0.2967, byte miss ratio 0.2967
result/tencentBlock.ns7498.oracleGeneral.zst clock2 cache size   610850, 6995740 req, miss ratio 0.2687, byte miss ratio 0.2687
result/tencentBlock.ns7498.oracleGeneral.zst S3FIFO-1 cache size      763, 6995740 req, miss ratio 0.4721, byte miss ratio 0.4721
result/tencentBlock.ns7498.oracleGeneral.zst S3FIFO-1 cache size     2290, 6995740 req, miss ratio 0.4578, byte miss ratio 0.4578
result/tencentBlock.ns7498.oracleGeneral.zst S3FIFO-1 cache size     7635, 6995740 req, miss ratio 0.4323, byte miss ratio 0.4323
result/tencentBlock.ns7498.oracleGeneral.zst S3FIFO-1 cache size    22906, 6995740 req, miss ratio 0.4031, byte miss ratio 0.4031
result/tencentBlock.ns7498.oracleGeneral.zst S3FIFO-1 cache size    76356, 6995740 req, miss ratio 0.3332, byte miss ratio 0.3332
result/tencentBlock.ns7498.oracleGeneral.zst S3FIFO-1 cache size   152712, 6995740 req, miss ratio 0.2969, byte miss ratio 0.2969
result/tencentBlock.ns7498.oracleGeneral.zst S3FIFO-1 cache size   305425, 6995740 req, miss ratio 0.2733, byte miss ratio 0.2733
result/tencentBlock.ns7498.oracleGeneral.zst S3FIFO-1 cache size   610850, 6995740 req, miss ratio 0.2187, byte miss ratio 0.2187
result/tencentBlock.ns7498.oracleGeneral.zst LHD cache size      763, 6995740 req, miss ratio 0.5011, byte miss ratio 0.5011
result/tencentBlock.ns7498.oracleGeneral.zst LHD cache size     2290, 6995740 req, miss ratio 0.4695, byte miss ratio 0.4695
result/tencentBlock.ns7498.oracleGeneral.zst LHD cache size     7635, 6995740 req, miss ratio 0.4396, byte miss ratio 0.4396
result/tencentBlock.ns7498.oracleGeneral.zst LHD cache size    22906, 6995740 req, miss ratio 0.4098, byte miss ratio 0.4098
result/tencentBlock.ns7498.oracleGeneral.zst LHD cache size    76356, 6995740 req, miss ratio 0.3544, byte miss ratio 0.3544
result/tencentBlock.ns7498.oracleGeneral.zst LHD cache size   152712, 6995740 req, miss ratio 0.3171, byte miss ratio 0.3171
result/tencentBlock.ns7498.oracleGeneral.zst LHD cache size   305425, 6995740 req, miss ratio 0.2688, byte miss ratio 0.2688
