result/tencentBlock.ns8629.oracleGeneral.zst LIRS cache size      283, 2572570 req, miss ratio 0.5672, byte miss ratio 0.5672
result/tencentBlock.ns8629.oracleGeneral.zst LIRS cache size      850, 2572570 req, miss ratio 0.5297, byte miss ratio 0.5297
result/tencentBlock.ns8629.oracleGeneral.zst LIRS cache size     2833, 2572570 req, miss ratio 0.4862, byte miss ratio 0.4862
result/tencentBlock.ns8629.oracleGeneral.zst LIRS cache size     8500, 2572570 req, miss ratio 0.4623, byte miss ratio 0.4623
result/tencentBlock.ns8629.oracleGeneral.zst LIRS cache size    28334, 2572570 req, miss ratio 0.4132, byte miss ratio 0.4132
result/tencentBlock.ns8629.oracleGeneral.zst LIRS cache size    56668, 2572570 req, miss ratio 0.3415, byte miss ratio 0.3415
result/tencentBlock.ns8629.oracleGeneral.zst LIRS cache size   113336, 2572570 req, miss ratio 0.2135, byte miss ratio 0.2135
result/tencentBlock.ns8629.oracleGeneral.zst LIRS cache size   226672, 2572570 req, miss ratio 0.1124, byte miss ratio 0.1124
result/tencentBlock.ns8629.oracleGeneral.zst FIFO cache size      283, 2572570 req, miss ratio 0.6597, byte miss ratio 0.6597
result/tencentBlock.ns8629.oracleGeneral.zst FIFO cache size      850, 2572570 req, miss ratio 0.5698, byte miss ratio 0.5698
result/tencentBlock.ns8629.oracleGeneral.zst FIFO cache size     2833, 2572570 req, miss ratio 0.5213, byte miss ratio 0.5213
result/tencentBlock.ns8629.oracleGeneral.zst FIFO cache size     8500, 2572570 req, miss ratio 0.4923, byte miss ratio 0.4923
result/tencentBlock.ns8629.oracleGeneral.zst FIFO cache size    28334, 2572570 req, miss ratio 0.4535, byte miss ratio 0.4535
result/tencentBlock.ns8629.oracleGeneral.zst FIFO cache size    56668, 2572570 req, miss ratio 0.4244, byte miss ratio 0.4244
result/tencentBlock.ns8629.oracleGeneral.zst FIFO cache size   113336, 2572570 req, miss ratio 0.2821, byte miss ratio 0.2821
result/tencentBlock.ns8629.oracleGeneral.zst FIFO cache size   226672, 2572570 req, miss ratio 0.1441, byte miss ratio 0.1441
result/tencentBlock.ns8629.oracleGeneral.zst LeCaR cache size      283, 2572570 req, miss ratio 0.5599, byte miss ratio 0.5599
result/tencentBlock.ns8629.oracleGeneral.zst LeCaR cache size      850, 2572570 req, miss ratio 0.5251, byte miss ratio 0.5251
result/tencentBlock.ns8629.oracleGeneral.zst LeCaR cache size     2833, 2572570 req, miss ratio 0.5021, byte miss ratio 0.5021
result/tencentBlock.ns8629.oracleGeneral.zst LeCaR cache size     8500, 2572570 req, miss ratio 0.4718, byte miss ratio 0.4718
result/tencentBlock.ns8629.oracleGeneral.zst LeCaR cache size    28334, 2572570 req, miss ratio 0.4391, byte miss ratio 0.4391
result/tencentBlock.ns8629.oracleGeneral.zst LeCaR cache size    56668, 2572570 req, miss ratio 0.4137, byte miss ratio 0.4137
result/tencentBlock.ns8629.oracleGeneral.zst LeCaR cache size   113336, 2572570 req, miss ratio 0.2916, byte miss ratio 0.2916
result/tencentBlock.ns8629.oracleGeneral.zst LeCaR cache size   226672, 2572570 req, miss ratio 0.1117, byte miss ratio 0.1117
result/tencentBlock.ns8629.oracleGeneral.zst LRU cache size      283, 2572570 req, miss ratio 0.5811, byte miss ratio 0.5811
result/tencentBlock.ns8629.oracleGeneral.zst LRU cache size      850, 2572570 req, miss ratio 0.5287, byte miss ratio 0.5287
result/tencentBlock.ns8629.oracleGeneral.zst LRU cache size     2833, 2572570 req, miss ratio 0.5032, byte miss ratio 0.5032
result/tencentBlock.ns8629.oracleGeneral.zst LRU cache size     8500, 2572570 req, miss ratio 0.4791, byte miss ratio 0.4791
result/tencentBlock.ns8629.oracleGeneral.zst LRU cache size    28334, 2572570 req, miss ratio 0.4422, byte miss ratio 0.4422
result/tencentBlock.ns8629.oracleGeneral.zst LRU cache size    56668, 2572570 req, miss ratio 0.4162, byte miss ratio 0.4162
result/tencentBlock.ns8629.oracleGeneral.zst LRU cache size   113336, 2572570 req, miss ratio 0.3126, byte miss ratio 0.3126
result/tencentBlock.ns8629.oracleGeneral.zst LRU cache size   226672, 2572570 req, miss ratio 0.1118, byte miss ratio 0.1118
result/tencentBlock.ns8629.oracleGeneral.zst clock2 cache size      283, 2572570 req, miss ratio 0.5658, byte miss ratio 0.5658
result/tencentBlock.ns8629.oracleGeneral.zst clock2 cache size      850, 2572570 req, miss ratio 0.5242, byte miss ratio 0.5242
result/tencentBlock.ns8629.oracleGeneral.zst clock2 cache size     2833, 2572570 req, miss ratio 0.5011, byte miss ratio 0.5011
result/tencentBlock.ns8629.oracleGeneral.zst clock2 cache size     8500, 2572570 req, miss ratio 0.4730, byte miss ratio 0.4730
result/tencentBlock.ns8629.oracleGeneral.zst clock2 cache size    28334, 2572570 req, miss ratio 0.4434, byte miss ratio 0.4434
result/tencentBlock.ns8629.oracleGeneral.zst clock2 cache size    56668, 2572570 req, miss ratio 0.4155, byte miss ratio 0.4155
result/tencentBlock.ns8629.oracleGeneral.zst clock2 cache size   113336, 2572570 req, miss ratio 0.3534, byte miss ratio 0.3534
result/tencentBlock.ns8629.oracleGeneral.zst clock2 cache size   226672, 2572570 req, miss ratio 0.1122, byte miss ratio 0.1122
result/tencentBlock.ns8629.oracleGeneral.zst LHD cache size      283, 2572570 req, miss ratio 0.5553, byte miss ratio 0.5553
result/tencentBlock.ns8629.oracleGeneral.zst LHD cache size      850, 2572570 req, miss ratio 0.5247, byte miss ratio 0.5247
result/tencentBlock.ns8629.oracleGeneral.zst LHD cache size     2833, 2572570 req, miss ratio 0.4978, byte miss ratio 0.4978
result/tencentBlock.ns8629.oracleGeneral.zst LHD cache size     8500, 2572570 req, miss ratio 0.4693, byte miss ratio 0.4693
result/tencentBlock.ns8629.oracleGeneral.zst LHD cache size    28334, 2572570 req, miss ratio 0.4250, byte miss ratio 0.4250
result/tencentBlock.ns8629.oracleGeneral.zst LHD cache size    56668, 2572570 req, miss ratio 0.3715, byte miss ratio 0.3715
result/tencentBlock.ns8629.oracleGeneral.zst LHD cache size   113336, 2572570 req, miss ratio 0.2465, byte miss ratio 0.2465
result/tencentBlock.ns8629.oracleGeneral.zst LHD cache size   226672, 2572570 req, miss ratio 0.1163, byte miss ratio 0.1163
result/tencentBlock.ns8629.oracleGeneral.zst Clock cache size      283, 2572570 req, miss ratio 0.5723, byte miss ratio 0.5723
result/tencentBlock.ns8629.oracleGeneral.zst Clock cache size      850, 2572570 req, miss ratio 0.5267, byte miss ratio 0.5267
result/tencentBlock.ns8629.oracleGeneral.zst Clock cache size     2833, 2572570 req, miss ratio 0.5019, byte miss ratio 0.5019
result/tencentBlock.ns8629.oracleGeneral.zst Clock cache size     8500, 2572570 req, miss ratio 0.4763, byte miss ratio 0.4763
result/tencentBlock.ns8629.oracleGeneral.zst Clock cache size    28334, 2572570 req, miss ratio 0.4432, byte miss ratio 0.4432
result/tencentBlock.ns8629.oracleGeneral.zst Clock cache size    56668, 2572570 req, miss ratio 0.4156, byte miss ratio 0.4156
result/tencentBlock.ns8629.oracleGeneral.zst Clock cache size   113336, 2572570 req, miss ratio 0.3472, byte miss ratio 0.3472
result/tencentBlock.ns8629.oracleGeneral.zst Clock cache size   226672, 2572570 req, miss ratio 0.1133, byte miss ratio 0.1133
result/tencentBlock.ns8629.oracleGeneral.zst ARC cache size      283, 2572570 req, miss ratio 0.5371, byte miss ratio 0.5371
result/tencentBlock.ns8629.oracleGeneral.zst ARC cache size      850, 2572570 req, miss ratio 0.5146, byte miss ratio 0.5146
result/tencentBlock.ns8629.oracleGeneral.zst ARC cache size     2833, 2572570 req, miss ratio 0.4815, byte miss ratio 0.4815
result/tencentBlock.ns8629.oracleGeneral.zst ARC cache size     8500, 2572570 req, miss ratio 0.4605, byte miss ratio 0.4605
result/tencentBlock.ns8629.oracleGeneral.zst ARC cache size    28334, 2572570 req, miss ratio 0.4166, byte miss ratio 0.4166
result/tencentBlock.ns8629.oracleGeneral.zst ARC cache size    56668, 2572570 req, miss ratio 0.3656, byte miss ratio 0.3656
result/tencentBlock.ns8629.oracleGeneral.zst ARC cache size   113336, 2572570 req, miss ratio 0.2786, byte miss ratio 0.2786
result/tencentBlock.ns8629.oracleGeneral.zst ARC cache size   226672, 2572570 req, miss ratio 0.1121, byte miss ratio 0.1121
result/tencentBlock.ns8629.oracleGeneral.zst S3FIFO-1 cache size      283, 2572570 req, miss ratio 0.5390, byte miss ratio 0.5390
result/tencentBlock.ns8629.oracleGeneral.zst S3FIFO-1 cache size      850, 2572570 req, miss ratio 0.5130, byte miss ratio 0.5130
result/tencentBlock.ns8629.oracleGeneral.zst S3FIFO-1 cache size     2833, 2572570 req, miss ratio 0.4697, byte miss ratio 0.4697
result/tencentBlock.ns8629.oracleGeneral.zst S3FIFO-1 cache size     8500, 2572570 req, miss ratio 0.4592, byte miss ratio 0.4592
result/tencentBlock.ns8629.oracleGeneral.zst S3FIFO-1 cache size    28334, 2572570 req, miss ratio 0.4156, byte miss ratio 0.4156
result/tencentBlock.ns8629.oracleGeneral.zst S3FIFO-1 cache size    56668, 2572570 req, miss ratio 0.3642, byte miss ratio 0.3642
result/tencentBlock.ns8629.oracleGeneral.zst S3FIFO-1 cache size   113336, 2572570 req, miss ratio 0.2491, byte miss ratio 0.2491
result/tencentBlock.ns8629.oracleGeneral.zst S3FIFO-1 cache size   226672, 2572570 req, miss ratio 0.1126, byte miss ratio 0.1126
result/tencentBlock.ns8629.oracleGeneral.zst Cacheus cache size      283, 2572570 req, miss ratio 0.5398, byte miss ratio 0.5398
result/tencentBlock.ns8629.oracleGeneral.zst Cacheus cache size      850, 2572570 req, miss ratio 0.5161, byte miss ratio 0.5161
result/tencentBlock.ns8629.oracleGeneral.zst Cacheus cache size     2833, 2572570 req, miss ratio 0.4871, byte miss ratio 0.4871
result/tencentBlock.ns8629.oracleGeneral.zst Cacheus cache size     8500, 2572570 req, miss ratio 0.4616, byte miss ratio 0.4616
result/tencentBlock.ns8629.oracleGeneral.zst Cacheus cache size    28334, 2572570 req, miss ratio 0.4359, byte miss ratio 0.4359
result/tencentBlock.ns8629.oracleGeneral.zst Cacheus cache size    56668, 2572570 req, miss ratio 0.3757, byte miss ratio 0.3757
result/tencentBlock.ns8629.oracleGeneral.zst Cacheus cache size   113336, 2572570 req, miss ratio 0.2420, byte miss ratio 0.2420
result/tencentBlock.ns8629.oracleGeneral.zst Cacheus cache size   226672, 2572570 req, miss ratio 0.1133, byte miss ratio 0.1133
result/tencentBlock.ns8629.oracleGeneral.zst S3FIFO-d-1 cache size      283, 2572570 req, miss ratio 0.5342, byte miss ratio 0.5342
result/tencentBlock.ns8629.oracleGeneral.zst S3FIFO-d-1 cache size      850, 2572570 req, miss ratio 0.5120, byte miss ratio 0.5120
result/tencentBlock.ns8629.oracleGeneral.zst S3FIFO-d-1 cache size     2833, 2572570 req, miss ratio 0.4698, byte miss ratio 0.4698
result/tencentBlock.ns8629.oracleGeneral.zst S3FIFO-d-1 cache size     8500, 2572570 req, miss ratio 0.4591, byte miss ratio 0.4591
result/tencentBlock.ns8629.oracleGeneral.zst S3FIFO-d-1 cache size    28334, 2572570 req, miss ratio 0.4151, byte miss ratio 0.4151
result/tencentBlock.ns8629.oracleGeneral.zst S3FIFO-d-1 cache size    56668, 2572570 req, miss ratio 0.3637, byte miss ratio 0.3637
result/tencentBlock.ns8629.oracleGeneral.zst S3FIFO-d-1 cache size   113336, 2572570 req, miss ratio 0.2433, byte miss ratio 0.2433
result/tencentBlock.ns8629.oracleGeneral.zst S3FIFO-d-1 cache size   226672, 2572570 req, miss ratio 0.1126, byte miss ratio 0.1126
result/tencentBlock.ns8629.oracleGeneral.zst LRB cache size      283, 2572570 req, miss ratio 0.5750, byte miss ratio 0.5750
result/tencentBlock.ns8629.oracleGeneral.zst LRB cache size      850, 2572570 req, miss ratio 0.5244, byte miss ratio 0.5244
result/tencentBlock.ns8629.oracleGeneral.zst LRB cache size     2833, 2572570 req, miss ratio 0.4777, byte miss ratio 0.4777
result/tencentBlock.ns8629.oracleGeneral.zst LRB cache size     8500, 2572570 req, miss ratio 0.4561, byte miss ratio 0.4561
result/tencentBlock.ns8629.oracleGeneral.zst LRB cache size    28334, 2572570 req, miss ratio 0.4071, byte miss ratio 0.4071
result/tencentBlock.ns8629.oracleGeneral.zst LRB cache size    56668, 2572570 req, miss ratio 0.3316, byte miss ratio 0.3316
result/tencentBlock.ns8629.oracleGeneral.zst LRB cache size   113336, 2572570 req, miss ratio 0.2214, byte miss ratio 0.2214
result/tencentBlock.ns8629.oracleGeneral.zst LRB cache size   226672, 2572570 req, miss ratio 0.1186, byte miss ratio 0.1186
result/tencentBlock.ns8629.oracleGeneral.zst S4LRU(25:25:25:25) cache size      283, 2572570 req, miss ratio 0.5495, byte miss ratio 0.5495
result/tencentBlock.ns8629.oracleGeneral.zst S4LRU(25:25:25:25) cache size      850, 2572570 req, miss ratio 0.5188, byte miss ratio 0.5188
result/tencentBlock.ns8629.oracleGeneral.zst S4LRU(25:25:25:25) cache size     2833, 2572570 req, miss ratio 0.4899, byte miss ratio 0.4899
result/tencentBlock.ns8629.oracleGeneral.zst S4LRU(25:25:25:25) cache size     8500, 2572570 req, miss ratio 0.4633, byte miss ratio 0.4633
result/tencentBlock.ns8629.oracleGeneral.zst S4LRU(25:25:25:25) cache size    28334, 2572570 req, miss ratio 0.4446, byte miss ratio 0.4446
result/tencentBlock.ns8629.oracleGeneral.zst S4LRU(25:25:25:25) cache size    56668, 2572570 req, miss ratio 0.3831, byte miss ratio 0.3831
result/tencentBlock.ns8629.oracleGeneral.zst S4LRU(25:25:25:25) cache size   113336, 2572570 req, miss ratio 0.2769, byte miss ratio 0.2769
result/tencentBlock.ns8629.oracleGeneral.zst S4LRU(25:25:25:25) cache size   226672, 2572570 req, miss ratio 0.1122, byte miss ratio 0.1122
result/tencentBlock.ns8629.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      283, 2572570 req, miss ratio 0.5973, byte miss ratio 0.5973
result/tencentBlock.ns8629.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      850, 2572570 req, miss ratio 0.5335, byte miss ratio 0.5335
result/tencentBlock.ns8629.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     2833, 2572570 req, miss ratio 0.5044, byte miss ratio 0.5044
result/tencentBlock.ns8629.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     8500, 2572570 req, miss ratio 0.4760, byte miss ratio 0.4760
result/tencentBlock.ns8629.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    28334, 2572570 req, miss ratio 0.4476, byte miss ratio 0.4476
result/tencentBlock.ns8629.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    56668, 2572570 req, miss ratio 0.4008, byte miss ratio 0.4008
result/tencentBlock.ns8629.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   113336, 2572570 req, miss ratio 0.3108, byte miss ratio 0.3108
result/tencentBlock.ns8629.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   226672, 2572570 req, miss ratio 0.1407, byte miss ratio 0.1407
result/tencentBlock.ns8629.oracleGeneral.zst TwoQ cache size      283, 2572570 req, miss ratio 0.5347, byte miss ratio 0.5347
result/tencentBlock.ns8629.oracleGeneral.zst TwoQ cache size      850, 2572570 req, miss ratio 0.5050, byte miss ratio 0.5050
result/tencentBlock.ns8629.oracleGeneral.zst TwoQ cache size     2833, 2572570 req, miss ratio 0.4691, byte miss ratio 0.4691
result/tencentBlock.ns8629.oracleGeneral.zst TwoQ cache size     8500, 2572570 req, miss ratio 0.4592, byte miss ratio 0.4592
result/tencentBlock.ns8629.oracleGeneral.zst TwoQ cache size    28334, 2572570 req, miss ratio 0.4112, byte miss ratio 0.4112
result/tencentBlock.ns8629.oracleGeneral.zst TwoQ cache size    56668, 2572570 req, miss ratio 0.3896, byte miss ratio 0.3896
result/tencentBlock.ns8629.oracleGeneral.zst TwoQ cache size   113336, 2572570 req, miss ratio 0.2386, byte miss ratio 0.2386
result/tencentBlock.ns8629.oracleGeneral.zst TwoQ cache size   226672, 2572570 req, miss ratio 0.1441, byte miss ratio 0.1441
result/tencentBlock.ns8629.oracleGeneral.zst B-LRU cache size      283, 2572570 req, miss ratio 0.6047, byte miss ratio 0.6047
