result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst LIRS cache size   351357, 654038818 req, miss ratio 0.0007, byte miss ratio 0.0007
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst clock2 cache size      439, 654038818 req, miss ratio 0.2297, byte miss ratio 0.2297
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst clock2 cache size     1317, 654038818 req, miss ratio 0.1379, byte miss ratio 0.1379
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst clock2 cache size     4391, 654038818 req, miss ratio 0.0614, byte miss ratio 0.0614
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst clock2 cache size    13175, 654038818 req, miss ratio 0.0181, byte miss ratio 0.0181
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst clock2 cache size    43919, 654038818 req, miss ratio 0.0033, byte miss ratio 0.0033
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst clock2 cache size    87839, 654038818 req, miss ratio 0.0013, byte miss ratio 0.0013
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst clock2 cache size   175678, 654038818 req, miss ratio 0.0007, byte miss ratio 0.0007
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst clock2 cache size   351357, 654038818 req, miss ratio 0.0007, byte miss ratio 0.0007
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst LHD cache size      439, 654038818 req, miss ratio 0.2138, byte miss ratio 0.2138
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst LHD cache size     1317, 654038818 req, miss ratio 0.1236, byte miss ratio 0.1236
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst LHD cache size     4391, 654038818 req, miss ratio 0.0546, byte miss ratio 0.0546
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst LHD cache size    13175, 654038818 req, miss ratio 0.0163, byte miss ratio 0.0163
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst LHD cache size    43919, 654038818 req, miss ratio 0.0033, byte miss ratio 0.0033
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst LHD cache size    87839, 654038818 req, miss ratio 0.0015, byte miss ratio 0.0015
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst LHD cache size   175678, 654038818 req, miss ratio 0.0009, byte miss ratio 0.0009
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst LHD cache size   351357, 654038818 req, miss ratio 0.0007, byte miss ratio 0.0007
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst Clock cache size      439, 654038818 req, miss ratio 0.2401, byte miss ratio 0.2401
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst Clock cache size     1317, 654038818 req, miss ratio 0.1454, byte miss ratio 0.1454
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst Clock cache size     4391, 654038818 req, miss ratio 0.0662, byte miss ratio 0.0662
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst Clock cache size    13175, 654038818 req, miss ratio 0.0193, byte miss ratio 0.0193
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst Clock cache size    43919, 654038818 req, miss ratio 0.0034, byte miss ratio 0.0034
