result/moments_api_cache.0.oracleGeneral.sample10.zst FIFO cache size    19131, 330760393 req, miss ratio 0.0501, byte miss ratio 0.0501
result/moments_api_cache.0.oracleGeneral.sample10.zst FIFO cache size    63770, 330760393 req, miss ratio 0.0360, byte miss ratio 0.0360
result/moments_api_cache.0.oracleGeneral.sample10.zst FIFO cache size   127541, 330760393 req, miss ratio 0.0308, byte miss ratio 0.0308
result/moments_api_cache.0.oracleGeneral.sample10.zst FIFO cache size   255083, 330760393 req, miss ratio 0.0178, byte miss ratio 0.0178
result/moments_api_cache.0.oracleGeneral.sample10.zst FIFO cache size   510167, 330760393 req, miss ratio 0.0034, byte miss ratio 0.0034
result/moments_api_cache.0.oracleGeneral.sample10.zst ARC cache size      637, 330760393 req, miss ratio 0.0542, byte miss ratio 0.0542
result/moments_api_cache.0.oracleGeneral.sample10.zst ARC cache size     1913, 330760393 req, miss ratio 0.0528, byte miss ratio 0.0528
result/moments_api_cache.0.oracleGeneral.sample10.zst ARC cache size     6377, 330760393 req, miss ratio 0.0515, byte miss ratio 0.0515
result/moments_api_cache.0.oracleGeneral.sample10.zst ARC cache size    19131, 330760393 req, miss ratio 0.0498, byte miss ratio 0.0498
result/moments_api_cache.0.oracleGeneral.sample10.zst ARC cache size    63770, 330760393 req, miss ratio 0.0303, byte miss ratio 0.0303
result/moments_api_cache.0.oracleGeneral.sample10.zst ARC cache size   127541, 330760393 req, miss ratio 0.0274, byte miss ratio 0.0274
result/moments_api_cache.0.oracleGeneral.sample10.zst ARC cache size   255083, 330760393 req, miss ratio 0.0162, byte miss ratio 0.0162
result/moments_api_cache.0.oracleGeneral.sample10.zst ARC cache size   510167, 330760393 req, miss ratio 0.0021, byte miss ratio 0.0021
result/moments_api_cache.0.oracleGeneral.sample10.zst Clock cache size      637, 330760393 req, miss ratio 0.0544, byte miss ratio 0.0544
result/moments_api_cache.0.oracleGeneral.sample10.zst Clock cache size     1913, 330760393 req, miss ratio 0.0530, byte miss ratio 0.0530
result/moments_api_cache.0.oracleGeneral.sample10.zst Clock cache size     6377, 330760393 req, miss ratio 0.0518, byte miss ratio 0.0518
result/moments_api_cache.0.oracleGeneral.sample10.zst Clock cache size    19131, 330760393 req, miss ratio 0.0499, byte miss ratio 0.0499
result/moments_api_cache.0.oracleGeneral.sample10.zst Clock cache size    63770, 330760393 req, miss ratio 0.0313, byte miss ratio 0.0313
result/moments_api_cache.0.oracleGeneral.sample10.zst Clock cache size   127541, 330760393 req, miss ratio 0.0277, byte miss ratio 0.0277
result/moments_api_cache.0.oracleGeneral.sample10.zst Clock cache size   255083, 330760393 req, miss ratio 0.0158, byte miss ratio 0.0158
result/moments_api_cache.0.oracleGeneral.sample10.zst Clock cache size   510167, 330760393 req, miss ratio 0.0022, byte miss ratio 0.0022
result/moments_api_cache.0.oracleGeneral.sample10.zst LRU cache size      637, 330760393 req, miss ratio 0.0542, byte miss ratio 0.0542
result/moments_api_cache.0.oracleGeneral.sample10.zst LRU cache size     1913, 330760393 req, miss ratio 0.0528, byte miss ratio 0.0528
result/moments_api_cache.0.oracleGeneral.sample10.zst LRU cache size     6377, 330760393 req, miss ratio 0.0517, byte miss ratio 0.0517
result/moments_api_cache.0.oracleGeneral.sample10.zst LRU cache size    19131, 330760393 req, miss ratio 0.0496, byte miss ratio 0.0496
result/moments_api_cache.0.oracleGeneral.sample10.zst LRU cache size    63770, 330760393 req, miss ratio 0.0299, byte miss ratio 0.0299
result/moments_api_cache.0.oracleGeneral.sample10.zst LRU cache size   127541, 330760393 req, miss ratio 0.0272, byte miss ratio 0.0272
result/moments_api_cache.0.oracleGeneral.sample10.zst LRU cache size   255083, 330760393 req, miss ratio 0.0170, byte miss ratio 0.0170
result/moments_api_cache.0.oracleGeneral.sample10.zst LRU cache size   510167, 330760393 req, miss ratio 0.0021, byte miss ratio 0.0021
result/moments_api_cache.0.oracleGeneral.sample10.zst Cacheus cache size      637, 330760393 req, miss ratio 0.0542, byte miss ratio 0.0542
result/moments_api_cache.0.oracleGeneral.sample10.zst Cacheus cache size     1913, 330760393 req, miss ratio 0.0529, byte miss ratio 0.0529
result/moments_api_cache.0.oracleGeneral.sample10.zst Cacheus cache size     6377, 330760393 req, miss ratio 0.0517, byte miss ratio 0.0517
result/moments_api_cache.0.oracleGeneral.sample10.zst Cacheus cache size    19131, 330760393 req, miss ratio 0.0497, byte miss ratio 0.0497
result/moments_api_cache.0.oracleGeneral.sample10.zst Cacheus cache size    63770, 330760393 req, miss ratio 0.0299, byte miss ratio 0.0299
result/moments_api_cache.0.oracleGeneral.sample10.zst Cacheus cache size   127541, 330760393 req, miss ratio 0.0273, byte miss ratio 0.0273
result/moments_api_cache.0.oracleGeneral.sample10.zst Cacheus cache size   255083, 330760393 req, miss ratio 0.0166, byte miss ratio 0.0166
result/moments_api_cache.0.oracleGeneral.sample10.zst Cacheus cache size   510167, 330760393 req, miss ratio 0.0021, byte miss ratio 0.0021
result/moments_api_cache.0.oracleGeneral.sample10.zst S3FIFO-1 cache size      637, 330760393 req, miss ratio 0.0537, byte miss ratio 0.0537
result/moments_api_cache.0.oracleGeneral.sample10.zst S3FIFO-1 cache size     1913, 330760393 req, miss ratio 0.0528, byte miss ratio 0.0528
result/moments_api_cache.0.oracleGeneral.sample10.zst S3FIFO-1 cache size     6377, 330760393 req, miss ratio 0.0515, byte miss ratio 0.0515
result/moments_api_cache.0.oracleGeneral.sample10.zst S3FIFO-1 cache size    19131, 330760393 req, miss ratio 0.0488, byte miss ratio 0.0488
result/moments_api_cache.0.oracleGeneral.sample10.zst S3FIFO-1 cache size    63770, 330760393 req, miss ratio 0.0294, byte miss ratio 0.0294
result/moments_api_cache.0.oracleGeneral.sample10.zst S3FIFO-1 cache size   127541, 330760393 req, miss ratio 0.0264, byte miss ratio 0.0264
result/moments_api_cache.0.oracleGeneral.sample10.zst S3FIFO-1 cache size   255083, 330760393 req, miss ratio 0.0172, byte miss ratio 0.0172
result/moments_api_cache.0.oracleGeneral.sample10.zst S3FIFO-1 cache size   510167, 330760393 req, miss ratio 0.0022, byte miss ratio 0.0022
result/moments_api_cache.0.oracleGeneral.sample10.zst LeCaR cache size      637, 330760393 req, miss ratio 0.0543, byte miss ratio 0.0543
result/moments_api_cache.0.oracleGeneral.sample10.zst LeCaR cache size     1913, 330760393 req, miss ratio 0.0529, byte miss ratio 0.0529
result/moments_api_cache.0.oracleGeneral.sample10.zst LeCaR cache size     6377, 330760393 req, miss ratio 0.0519, byte miss ratio 0.0519
result/moments_api_cache.0.oracleGeneral.sample10.zst LeCaR cache size    19131, 330760393 req, miss ratio 0.0500, byte miss ratio 0.0500
result/moments_api_cache.0.oracleGeneral.sample10.zst LeCaR cache size    63770, 330760393 req, miss ratio 0.0307, byte miss ratio 0.0307
result/moments_api_cache.0.oracleGeneral.sample10.zst LeCaR cache size   127541, 330760393 req, miss ratio 0.0278, byte miss ratio 0.0278
result/moments_api_cache.0.oracleGeneral.sample10.zst LeCaR cache size   255083, 330760393 req, miss ratio 0.0139, byte miss ratio 0.0139
result/moments_api_cache.0.oracleGeneral.sample10.zst LeCaR cache size   510167, 330760393 req, miss ratio 0.0021, byte miss ratio 0.0021
result/moments_api_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size      637, 330760393 req, miss ratio 0.0545, byte miss ratio 0.0545
result/moments_api_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size     1913, 330760393 req, miss ratio 0.0530, byte miss ratio 0.0530
result/moments_api_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size     6377, 330760393 req, miss ratio 0.0518, byte miss ratio 0.0518
result/moments_api_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size    19131, 330760393 req, miss ratio 0.0499, byte miss ratio 0.0499
result/moments_api_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size    63770, 330760393 req, miss ratio 0.0301, byte miss ratio 0.0301
result/moments_api_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size   127541, 330760393 req, miss ratio 0.0273, byte miss ratio 0.0273
result/moments_api_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size   255083, 330760393 req, miss ratio 0.0160, byte miss ratio 0.0160
result/moments_api_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size   510167, 330760393 req, miss ratio 0.0021, byte miss ratio 0.0021
result/moments_api_cache.0.oracleGeneral.sample10.zst LRB cache size      637, 330760393 req, miss ratio 0.0590, byte miss ratio 0.0590
result/moments_api_cache.0.oracleGeneral.sample10.zst LRB cache size     1913, 330760393 req, miss ratio 0.0551, byte miss ratio 0.0551
result/moments_api_cache.0.oracleGeneral.sample10.zst LRB cache size     6377, 330760393 req, miss ratio 0.0476, byte miss ratio 0.0476
result/moments_api_cache.0.oracleGeneral.sample10.zst LRB cache size    19131, 330760393 req, miss ratio 0.0350, byte miss ratio 0.0350
result/moments_api_cache.0.oracleGeneral.sample10.zst LRB cache size    63770, 330760393 req, miss ratio 0.0282, byte miss ratio 0.0282
result/moments_api_cache.0.oracleGeneral.sample10.zst LRB cache size   127541, 330760393 req, miss ratio 0.0219, byte miss ratio 0.0219
result/moments_api_cache.0.oracleGeneral.sample10.zst LRB cache size   255083, 330760393 req, miss ratio 0.0105, byte miss ratio 0.0105
result/moments_api_cache.0.oracleGeneral.sample10.zst LRB cache size   510167, 330760393 req, miss ratio 0.0021, byte miss ratio 0.0021
result/moments_api_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size      637, 330760393 req, miss ratio 0.0536, byte miss ratio 0.0536
result/moments_api_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size     1913, 330760393 req, miss ratio 0.0527, byte miss ratio 0.0527
result/moments_api_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size     6377, 330760393 req, miss ratio 0.0511, byte miss ratio 0.0511
result/moments_api_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size    19131, 330760393 req, miss ratio 0.0471, byte miss ratio 0.0471
result/moments_api_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size    63770, 330760393 req, miss ratio 0.0299, byte miss ratio 0.0299
result/moments_api_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size   127541, 330760393 req, miss ratio 0.0269, byte miss ratio 0.0269
result/moments_api_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size   255083, 330760393 req, miss ratio 0.0194, byte miss ratio 0.0194
result/moments_api_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size   510167, 330760393 req, miss ratio 0.0021, byte miss ratio 0.0021
result/moments_api_cache.0.oracleGeneral.sample10.zst B-LRU cache size      637, 330760393 req, miss ratio 0.0558, byte miss ratio 0.0558
result/moments_api_cache.0.oracleGeneral.sample10.zst B-LRU cache size     1913, 330760393 req, miss ratio 0.0545, byte miss ratio 0.0545
result/moments_api_cache.0.oracleGeneral.sample10.zst B-LRU cache size     6377, 330760393 req, miss ratio 0.0533, byte miss ratio 0.0533
result/moments_api_cache.0.oracleGeneral.sample10.zst B-LRU cache size    19131, 330760393 req, miss ratio 0.0512, byte miss ratio 0.0512
result/moments_api_cache.0.oracleGeneral.sample10.zst B-LRU cache size    63770, 330760393 req, miss ratio 0.0316, byte miss ratio 0.0316
result/moments_api_cache.0.oracleGeneral.sample10.zst B-LRU cache size   127541, 330760393 req, miss ratio 0.0289, byte miss ratio 0.0289
result/moments_api_cache.0.oracleGeneral.sample10.zst B-LRU cache size   255083, 330760393 req, miss ratio 0.0180, byte miss ratio 0.0180
result/moments_api_cache.0.oracleGeneral.sample10.zst B-LRU cache size   510167, 330760393 req, miss ratio 0.0039, byte miss ratio 0.0039
result/moments_api_cache.0.oracleGeneral.sample10.zst TwoQ cache size      637, 330760393 req, miss ratio 0.0533, byte miss ratio 0.0533
result/moments_api_cache.0.oracleGeneral.sample10.zst TwoQ cache size     1913, 330760393 req, miss ratio 0.0519, byte miss ratio 0.0519
result/moments_api_cache.0.oracleGeneral.sample10.zst TwoQ cache size     6377, 330760393 req, miss ratio 0.0498, byte miss ratio 0.0498
result/moments_api_cache.0.oracleGeneral.sample10.zst TwoQ cache size    19131, 330760393 req, miss ratio 0.0441, byte miss ratio 0.0441
result/moments_api_cache.0.oracleGeneral.sample10.zst TwoQ cache size    63770, 330760393 req, miss ratio 0.0284, byte miss ratio 0.0284
result/moments_api_cache.0.oracleGeneral.sample10.zst TwoQ cache size   127541, 330760393 req, miss ratio 0.0236, byte miss ratio 0.0236
result/moments_api_cache.0.oracleGeneral.sample10.zst TwoQ cache size   255083, 330760393 req, miss ratio 0.0148, byte miss ratio 0.0148
result/moments_api_cache.0.oracleGeneral.sample10.zst TwoQ cache size   510167, 330760393 req, miss ratio 0.0033, byte miss ratio 0.0033
result/moments_api_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size      637, 330760393 req, miss ratio 0.0540, byte miss ratio 0.0540
result/moments_api_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size     1913, 330760393 req, miss ratio 0.0529, byte miss ratio 0.0529
result/moments_api_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size     6377, 330760393 req, miss ratio 0.0513, byte miss ratio 0.0513
result/moments_api_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size    19131, 330760393 req, miss ratio 0.0462, byte miss ratio 0.0462
result/moments_api_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size    63770, 330760393 req, miss ratio 0.0312, byte miss ratio 0.0312
result/moments_api_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size   127541, 330760393 req, miss ratio 0.0259, byte miss ratio 0.0259
result/moments_api_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size   255083, 330760393 req, miss ratio 0.0158, byte miss ratio 0.0158
result/moments_api_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size   510167, 330760393 req, miss ratio 0.0031, byte miss ratio 0.0031
result/moments_api_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size      637, 330760393 req, miss ratio 0.0549, byte miss ratio 0.0549
result/moments_api_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size     1913, 330760393 req, miss ratio 0.0531, byte miss ratio 0.0531
result/moments_api_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size     6377, 330760393 req, miss ratio 0.0519, byte miss ratio 0.0519
result/moments_api_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size    19131, 330760393 req, miss ratio 0.0500, byte miss ratio 0.0500
result/moments_api_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size    63770, 330760393 req, miss ratio 0.0305, byte miss ratio 0.0305
result/moments_api_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size   127541, 330760393 req, miss ratio 0.0277, byte miss ratio 0.0277
result/moments_api_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size   255083, 330760393 req, miss ratio 0.0160, byte miss ratio 0.0160
result/moments_api_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size   510167, 330760393 req, miss ratio 0.0021, byte miss ratio 0.0021
result/moments_api_cache.0.oracleGeneral.sample10.zst S3FIFO cache size      637, 330760393 req, miss ratio 0.0537, byte miss ratio 0.0537
result/moments_api_cache.0.oracleGeneral.sample10.zst S3FIFO cache size     1913, 330760393 req, miss ratio 0.0529, byte miss ratio 0.0529
result/moments_api_cache.0.oracleGeneral.sample10.zst S3FIFO cache size     6377, 330760393 req, miss ratio 0.0515, byte miss ratio 0.0515
result/moments_api_cache.0.oracleGeneral.sample10.zst S3FIFO cache size    19131, 330760393 req, miss ratio 0.0488, byte miss ratio 0.0488
result/moments_api_cache.0.oracleGeneral.sample10.zst S3FIFO cache size    63770, 330760393 req, miss ratio 0.0295, byte miss ratio 0.0295
result/moments_api_cache.0.oracleGeneral.sample10.zst S3FIFO cache size   127541, 330760393 req, miss ratio 0.0265, byte miss ratio 0.0265
result/moments_api_cache.0.oracleGeneral.sample10.zst S3FIFO cache size   255083, 330760393 req, miss ratio 0.0171, byte miss ratio 0.0171
result/moments_api_cache.0.oracleGeneral.sample10.zst S3FIFO cache size   510167, 330760393 req, miss ratio 0.0021, byte miss ratio 0.0021
result/moments_api_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size      637, 330760393 req, miss ratio 0.0544, byte miss ratio 0.0544
result/moments_api_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size     1913, 330760393 req, miss ratio 0.0531, byte miss ratio 0.0531
result/moments_api_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size     6377, 330760393 req, miss ratio 0.0473, byte miss ratio 0.0473
result/moments_api_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size    19131, 330760393 req, miss ratio 0.0373, byte miss ratio 0.0373
result/moments_api_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size    63770, 330760393 req, miss ratio 0.0285, byte miss ratio 0.0285
result/moments_api_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size   127541, 330760393 req, miss ratio 0.0224, byte miss ratio 0.0224
result/moments_api_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size   255083, 330760393 req, miss ratio 0.0111, byte miss ratio 0.0111
result/moments_api_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size   510167, 330760393 req, miss ratio 0.0021, byte miss ratio 0.0021
result/moments_api_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size      637, 330760393 req, miss ratio 0.0537, byte miss ratio 0.0537
result/moments_api_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size     1913, 330760393 req, miss ratio 0.0518, byte miss ratio 0.0518
result/moments_api_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size     6377, 330760393 req, miss ratio 0.0463, byte miss ratio 0.0463
result/moments_api_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size    19131, 330760393 req, miss ratio 0.0357, byte miss ratio 0.0357
result/moments_api_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size    63770, 330760393 req, miss ratio 0.0285, byte miss ratio 0.0285
result/moments_api_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size   127541, 330760393 req, miss ratio 0.0226, byte miss ratio 0.0226
result/moments_api_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size   255083, 330760393 req, miss ratio 0.0114, byte miss ratio 0.0114
result/moments_api_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size   510167, 330760393 req, miss ratio 0.0022, byte miss ratio 0.0022
