result/search_signal_ingester_cache.1.oracleGeneral.sample10.zst LRU cache size   969041, 111641628 req, miss ratio 0.0929, byte miss ratio 0.0929
result/search_signal_ingester_cache.1.oracleGeneral.sample10.zst LRU cache size  1938082, 111641628 req, miss ratio 0.0892, byte miss ratio 0.0892
result/search_signal_ingester_cache.1.oracleGeneral.sample10.zst LRU cache size  3876164, 111641628 req, miss ratio 0.0876, byte miss ratio 0.0876
result/search_signal_ingester_cache.1.oracleGeneral.sample10.zst LRU cache size  7752328, 111641628 req, miss ratio 0.0868, byte miss ratio 0.0868
result/search_signal_ingester_cache.1.oracleGeneral.sample10.zst FIFO cache size     9690, 111641628 req, miss ratio 0.2408, byte miss ratio 0.2408
result/search_signal_ingester_cache.1.oracleGeneral.sample10.zst FIFO cache size    29071, 111641628 req, miss ratio 0.1897, byte miss ratio 0.1897
result/search_signal_ingester_cache.1.oracleGeneral.sample10.zst FIFO cache size    96904, 111641628 req, miss ratio 0.1444, byte miss ratio 0.1444
result/search_signal_ingester_cache.1.oracleGeneral.sample10.zst FIFO cache size   290712, 111641628 req, miss ratio 0.1157, byte miss ratio 0.1157
result/search_signal_ingester_cache.1.oracleGeneral.sample10.zst FIFO cache size   969041, 111641628 req, miss ratio 0.0969, byte miss ratio 0.0969
result/search_signal_ingester_cache.1.oracleGeneral.sample10.zst FIFO cache size  1938082, 111641628 req, miss ratio 0.0910, byte miss ratio 0.0910
result/search_signal_ingester_cache.1.oracleGeneral.sample10.zst FIFO cache size  3876164, 111641628 req, miss ratio 0.0885, byte miss ratio 0.0885
result/search_signal_ingester_cache.1.oracleGeneral.sample10.zst FIFO cache size  7752328, 111641628 req, miss ratio 0.0871, byte miss ratio 0.0871
result/search_signal_ingester_cache.1.oracleGeneral.sample10.zst Clock cache size     9690, 111641628 req, miss ratio 0.2257, byte miss ratio 0.2257
result/search_signal_ingester_cache.1.oracleGeneral.sample10.zst Clock cache size    29071, 111641628 req, miss ratio 0.1762, byte miss ratio 0.1762
result/search_signal_ingester_cache.1.oracleGeneral.sample10.zst Clock cache size    96904, 111641628 req, miss ratio 0.1342, byte miss ratio 0.1342
result/search_signal_ingester_cache.1.oracleGeneral.sample10.zst Clock cache size   290712, 111641628 req, miss ratio 0.1093, byte miss ratio 0.1093
result/search_signal_ingester_cache.1.oracleGeneral.sample10.zst Clock cache size   969041, 111641628 req, miss ratio 0.0941, byte miss ratio 0.0941
result/search_signal_ingester_cache.1.oracleGeneral.sample10.zst Clock cache size  1938082, 111641628 req, miss ratio 0.0899, byte miss ratio 0.0899
result/search_signal_ingester_cache.1.oracleGeneral.sample10.zst Clock cache size  3876164, 111641628 req, miss ratio 0.0881, byte miss ratio 0.0881
result/search_signal_ingester_cache.1.oracleGeneral.sample10.zst Clock cache size  7752328, 111641628 req, miss ratio 0.0870, byte miss ratio 0.0870
result/search_signal_ingester_cache.1.oracleGeneral.sample10.zst S3FIFO-1 cache size     9690, 111641628 req, miss ratio 0.2078, byte miss ratio 0.2078
result/search_signal_ingester_cache.1.oracleGeneral.sample10.zst S3FIFO-1 cache size    29071, 111641628 req, miss ratio 0.1618, byte miss ratio 0.1618
result/search_signal_ingester_cache.1.oracleGeneral.sample10.zst S3FIFO-1 cache size    96904, 111641628 req, miss ratio 0.1245, byte miss ratio 0.1245
result/search_signal_ingester_cache.1.oracleGeneral.sample10.zst S3FIFO-1 cache size   290712, 111641628 req, miss ratio 0.1035, byte miss ratio 0.1035
result/search_signal_ingester_cache.1.oracleGeneral.sample10.zst S3FIFO-1 cache size   969041, 111641628 req, miss ratio 0.0920, byte miss ratio 0.0920
result/search_signal_ingester_cache.1.oracleGeneral.sample10.zst S3FIFO-1 cache size  1938082, 111641628 req, miss ratio 0.0889, byte miss ratio 0.0889
result/search_signal_ingester_cache.1.oracleGeneral.sample10.zst S3FIFO-1 cache size  3876164, 111641628 req, miss ratio 0.0879, byte miss ratio 0.0879
result/search_signal_ingester_cache.1.oracleGeneral.sample10.zst S3FIFO-1 cache size  7752328, 111641628 req, miss ratio 0.0870, byte miss ratio 0.0870
result/search_signal_ingester_cache.1.oracleGeneral.sample10.zst LHD cache size     9690, 111641628 req, miss ratio 0.1988, byte miss ratio 0.1988
result/search_signal_ingester_cache.1.oracleGeneral.sample10.zst LHD cache size    29071, 111641628 req, miss ratio 0.1573, byte miss ratio 0.1573
result/search_signal_ingester_cache.1.oracleGeneral.sample10.zst LHD cache size    96904, 111641628 req, miss ratio 0.1231, byte miss ratio 0.1231
result/search_signal_ingester_cache.1.oracleGeneral.sample10.zst LHD cache size   290712, 111641628 req, miss ratio 0.1034, byte miss ratio 0.1034
result/search_signal_ingester_cache.1.oracleGeneral.sample10.zst LHD cache size   969041, 111641628 req, miss ratio 0.0921, byte miss ratio 0.0921
result/search_signal_ingester_cache.1.oracleGeneral.sample10.zst LHD cache size  1938082, 111641628 req, miss ratio 0.0900, byte miss ratio 0.0900
result/search_signal_ingester_cache.1.oracleGeneral.sample10.zst LHD cache size  3876164, 111641628 req, miss ratio 0.0882, byte miss ratio 0.0882
result/search_signal_ingester_cache.1.oracleGeneral.sample10.zst LHD cache size  7752328, 111641628 req, miss ratio 0.0870, byte miss ratio 0.0870
result/search_signal_ingester_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size     9690, 111641628 req, miss ratio 0.2086, byte miss ratio 0.2086
result/search_signal_ingester_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size    29071, 111641628 req, miss ratio 0.1626, byte miss ratio 0.1626
result/search_signal_ingester_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size    96904, 111641628 req, miss ratio 0.1249, byte miss ratio 0.1249
result/search_signal_ingester_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size   290712, 111641628 req, miss ratio 0.1032, byte miss ratio 0.1032
result/search_signal_ingester_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size   969041, 111641628 req, miss ratio 0.0918, byte miss ratio 0.0918
result/search_signal_ingester_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size  1938082, 111641628 req, miss ratio 0.0889, byte miss ratio 0.0889
result/search_signal_ingester_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size  3876164, 111641628 req, miss ratio 0.0879, byte miss ratio 0.0879
result/search_signal_ingester_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size  7752328, 111641628 req, miss ratio 0.0870, byte miss ratio 0.0870
result/search_signal_ingester_cache.1.oracleGeneral.sample10.zst LRB cache size     9690, 111641628 req, miss ratio 0.1937, byte miss ratio 0.1937
result/search_signal_ingester_cache.1.oracleGeneral.sample10.zst LRB cache size    29071, 111641628 req, miss ratio 0.1584, byte miss ratio 0.1584
result/search_signal_ingester_cache.1.oracleGeneral.sample10.zst LRB cache size    96904, 111641628 req, miss ratio 0.1321, byte miss ratio 0.1321
result/search_signal_ingester_cache.1.oracleGeneral.sample10.zst LRB cache size   290712, 111641628 req, miss ratio 0.1087, byte miss ratio 0.1087
result/search_signal_ingester_cache.1.oracleGeneral.sample10.zst LRB cache size   969041, 111641628 req, miss ratio 0.0930, byte miss ratio 0.0930
result/search_signal_ingester_cache.1.oracleGeneral.sample10.zst LRB cache size  1938082, 111641628 req, miss ratio 0.0888, byte miss ratio 0.0888
result/search_signal_ingester_cache.1.oracleGeneral.sample10.zst LRB cache size  3876164, 111641628 req, miss ratio 0.0874, byte miss ratio 0.0874
result/search_signal_ingester_cache.1.oracleGeneral.sample10.zst LRB cache size  7752328, 111641628 req, miss ratio 0.0868, byte miss ratio 0.0868
result/search_signal_ingester_cache.1.oracleGeneral.sample10.zst TwoQ cache size     9690, 111641628 req, miss ratio 0.1967, byte miss ratio 0.1967
result/search_signal_ingester_cache.1.oracleGeneral.sample10.zst TwoQ cache size    29071, 111641628 req, miss ratio 0.1580, byte miss ratio 0.1580
result/search_signal_ingester_cache.1.oracleGeneral.sample10.zst TwoQ cache size    96904, 111641628 req, miss ratio 0.1272, byte miss ratio 0.1272
result/search_signal_ingester_cache.1.oracleGeneral.sample10.zst TwoQ cache size   290712, 111641628 req, miss ratio 0.1098, byte miss ratio 0.1098
result/search_signal_ingester_cache.1.oracleGeneral.sample10.zst TwoQ cache size   969041, 111641628 req, miss ratio 0.0965, byte miss ratio 0.0965
result/search_signal_ingester_cache.1.oracleGeneral.sample10.zst TwoQ cache size  1938082, 111641628 req, miss ratio 0.0902, byte miss ratio 0.0902
result/search_signal_ingester_cache.1.oracleGeneral.sample10.zst TwoQ cache size  3876164, 111641628 req, miss ratio 0.0884, byte miss ratio 0.0884
result/search_signal_ingester_cache.1.oracleGeneral.sample10.zst TwoQ cache size  7752328, 111641628 req, miss ratio 0.0871, byte miss ratio 0.0871
result/search_signal_ingester_cache.1.oracleGeneral.sample10.zst B-LRU cache size     9690, 111641628 req, miss ratio 0.3065, byte miss ratio 0.3065
result/search_signal_ingester_cache.1.oracleGeneral.sample10.zst B-LRU cache size    29071, 111641628 req, miss ratio 0.2578, byte miss ratio 0.2578
result/search_signal_ingester_cache.1.oracleGeneral.sample10.zst B-LRU cache size    96904, 111641628 req, miss ratio 0.2169, byte miss ratio 0.2169
result/search_signal_ingester_cache.1.oracleGeneral.sample10.zst B-LRU cache size   290712, 111641628 req, miss ratio 0.1931, byte miss ratio 0.1931
