result/timelines_ranked_tweet_cache.1.oracleGeneral.sample10.zst LHD cache size   102556, 13737445 req, miss ratio 0.0525, byte miss ratio 0.0525
result/timelines_ranked_tweet_cache.1.oracleGeneral.sample10.zst LHD cache size   205112, 13737445 req, miss ratio 0.0209, byte miss ratio 0.0209
result/timelines_ranked_tweet_cache.1.oracleGeneral.sample10.zst ARC cache size      256, 13737445 req, miss ratio 0.7220, byte miss ratio 0.7220
result/timelines_ranked_tweet_cache.1.oracleGeneral.sample10.zst ARC cache size      769, 13737445 req, miss ratio 0.6815, byte miss ratio 0.6815
result/timelines_ranked_tweet_cache.1.oracleGeneral.sample10.zst ARC cache size     2563, 13737445 req, miss ratio 0.5358, byte miss ratio 0.5358
result/timelines_ranked_tweet_cache.1.oracleGeneral.sample10.zst ARC cache size     7691, 13737445 req, miss ratio 0.3667, byte miss ratio 0.3667
result/timelines_ranked_tweet_cache.1.oracleGeneral.sample10.zst ARC cache size    25639, 13737445 req, miss ratio 0.1990, byte miss ratio 0.1990
result/timelines_ranked_tweet_cache.1.oracleGeneral.sample10.zst ARC cache size    51278, 13737445 req, miss ratio 0.1313, byte miss ratio 0.1313
result/timelines_ranked_tweet_cache.1.oracleGeneral.sample10.zst ARC cache size   102556, 13737445 req, miss ratio 0.0565, byte miss ratio 0.0565
result/timelines_ranked_tweet_cache.1.oracleGeneral.sample10.zst ARC cache size   205112, 13737445 req, miss ratio 0.0201, byte miss ratio 0.0201
result/timelines_ranked_tweet_cache.1.oracleGeneral.sample10.zst FIFO cache size      256, 13737445 req, miss ratio 0.7200, byte miss ratio 0.7200
result/timelines_ranked_tweet_cache.1.oracleGeneral.sample10.zst FIFO cache size      769, 13737445 req, miss ratio 0.7122, byte miss ratio 0.7122
result/timelines_ranked_tweet_cache.1.oracleGeneral.sample10.zst FIFO cache size     2563, 13737445 req, miss ratio 0.5953, byte miss ratio 0.5953
result/timelines_ranked_tweet_cache.1.oracleGeneral.sample10.zst FIFO cache size     7691, 13737445 req, miss ratio 0.4010, byte miss ratio 0.4010
result/timelines_ranked_tweet_cache.1.oracleGeneral.sample10.zst FIFO cache size    25639, 13737445 req, miss ratio 0.2162, byte miss ratio 0.2162
result/timelines_ranked_tweet_cache.1.oracleGeneral.sample10.zst FIFO cache size    51278, 13737445 req, miss ratio 0.1393, byte miss ratio 0.1393
result/timelines_ranked_tweet_cache.1.oracleGeneral.sample10.zst FIFO cache size   102556, 13737445 req, miss ratio 0.0748, byte miss ratio 0.0748
result/timelines_ranked_tweet_cache.1.oracleGeneral.sample10.zst FIFO cache size   205112, 13737445 req, miss ratio 0.0270, byte miss ratio 0.0270
result/timelines_ranked_tweet_cache.1.oracleGeneral.sample10.zst LIRS cache size      256, 13737445 req, miss ratio 0.9735, byte miss ratio 0.9735
result/timelines_ranked_tweet_cache.1.oracleGeneral.sample10.zst LIRS cache size      769, 13737445 req, miss ratio 0.8572, byte miss ratio 0.8572
result/timelines_ranked_tweet_cache.1.oracleGeneral.sample10.zst LIRS cache size     2563, 13737445 req, miss ratio 0.5284, byte miss ratio 0.5284
result/timelines_ranked_tweet_cache.1.oracleGeneral.sample10.zst LIRS cache size     7691, 13737445 req, miss ratio 0.3660, byte miss ratio 0.3660
result/timelines_ranked_tweet_cache.1.oracleGeneral.sample10.zst LIRS cache size    25639, 13737445 req, miss ratio 0.1977, byte miss ratio 0.1977
result/timelines_ranked_tweet_cache.1.oracleGeneral.sample10.zst LIRS cache size    51278, 13737445 req, miss ratio 0.1281, byte miss ratio 0.1281
result/timelines_ranked_tweet_cache.1.oracleGeneral.sample10.zst LIRS cache size   102556, 13737445 req, miss ratio 0.0555, byte miss ratio 0.0555
result/timelines_ranked_tweet_cache.1.oracleGeneral.sample10.zst LIRS cache size   205112, 13737445 req, miss ratio 0.0201, byte miss ratio 0.0201
result/timelines_ranked_tweet_cache.1.oracleGeneral.sample10.zst LeCaR cache size      256, 13737445 req, miss ratio 0.7197, byte miss ratio 0.7197
result/timelines_ranked_tweet_cache.1.oracleGeneral.sample10.zst LeCaR cache size      769, 13737445 req, miss ratio 0.6738, byte miss ratio 0.6738
result/timelines_ranked_tweet_cache.1.oracleGeneral.sample10.zst LeCaR cache size     2563, 13737445 req, miss ratio 0.5387, byte miss ratio 0.5387
result/timelines_ranked_tweet_cache.1.oracleGeneral.sample10.zst LeCaR cache size     7691, 13737445 req, miss ratio 0.3716, byte miss ratio 0.3716
result/timelines_ranked_tweet_cache.1.oracleGeneral.sample10.zst LeCaR cache size    25639, 13737445 req, miss ratio 0.1848, byte miss ratio 0.1848
result/timelines_ranked_tweet_cache.1.oracleGeneral.sample10.zst LeCaR cache size    51278, 13737445 req, miss ratio 0.1176, byte miss ratio 0.1176
result/timelines_ranked_tweet_cache.1.oracleGeneral.sample10.zst LeCaR cache size   102556, 13737445 req, miss ratio 0.0539, byte miss ratio 0.0539
result/timelines_ranked_tweet_cache.1.oracleGeneral.sample10.zst LeCaR cache size   205112, 13737445 req, miss ratio 0.0201, byte miss ratio 0.0201
result/timelines_ranked_tweet_cache.1.oracleGeneral.sample10.zst clock2 cache size      256, 13737445 req, miss ratio 0.7198, byte miss ratio 0.7198
result/timelines_ranked_tweet_cache.1.oracleGeneral.sample10.zst clock2 cache size      769, 13737445 req, miss ratio 0.7042, byte miss ratio 0.7042
result/timelines_ranked_tweet_cache.1.oracleGeneral.sample10.zst clock2 cache size     2563, 13737445 req, miss ratio 0.5558, byte miss ratio 0.5558
result/timelines_ranked_tweet_cache.1.oracleGeneral.sample10.zst clock2 cache size     7691, 13737445 req, miss ratio 0.3793, byte miss ratio 0.3793
result/timelines_ranked_tweet_cache.1.oracleGeneral.sample10.zst clock2 cache size    25639, 13737445 req, miss ratio 0.1799, byte miss ratio 0.1799
result/timelines_ranked_tweet_cache.1.oracleGeneral.sample10.zst clock2 cache size    51278, 13737445 req, miss ratio 0.1152, byte miss ratio 0.1152
result/timelines_ranked_tweet_cache.1.oracleGeneral.sample10.zst clock2 cache size   102556, 13737445 req, miss ratio 0.0511, byte miss ratio 0.0511
result/timelines_ranked_tweet_cache.1.oracleGeneral.sample10.zst clock2 cache size   205112, 13737445 req, miss ratio 0.0201, byte miss ratio 0.0201
result/timelines_ranked_tweet_cache.1.oracleGeneral.sample10.zst S3FIFO-1 cache size      256, 13737445 req, miss ratio 0.7228, byte miss ratio 0.7228
result/timelines_ranked_tweet_cache.1.oracleGeneral.sample10.zst S3FIFO-1 cache size      769, 13737445 req, miss ratio 0.6621, byte miss ratio 0.6621
result/timelines_ranked_tweet_cache.1.oracleGeneral.sample10.zst S3FIFO-1 cache size     2563, 13737445 req, miss ratio 0.5291, byte miss ratio 0.5291
result/timelines_ranked_tweet_cache.1.oracleGeneral.sample10.zst S3FIFO-1 cache size     7691, 13737445 req, miss ratio 0.3666, byte miss ratio 0.3666
result/timelines_ranked_tweet_cache.1.oracleGeneral.sample10.zst S3FIFO-1 cache size    25639, 13737445 req, miss ratio 0.1812, byte miss ratio 0.1812
result/timelines_ranked_tweet_cache.1.oracleGeneral.sample10.zst S3FIFO-1 cache size    51278, 13737445 req, miss ratio 0.1157, byte miss ratio 0.1157
result/timelines_ranked_tweet_cache.1.oracleGeneral.sample10.zst S3FIFO-1 cache size   102556, 13737445 req, miss ratio 0.0489, byte miss ratio 0.0489
result/timelines_ranked_tweet_cache.1.oracleGeneral.sample10.zst S3FIFO-1 cache size   205112, 13737445 req, miss ratio 0.0204, byte miss ratio 0.0204
result/timelines_ranked_tweet_cache.1.oracleGeneral.sample10.zst Cacheus cache size      256, 13737445 req, miss ratio 0.7199, byte miss ratio 0.7199
result/timelines_ranked_tweet_cache.1.oracleGeneral.sample10.zst Cacheus cache size      769, 13737445 req, miss ratio 0.6908, byte miss ratio 0.6908
result/timelines_ranked_tweet_cache.1.oracleGeneral.sample10.zst Cacheus cache size     2563, 13737445 req, miss ratio 0.5475, byte miss ratio 0.5475
result/timelines_ranked_tweet_cache.1.oracleGeneral.sample10.zst Cacheus cache size     7691, 13737445 req, miss ratio 0.3651, byte miss ratio 0.3651
result/timelines_ranked_tweet_cache.1.oracleGeneral.sample10.zst Cacheus cache size    25639, 13737445 req, miss ratio 0.1800, byte miss ratio 0.1800
result/timelines_ranked_tweet_cache.1.oracleGeneral.sample10.zst Cacheus cache size    51278, 13737445 req, miss ratio 0.1298, byte miss ratio 0.1298
result/timelines_ranked_tweet_cache.1.oracleGeneral.sample10.zst Cacheus cache size   102556, 13737445 req, miss ratio 0.0528, byte miss ratio 0.0528
result/timelines_ranked_tweet_cache.1.oracleGeneral.sample10.zst Cacheus cache size   205112, 13737445 req, miss ratio 0.0206, byte miss ratio 0.0206
result/timelines_ranked_tweet_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size      256, 13737445 req, miss ratio 0.7179, byte miss ratio 0.7179
result/timelines_ranked_tweet_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size      769, 13737445 req, miss ratio 0.6653, byte miss ratio 0.6653
result/timelines_ranked_tweet_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size     2563, 13737445 req, miss ratio 0.5290, byte miss ratio 0.5290
result/timelines_ranked_tweet_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size     7691, 13737445 req, miss ratio 0.3760, byte miss ratio 0.3760
result/timelines_ranked_tweet_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size    25639, 13737445 req, miss ratio 0.1799, byte miss ratio 0.1799
result/timelines_ranked_tweet_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size    51278, 13737445 req, miss ratio 0.1156, byte miss ratio 0.1156
result/timelines_ranked_tweet_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size   102556, 13737445 req, miss ratio 0.0483, byte miss ratio 0.0483
result/timelines_ranked_tweet_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size   205112, 13737445 req, miss ratio 0.0204, byte miss ratio 0.0204
result/timelines_ranked_tweet_cache.1.oracleGeneral.sample10.zst LRB cache size      256, 13737445 req, miss ratio 0.8600, byte miss ratio 0.8600
result/timelines_ranked_tweet_cache.1.oracleGeneral.sample10.zst LRB cache size      769, 13737445 req, miss ratio 0.7096, byte miss ratio 0.7096
result/timelines_ranked_tweet_cache.1.oracleGeneral.sample10.zst LRB cache size     2563, 13737445 req, miss ratio 0.5329, byte miss ratio 0.5329
result/timelines_ranked_tweet_cache.1.oracleGeneral.sample10.zst LRB cache size     7691, 13737445 req, miss ratio 0.3529, byte miss ratio 0.3529
result/timelines_ranked_tweet_cache.1.oracleGeneral.sample10.zst LRB cache size    25639, 13737445 req, miss ratio 0.1879, byte miss ratio 0.1879
result/timelines_ranked_tweet_cache.1.oracleGeneral.sample10.zst LRB cache size    51278, 13737445 req, miss ratio 0.1092, byte miss ratio 0.1092
result/timelines_ranked_tweet_cache.1.oracleGeneral.sample10.zst LRB cache size   102556, 13737445 req, miss ratio 0.0469, byte miss ratio 0.0469
result/timelines_ranked_tweet_cache.1.oracleGeneral.sample10.zst LRB cache size   205112, 13737445 req, miss ratio 0.0207, byte miss ratio 0.0207
result/timelines_ranked_tweet_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size      256, 13737445 req, miss ratio 0.7185, byte miss ratio 0.7185
result/timelines_ranked_tweet_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size      769, 13737445 req, miss ratio 0.6820, byte miss ratio 0.6820
result/timelines_ranked_tweet_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size     2563, 13737445 req, miss ratio 0.5632, byte miss ratio 0.5632
result/timelines_ranked_tweet_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size     7691, 13737445 req, miss ratio 0.4012, byte miss ratio 0.4012
result/timelines_ranked_tweet_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size    25639, 13737445 req, miss ratio 0.2045, byte miss ratio 0.2045
result/timelines_ranked_tweet_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size    51278, 13737445 req, miss ratio 0.1249, byte miss ratio 0.1249
result/timelines_ranked_tweet_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size   102556, 13737445 req, miss ratio 0.0587, byte miss ratio 0.0587
result/timelines_ranked_tweet_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size   205112, 13737445 req, miss ratio 0.0248, byte miss ratio 0.0248
result/timelines_ranked_tweet_cache.1.oracleGeneral.sample10.zst B-LRU cache size      256, 13737445 req, miss ratio 0.7311, byte miss ratio 0.7311
result/timelines_ranked_tweet_cache.1.oracleGeneral.sample10.zst B-LRU cache size      769, 13737445 req, miss ratio 0.7219, byte miss ratio 0.7219
result/timelines_ranked_tweet_cache.1.oracleGeneral.sample10.zst B-LRU cache size     2563, 13737445 req, miss ratio 0.5791, byte miss ratio 0.5791
result/timelines_ranked_tweet_cache.1.oracleGeneral.sample10.zst B-LRU cache size     7691, 13737445 req, miss ratio 0.3754, byte miss ratio 0.3754
result/timelines_ranked_tweet_cache.1.oracleGeneral.sample10.zst B-LRU cache size    25639, 13737445 req, miss ratio 0.1945, byte miss ratio 0.1945
result/timelines_ranked_tweet_cache.1.oracleGeneral.sample10.zst B-LRU cache size    51278, 13737445 req, miss ratio 0.1305, byte miss ratio 0.1305
result/timelines_ranked_tweet_cache.1.oracleGeneral.sample10.zst B-LRU cache size   102556, 13737445 req, miss ratio 0.0696, byte miss ratio 0.0696
result/timelines_ranked_tweet_cache.1.oracleGeneral.sample10.zst B-LRU cache size   205112, 13737445 req, miss ratio 0.0369, byte miss ratio 0.0369
result/timelines_ranked_tweet_cache.1.oracleGeneral.sample10.zst TwoQ cache size      256, 13737445 req, miss ratio 0.7080, byte miss ratio 0.7080
result/timelines_ranked_tweet_cache.1.oracleGeneral.sample10.zst TwoQ cache size      769, 13737445 req, miss ratio 0.6848, byte miss ratio 0.6848
result/timelines_ranked_tweet_cache.1.oracleGeneral.sample10.zst TwoQ cache size     2563, 13737445 req, miss ratio 0.5458, byte miss ratio 0.5458
result/timelines_ranked_tweet_cache.1.oracleGeneral.sample10.zst TwoQ cache size     7691, 13737445 req, miss ratio 0.3746, byte miss ratio 0.3746
result/timelines_ranked_tweet_cache.1.oracleGeneral.sample10.zst TwoQ cache size    25639, 13737445 req, miss ratio 0.1888, byte miss ratio 0.1888
result/timelines_ranked_tweet_cache.1.oracleGeneral.sample10.zst TwoQ cache size    51278, 13737445 req, miss ratio 0.1201, byte miss ratio 0.1201
result/timelines_ranked_tweet_cache.1.oracleGeneral.sample10.zst TwoQ cache size   102556, 13737445 req, miss ratio 0.0565, byte miss ratio 0.0565
result/timelines_ranked_tweet_cache.1.oracleGeneral.sample10.zst TwoQ cache size   205112, 13737445 req, miss ratio 0.0270, byte miss ratio 0.0270
result/timelines_ranked_tweet_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size      256, 13737445 req, miss ratio 0.7130, byte miss ratio 0.7130
result/timelines_ranked_tweet_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size      769, 13737445 req, miss ratio 0.6936, byte miss ratio 0.6936
