result/cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst clock2 cache size 13242861, 182558107 req, miss ratio 0.0907, byte miss ratio 0.0907
result/cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst Clock cache size    16553, 182558107 req, miss ratio 0.1417, byte miss ratio 0.1417
result/cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst Clock cache size    49660, 182558107 req, miss ratio 0.1233, byte miss ratio 0.1233
result/cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst Clock cache size   165535, 182558107 req, miss ratio 0.1081, byte miss ratio 0.1081
result/cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst Clock cache size   496607, 182558107 req, miss ratio 0.0991, byte miss ratio 0.0991
result/cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst Clock cache size  1655357, 182558107 req, miss ratio 0.0934, byte miss ratio 0.0934
result/cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst Clock cache size  3310715, 182558107 req, miss ratio 0.0918, byte miss ratio 0.0918
result/cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst Clock cache size  6621430, 182558107 req, miss ratio 0.0910, byte miss ratio 0.0910
result/cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst Clock cache size 13242861, 182558107 req, miss ratio 0.0907, byte miss ratio 0.0907
result/cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst LeCaR cache size    16553, 182558107 req, miss ratio 0.1394, byte miss ratio 0.1394
result/cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst LeCaR cache size    49660, 182558107 req, miss ratio 0.1212, byte miss ratio 0.1212
result/cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst LeCaR cache size   165535, 182558107 req, miss ratio 0.1066, byte miss ratio 0.1066
result/cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst LeCaR cache size   496607, 182558107 req, miss ratio 0.0981, byte miss ratio 0.0981
result/cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst LeCaR cache size  1655357, 182558107 req, miss ratio 0.0929, byte miss ratio 0.0929
result/cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst LeCaR cache size  3310715, 182558107 req, miss ratio 0.0916, byte miss ratio 0.0916
result/cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst LeCaR cache size  6621430, 182558107 req, miss ratio 0.0909, byte miss ratio 0.0909
result/cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst LeCaR cache size 13242861, 182558107 req, miss ratio 0.0907, byte miss ratio 0.0907
result/cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size    16553, 182558107 req, miss ratio 0.1339, byte miss ratio 0.1339
result/cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size    49660, 182558107 req, miss ratio 0.1170, byte miss ratio 0.1170
result/cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size   165535, 182558107 req, miss ratio 0.1040, byte miss ratio 0.1040
result/cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size   496607, 182558107 req, miss ratio 0.0966, byte miss ratio 0.0966
result/cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size  1655357, 182558107 req, miss ratio 0.0926, byte miss ratio 0.0926
result/cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size  3310715, 182558107 req, miss ratio 0.0915, byte miss ratio 0.0915
result/cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size  6621430, 182558107 req, miss ratio 0.0910, byte miss ratio 0.0910
result/cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size 13242861, 182558107 req, miss ratio 0.0907, byte miss ratio 0.0907
result/cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst LRB cache size    16553, 182558107 req, miss ratio 0.1499, byte miss ratio 0.1499
result/cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst LRB cache size    49660, 182558107 req, miss ratio 0.1231, byte miss ratio 0.1231
result/cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst LRB cache size   165535, 182558107 req, miss ratio 0.1078, byte miss ratio 0.1078
result/cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst LRB cache size   496607, 182558107 req, miss ratio 0.0988, byte miss ratio 0.0988
result/cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst LRB cache size  1655357, 182558107 req, miss ratio 0.0933, byte miss ratio 0.0933
result/cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst LRB cache size  3310715, 182558107 req, miss ratio 0.0917, byte miss ratio 0.0917
result/cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst LRB cache size  6621430, 182558107 req, miss ratio 0.0910, byte miss ratio 0.0910
result/cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst LRB cache size 13242861, 182558107 req, miss ratio 0.0907, byte miss ratio 0.0907
result/cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst TwoQ cache size    16553, 182558107 req, miss ratio 0.1317, byte miss ratio 0.1317
result/cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst TwoQ cache size    49660, 182558107 req, miss ratio 0.1177, byte miss ratio 0.1177
result/cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst TwoQ cache size   165535, 182558107 req, miss ratio 0.1068, byte miss ratio 0.1068
result/cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst TwoQ cache size   496607, 182558107 req, miss ratio 0.1003, byte miss ratio 0.1003
result/cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst TwoQ cache size  1655357, 182558107 req, miss ratio 0.0941, byte miss ratio 0.0941
result/cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst TwoQ cache size  3310715, 182558107 req, miss ratio 0.0922, byte miss ratio 0.0922
result/cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst TwoQ cache size  6621430, 182558107 req, miss ratio 0.0914, byte miss ratio 0.0914
result/cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst TwoQ cache size 13242861, 182558107 req, miss ratio 0.0908, byte miss ratio 0.0908
result/cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size    16553, 182558107 req, miss ratio 0.1465, byte miss ratio 0.1465
result/cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size    49660, 182558107 req, miss ratio 0.1255, byte miss ratio 0.1255
result/cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size   165535, 182558107 req, miss ratio 0.1085, byte miss ratio 0.1085
result/cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size   496607, 182558107 req, miss ratio 0.0988, byte miss ratio 0.0988
result/cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size  1655357, 182558107 req, miss ratio 0.0940, byte miss ratio 0.0940
result/cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size  3310715, 182558107 req, miss ratio 0.0922, byte miss ratio 0.0922
result/cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size  6621430, 182558107 req, miss ratio 0.0910, byte miss ratio 0.0910
result/cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size 13242861, 182558107 req, miss ratio 0.0907, byte miss ratio 0.0907
result/cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size    16553, 182558107 req, miss ratio 0.1401, byte miss ratio 0.1401
result/cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size    49660, 182558107 req, miss ratio 0.1217, byte miss ratio 0.1217
result/cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size   165535, 182558107 req, miss ratio 0.1068, byte miss ratio 0.1068
result/cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size   496607, 182558107 req, miss ratio 0.0981, byte miss ratio 0.0981
result/cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size  1655357, 182558107 req, miss ratio 0.0929, byte miss ratio 0.0929
result/cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size  3310715, 182558107 req, miss ratio 0.0916, byte miss ratio 0.0916
result/cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size  6621430, 182558107 req, miss ratio 0.0909, byte miss ratio 0.0909
result/cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size 13242861, 182558107 req, miss ratio 0.0907, byte miss ratio 0.0907
result/cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst B-LRU cache size    16553, 182558107 req, miss ratio 0.1991, byte miss ratio 0.1991
result/cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst B-LRU cache size    49660, 182558107 req, miss ratio 0.1816, byte miss ratio 0.1816
result/cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst B-LRU cache size   165535, 182558107 req, miss ratio 0.1679, byte miss ratio 0.1679
result/cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst B-LRU cache size   496607, 182558107 req, miss ratio 0.1601, byte miss ratio 0.1601
result/cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst B-LRU cache size  1655357, 182558107 req, miss ratio 0.1554, byte miss ratio 0.1554
result/cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst B-LRU cache size  3310715, 182558107 req, miss ratio 0.1544, byte miss ratio 0.1544
result/cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst B-LRU cache size  6621430, 182558107 req, miss ratio 0.1538, byte miss ratio 0.1538
result/cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst B-LRU cache size 13242861, 182558107 req, miss ratio 0.1537, byte miss ratio 0.1537
result/cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size    16553, 182558107 req, miss ratio 0.1346, byte miss ratio 0.1346
result/cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size    49660, 182558107 req, miss ratio 0.1174, byte miss ratio 0.1174
result/cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size   165535, 182558107 req, miss ratio 0.1042, byte miss ratio 0.1042
result/cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size   496607, 182558107 req, miss ratio 0.0966, byte miss ratio 0.0966
result/cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size  1655357, 182558107 req, miss ratio 0.0926, byte miss ratio 0.0926
result/cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size  3310715, 182558107 req, miss ratio 0.0915, byte miss ratio 0.0915
result/cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size  6621430, 182558107 req, miss ratio 0.0910, byte miss ratio 0.0910
result/cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size 13242861, 182558107 req, miss ratio 0.0907, byte miss ratio 0.0907
result/cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO cache size    16553, 182558107 req, miss ratio 0.1339, byte miss ratio 0.1339
result/cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO cache size    49660, 182558107 req, miss ratio 0.1172, byte miss ratio 0.1172
result/cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO cache size   165535, 182558107 req, miss ratio 0.1041, byte miss ratio 0.1041
