result/simclusters_v2_entity_cluster_scores_cache.1.oracleGeneral.sample10.zst Cacheus cache size 15851541, 825591125 req, miss ratio 0.0491, byte miss ratio 0.0491
result/simclusters_v2_entity_cluster_scores_cache.1.oracleGeneral.sample10.zst Cacheus cache size 31703082, 825591125 req, miss ratio 0.0481, byte miss ratio 0.0481
result/simclusters_v2_entity_cluster_scores_cache.1.oracleGeneral.sample10.zst LRU cache size    39628, 825591125 req, miss ratio 0.2165, byte miss ratio 0.2165
result/simclusters_v2_entity_cluster_scores_cache.1.oracleGeneral.sample10.zst LRU cache size   118886, 825591125 req, miss ratio 0.1532, byte miss ratio 0.1532
result/simclusters_v2_entity_cluster_scores_cache.1.oracleGeneral.sample10.zst LRU cache size   396288, 825591125 req, miss ratio 0.1020, byte miss ratio 0.1020
result/simclusters_v2_entity_cluster_scores_cache.1.oracleGeneral.sample10.zst LRU cache size  1188865, 825591125 req, miss ratio 0.0726, byte miss ratio 0.0726
result/simclusters_v2_entity_cluster_scores_cache.1.oracleGeneral.sample10.zst LRU cache size  3962885, 825591125 req, miss ratio 0.0557, byte miss ratio 0.0557
result/simclusters_v2_entity_cluster_scores_cache.1.oracleGeneral.sample10.zst LRU cache size  7925770, 825591125 req, miss ratio 0.0511, byte miss ratio 0.0511
result/simclusters_v2_entity_cluster_scores_cache.1.oracleGeneral.sample10.zst LRU cache size 15851541, 825591125 req, miss ratio 0.0491, byte miss ratio 0.0491
result/simclusters_v2_entity_cluster_scores_cache.1.oracleGeneral.sample10.zst LRU cache size 31703082, 825591125 req, miss ratio 0.0481, byte miss ratio 0.0481
result/simclusters_v2_entity_cluster_scores_cache.1.oracleGeneral.sample10.zst LIRS cache size    39628, 825591125 req, miss ratio 0.2252, byte miss ratio 0.2252
result/simclusters_v2_entity_cluster_scores_cache.1.oracleGeneral.sample10.zst LIRS cache size   118886, 825591125 req, miss ratio 0.1532, byte miss ratio 0.1532
result/simclusters_v2_entity_cluster_scores_cache.1.oracleGeneral.sample10.zst LIRS cache size   396288, 825591125 req, miss ratio 0.1020, byte miss ratio 0.1020
result/simclusters_v2_entity_cluster_scores_cache.1.oracleGeneral.sample10.zst LIRS cache size  1188865, 825591125 req, miss ratio 0.0726, byte miss ratio 0.0726
result/simclusters_v2_entity_cluster_scores_cache.1.oracleGeneral.sample10.zst LIRS cache size  3962885, 825591125 req, miss ratio 0.0557, byte miss ratio 0.0557
result/simclusters_v2_entity_cluster_scores_cache.1.oracleGeneral.sample10.zst LIRS cache size  7925770, 825591125 req, miss ratio 0.0511, byte miss ratio 0.0511
result/simclusters_v2_entity_cluster_scores_cache.1.oracleGeneral.sample10.zst LIRS cache size 15851541, 825591125 req, miss ratio 0.0491, byte miss ratio 0.0491
result/simclusters_v2_entity_cluster_scores_cache.1.oracleGeneral.sample10.zst LIRS cache size 31703082, 825591125 req, miss ratio 0.0481, byte miss ratio 0.0481
