result/timelines_follow_socialproof_cache.0.oracleGeneral.sample10.zst LeCaR cache size 17278124, 108901801 req, miss ratio 0.2003, byte miss ratio 0.2003
result/timelines_follow_socialproof_cache.0.oracleGeneral.sample10.zst clock2 cache size    21597, 108901801 req, miss ratio 0.7522, byte miss ratio 0.7522
result/timelines_follow_socialproof_cache.0.oracleGeneral.sample10.zst clock2 cache size    64792, 108901801 req, miss ratio 0.6542, byte miss ratio 0.6542
result/timelines_follow_socialproof_cache.0.oracleGeneral.sample10.zst clock2 cache size   215976, 108901801 req, miss ratio 0.5412, byte miss ratio 0.5412
result/timelines_follow_socialproof_cache.0.oracleGeneral.sample10.zst clock2 cache size   647929, 108901801 req, miss ratio 0.4218, byte miss ratio 0.4218
result/timelines_follow_socialproof_cache.0.oracleGeneral.sample10.zst clock2 cache size  2159765, 108901801 req, miss ratio 0.3370, byte miss ratio 0.3370
result/timelines_follow_socialproof_cache.0.oracleGeneral.sample10.zst clock2 cache size  4319531, 108901801 req, miss ratio 0.2926, byte miss ratio 0.2926
result/timelines_follow_socialproof_cache.0.oracleGeneral.sample10.zst clock2 cache size  8639062, 108901801 req, miss ratio 0.2377, byte miss ratio 0.2377
result/timelines_follow_socialproof_cache.0.oracleGeneral.sample10.zst clock2 cache size 17278124, 108901801 req, miss ratio 0.2005, byte miss ratio 0.2005
result/timelines_follow_socialproof_cache.0.oracleGeneral.sample10.zst LIRS cache size    21597, 108901801 req, miss ratio 0.7323, byte miss ratio 0.7323
result/timelines_follow_socialproof_cache.0.oracleGeneral.sample10.zst LIRS cache size    64792, 108901801 req, miss ratio 0.6461, byte miss ratio 0.6461
result/timelines_follow_socialproof_cache.0.oracleGeneral.sample10.zst LIRS cache size   215976, 108901801 req, miss ratio 0.5303, byte miss ratio 0.5303
result/timelines_follow_socialproof_cache.0.oracleGeneral.sample10.zst LIRS cache size   647929, 108901801 req, miss ratio 0.4227, byte miss ratio 0.4227
result/timelines_follow_socialproof_cache.0.oracleGeneral.sample10.zst LIRS cache size  2159765, 108901801 req, miss ratio 0.3369, byte miss ratio 0.3369
result/timelines_follow_socialproof_cache.0.oracleGeneral.sample10.zst LIRS cache size  4319531, 108901801 req, miss ratio 0.2828, byte miss ratio 0.2828
result/timelines_follow_socialproof_cache.0.oracleGeneral.sample10.zst LIRS cache size  8639062, 108901801 req, miss ratio 0.2343, byte miss ratio 0.2343
result/timelines_follow_socialproof_cache.0.oracleGeneral.sample10.zst LIRS cache size 17278124, 108901801 req, miss ratio 0.2024, byte miss ratio 0.2024
result/timelines_follow_socialproof_cache.0.oracleGeneral.sample10.zst ARC cache size    21597, 108901801 req, miss ratio 0.7349, byte miss ratio 0.7349
result/timelines_follow_socialproof_cache.0.oracleGeneral.sample10.zst ARC cache size    64792, 108901801 req, miss ratio 0.6456, byte miss ratio 0.6456
result/timelines_follow_socialproof_cache.0.oracleGeneral.sample10.zst ARC cache size   215976, 108901801 req, miss ratio 0.5293, byte miss ratio 0.5293
result/timelines_follow_socialproof_cache.0.oracleGeneral.sample10.zst ARC cache size   647929, 108901801 req, miss ratio 0.4214, byte miss ratio 0.4214
result/timelines_follow_socialproof_cache.0.oracleGeneral.sample10.zst ARC cache size  2159765, 108901801 req, miss ratio 0.3360, byte miss ratio 0.3360
result/timelines_follow_socialproof_cache.0.oracleGeneral.sample10.zst ARC cache size  4319531, 108901801 req, miss ratio 0.2832, byte miss ratio 0.2832
result/timelines_follow_socialproof_cache.0.oracleGeneral.sample10.zst ARC cache size  8639062, 108901801 req, miss ratio 0.2317, byte miss ratio 0.2317
result/timelines_follow_socialproof_cache.0.oracleGeneral.sample10.zst ARC cache size 17278124, 108901801 req, miss ratio 0.2005, byte miss ratio 0.2005
result/timelines_follow_socialproof_cache.0.oracleGeneral.sample10.zst S3FIFO-1 cache size    21597, 108901801 req, miss ratio 0.7228, byte miss ratio 0.7228
result/timelines_follow_socialproof_cache.0.oracleGeneral.sample10.zst S3FIFO-1 cache size    64792, 108901801 req, miss ratio 0.6366, byte miss ratio 0.6366
result/timelines_follow_socialproof_cache.0.oracleGeneral.sample10.zst S3FIFO-1 cache size   215976, 108901801 req, miss ratio 0.5189, byte miss ratio 0.5189
result/timelines_follow_socialproof_cache.0.oracleGeneral.sample10.zst S3FIFO-1 cache size   647929, 108901801 req, miss ratio 0.4117, byte miss ratio 0.4117
result/timelines_follow_socialproof_cache.0.oracleGeneral.sample10.zst S3FIFO-1 cache size  2159765, 108901801 req, miss ratio 0.3304, byte miss ratio 0.3304
result/timelines_follow_socialproof_cache.0.oracleGeneral.sample10.zst S3FIFO-1 cache size  4319531, 108901801 req, miss ratio 0.2839, byte miss ratio 0.2839
result/timelines_follow_socialproof_cache.0.oracleGeneral.sample10.zst S3FIFO-1 cache size  8639062, 108901801 req, miss ratio 0.2323, byte miss ratio 0.2323
result/timelines_follow_socialproof_cache.0.oracleGeneral.sample10.zst S3FIFO-1 cache size 17278124, 108901801 req, miss ratio 0.2005, byte miss ratio 0.2005
result/timelines_follow_socialproof_cache.0.oracleGeneral.sample10.zst FIFO cache size    21597, 108901801 req, miss ratio 0.7693, byte miss ratio 0.7693
result/timelines_follow_socialproof_cache.0.oracleGeneral.sample10.zst FIFO cache size    64792, 108901801 req, miss ratio 0.6862, byte miss ratio 0.6862
result/timelines_follow_socialproof_cache.0.oracleGeneral.sample10.zst FIFO cache size   215976, 108901801 req, miss ratio 0.5773, byte miss ratio 0.5773
result/timelines_follow_socialproof_cache.0.oracleGeneral.sample10.zst FIFO cache size   647929, 108901801 req, miss ratio 0.4647, byte miss ratio 0.4647
result/timelines_follow_socialproof_cache.0.oracleGeneral.sample10.zst FIFO cache size  2159765, 108901801 req, miss ratio 0.3679, byte miss ratio 0.3679
result/timelines_follow_socialproof_cache.0.oracleGeneral.sample10.zst FIFO cache size  4319531, 108901801 req, miss ratio 0.3191, byte miss ratio 0.3191
result/timelines_follow_socialproof_cache.0.oracleGeneral.sample10.zst FIFO cache size  8639062, 108901801 req, miss ratio 0.2562, byte miss ratio 0.2562
result/timelines_follow_socialproof_cache.0.oracleGeneral.sample10.zst FIFO cache size 17278124, 108901801 req, miss ratio 0.2099, byte miss ratio 0.2099
