result/cuad_ner_url_cache.0.oracleGeneral.sample10.zst FIFO cache size   533978, 51790270 req, miss ratio 0.3437, byte miss ratio 0.3437
result/cuad_ner_url_cache.0.oracleGeneral.sample10.zst FIFO cache size  1779928, 51790270 req, miss ratio 0.3437, byte miss ratio 0.3437
result/cuad_ner_url_cache.0.oracleGeneral.sample10.zst FIFO cache size  3559856, 51790270 req, miss ratio 0.3437, byte miss ratio 0.3437
result/cuad_ner_url_cache.0.oracleGeneral.sample10.zst FIFO cache size  7119713, 51790270 req, miss ratio 0.3437, byte miss ratio 0.3437
result/cuad_ner_url_cache.0.oracleGeneral.sample10.zst FIFO cache size 14239427, 51790270 req, miss ratio 0.3437, byte miss ratio 0.3437
result/cuad_ner_url_cache.0.oracleGeneral.sample10.zst LHD cache size    17799, 51790270 req, miss ratio 0.3437, byte miss ratio 0.3437
result/cuad_ner_url_cache.0.oracleGeneral.sample10.zst LHD cache size    53397, 51790270 req, miss ratio 0.3437, byte miss ratio 0.3437
result/cuad_ner_url_cache.0.oracleGeneral.sample10.zst LHD cache size   177992, 51790270 req, miss ratio 0.3437, byte miss ratio 0.3437
result/cuad_ner_url_cache.0.oracleGeneral.sample10.zst LHD cache size   533978, 51790270 req, miss ratio 0.3437, byte miss ratio 0.3437
result/cuad_ner_url_cache.0.oracleGeneral.sample10.zst LHD cache size  1779928, 51790270 req, miss ratio 0.3437, byte miss ratio 0.3437
result/cuad_ner_url_cache.0.oracleGeneral.sample10.zst LHD cache size  3559856, 51790270 req, miss ratio 0.3437, byte miss ratio 0.3437
result/cuad_ner_url_cache.0.oracleGeneral.sample10.zst LHD cache size  7119713, 51790270 req, miss ratio 0.3437, byte miss ratio 0.3437
result/cuad_ner_url_cache.0.oracleGeneral.sample10.zst LHD cache size 14239427, 51790270 req, miss ratio 0.3437, byte miss ratio 0.3437
result/cuad_ner_url_cache.0.oracleGeneral.sample10.zst ARC cache size    17799, 51790270 req, miss ratio 0.3437, byte miss ratio 0.3437
result/cuad_ner_url_cache.0.oracleGeneral.sample10.zst ARC cache size    53397, 51790270 req, miss ratio 0.3437, byte miss ratio 0.3437
result/cuad_ner_url_cache.0.oracleGeneral.sample10.zst ARC cache size   177992, 51790270 req, miss ratio 0.3437, byte miss ratio 0.3437
result/cuad_ner_url_cache.0.oracleGeneral.sample10.zst ARC cache size   533978, 51790270 req, miss ratio 0.3437, byte miss ratio 0.3437
result/cuad_ner_url_cache.0.oracleGeneral.sample10.zst ARC cache size  1779928, 51790270 req, miss ratio 0.3437, byte miss ratio 0.3437
result/cuad_ner_url_cache.0.oracleGeneral.sample10.zst ARC cache size  3559856, 51790270 req, miss ratio 0.3437, byte miss ratio 0.3437
result/cuad_ner_url_cache.0.oracleGeneral.sample10.zst ARC cache size  7119713, 51790270 req, miss ratio 0.3437, byte miss ratio 0.3437
result/cuad_ner_url_cache.0.oracleGeneral.sample10.zst ARC cache size 14239427, 51790270 req, miss ratio 0.3437, byte miss ratio 0.3437
result/cuad_ner_url_cache.0.oracleGeneral.sample10.zst LeCaR cache size    17799, 51790270 req, miss ratio 0.3437, byte miss ratio 0.3437
result/cuad_ner_url_cache.0.oracleGeneral.sample10.zst LeCaR cache size    53397, 51790270 req, miss ratio 0.3437, byte miss ratio 0.3437
result/cuad_ner_url_cache.0.oracleGeneral.sample10.zst LeCaR cache size   177992, 51790270 req, miss ratio 0.3437, byte miss ratio 0.3437
result/cuad_ner_url_cache.0.oracleGeneral.sample10.zst LeCaR cache size   533978, 51790270 req, miss ratio 0.3437, byte miss ratio 0.3437
result/cuad_ner_url_cache.0.oracleGeneral.sample10.zst LeCaR cache size  1779928, 51790270 req, miss ratio 0.3437, byte miss ratio 0.3437
result/cuad_ner_url_cache.0.oracleGeneral.sample10.zst LeCaR cache size  3559856, 51790270 req, miss ratio 0.3437, byte miss ratio 0.3437
result/cuad_ner_url_cache.0.oracleGeneral.sample10.zst LeCaR cache size  7119713, 51790270 req, miss ratio 0.3437, byte miss ratio 0.3437
result/cuad_ner_url_cache.0.oracleGeneral.sample10.zst LeCaR cache size 14239427, 51790270 req, miss ratio 0.3437, byte miss ratio 0.3437
result/cuad_ner_url_cache.0.oracleGeneral.sample10.zst Cacheus cache size    17799, 51790270 req, miss ratio 0.3437, byte miss ratio 0.3437
result/cuad_ner_url_cache.0.oracleGeneral.sample10.zst Cacheus cache size    53397, 51790270 req, miss ratio 0.3437, byte miss ratio 0.3437
result/cuad_ner_url_cache.0.oracleGeneral.sample10.zst Cacheus cache size   177992, 51790270 req, miss ratio 0.3437, byte miss ratio 0.3437
