result/atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst LHD cache size   408949, 99119244 req, miss ratio 0.0976, byte miss ratio 0.0976
result/atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst LHD cache size   817899, 99119244 req, miss ratio 0.0716, byte miss ratio 0.0716
result/atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst LHD cache size  1635798, 99119244 req, miss ratio 0.0528, byte miss ratio 0.0528
result/atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst LHD cache size  3271596, 99119244 req, miss ratio 0.0421, byte miss ratio 0.0421
result/atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst LIRS cache size     4089, 99119244 req, miss ratio 0.4305, byte miss ratio 0.4305
result/atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst LIRS cache size    12268, 99119244 req, miss ratio 0.3463, byte miss ratio 0.3463
result/atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst LIRS cache size    40894, 99119244 req, miss ratio 0.2635, byte miss ratio 0.2635
result/atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst LIRS cache size   122684, 99119244 req, miss ratio 0.1849, byte miss ratio 0.1849
result/atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst LIRS cache size   408949, 99119244 req, miss ratio 0.1074, byte miss ratio 0.1074
result/atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst LIRS cache size   817899, 99119244 req, miss ratio 0.0787, byte miss ratio 0.0787
result/atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst LIRS cache size  1635798, 99119244 req, miss ratio 0.0556, byte miss ratio 0.0556
result/atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst LIRS cache size  3271596, 99119244 req, miss ratio 0.0433, byte miss ratio 0.0433
result/atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size     4089, 99119244 req, miss ratio 0.4199, byte miss ratio 0.4199
result/atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size    12268, 99119244 req, miss ratio 0.3207, byte miss ratio 0.3207
result/atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size    40894, 99119244 req, miss ratio 0.2321, byte miss ratio 0.2321
result/atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size   122684, 99119244 req, miss ratio 0.1648, byte miss ratio 0.1648
result/atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size   408949, 99119244 req, miss ratio 0.0981, byte miss ratio 0.0981
result/atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size   817899, 99119244 req, miss ratio 0.0692, byte miss ratio 0.0692
result/atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size  1635798, 99119244 req, miss ratio 0.0513, byte miss ratio 0.0513
result/atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size  3271596, 99119244 req, miss ratio 0.0428, byte miss ratio 0.0428
result/atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst LRB cache size     4089, 99119244 req, miss ratio 0.4404, byte miss ratio 0.4404
result/atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst LRB cache size    12268, 99119244 req, miss ratio 0.3462, byte miss ratio 0.3462
result/atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst LRB cache size    40894, 99119244 req, miss ratio 0.2540, byte miss ratio 0.2540
result/atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst LRB cache size   122684, 99119244 req, miss ratio 0.1813, byte miss ratio 0.1813
result/atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst LRB cache size   408949, 99119244 req, miss ratio 0.1207, byte miss ratio 0.1207
result/atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst LRB cache size   817899, 99119244 req, miss ratio 0.0817, byte miss ratio 0.0817
result/atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst LRB cache size  1635798, 99119244 req, miss ratio 0.0527, byte miss ratio 0.0527
result/atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst LRB cache size  3271596, 99119244 req, miss ratio 0.0416, byte miss ratio 0.0416
result/atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst TwoQ cache size     4089, 99119244 req, miss ratio 0.4292, byte miss ratio 0.4292
result/atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst TwoQ cache size    12268, 99119244 req, miss ratio 0.3382, byte miss ratio 0.3382
result/atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst TwoQ cache size    40894, 99119244 req, miss ratio 0.2467, byte miss ratio 0.2467
result/atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst TwoQ cache size   122684, 99119244 req, miss ratio 0.1707, byte miss ratio 0.1707
result/atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst TwoQ cache size   408949, 99119244 req, miss ratio 0.1104, byte miss ratio 0.1104
result/atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst TwoQ cache size   817899, 99119244 req, miss ratio 0.0736, byte miss ratio 0.0736
result/atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst TwoQ cache size  1635798, 99119244 req, miss ratio 0.0530, byte miss ratio 0.0530
result/atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst TwoQ cache size  3271596, 99119244 req, miss ratio 0.0430, byte miss ratio 0.0430
