result/search_signal_query_engagements_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size    17301, 15105328 req, miss ratio 0.1781, byte miss ratio 0.1781
result/search_signal_query_engagements_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size    51905, 15105328 req, miss ratio 0.1529, byte miss ratio 0.1529
result/search_signal_query_engagements_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size   173018, 15105328 req, miss ratio 0.1322, byte miss ratio 0.1322
result/search_signal_query_engagements_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size   346037, 15105328 req, miss ratio 0.1234, byte miss ratio 0.1234
result/search_signal_query_engagements_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size   692074, 15105328 req, miss ratio 0.1177, byte miss ratio 0.1177
result/search_signal_query_engagements_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size  1384149, 15105328 req, miss ratio 0.1148, byte miss ratio 0.1148
result/search_signal_query_engagements_cache.1.oracleGeneral.sample10.zst TwoQ cache size     1730, 15105328 req, miss ratio 0.3017, byte miss ratio 0.3017
result/search_signal_query_engagements_cache.1.oracleGeneral.sample10.zst TwoQ cache size     5190, 15105328 req, miss ratio 0.2003, byte miss ratio 0.2003
result/search_signal_query_engagements_cache.1.oracleGeneral.sample10.zst TwoQ cache size    17301, 15105328 req, miss ratio 0.1685, byte miss ratio 0.1685
result/search_signal_query_engagements_cache.1.oracleGeneral.sample10.zst TwoQ cache size    51905, 15105328 req, miss ratio 0.1473, byte miss ratio 0.1473
result/search_signal_query_engagements_cache.1.oracleGeneral.sample10.zst TwoQ cache size   173018, 15105328 req, miss ratio 0.1318, byte miss ratio 0.1318
result/search_signal_query_engagements_cache.1.oracleGeneral.sample10.zst TwoQ cache size   346037, 15105328 req, miss ratio 0.1249, byte miss ratio 0.1249
result/search_signal_query_engagements_cache.1.oracleGeneral.sample10.zst TwoQ cache size   692074, 15105328 req, miss ratio 0.1200, byte miss ratio 0.1200
result/search_signal_query_engagements_cache.1.oracleGeneral.sample10.zst TwoQ cache size  1384149, 15105328 req, miss ratio 0.1158, byte miss ratio 0.1158
result/search_signal_query_engagements_cache.1.oracleGeneral.sample10.zst B-LRU cache size     1730, 15105328 req, miss ratio 0.3693, byte miss ratio 0.3693
result/search_signal_query_engagements_cache.1.oracleGeneral.sample10.zst B-LRU cache size     5190, 15105328 req, miss ratio 0.3260, byte miss ratio 0.3260
result/search_signal_query_engagements_cache.1.oracleGeneral.sample10.zst B-LRU cache size    17301, 15105328 req, miss ratio 0.2919, byte miss ratio 0.2919
result/search_signal_query_engagements_cache.1.oracleGeneral.sample10.zst B-LRU cache size    51905, 15105328 req, miss ratio 0.2667, byte miss ratio 0.2667
result/search_signal_query_engagements_cache.1.oracleGeneral.sample10.zst B-LRU cache size   173018, 15105328 req, miss ratio 0.2462, byte miss ratio 0.2462
result/search_signal_query_engagements_cache.1.oracleGeneral.sample10.zst B-LRU cache size   346037, 15105328 req, miss ratio 0.2373, byte miss ratio 0.2373
result/search_signal_query_engagements_cache.1.oracleGeneral.sample10.zst B-LRU cache size   692074, 15105328 req, miss ratio 0.2320, byte miss ratio 0.2320
result/search_signal_query_engagements_cache.1.oracleGeneral.sample10.zst B-LRU cache size  1384149, 15105328 req, miss ratio 0.2293, byte miss ratio 0.2293
