result/content_recommender_cache.1.oracleGeneral.sample10.zst LHD cache size     1827, 716920741 req, miss ratio 0.2962, byte miss ratio 0.2962
result/content_recommender_cache.1.oracleGeneral.sample10.zst LHD cache size     5483, 716920741 req, miss ratio 0.1291, byte miss ratio 0.1291
result/content_recommender_cache.1.oracleGeneral.sample10.zst LHD cache size    18277, 716920741 req, miss ratio 0.0343, byte miss ratio 0.0343
result/content_recommender_cache.1.oracleGeneral.sample10.zst LHD cache size    54833, 716920741 req, miss ratio 0.0064, byte miss ratio 0.0064
result/content_recommender_cache.1.oracleGeneral.sample10.zst LHD cache size   182779, 716920741 req, miss ratio 0.0030, byte miss ratio 0.0030
result/content_recommender_cache.1.oracleGeneral.sample10.zst LHD cache size   365558, 716920741 req, miss ratio 0.0027, byte miss ratio 0.0027
result/content_recommender_cache.1.oracleGeneral.sample10.zst LHD cache size   731117, 716920741 req, miss ratio 0.0026, byte miss ratio 0.0026
result/content_recommender_cache.1.oracleGeneral.sample10.zst LHD cache size  1462234, 716920741 req, miss ratio 0.0026, byte miss ratio 0.0026
result/content_recommender_cache.1.oracleGeneral.sample10.zst LeCaR cache size     1827, 716920741 req, miss ratio 0.3449, byte miss ratio 0.3449
result/content_recommender_cache.1.oracleGeneral.sample10.zst LeCaR cache size     5483, 716920741 req, miss ratio 0.1514, byte miss ratio 0.1514
result/content_recommender_cache.1.oracleGeneral.sample10.zst LeCaR cache size    18277, 716920741 req, miss ratio 0.0395, byte miss ratio 0.0395
result/content_recommender_cache.1.oracleGeneral.sample10.zst LeCaR cache size    54833, 716920741 req, miss ratio 0.0070, byte miss ratio 0.0070
result/content_recommender_cache.1.oracleGeneral.sample10.zst LeCaR cache size   182779, 716920741 req, miss ratio 0.0028, byte miss ratio 0.0028
result/content_recommender_cache.1.oracleGeneral.sample10.zst LeCaR cache size   365558, 716920741 req, miss ratio 0.0026, byte miss ratio 0.0026
result/content_recommender_cache.1.oracleGeneral.sample10.zst LeCaR cache size   731117, 716920741 req, miss ratio 0.0026, byte miss ratio 0.0026
result/content_recommender_cache.1.oracleGeneral.sample10.zst LeCaR cache size  1462234, 716920741 req, miss ratio 0.0026, byte miss ratio 0.0026
result/content_recommender_cache.1.oracleGeneral.sample10.zst clock2 cache size     1827, 716920741 req, miss ratio 0.3372, byte miss ratio 0.3372
result/content_recommender_cache.1.oracleGeneral.sample10.zst clock2 cache size     5483, 716920741 req, miss ratio 0.1487, byte miss ratio 0.1487
result/content_recommender_cache.1.oracleGeneral.sample10.zst clock2 cache size    18277, 716920741 req, miss ratio 0.0403, byte miss ratio 0.0403
result/content_recommender_cache.1.oracleGeneral.sample10.zst clock2 cache size    54833, 716920741 req, miss ratio 0.0068, byte miss ratio 0.0068
result/content_recommender_cache.1.oracleGeneral.sample10.zst clock2 cache size   182779, 716920741 req, miss ratio 0.0028, byte miss ratio 0.0028
result/content_recommender_cache.1.oracleGeneral.sample10.zst clock2 cache size   365558, 716920741 req, miss ratio 0.0026, byte miss ratio 0.0026
result/content_recommender_cache.1.oracleGeneral.sample10.zst clock2 cache size   731117, 716920741 req, miss ratio 0.0026, byte miss ratio 0.0026
result/content_recommender_cache.1.oracleGeneral.sample10.zst clock2 cache size  1462234, 716920741 req, miss ratio 0.0026, byte miss ratio 0.0026
result/content_recommender_cache.1.oracleGeneral.sample10.zst LIRS cache size     1827, 716920741 req, miss ratio 0.3433, byte miss ratio 0.3433
result/content_recommender_cache.1.oracleGeneral.sample10.zst LIRS cache size     5483, 716920741 req, miss ratio 0.1443, byte miss ratio 0.1443
result/content_recommender_cache.1.oracleGeneral.sample10.zst LIRS cache size    18277, 716920741 req, miss ratio 0.0387, byte miss ratio 0.0387
result/content_recommender_cache.1.oracleGeneral.sample10.zst LIRS cache size    54833, 716920741 req, miss ratio 0.0067, byte miss ratio 0.0067
result/content_recommender_cache.1.oracleGeneral.sample10.zst LIRS cache size   182779, 716920741 req, miss ratio 0.0028, byte miss ratio 0.0028
result/content_recommender_cache.1.oracleGeneral.sample10.zst LIRS cache size   365558, 716920741 req, miss ratio 0.0026, byte miss ratio 0.0026
result/content_recommender_cache.1.oracleGeneral.sample10.zst LIRS cache size   731117, 716920741 req, miss ratio 0.0026, byte miss ratio 0.0026
result/content_recommender_cache.1.oracleGeneral.sample10.zst LIRS cache size  1462234, 716920741 req, miss ratio 0.0026, byte miss ratio 0.0026
result/content_recommender_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size     1827, 716920741 req, miss ratio 0.2975, byte miss ratio 0.2975
result/content_recommender_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size     5483, 716920741 req, miss ratio 0.1346, byte miss ratio 0.1346
result/content_recommender_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size    18277, 716920741 req, miss ratio 0.0368, byte miss ratio 0.0368
result/content_recommender_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size    54833, 716920741 req, miss ratio 0.0067, byte miss ratio 0.0067
result/content_recommender_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size   182779, 716920741 req, miss ratio 0.0029, byte miss ratio 0.0029
result/content_recommender_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size   365558, 716920741 req, miss ratio 0.0026, byte miss ratio 0.0026
result/content_recommender_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size   731117, 716920741 req, miss ratio 0.0026, byte miss ratio 0.0026
result/content_recommender_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size  1462234, 716920741 req, miss ratio 0.0026, byte miss ratio 0.0026
result/content_recommender_cache.1.oracleGeneral.sample10.zst LRB cache size     1827, 716920741 req, miss ratio 0.2700, byte miss ratio 0.2700
result/content_recommender_cache.1.oracleGeneral.sample10.zst LRB cache size     5483, 716920741 req, miss ratio 0.1171, byte miss ratio 0.1171
result/content_recommender_cache.1.oracleGeneral.sample10.zst LRB cache size    18277, 716920741 req, miss ratio 0.0316, byte miss ratio 0.0316
result/content_recommender_cache.1.oracleGeneral.sample10.zst LRB cache size    54833, 716920741 req, miss ratio 0.0064, byte miss ratio 0.0064
result/content_recommender_cache.1.oracleGeneral.sample10.zst LRB cache size   182779, 716920741 req, miss ratio 0.0028, byte miss ratio 0.0028
result/content_recommender_cache.1.oracleGeneral.sample10.zst LRB cache size   365558, 716920741 req, miss ratio 0.0026, byte miss ratio 0.0026
result/content_recommender_cache.1.oracleGeneral.sample10.zst LRB cache size   731117, 716920741 req, miss ratio 0.0026, byte miss ratio 0.0026
result/content_recommender_cache.1.oracleGeneral.sample10.zst LRB cache size  1462234, 716920741 req, miss ratio 0.0026, byte miss ratio 0.0026
result/content_recommender_cache.1.oracleGeneral.sample10.zst TwoQ cache size     1827, 716920741 req, miss ratio 0.3085, byte miss ratio 0.3085
result/content_recommender_cache.1.oracleGeneral.sample10.zst TwoQ cache size     5483, 716920741 req, miss ratio 0.1433, byte miss ratio 0.1433
result/content_recommender_cache.1.oracleGeneral.sample10.zst TwoQ cache size    18277, 716920741 req, miss ratio 0.0426, byte miss ratio 0.0426
result/content_recommender_cache.1.oracleGeneral.sample10.zst TwoQ cache size    54833, 716920741 req, miss ratio 0.0074, byte miss ratio 0.0074
result/content_recommender_cache.1.oracleGeneral.sample10.zst TwoQ cache size   182779, 716920741 req, miss ratio 0.0036, byte miss ratio 0.0036
result/content_recommender_cache.1.oracleGeneral.sample10.zst TwoQ cache size   365558, 716920741 req, miss ratio 0.0027, byte miss ratio 0.0027
result/content_recommender_cache.1.oracleGeneral.sample10.zst TwoQ cache size   731117, 716920741 req, miss ratio 0.0026, byte miss ratio 0.0026
result/content_recommender_cache.1.oracleGeneral.sample10.zst TwoQ cache size  1462234, 716920741 req, miss ratio 0.0026, byte miss ratio 0.0026
result/content_recommender_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size     1827, 716920741 req, miss ratio 0.3593, byte miss ratio 0.3593
result/content_recommender_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size     5483, 716920741 req, miss ratio 0.1653, byte miss ratio 0.1653
result/content_recommender_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size    18277, 716920741 req, miss ratio 0.0476, byte miss ratio 0.0476
result/content_recommender_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size    54833, 716920741 req, miss ratio 0.0096, byte miss ratio 0.0096
result/content_recommender_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size   182779, 716920741 req, miss ratio 0.0038, byte miss ratio 0.0038
result/content_recommender_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size   365558, 716920741 req, miss ratio 0.0030, byte miss ratio 0.0030
result/content_recommender_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size   731117, 716920741 req, miss ratio 0.0026, byte miss ratio 0.0026
result/content_recommender_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size  1462234, 716920741 req, miss ratio 0.0026, byte miss ratio 0.0026
result/content_recommender_cache.1.oracleGeneral.sample10.zst B-LRU cache size     1827, 716920741 req, miss ratio 0.3719, byte miss ratio 0.3719
result/content_recommender_cache.1.oracleGeneral.sample10.zst B-LRU cache size     5483, 716920741 req, miss ratio 0.1655, byte miss ratio 0.1655
result/content_recommender_cache.1.oracleGeneral.sample10.zst B-LRU cache size    18277, 716920741 req, miss ratio 0.0469, byte miss ratio 0.0469
result/content_recommender_cache.1.oracleGeneral.sample10.zst B-LRU cache size    54833, 716920741 req, miss ratio 0.0092, byte miss ratio 0.0092
result/content_recommender_cache.1.oracleGeneral.sample10.zst B-LRU cache size   182779, 716920741 req, miss ratio 0.0053, byte miss ratio 0.0053
result/content_recommender_cache.1.oracleGeneral.sample10.zst B-LRU cache size   365558, 716920741 req, miss ratio 0.0051, byte miss ratio 0.0051
result/content_recommender_cache.1.oracleGeneral.sample10.zst B-LRU cache size   731117, 716920741 req, miss ratio 0.0051, byte miss ratio 0.0051
result/content_recommender_cache.1.oracleGeneral.sample10.zst B-LRU cache size  1462234, 716920741 req, miss ratio 0.0051, byte miss ratio 0.0051
result/content_recommender_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size     1827, 716920741 req, miss ratio 0.3130, byte miss ratio 0.3130
result/content_recommender_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size     5483, 716920741 req, miss ratio 0.1425, byte miss ratio 0.1425
result/content_recommender_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size    18277, 716920741 req, miss ratio 0.0395, byte miss ratio 0.0395
result/content_recommender_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size    54833, 716920741 req, miss ratio 0.0066, byte miss ratio 0.0066
result/content_recommender_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size   182779, 716920741 req, miss ratio 0.0028, byte miss ratio 0.0028
result/content_recommender_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size   365558, 716920741 req, miss ratio 0.0026, byte miss ratio 0.0026
result/content_recommender_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size   731117, 716920741 req, miss ratio 0.0026, byte miss ratio 0.0026
result/content_recommender_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size  1462234, 716920741 req, miss ratio 0.0026, byte miss ratio 0.0026
result/content_recommender_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size     1827, 716920741 req, miss ratio 0.2980, byte miss ratio 0.2980
result/content_recommender_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size     5483, 716920741 req, miss ratio 0.1360, byte miss ratio 0.1360
