result/media_metadata_cache.0.oracleGeneral.sample10.zst Cacheus cache size   239835, 282251551 req, miss ratio 0.0098, byte miss ratio 0.0098
result/media_metadata_cache.0.oracleGeneral.sample10.zst Cacheus cache size   479670, 282251551 req, miss ratio 0.0064, byte miss ratio 0.0064
result/media_metadata_cache.0.oracleGeneral.sample10.zst Cacheus cache size   959340, 282251551 req, miss ratio 0.0044, byte miss ratio 0.0044
result/media_metadata_cache.0.oracleGeneral.sample10.zst LHD cache size     1199, 282251551 req, miss ratio 0.2223, byte miss ratio 0.2223
result/media_metadata_cache.0.oracleGeneral.sample10.zst LHD cache size     3597, 282251551 req, miss ratio 0.1293, byte miss ratio 0.1293
result/media_metadata_cache.0.oracleGeneral.sample10.zst LHD cache size    11991, 282251551 req, miss ratio 0.0625, byte miss ratio 0.0625
result/media_metadata_cache.0.oracleGeneral.sample10.zst LHD cache size    35975, 282251551 req, miss ratio 0.0295, byte miss ratio 0.0295
result/media_metadata_cache.0.oracleGeneral.sample10.zst LHD cache size   119917, 282251551 req, miss ratio 0.0135, byte miss ratio 0.0135
result/media_metadata_cache.0.oracleGeneral.sample10.zst LHD cache size   239835, 282251551 req, miss ratio 0.0094, byte miss ratio 0.0094
result/media_metadata_cache.0.oracleGeneral.sample10.zst LHD cache size   479670, 282251551 req, miss ratio 0.0067, byte miss ratio 0.0067
result/media_metadata_cache.0.oracleGeneral.sample10.zst LHD cache size   959340, 282251551 req, miss ratio 0.0045, byte miss ratio 0.0045
result/media_metadata_cache.0.oracleGeneral.sample10.zst ARC cache size     1199, 282251551 req, miss ratio 0.2363, byte miss ratio 0.2363
result/media_metadata_cache.0.oracleGeneral.sample10.zst ARC cache size     3597, 282251551 req, miss ratio 0.1391, byte miss ratio 0.1391
result/media_metadata_cache.0.oracleGeneral.sample10.zst ARC cache size    11991, 282251551 req, miss ratio 0.0684, byte miss ratio 0.0684
result/media_metadata_cache.0.oracleGeneral.sample10.zst ARC cache size    35975, 282251551 req, miss ratio 0.0334, byte miss ratio 0.0334
result/media_metadata_cache.0.oracleGeneral.sample10.zst ARC cache size   119917, 282251551 req, miss ratio 0.0153, byte miss ratio 0.0153
result/media_metadata_cache.0.oracleGeneral.sample10.zst ARC cache size   239835, 282251551 req, miss ratio 0.0099, byte miss ratio 0.0099
result/media_metadata_cache.0.oracleGeneral.sample10.zst ARC cache size   479670, 282251551 req, miss ratio 0.0065, byte miss ratio 0.0065
result/media_metadata_cache.0.oracleGeneral.sample10.zst ARC cache size   959340, 282251551 req, miss ratio 0.0044, byte miss ratio 0.0044
result/media_metadata_cache.0.oracleGeneral.sample10.zst FIFO cache size     1199, 282251551 req, miss ratio 0.3068, byte miss ratio 0.3068
result/media_metadata_cache.0.oracleGeneral.sample10.zst FIFO cache size     3597, 282251551 req, miss ratio 0.1883, byte miss ratio 0.1883
result/media_metadata_cache.0.oracleGeneral.sample10.zst FIFO cache size    11991, 282251551 req, miss ratio 0.0959, byte miss ratio 0.0959
result/media_metadata_cache.0.oracleGeneral.sample10.zst FIFO cache size    35975, 282251551 req, miss ratio 0.0469, byte miss ratio 0.0469
result/media_metadata_cache.0.oracleGeneral.sample10.zst FIFO cache size   119917, 282251551 req, miss ratio 0.0208, byte miss ratio 0.0208
result/media_metadata_cache.0.oracleGeneral.sample10.zst FIFO cache size   239835, 282251551 req, miss ratio 0.0131, byte miss ratio 0.0131
result/media_metadata_cache.0.oracleGeneral.sample10.zst FIFO cache size   479670, 282251551 req, miss ratio 0.0083, byte miss ratio 0.0083
result/media_metadata_cache.0.oracleGeneral.sample10.zst FIFO cache size   959340, 282251551 req, miss ratio 0.0051, byte miss ratio 0.0051
result/media_metadata_cache.0.oracleGeneral.sample10.zst LRU cache size     1199, 282251551 req, miss ratio 0.2631, byte miss ratio 0.2631
result/media_metadata_cache.0.oracleGeneral.sample10.zst LRU cache size     3597, 282251551 req, miss ratio 0.1522, byte miss ratio 0.1522
result/media_metadata_cache.0.oracleGeneral.sample10.zst LRU cache size    11991, 282251551 req, miss ratio 0.0736, byte miss ratio 0.0736
result/media_metadata_cache.0.oracleGeneral.sample10.zst LRU cache size    35975, 282251551 req, miss ratio 0.0345, byte miss ratio 0.0345
result/media_metadata_cache.0.oracleGeneral.sample10.zst LRU cache size   119917, 282251551 req, miss ratio 0.0153, byte miss ratio 0.0153
result/media_metadata_cache.0.oracleGeneral.sample10.zst LRU cache size   239835, 282251551 req, miss ratio 0.0099, byte miss ratio 0.0099
result/media_metadata_cache.0.oracleGeneral.sample10.zst LRU cache size   479670, 282251551 req, miss ratio 0.0065, byte miss ratio 0.0065
result/media_metadata_cache.0.oracleGeneral.sample10.zst LRU cache size   959340, 282251551 req, miss ratio 0.0044, byte miss ratio 0.0044
result/media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size     1199, 282251551 req, miss ratio 0.2231, byte miss ratio 0.2231
result/media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size     3597, 282251551 req, miss ratio 0.1304, byte miss ratio 0.1304
result/media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size    11991, 282251551 req, miss ratio 0.0633, byte miss ratio 0.0633
result/media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size    35975, 282251551 req, miss ratio 0.0304, byte miss ratio 0.0304
result/media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size   119917, 282251551 req, miss ratio 0.0141, byte miss ratio 0.0141
result/media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size   239835, 282251551 req, miss ratio 0.0092, byte miss ratio 0.0092
result/media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size   479670, 282251551 req, miss ratio 0.0063, byte miss ratio 0.0063
result/media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size   959340, 282251551 req, miss ratio 0.0045, byte miss ratio 0.0045
result/media_metadata_cache.0.oracleGeneral.sample10.zst LRB cache size     1199, 282251551 req, miss ratio 0.2102, byte miss ratio 0.2102
result/media_metadata_cache.0.oracleGeneral.sample10.zst LRB cache size     3597, 282251551 req, miss ratio 0.1191, byte miss ratio 0.1191
result/media_metadata_cache.0.oracleGeneral.sample10.zst LRB cache size    11991, 282251551 req, miss ratio 0.0566, byte miss ratio 0.0566
result/media_metadata_cache.0.oracleGeneral.sample10.zst LRB cache size    35975, 282251551 req, miss ratio 0.0269, byte miss ratio 0.0269
result/media_metadata_cache.0.oracleGeneral.sample10.zst LRB cache size   119917, 282251551 req, miss ratio 0.0122, byte miss ratio 0.0122
result/media_metadata_cache.0.oracleGeneral.sample10.zst LRB cache size   239835, 282251551 req, miss ratio 0.0080, byte miss ratio 0.0080
result/media_metadata_cache.0.oracleGeneral.sample10.zst LRB cache size   479670, 282251551 req, miss ratio 0.0063, byte miss ratio 0.0063
result/media_metadata_cache.0.oracleGeneral.sample10.zst LRB cache size   959340, 282251551 req, miss ratio 0.0044, byte miss ratio 0.0044
result/media_metadata_cache.0.oracleGeneral.sample10.zst TwoQ cache size     1199, 282251551 req, miss ratio 0.2215, byte miss ratio 0.2215
result/media_metadata_cache.0.oracleGeneral.sample10.zst TwoQ cache size     3597, 282251551 req, miss ratio 0.1297, byte miss ratio 0.1297
result/media_metadata_cache.0.oracleGeneral.sample10.zst TwoQ cache size    11991, 282251551 req, miss ratio 0.0633, byte miss ratio 0.0633
result/media_metadata_cache.0.oracleGeneral.sample10.zst TwoQ cache size    35975, 282251551 req, miss ratio 0.0299, byte miss ratio 0.0299
result/media_metadata_cache.0.oracleGeneral.sample10.zst TwoQ cache size   119917, 282251551 req, miss ratio 0.0137, byte miss ratio 0.0137
result/media_metadata_cache.0.oracleGeneral.sample10.zst TwoQ cache size   239835, 282251551 req, miss ratio 0.0091, byte miss ratio 0.0091
result/media_metadata_cache.0.oracleGeneral.sample10.zst TwoQ cache size   479670, 282251551 req, miss ratio 0.0069, byte miss ratio 0.0069
result/media_metadata_cache.0.oracleGeneral.sample10.zst TwoQ cache size   959340, 282251551 req, miss ratio 0.0051, byte miss ratio 0.0051
result/media_metadata_cache.0.oracleGeneral.sample10.zst B-LRU cache size     1199, 282251551 req, miss ratio 0.2662, byte miss ratio 0.2662
result/media_metadata_cache.0.oracleGeneral.sample10.zst B-LRU cache size     3597, 282251551 req, miss ratio 0.1553, byte miss ratio 0.1553
result/media_metadata_cache.0.oracleGeneral.sample10.zst B-LRU cache size    11991, 282251551 req, miss ratio 0.0767, byte miss ratio 0.0767
result/media_metadata_cache.0.oracleGeneral.sample10.zst B-LRU cache size    35975, 282251551 req, miss ratio 0.0378, byte miss ratio 0.0378
result/media_metadata_cache.0.oracleGeneral.sample10.zst B-LRU cache size   119917, 282251551 req, miss ratio 0.0188, byte miss ratio 0.0188
result/media_metadata_cache.0.oracleGeneral.sample10.zst B-LRU cache size   239835, 282251551 req, miss ratio 0.0136, byte miss ratio 0.0136
result/media_metadata_cache.0.oracleGeneral.sample10.zst B-LRU cache size   479670, 282251551 req, miss ratio 0.0104, byte miss ratio 0.0104
result/media_metadata_cache.0.oracleGeneral.sample10.zst B-LRU cache size   959340, 282251551 req, miss ratio 0.0084, byte miss ratio 0.0084
result/media_metadata_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size     1199, 282251551 req, miss ratio 0.2615, byte miss ratio 0.2615
result/media_metadata_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size     3597, 282251551 req, miss ratio 0.1550, byte miss ratio 0.1550
result/media_metadata_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size    11991, 282251551 req, miss ratio 0.0761, byte miss ratio 0.0761
result/media_metadata_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size    35975, 282251551 req, miss ratio 0.0365, byte miss ratio 0.0365
result/media_metadata_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size   119917, 282251551 req, miss ratio 0.0162, byte miss ratio 0.0162
result/media_metadata_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size   239835, 282251551 req, miss ratio 0.0103, byte miss ratio 0.0103
result/media_metadata_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size   479670, 282251551 req, miss ratio 0.0067, byte miss ratio 0.0067
result/media_metadata_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size   959340, 282251551 req, miss ratio 0.0048, byte miss ratio 0.0048
result/media_metadata_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size     1199, 282251551 req, miss ratio 0.2304, byte miss ratio 0.2304
result/media_metadata_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size     3597, 282251551 req, miss ratio 0.1356, byte miss ratio 0.1356
result/media_metadata_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size    11991, 282251551 req, miss ratio 0.0659, byte miss ratio 0.0659
result/media_metadata_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size    35975, 282251551 req, miss ratio 0.0318, byte miss ratio 0.0318
result/media_metadata_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size   119917, 282251551 req, miss ratio 0.0145, byte miss ratio 0.0145
result/media_metadata_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size   239835, 282251551 req, miss ratio 0.0094, byte miss ratio 0.0094
result/media_metadata_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size   479670, 282251551 req, miss ratio 0.0063, byte miss ratio 0.0063
result/media_metadata_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size   959340, 282251551 req, miss ratio 0.0044, byte miss ratio 0.0044
result/media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO cache size     1199, 282251551 req, miss ratio 0.2137, byte miss ratio 0.2137
result/media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO cache size     3597, 282251551 req, miss ratio 0.1245, byte miss ratio 0.1245
result/media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO cache size    11991, 282251551 req, miss ratio 0.0603, byte miss ratio 0.0603
