result/exchange_adgroup_metadata_cache.1.oracleGeneral.sample10.zst Clock cache size  5269998, 1235361853 req, miss ratio 0.0653, byte miss ratio 0.0653
result/exchange_adgroup_metadata_cache.1.oracleGeneral.sample10.zst Clock cache size 10539996, 1235361853 req, miss ratio 0.0520, byte miss ratio 0.0520
result/exchange_adgroup_metadata_cache.1.oracleGeneral.sample10.zst Clock cache size 21079992, 1235361853 req, miss ratio 0.0445, byte miss ratio 0.0445
result/exchange_adgroup_metadata_cache.1.oracleGeneral.sample10.zst Clock cache size 42159985, 1235361853 req, miss ratio 0.0427, byte miss ratio 0.0427
result/exchange_adgroup_metadata_cache.1.oracleGeneral.sample10.zst LeCaR cache size    52699, 1235361853 req, miss ratio 0.3223, byte miss ratio 0.3223
result/exchange_adgroup_metadata_cache.1.oracleGeneral.sample10.zst LeCaR cache size   158099, 1235361853 req, miss ratio 0.1797, byte miss ratio 0.1797
result/exchange_adgroup_metadata_cache.1.oracleGeneral.sample10.zst LeCaR cache size   526999, 1235361853 req, miss ratio 0.1161, byte miss ratio 0.1161
result/exchange_adgroup_metadata_cache.1.oracleGeneral.sample10.zst LeCaR cache size  1580999, 1235361853 req, miss ratio 0.0881, byte miss ratio 0.0881
result/exchange_adgroup_metadata_cache.1.oracleGeneral.sample10.zst LeCaR cache size  5269998, 1235361853 req, miss ratio 0.0643, byte miss ratio 0.0643
result/exchange_adgroup_metadata_cache.1.oracleGeneral.sample10.zst LeCaR cache size 10539996, 1235361853 req, miss ratio 0.0503, byte miss ratio 0.0503
result/exchange_adgroup_metadata_cache.1.oracleGeneral.sample10.zst LeCaR cache size 21079992, 1235361853 req, miss ratio 0.0441, byte miss ratio 0.0441
result/exchange_adgroup_metadata_cache.1.oracleGeneral.sample10.zst LeCaR cache size 42159985, 1235361853 req, miss ratio 0.0427, byte miss ratio 0.0427
result/exchange_adgroup_metadata_cache.1.oracleGeneral.sample10.zst S3FIFO-1 cache size    52699, 1235361853 req, miss ratio 0.3186, byte miss ratio 0.3186
result/exchange_adgroup_metadata_cache.1.oracleGeneral.sample10.zst S3FIFO-1 cache size   158099, 1235361853 req, miss ratio 0.1830, byte miss ratio 0.1830
result/exchange_adgroup_metadata_cache.1.oracleGeneral.sample10.zst S3FIFO-1 cache size   526999, 1235361853 req, miss ratio 0.1179, byte miss ratio 0.1179
result/exchange_adgroup_metadata_cache.1.oracleGeneral.sample10.zst S3FIFO-1 cache size  1580999, 1235361853 req, miss ratio 0.0877, byte miss ratio 0.0877
result/exchange_adgroup_metadata_cache.1.oracleGeneral.sample10.zst S3FIFO-1 cache size  5269998, 1235361853 req, miss ratio 0.0622, byte miss ratio 0.0622
result/exchange_adgroup_metadata_cache.1.oracleGeneral.sample10.zst S3FIFO-1 cache size 10539996, 1235361853 req, miss ratio 0.0512, byte miss ratio 0.0512
result/exchange_adgroup_metadata_cache.1.oracleGeneral.sample10.zst S3FIFO-1 cache size 21079992, 1235361853 req, miss ratio 0.0451, byte miss ratio 0.0451
result/exchange_adgroup_metadata_cache.1.oracleGeneral.sample10.zst S3FIFO-1 cache size 42159985, 1235361853 req, miss ratio 0.0427, byte miss ratio 0.0427
result/exchange_adgroup_metadata_cache.1.oracleGeneral.sample10.zst LHD cache size    52699, 1235361853 req, miss ratio 0.3146, byte miss ratio 0.3146
result/exchange_adgroup_metadata_cache.1.oracleGeneral.sample10.zst LHD cache size   158099, 1235361853 req, miss ratio 0.1770, byte miss ratio 0.1770
result/exchange_adgroup_metadata_cache.1.oracleGeneral.sample10.zst LHD cache size   526999, 1235361853 req, miss ratio 0.1153, byte miss ratio 0.1153
result/exchange_adgroup_metadata_cache.1.oracleGeneral.sample10.zst LHD cache size  1580999, 1235361853 req, miss ratio 0.0908, byte miss ratio 0.0908
result/exchange_adgroup_metadata_cache.1.oracleGeneral.sample10.zst LHD cache size  5269998, 1235361853 req, miss ratio 0.0702, byte miss ratio 0.0702
result/exchange_adgroup_metadata_cache.1.oracleGeneral.sample10.zst LHD cache size 10539996, 1235361853 req, miss ratio 0.0528, byte miss ratio 0.0528
result/exchange_adgroup_metadata_cache.1.oracleGeneral.sample10.zst LHD cache size 21079992, 1235361853 req, miss ratio 0.0449, byte miss ratio 0.0449
result/exchange_adgroup_metadata_cache.1.oracleGeneral.sample10.zst LHD cache size 42159985, 1235361853 req, miss ratio 0.0427, byte miss ratio 0.0427
result/exchange_adgroup_metadata_cache.1.oracleGeneral.sample10.zst LIRS cache size    52699, 1235361853 req, miss ratio 0.3498, byte miss ratio 0.3498
result/exchange_adgroup_metadata_cache.1.oracleGeneral.sample10.zst LIRS cache size   158099, 1235361853 req, miss ratio 0.2016, byte miss ratio 0.2016
result/exchange_adgroup_metadata_cache.1.oracleGeneral.sample10.zst LIRS cache size   526999, 1235361853 req, miss ratio 0.1340, byte miss ratio 0.1340
result/exchange_adgroup_metadata_cache.1.oracleGeneral.sample10.zst LIRS cache size  1580999, 1235361853 req, miss ratio 0.0977, byte miss ratio 0.0977
result/exchange_adgroup_metadata_cache.1.oracleGeneral.sample10.zst LIRS cache size  5269998, 1235361853 req, miss ratio 0.0676, byte miss ratio 0.0676
result/exchange_adgroup_metadata_cache.1.oracleGeneral.sample10.zst LIRS cache size 10539996, 1235361853 req, miss ratio 0.0525, byte miss ratio 0.0525
result/exchange_adgroup_metadata_cache.1.oracleGeneral.sample10.zst LIRS cache size 21079992, 1235361853 req, miss ratio 0.0462, byte miss ratio 0.0462
result/exchange_adgroup_metadata_cache.1.oracleGeneral.sample10.zst LIRS cache size 42159985, 1235361853 req, miss ratio 0.0434, byte miss ratio 0.0434
result/exchange_adgroup_metadata_cache.1.oracleGeneral.sample10.zst clock2 cache size    52699, 1235361853 req, miss ratio 0.3239, byte miss ratio 0.3239
result/exchange_adgroup_metadata_cache.1.oracleGeneral.sample10.zst clock2 cache size   158099, 1235361853 req, miss ratio 0.1816, byte miss ratio 0.1816
result/exchange_adgroup_metadata_cache.1.oracleGeneral.sample10.zst clock2 cache size   526999, 1235361853 req, miss ratio 0.1163, byte miss ratio 0.1163
result/exchange_adgroup_metadata_cache.1.oracleGeneral.sample10.zst clock2 cache size  1580999, 1235361853 req, miss ratio 0.0881, byte miss ratio 0.0881
result/exchange_adgroup_metadata_cache.1.oracleGeneral.sample10.zst clock2 cache size  5269998, 1235361853 req, miss ratio 0.0639, byte miss ratio 0.0639
result/exchange_adgroup_metadata_cache.1.oracleGeneral.sample10.zst clock2 cache size 10539996, 1235361853 req, miss ratio 0.0508, byte miss ratio 0.0508
result/exchange_adgroup_metadata_cache.1.oracleGeneral.sample10.zst clock2 cache size 21079992, 1235361853 req, miss ratio 0.0445, byte miss ratio 0.0445
result/exchange_adgroup_metadata_cache.1.oracleGeneral.sample10.zst clock2 cache size 42159985, 1235361853 req, miss ratio 0.0427, byte miss ratio 0.0427
result/exchange_adgroup_metadata_cache.1.oracleGeneral.sample10.zst LRU cache size    52699, 1235361853 req, miss ratio 0.3314, byte miss ratio 0.3314
result/exchange_adgroup_metadata_cache.1.oracleGeneral.sample10.zst LRU cache size   158099, 1235361853 req, miss ratio 0.1818, byte miss ratio 0.1818
result/exchange_adgroup_metadata_cache.1.oracleGeneral.sample10.zst LRU cache size   526999, 1235361853 req, miss ratio 0.1165, byte miss ratio 0.1165
result/exchange_adgroup_metadata_cache.1.oracleGeneral.sample10.zst LRU cache size  1580999, 1235361853 req, miss ratio 0.0884, byte miss ratio 0.0884
result/exchange_adgroup_metadata_cache.1.oracleGeneral.sample10.zst LRU cache size  5269998, 1235361853 req, miss ratio 0.0653, byte miss ratio 0.0653
result/exchange_adgroup_metadata_cache.1.oracleGeneral.sample10.zst LRU cache size 10539996, 1235361853 req, miss ratio 0.0521, byte miss ratio 0.0521
result/exchange_adgroup_metadata_cache.1.oracleGeneral.sample10.zst LRU cache size 21079992, 1235361853 req, miss ratio 0.0442, byte miss ratio 0.0442
result/exchange_adgroup_metadata_cache.1.oracleGeneral.sample10.zst LRU cache size 42159985, 1235361853 req, miss ratio 0.0427, byte miss ratio 0.0427
result/exchange_adgroup_metadata_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size    52699, 1235361853 req, miss ratio 0.3171, byte miss ratio 0.3171
result/exchange_adgroup_metadata_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size   158099, 1235361853 req, miss ratio 0.1789, byte miss ratio 0.1789
result/exchange_adgroup_metadata_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size   526999, 1235361853 req, miss ratio 0.1151, byte miss ratio 0.1151
result/exchange_adgroup_metadata_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size  1580999, 1235361853 req, miss ratio 0.0868, byte miss ratio 0.0868
result/exchange_adgroup_metadata_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size  5269998, 1235361853 req, miss ratio 0.0631, byte miss ratio 0.0631
result/exchange_adgroup_metadata_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size 10539996, 1235361853 req, miss ratio 0.0558, byte miss ratio 0.0558
result/exchange_adgroup_metadata_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size 21079992, 1235361853 req, miss ratio 0.0484, byte miss ratio 0.0484
result/exchange_adgroup_metadata_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size 42159985, 1235361853 req, miss ratio 0.0427, byte miss ratio 0.0427
result/exchange_adgroup_metadata_cache.1.oracleGeneral.sample10.zst LRB cache size    52699, 1235361853 req, miss ratio 0.3304, byte miss ratio 0.3304
result/exchange_adgroup_metadata_cache.1.oracleGeneral.sample10.zst LRB cache size   158099, 1235361853 req, miss ratio 0.1876, byte miss ratio 0.1876
result/exchange_adgroup_metadata_cache.1.oracleGeneral.sample10.zst LRB cache size   526999, 1235361853 req, miss ratio 0.1166, byte miss ratio 0.1166
result/exchange_adgroup_metadata_cache.1.oracleGeneral.sample10.zst LRB cache size  1580999, 1235361853 req, miss ratio 0.0854, byte miss ratio 0.0854
result/exchange_adgroup_metadata_cache.1.oracleGeneral.sample10.zst LRB cache size  5269998, 1235361853 req, miss ratio 0.0646, byte miss ratio 0.0646
result/exchange_adgroup_metadata_cache.1.oracleGeneral.sample10.zst LRB cache size 10539996, 1235361853 req, miss ratio 0.0521, byte miss ratio 0.0521
