result/twemcache_video_spam_cache.1.oracleGeneral.sample10.zst LHD cache size    42623, 9601695 req, miss ratio 0.4641, byte miss ratio 0.4641
result/twemcache_video_spam_cache.1.oracleGeneral.sample10.zst LHD cache size   127870, 9601695 req, miss ratio 0.4538, byte miss ratio 0.4538
result/twemcache_video_spam_cache.1.oracleGeneral.sample10.zst LHD cache size   426234, 9601695 req, miss ratio 0.4463, byte miss ratio 0.4463
result/twemcache_video_spam_cache.1.oracleGeneral.sample10.zst LHD cache size   852468, 9601695 req, miss ratio 0.4442, byte miss ratio 0.4442
result/twemcache_video_spam_cache.1.oracleGeneral.sample10.zst LHD cache size  1704936, 9601695 req, miss ratio 0.4439, byte miss ratio 0.4439
result/twemcache_video_spam_cache.1.oracleGeneral.sample10.zst LHD cache size  3409872, 9601695 req, miss ratio 0.4439, byte miss ratio 0.4439
result/twemcache_video_spam_cache.1.oracleGeneral.sample10.zst LIRS cache size     4262, 9601695 req, miss ratio 0.4788, byte miss ratio 0.4788
result/twemcache_video_spam_cache.1.oracleGeneral.sample10.zst LIRS cache size    12787, 9601695 req, miss ratio 0.4764, byte miss ratio 0.4764
result/twemcache_video_spam_cache.1.oracleGeneral.sample10.zst LIRS cache size    42623, 9601695 req, miss ratio 0.4636, byte miss ratio 0.4636
result/twemcache_video_spam_cache.1.oracleGeneral.sample10.zst LIRS cache size   127870, 9601695 req, miss ratio 0.4536, byte miss ratio 0.4536
result/twemcache_video_spam_cache.1.oracleGeneral.sample10.zst LIRS cache size   426234, 9601695 req, miss ratio 0.4460, byte miss ratio 0.4460
result/twemcache_video_spam_cache.1.oracleGeneral.sample10.zst LIRS cache size   852468, 9601695 req, miss ratio 0.4440, byte miss ratio 0.4440
result/twemcache_video_spam_cache.1.oracleGeneral.sample10.zst LIRS cache size  1704936, 9601695 req, miss ratio 0.4439, byte miss ratio 0.4439
result/twemcache_video_spam_cache.1.oracleGeneral.sample10.zst LIRS cache size  3409872, 9601695 req, miss ratio 0.4439, byte miss ratio 0.4439
result/twemcache_video_spam_cache.1.oracleGeneral.sample10.zst Cacheus cache size     4262, 9601695 req, miss ratio 0.4794, byte miss ratio 0.4794
result/twemcache_video_spam_cache.1.oracleGeneral.sample10.zst Cacheus cache size    12787, 9601695 req, miss ratio 0.4764, byte miss ratio 0.4764
result/twemcache_video_spam_cache.1.oracleGeneral.sample10.zst Cacheus cache size    42623, 9601695 req, miss ratio 0.4636, byte miss ratio 0.4636
result/twemcache_video_spam_cache.1.oracleGeneral.sample10.zst Cacheus cache size   127870, 9601695 req, miss ratio 0.4564, byte miss ratio 0.4564
result/twemcache_video_spam_cache.1.oracleGeneral.sample10.zst Cacheus cache size   426234, 9601695 req, miss ratio 0.4474, byte miss ratio 0.4474
