result/user_aggregates_cache.1.oracleGeneral.sample10.zst ARC cache size   119090, 35514911 req, miss ratio 0.0486, byte miss ratio 0.0486
result/user_aggregates_cache.1.oracleGeneral.sample10.zst ARC cache size   238181, 35514911 req, miss ratio 0.0284, byte miss ratio 0.0284
result/user_aggregates_cache.1.oracleGeneral.sample10.zst ARC cache size   476362, 35514911 req, miss ratio 0.0175, byte miss ratio 0.0175
result/user_aggregates_cache.1.oracleGeneral.sample10.zst LeCaR cache size      595, 35514911 req, miss ratio 0.2915, byte miss ratio 0.2915
result/user_aggregates_cache.1.oracleGeneral.sample10.zst LeCaR cache size     1786, 35514911 req, miss ratio 0.2272, byte miss ratio 0.2272
result/user_aggregates_cache.1.oracleGeneral.sample10.zst LeCaR cache size     5954, 35514911 req, miss ratio 0.1576, byte miss ratio 0.1576
result/user_aggregates_cache.1.oracleGeneral.sample10.zst LeCaR cache size    17863, 35514911 req, miss ratio 0.1103, byte miss ratio 0.1103
result/user_aggregates_cache.1.oracleGeneral.sample10.zst LeCaR cache size    59545, 35514911 req, miss ratio 0.0677, byte miss ratio 0.0677
result/user_aggregates_cache.1.oracleGeneral.sample10.zst LeCaR cache size   119090, 35514911 req, miss ratio 0.0484, byte miss ratio 0.0484
result/user_aggregates_cache.1.oracleGeneral.sample10.zst LeCaR cache size   238181, 35514911 req, miss ratio 0.0283, byte miss ratio 0.0283
result/user_aggregates_cache.1.oracleGeneral.sample10.zst LeCaR cache size   476362, 35514911 req, miss ratio 0.0175, byte miss ratio 0.0175
result/user_aggregates_cache.1.oracleGeneral.sample10.zst clock2 cache size      595, 35514911 req, miss ratio 0.2924, byte miss ratio 0.2924
result/user_aggregates_cache.1.oracleGeneral.sample10.zst clock2 cache size     1786, 35514911 req, miss ratio 0.2239, byte miss ratio 0.2239
result/user_aggregates_cache.1.oracleGeneral.sample10.zst clock2 cache size     5954, 35514911 req, miss ratio 0.1536, byte miss ratio 0.1536
result/user_aggregates_cache.1.oracleGeneral.sample10.zst clock2 cache size    17863, 35514911 req, miss ratio 0.1083, byte miss ratio 0.1083
result/user_aggregates_cache.1.oracleGeneral.sample10.zst clock2 cache size    59545, 35514911 req, miss ratio 0.0666, byte miss ratio 0.0666
result/user_aggregates_cache.1.oracleGeneral.sample10.zst clock2 cache size   119090, 35514911 req, miss ratio 0.0474, byte miss ratio 0.0474
result/user_aggregates_cache.1.oracleGeneral.sample10.zst clock2 cache size   238181, 35514911 req, miss ratio 0.0287, byte miss ratio 0.0287
result/user_aggregates_cache.1.oracleGeneral.sample10.zst clock2 cache size   476362, 35514911 req, miss ratio 0.0174, byte miss ratio 0.0174
result/user_aggregates_cache.1.oracleGeneral.sample10.zst Cacheus cache size      595, 35514911 req, miss ratio 0.2879, byte miss ratio 0.2879
result/user_aggregates_cache.1.oracleGeneral.sample10.zst Cacheus cache size     1786, 35514911 req, miss ratio 0.2281, byte miss ratio 0.2281
result/user_aggregates_cache.1.oracleGeneral.sample10.zst Cacheus cache size     5954, 35514911 req, miss ratio 0.1571, byte miss ratio 0.1571
result/user_aggregates_cache.1.oracleGeneral.sample10.zst Cacheus cache size    17863, 35514911 req, miss ratio 0.1083, byte miss ratio 0.1083
result/user_aggregates_cache.1.oracleGeneral.sample10.zst Cacheus cache size    59545, 35514911 req, miss ratio 0.0673, byte miss ratio 0.0673
result/user_aggregates_cache.1.oracleGeneral.sample10.zst Cacheus cache size   119090, 35514911 req, miss ratio 0.0516, byte miss ratio 0.0516
result/user_aggregates_cache.1.oracleGeneral.sample10.zst Cacheus cache size   238181, 35514911 req, miss ratio 0.0283, byte miss ratio 0.0283
result/user_aggregates_cache.1.oracleGeneral.sample10.zst Cacheus cache size   476362, 35514911 req, miss ratio 0.0179, byte miss ratio 0.0179
result/user_aggregates_cache.1.oracleGeneral.sample10.zst Clock cache size      595, 35514911 req, miss ratio 0.2920, byte miss ratio 0.2920
result/user_aggregates_cache.1.oracleGeneral.sample10.zst Clock cache size     1786, 35514911 req, miss ratio 0.2261, byte miss ratio 0.2261
result/user_aggregates_cache.1.oracleGeneral.sample10.zst Clock cache size     5954, 35514911 req, miss ratio 0.1565, byte miss ratio 0.1565
result/user_aggregates_cache.1.oracleGeneral.sample10.zst Clock cache size    17863, 35514911 req, miss ratio 0.1108, byte miss ratio 0.1108
