w32.oracleGeneral.bin.zst S3FIFO-0.3500-1.9000 cache size   369039, 20776392 req, miss ratio 0.6666, byte miss ratio 0.6666
w32.oracleGeneral.bin.zst S3FIFO-0.3500-1.9000 cache size   738079, 20776392 req, miss ratio 0.5156, byte miss ratio 0.5156
w32.oracleGeneral.bin.zst S3FIFO-0.3500-1.9000 cache size  1476159, 20776392 req, miss ratio 0.3632, byte miss ratio 0.3632
w32.oracleGeneral.bin.zst S3FIFO-0.3500-1.9000 cache size  2952319, 20776392 req, miss ratio 0.2441, byte miss ratio 0.2441
w32.oracleGeneral.bin.zst S3FIFO-0.9900-0.9000 cache size     3690, 20776392 req, miss ratio 0.7711, byte miss ratio 0.7711
w32.oracleGeneral.bin.zst S3FIFO-0.9900-0.9000 cache size    11071, 20776392 req, miss ratio 0.7549, byte miss ratio 0.7549
w32.oracleGeneral.bin.zst S3FIFO-0.9900-0.9000 cache size    36903, 20776392 req, miss ratio 0.7306, byte miss ratio 0.7306
w32.oracleGeneral.bin.zst S3FIFO-0.9900-0.9000 cache size   110711, 20776392 req, miss ratio 0.7097, byte miss ratio 0.7097
w32.oracleGeneral.bin.zst S3FIFO-0.9900-0.9000 cache size   369039, 20776392 req, miss ratio 0.6525, byte miss ratio 0.6525
w32.oracleGeneral.bin.zst S3FIFO-0.9900-0.9000 cache size   738079, 20776392 req, miss ratio 0.5245, byte miss ratio 0.5245
w32.oracleGeneral.bin.zst S3FIFO-0.9900-0.9000 cache size  1476159, 20776392 req, miss ratio 0.3944, byte miss ratio 0.3944
w32.oracleGeneral.bin.zst S3FIFO-0.9900-0.9000 cache size  2952319, 20776392 req, miss ratio 0.2724, byte miss ratio 0.2724
w32.oracleGeneral.bin.zst S3FIFO-0.3500-0.9000 cache size     3690, 20776392 req, miss ratio 0.7728, byte miss ratio 0.7728
w32.oracleGeneral.bin.zst S3FIFO-0.3500-0.9000 cache size    11071, 20776392 req, miss ratio 0.7495, byte miss ratio 0.7495
w32.oracleGeneral.bin.zst S3FIFO-0.3500-0.9000 cache size    36903, 20776392 req, miss ratio 0.7182, byte miss ratio 0.7182
w32.oracleGeneral.bin.zst S3FIFO-0.3500-0.9000 cache size   110711, 20776392 req, miss ratio 0.6876, byte miss ratio 0.6876
w32.oracleGeneral.bin.zst S3FIFO-0.3500-0.9000 cache size   369039, 20776392 req, miss ratio 0.6559, byte miss ratio 0.6559
w32.oracleGeneral.bin.zst S3FIFO-0.3500-0.9000 cache size   738079, 20776392 req, miss ratio 0.5071, byte miss ratio 0.5071
w32.oracleGeneral.bin.zst S3FIFO-0.3500-0.9000 cache size  1476159, 20776392 req, miss ratio 0.3632, byte miss ratio 0.3632
w32.oracleGeneral.bin.zst S3FIFO-0.3500-0.9000 cache size  2952319, 20776392 req, miss ratio 0.2441, byte miss ratio 0.2441
