io_traces.ns347 S3FIFO-0.2500-0.9000 cache size      187, 3200000 req, miss ratio 0.5286, byte miss ratio 0.5286
io_traces.ns347 S3FIFO-0.2500-0.9000 cache size      563, 3200000 req, miss ratio 0.4250, byte miss ratio 0.4250
io_traces.ns347 S3FIFO-0.2500-0.9000 cache size     1879, 3200000 req, miss ratio 0.3930, byte miss ratio 0.3930
io_traces.ns347 S3FIFO-0.2500-0.9000 cache size     5639, 3200000 req, miss ratio 0.3698, byte miss ratio 0.3698
io_traces.ns347 S3FIFO-0.2500-0.9000 cache size    18797, 3200000 req, miss ratio 0.3004, byte miss ratio 0.3004
io_traces.ns347 S3FIFO-0.2500-0.9000 cache size    37594, 3200000 req, miss ratio 0.1348, byte miss ratio 0.1348
io_traces.ns347 S3FIFO-0.2500-0.9000 cache size    75188, 3200000 req, miss ratio 0.0666, byte miss ratio 0.0666
io_traces.ns347 S3FIFO-0.2500-0.9000 cache size   150376, 3200000 req, miss ratio 0.0588, byte miss ratio 0.0588
io_traces.ns347 S3FIFO-0.8000-0.9000 cache size      187, 3200000 req, miss ratio 0.6457, byte miss ratio 0.6457
io_traces.ns347 S3FIFO-0.8000-0.9000 cache size      563, 3200000 req, miss ratio 0.5214, byte miss ratio 0.5214
io_traces.ns347 S3FIFO-0.8000-0.9000 cache size     1879, 3200000 req, miss ratio 0.4147, byte miss ratio 0.4147
io_traces.ns347 S3FIFO-0.8000-0.9000 cache size     5639, 3200000 req, miss ratio 0.3876, byte miss ratio 0.3876
io_traces.ns347 S3FIFO-0.8000-0.9000 cache size    18797, 3200000 req, miss ratio 0.3030, byte miss ratio 0.3030
io_traces.ns347 S3FIFO-0.8000-0.9000 cache size    37594, 3200000 req, miss ratio 0.1650, byte miss ratio 0.1650
io_traces.ns347 S3FIFO-0.8000-0.9000 cache size    75188, 3200000 req, miss ratio 0.0807, byte miss ratio 0.0807
io_traces.ns347 S3FIFO-0.8000-0.9000 cache size   150376, 3200000 req, miss ratio 0.0620, byte miss ratio 0.0620
io_traces.ns347 S3FIFO-0.6500-1.9000 cache size      187, 3200000 req, miss ratio 0.6353, byte miss ratio 0.6353
io_traces.ns347 S3FIFO-0.6500-1.9000 cache size      563, 3200000 req, miss ratio 0.4821, byte miss ratio 0.4821
io_traces.ns347 S3FIFO-0.6500-1.9000 cache size     1879, 3200000 req, miss ratio 0.4030, byte miss ratio 0.4030
io_traces.ns347 S3FIFO-0.6500-1.9000 cache size     5639, 3200000 req, miss ratio 0.3761, byte miss ratio 0.3761
io_traces.ns347 S3FIFO-0.6500-1.9000 cache size    18797, 3200000 req, miss ratio 0.3023, byte miss ratio 0.3023
io_traces.ns347 S3FIFO-0.6500-1.9000 cache size    37594, 3200000 req, miss ratio 0.1588, byte miss ratio 0.1588
io_traces.ns347 S3FIFO-0.6500-1.9000 cache size    75188, 3200000 req, miss ratio 0.0734, byte miss ratio 0.0734
io_traces.ns347 S3FIFO-0.6500-1.9000 cache size   150376, 3200000 req, miss ratio 0.0588, byte miss ratio 0.0588
io_traces.ns347 S3FIFO-0.5500-1.9000 cache size      187, 3200000 req, miss ratio 0.6190, byte miss ratio 0.6190
io_traces.ns347 S3FIFO-0.5500-1.9000 cache size      563, 3200000 req, miss ratio 0.4624, byte miss ratio 0.4624
io_traces.ns347 S3FIFO-0.5500-1.9000 cache size     1879, 3200000 req, miss ratio 0.3998, byte miss ratio 0.3998
io_traces.ns347 S3FIFO-0.5500-1.9000 cache size     5639, 3200000 req, miss ratio 0.3722, byte miss ratio 0.3722
io_traces.ns347 S3FIFO-0.5500-1.9000 cache size    18797, 3200000 req, miss ratio 0.3531, byte miss ratio 0.3531
io_traces.ns347 S3FIFO-0.5500-1.9000 cache size    37594, 3200000 req, miss ratio 0.1551, byte miss ratio 0.1551
io_traces.ns347 S3FIFO-0.5500-1.9000 cache size    75188, 3200000 req, miss ratio 0.0695, byte miss ratio 0.0695
io_traces.ns347 S3FIFO-0.5500-1.9000 cache size   150376, 3200000 req, miss ratio 0.0588, byte miss ratio 0.0588
io_traces.ns347 S3FIFO-0.4500-0.9000 cache size      187, 3200000 req, miss ratio 0.5755, byte miss ratio 0.5755
io_traces.ns347 S3FIFO-0.4500-0.9000 cache size      563, 3200000 req, miss ratio 0.4418, byte miss ratio 0.4418
io_traces.ns347 S3FIFO-0.4500-0.9000 cache size     1879, 3200000 req, miss ratio 0.3977, byte miss ratio 0.3977
io_traces.ns347 S3FIFO-0.4500-0.9000 cache size     5639, 3200000 req, miss ratio 0.3713, byte miss ratio 0.3713
io_traces.ns347 S3FIFO-0.4500-0.9000 cache size    18797, 3200000 req, miss ratio 0.3643, byte miss ratio 0.3643
io_traces.ns347 S3FIFO-0.4500-0.9000 cache size    37594, 3200000 req, miss ratio 0.1491, byte miss ratio 0.1491
io_traces.ns347 S3FIFO-0.4500-0.9000 cache size    75188, 3200000 req, miss ratio 0.0662, byte miss ratio 0.0662
io_traces.ns347 S3FIFO-0.4500-0.9000 cache size   150376, 3200000 req, miss ratio 0.0588, byte miss ratio 0.0588
io_traces.ns347 S3FIFO-0.0050-0.9000 cache size      187, 3200000 req, miss ratio 1.0000, byte miss ratio 1.0000
io_traces.ns347 S3FIFO-0.0050-0.9000 cache size      563, 3200000 req, miss ratio 0.4381, byte miss ratio 0.4381
io_traces.ns347 S3FIFO-0.0050-0.9000 cache size     1879, 3200000 req, miss ratio 0.3963, byte miss ratio 0.3963
io_traces.ns347 S3FIFO-0.0050-0.9000 cache size     5639, 3200000 req, miss ratio 0.3731, byte miss ratio 0.3731
io_traces.ns347 S3FIFO-0.0050-0.9000 cache size    18797, 3200000 req, miss ratio 0.2628, byte miss ratio 0.2628
io_traces.ns347 S3FIFO-0.0050-0.9000 cache size    37594, 3200000 req, miss ratio 0.1083, byte miss ratio 0.1083
io_traces.ns347 S3FIFO-0.0050-0.9000 cache size    75188, 3200000 req, miss ratio 0.0715, byte miss ratio 0.0715
io_traces.ns347 S3FIFO-0.0050-0.9000 cache size   150376, 3200000 req, miss ratio 0.0588, byte miss ratio 0.0588
io_traces.ns347 S3FIFO-0.3500-1.9000 cache size      187, 3200000 req, miss ratio 0.5746, byte miss ratio 0.5746
io_traces.ns347 S3FIFO-0.3500-1.9000 cache size      563, 3200000 req, miss ratio 0.4315, byte miss ratio 0.4315
io_traces.ns347 S3FIFO-0.3500-1.9000 cache size     1879, 3200000 req, miss ratio 0.3940, byte miss ratio 0.3940
io_traces.ns347 S3FIFO-0.3500-1.9000 cache size     5639, 3200000 req, miss ratio 0.3700, byte miss ratio 0.3700
io_traces.ns347 S3FIFO-0.3500-1.9000 cache size    18797, 3200000 req, miss ratio 0.3498, byte miss ratio 0.3498
io_traces.ns347 S3FIFO-0.3500-1.9000 cache size    37594, 3200000 req, miss ratio 0.1434, byte miss ratio 0.1434
io_traces.ns347 S3FIFO-0.3500-1.9000 cache size    75188, 3200000 req, miss ratio 0.0656, byte miss ratio 0.0656
io_traces.ns347 S3FIFO-0.3500-1.9000 cache size   150376, 3200000 req, miss ratio 0.0588, byte miss ratio 0.0588
io_traces.ns347 S3FIFO-0.7000-1.9000 cache size      187, 3200000 req, miss ratio 0.6450, byte miss ratio 0.6450
io_traces.ns347 S3FIFO-0.7000-1.9000 cache size      563, 3200000 req, miss ratio 0.4920, byte miss ratio 0.4920
io_traces.ns347 S3FIFO-0.7000-1.9000 cache size     1879, 3200000 req, miss ratio 0.4052, byte miss ratio 0.4052
io_traces.ns347 S3FIFO-0.7000-1.9000 cache size     5639, 3200000 req, miss ratio 0.3796, byte miss ratio 0.3796
io_traces.ns347 S3FIFO-0.7000-1.9000 cache size    18797, 3200000 req, miss ratio 0.3032, byte miss ratio 0.3032
io_traces.ns347 S3FIFO-0.7000-1.9000 cache size    37594, 3200000 req, miss ratio 0.1578, byte miss ratio 0.1578
io_traces.ns347 S3FIFO-0.7000-1.9000 cache size    75188, 3200000 req, miss ratio 0.0760, byte miss ratio 0.0760
io_traces.ns347 S3FIFO-0.7000-1.9000 cache size   150376, 3200000 req, miss ratio 0.0592, byte miss ratio 0.0592
io_traces.ns347 S3FIFO-0.5500-0.9000 cache size      187, 3200000 req, miss ratio 0.5988, byte miss ratio 0.5988
io_traces.ns347 S3FIFO-0.5500-0.9000 cache size      563, 3200000 req, miss ratio 0.4598, byte miss ratio 0.4598
io_traces.ns347 S3FIFO-0.5500-0.9000 cache size     1879, 3200000 req, miss ratio 0.4004, byte miss ratio 0.4004
io_traces.ns347 S3FIFO-0.5500-0.9000 cache size     5639, 3200000 req, miss ratio 0.3724, byte miss ratio 0.3724
io_traces.ns347 S3FIFO-0.5500-0.9000 cache size    18797, 3200000 req, miss ratio 0.3526, byte miss ratio 0.3526
io_traces.ns347 S3FIFO-0.5500-0.9000 cache size    37594, 3200000 req, miss ratio 0.1554, byte miss ratio 0.1554
io_traces.ns347 S3FIFO-0.5500-0.9000 cache size    75188, 3200000 req, miss ratio 0.0695, byte miss ratio 0.0695
io_traces.ns347 S3FIFO-0.5500-0.9000 cache size   150376, 3200000 req, miss ratio 0.0588, byte miss ratio 0.0588
io_traces.ns347 S3FIFO-0.8500-0.9000 cache size      187, 3200000 req, miss ratio 0.6602, byte miss ratio 0.6602
io_traces.ns347 S3FIFO-0.8500-0.9000 cache size      563, 3200000 req, miss ratio 0.5345, byte miss ratio 0.5345
io_traces.ns347 S3FIFO-0.8500-0.9000 cache size     1879, 3200000 req, miss ratio 0.4234, byte miss ratio 0.4234
io_traces.ns347 S3FIFO-0.8500-0.9000 cache size     5639, 3200000 req, miss ratio 0.3916, byte miss ratio 0.3916
io_traces.ns347 S3FIFO-0.8500-0.9000 cache size    18797, 3200000 req, miss ratio 0.3039, byte miss ratio 0.3039
io_traces.ns347 S3FIFO-0.8500-0.9000 cache size    37594, 3200000 req, miss ratio 0.1675, byte miss ratio 0.1675
io_traces.ns347 S3FIFO-0.8500-0.9000 cache size    75188, 3200000 req, miss ratio 0.0829, byte miss ratio 0.0829
io_traces.ns347 S3FIFO-0.8500-0.9000 cache size   150376, 3200000 req, miss ratio 0.0646, byte miss ratio 0.0646
io_traces.ns347 S3FIFO-0.2000-0.9000 cache size      187, 3200000 req, miss ratio 0.5223, byte miss ratio 0.5223
io_traces.ns347 S3FIFO-0.2000-0.9000 cache size      563, 3200000 req, miss ratio 0.4225, byte miss ratio 0.4225
io_traces.ns347 S3FIFO-0.2000-0.9000 cache size     1879, 3200000 req, miss ratio 0.3918, byte miss ratio 0.3918
io_traces.ns347 S3FIFO-0.2000-0.9000 cache size     5639, 3200000 req, miss ratio 0.3696, byte miss ratio 0.3696
io_traces.ns347 S3FIFO-0.2000-0.9000 cache size    18797, 3200000 req, miss ratio 0.2815, byte miss ratio 0.2815
io_traces.ns347 S3FIFO-0.2000-0.9000 cache size    37594, 3200000 req, miss ratio 0.1329, byte miss ratio 0.1329
io_traces.ns347 S3FIFO-0.2000-0.9000 cache size    75188, 3200000 req, miss ratio 0.0677, byte miss ratio 0.0677
io_traces.ns347 S3FIFO-0.2000-0.9000 cache size   150376, 3200000 req, miss ratio 0.0588, byte miss ratio 0.0588
io_traces.ns347 S3FIFO-0.2500-1.9000 cache size      187, 3200000 req, miss ratio 0.5382, byte miss ratio 0.5382
io_traces.ns347 S3FIFO-0.2500-1.9000 cache size      563, 3200000 req, miss ratio 0.4242, byte miss ratio 0.4242
io_traces.ns347 S3FIFO-0.2500-1.9000 cache size     1879, 3200000 req, miss ratio 0.3916, byte miss ratio 0.3916
io_traces.ns347 S3FIFO-0.2500-1.9000 cache size     5639, 3200000 req, miss ratio 0.3693, byte miss ratio 0.3693
