tencentBlock.ns7160 S3FIFO-0.0010-0.9000 cache size     1034, 16514846 req, miss ratio 0.8486, byte miss ratio 0.8486
tencentBlock.ns7160 S3FIFO-0.0010-0.9000 cache size     3104, 16514846 req, miss ratio 0.7586, byte miss ratio 0.7586
tencentBlock.ns7160 S3FIFO-0.0010-0.9000 cache size    10349, 16514846 req, miss ratio 0.6621, byte miss ratio 0.6621
tencentBlock.ns7160 S3FIFO-0.0010-0.9000 cache size    31048, 16514846 req, miss ratio 0.5573, byte miss ratio 0.5573
tencentBlock.ns7160 S3FIFO-0.0010-0.9000 cache size   103494, 16514846 req, miss ratio 0.3583, byte miss ratio 0.3583
tencentBlock.ns7160 S3FIFO-0.0010-0.9000 cache size   206989, 16514846 req, miss ratio 0.2069, byte miss ratio 0.2069
tencentBlock.ns7160 S3FIFO-0.0010-0.9000 cache size   413979, 16514846 req, miss ratio 0.1139, byte miss ratio 0.1139
tencentBlock.ns7160 S3FIFO-0.0010-0.9000 cache size   827958, 16514846 req, miss ratio 0.0690, byte miss ratio 0.0690
tencentBlock.ns7160 S3FIFO-0.2000-0.9000 cache size     1034, 16514846 req, miss ratio 0.8433, byte miss ratio 0.8433
tencentBlock.ns7160 S3FIFO-0.2000-0.9000 cache size     3104, 16514846 req, miss ratio 0.7385, byte miss ratio 0.7385
tencentBlock.ns7160 S3FIFO-0.2000-0.9000 cache size    10349, 16514846 req, miss ratio 0.6002, byte miss ratio 0.6002
tencentBlock.ns7160 S3FIFO-0.2000-0.9000 cache size    31048, 16514846 req, miss ratio 0.4803, byte miss ratio 0.4803
tencentBlock.ns7160 S3FIFO-0.2000-0.9000 cache size   103494, 16514846 req, miss ratio 0.3253, byte miss ratio 0.3253
tencentBlock.ns7160 S3FIFO-0.2000-0.9000 cache size   206989, 16514846 req, miss ratio 0.1963, byte miss ratio 0.1963
tencentBlock.ns7160 S3FIFO-0.2000-0.9000 cache size   413979, 16514846 req, miss ratio 0.1079, byte miss ratio 0.1079
tencentBlock.ns7160 S3FIFO-0.2000-0.9000 cache size   827958, 16514846 req, miss ratio 0.0682, byte miss ratio 0.0682
tencentBlock.ns7160 S3FIFO-0.3000-1.9000 cache size     1034, 16514846 req, miss ratio 0.8433, byte miss ratio 0.8433
tencentBlock.ns7160 S3FIFO-0.3000-1.9000 cache size     3104, 16514846 req, miss ratio 0.7303, byte miss ratio 0.7303
tencentBlock.ns7160 S3FIFO-0.3000-1.9000 cache size    10349, 16514846 req, miss ratio 0.5886, byte miss ratio 0.5886
tencentBlock.ns7160 S3FIFO-0.3000-1.9000 cache size    31048, 16514846 req, miss ratio 0.4804, byte miss ratio 0.4804
tencentBlock.ns7160 S3FIFO-0.3000-1.9000 cache size   103494, 16514846 req, miss ratio 0.3320, byte miss ratio 0.3320
tencentBlock.ns7160 S3FIFO-0.3000-1.9000 cache size   206989, 16514846 req, miss ratio 0.2010, byte miss ratio 0.2010
tencentBlock.ns7160 S3FIFO-0.3000-1.9000 cache size   413979, 16514846 req, miss ratio 0.1092, byte miss ratio 0.1092
tencentBlock.ns7160 S3FIFO-0.3000-1.9000 cache size   827958, 16514846 req, miss ratio 0.0681, byte miss ratio 0.0681
tencentBlock.ns7160 S3FIFO-0.4000-1.9000 cache size     1034, 16514846 req, miss ratio 0.8491, byte miss ratio 0.8491
tencentBlock.ns7160 S3FIFO-0.4000-1.9000 cache size     3104, 16514846 req, miss ratio 0.7283, byte miss ratio 0.7283
tencentBlock.ns7160 S3FIFO-0.4000-1.9000 cache size    10349, 16514846 req, miss ratio 0.5849, byte miss ratio 0.5849
tencentBlock.ns7160 S3FIFO-0.4000-1.9000 cache size    31048, 16514846 req, miss ratio 0.4829, byte miss ratio 0.4829
tencentBlock.ns7160 S3FIFO-0.4000-1.9000 cache size   103494, 16514846 req, miss ratio 0.3358, byte miss ratio 0.3358
tencentBlock.ns7160 S3FIFO-0.4000-1.9000 cache size   206989, 16514846 req, miss ratio 0.2056, byte miss ratio 0.2056
tencentBlock.ns7160 S3FIFO-0.4000-1.9000 cache size   413979, 16514846 req, miss ratio 0.1113, byte miss ratio 0.1113
tencentBlock.ns7160 S3FIFO-0.4000-1.9000 cache size   827958, 16514846 req, miss ratio 0.0680, byte miss ratio 0.0680
tencentBlock.ns7160 S3FIFO-0.7500-1.9000 cache size     1034, 16514846 req, miss ratio 0.8736, byte miss ratio 0.8736
tencentBlock.ns7160 S3FIFO-0.7500-1.9000 cache size     3104, 16514846 req, miss ratio 0.7416, byte miss ratio 0.7416
tencentBlock.ns7160 S3FIFO-0.7500-1.9000 cache size    10349, 16514846 req, miss ratio 0.5934, byte miss ratio 0.5934
tencentBlock.ns7160 S3FIFO-0.7500-1.9000 cache size    31048, 16514846 req, miss ratio 0.4995, byte miss ratio 0.4995
tencentBlock.ns7160 S3FIFO-0.7500-1.9000 cache size   103494, 16514846 req, miss ratio 0.3493, byte miss ratio 0.3493
tencentBlock.ns7160 S3FIFO-0.7500-1.9000 cache size   206989, 16514846 req, miss ratio 0.2244, byte miss ratio 0.2244
tencentBlock.ns7160 S3FIFO-0.7500-1.9000 cache size   413979, 16514846 req, miss ratio 0.1236, byte miss ratio 0.1236
tencentBlock.ns7160 S3FIFO-0.7500-1.9000 cache size   827958, 16514846 req, miss ratio 0.0689, byte miss ratio 0.0689
tencentBlock.ns7160 S3FIFO-0.4000-0.9000 cache size     1034, 16514846 req, miss ratio 0.8468, byte miss ratio 0.8468
tencentBlock.ns7160 S3FIFO-0.4000-0.9000 cache size     3104, 16514846 req, miss ratio 0.7285, byte miss ratio 0.7285
tencentBlock.ns7160 S3FIFO-0.4000-0.9000 cache size    10349, 16514846 req, miss ratio 0.5854, byte miss ratio 0.5854
tencentBlock.ns7160 S3FIFO-0.4000-0.9000 cache size    31048, 16514846 req, miss ratio 0.4802, byte miss ratio 0.4802
tencentBlock.ns7160 S3FIFO-0.4000-0.9000 cache size   103494, 16514846 req, miss ratio 0.3347, byte miss ratio 0.3347
tencentBlock.ns7160 S3FIFO-0.4000-0.9000 cache size   206989, 16514846 req, miss ratio 0.2055, byte miss ratio 0.2055
tencentBlock.ns7160 S3FIFO-0.4000-0.9000 cache size   413979, 16514846 req, miss ratio 0.1113, byte miss ratio 0.1113
tencentBlock.ns7160 S3FIFO-0.4000-0.9000 cache size   827958, 16514846 req, miss ratio 0.0680, byte miss ratio 0.0680
tencentBlock.ns7160 S3FIFO-0.5000-1.9000 cache size     1034, 16514846 req, miss ratio 0.8558, byte miss ratio 0.8558
tencentBlock.ns7160 S3FIFO-0.5000-1.9000 cache size     3104, 16514846 req, miss ratio 0.7290, byte miss ratio 0.7290
tencentBlock.ns7160 S3FIFO-0.5000-1.9000 cache size    10349, 16514846 req, miss ratio 0.5844, byte miss ratio 0.5844
tencentBlock.ns7160 S3FIFO-0.5000-1.9000 cache size    31048, 16514846 req, miss ratio 0.4863, byte miss ratio 0.4863
tencentBlock.ns7160 S3FIFO-0.5000-1.9000 cache size   103494, 16514846 req, miss ratio 0.3397, byte miss ratio 0.3397
tencentBlock.ns7160 S3FIFO-0.5000-1.9000 cache size   206989, 16514846 req, miss ratio 0.2106, byte miss ratio 0.2106
tencentBlock.ns7160 S3FIFO-0.5000-1.9000 cache size   413979, 16514846 req, miss ratio 0.1141, byte miss ratio 0.1141
