cdn1_allcolo.ns1318 S3FIFO-0.9900-0.9000 cache size       11, 1009905 req, miss ratio 0.0183, byte miss ratio 0.0183
cdn1_allcolo.ns1318 S3FIFO-0.9900-0.9000 cache size       22, 1009905 req, miss ratio 0.0018, byte miss ratio 0.0018
cdn1_allcolo.ns1318 S3FIFO-0.9900-0.9000 cache size       44, 1009905 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn1_allcolo.ns1318 S3FIFO-0.9900-0.9000 cache size       88, 1009905 req, miss ratio 0.0001, byte miss ratio 0.0001
cdn1_allcolo.ns1318 S3FIFO-0.8000-1.9000 cache size       11, 1009905 req, miss ratio 0.0159, byte miss ratio 0.0159
cdn1_allcolo.ns1318 S3FIFO-0.8000-1.9000 cache size       22, 1009905 req, miss ratio 0.0015, byte miss ratio 0.0015
cdn1_allcolo.ns1318 S3FIFO-0.8000-1.9000 cache size       44, 1009905 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn1_allcolo.ns1318 S3FIFO-0.8000-1.9000 cache size       88, 1009905 req, miss ratio 0.0001, byte miss ratio 0.0001
cdn1_allcolo.ns1318 S3FIFO-0.3500-0.9000 cache size       11, 1009905 req, miss ratio 0.0105, byte miss ratio 0.0105
cdn1_allcolo.ns1318 S3FIFO-0.3500-0.9000 cache size       22, 1009905 req, miss ratio 0.0009, byte miss ratio 0.0009
cdn1_allcolo.ns1318 S3FIFO-0.3500-0.9000 cache size       44, 1009905 req, miss ratio 0.0001, byte miss ratio 0.0001
cdn1_allcolo.ns1318 S3FIFO-0.3500-0.9000 cache size       88, 1009905 req, miss ratio 0.0001, byte miss ratio 0.0001
cdn1_allcolo.ns1318 S3FIFO-0.7500-0.9000 cache size       11, 1009905 req, miss ratio 0.0162, byte miss ratio 0.0162
cdn1_allcolo.ns1318 S3FIFO-0.7500-0.9000 cache size       22, 1009905 req, miss ratio 0.0014, byte miss ratio 0.0014
cdn1_allcolo.ns1318 S3FIFO-0.7500-0.9000 cache size       44, 1009905 req, miss ratio 0.0002, byte miss ratio 0.0002
