notification_deduping_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5000-1.5000 cache size   100054, 103050873 req, miss ratio 0.9754, byte miss ratio 0.9754
notification_deduping_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5000-1.5000 cache size   300164, 103050873 req, miss ratio 0.9719, byte miss ratio 0.9719
notification_deduping_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5000-1.5000 cache size  1000547, 103050873 req, miss ratio 0.9718, byte miss ratio 0.9718
notification_deduping_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5000-1.5000 cache size  3001641, 103050873 req, miss ratio 0.9716, byte miss ratio 0.9716
notification_deduping_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5000-1.5000 cache size 10005472, 103050873 req, miss ratio 0.9714, byte miss ratio 0.9714
notification_deduping_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5000-1.5000 cache size 20010944, 103050873 req, miss ratio 0.9712, byte miss ratio 0.9712
notification_deduping_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5000-1.5000 cache size 40021889, 103050873 req, miss ratio 0.9711, byte miss ratio 0.9711
notification_deduping_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5000-1.5000 cache size 80043778, 103050873 req, miss ratio 0.9709, byte miss ratio 0.9709
notification_deduping_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0500-1.5000 cache size   100054, 103050873 req, miss ratio 0.9760, byte miss ratio 0.9760
notification_deduping_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0500-1.5000 cache size   300164, 103050873 req, miss ratio 0.9751, byte miss ratio 0.9751
notification_deduping_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0500-1.5000 cache size  1000547, 103050873 req, miss ratio 0.9718, byte miss ratio 0.9718
notification_deduping_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0500-1.5000 cache size  3001641, 103050873 req, miss ratio 0.9716, byte miss ratio 0.9716
notification_deduping_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0500-1.5000 cache size 10005472, 103050873 req, miss ratio 0.9714, byte miss ratio 0.9714
notification_deduping_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0500-1.5000 cache size 20010944, 103050873 req, miss ratio 0.9712, byte miss ratio 0.9712
notification_deduping_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0500-1.5000 cache size 40021889, 103050873 req, miss ratio 0.9711, byte miss ratio 0.9711
notification_deduping_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0500-1.5000 cache size 80043778, 103050873 req, miss ratio 0.9709, byte miss ratio 0.9709
notification_deduping_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8500-1.7000 cache size   100054, 103050873 req, miss ratio 0.9787, byte miss ratio 0.9787
notification_deduping_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8500-1.7000 cache size   300164, 103050873 req, miss ratio 0.9721, byte miss ratio 0.9721
notification_deduping_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8500-1.7000 cache size  1000547, 103050873 req, miss ratio 0.9718, byte miss ratio 0.9718
notification_deduping_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8500-1.7000 cache size  3001641, 103050873 req, miss ratio 0.9716, byte miss ratio 0.9716
notification_deduping_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8500-1.7000 cache size 10005472, 103050873 req, miss ratio 0.9714, byte miss ratio 0.9714
notification_deduping_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8500-1.7000 cache size 20010944, 103050873 req, miss ratio 0.9712, byte miss ratio 0.9712
notification_deduping_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8500-1.7000 cache size 40021889, 103050873 req, miss ratio 0.9711, byte miss ratio 0.9711
notification_deduping_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8500-1.7000 cache size 80043778, 103050873 req, miss ratio 0.9709, byte miss ratio 0.9709
notification_deduping_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5500-0.6000 cache size   100054, 103050873 req, miss ratio 0.9753, byte miss ratio 0.9753
notification_deduping_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5500-0.6000 cache size   300164, 103050873 req, miss ratio 0.9719, byte miss ratio 0.9719
notification_deduping_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5500-0.6000 cache size  1000547, 103050873 req, miss ratio 0.9718, byte miss ratio 0.9718
notification_deduping_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5500-0.6000 cache size  3001641, 103050873 req, miss ratio 0.9716, byte miss ratio 0.9716
notification_deduping_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5500-0.6000 cache size 10005472, 103050873 req, miss ratio 0.9714, byte miss ratio 0.9714
notification_deduping_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5500-0.6000 cache size 20010944, 103050873 req, miss ratio 0.9712, byte miss ratio 0.9712
notification_deduping_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5500-0.6000 cache size 40021889, 103050873 req, miss ratio 0.9711, byte miss ratio 0.9711
notification_deduping_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5500-0.6000 cache size 80043778, 103050873 req, miss ratio 0.9709, byte miss ratio 0.9709
notification_deduping_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8000-1.4000 cache size   100054, 103050873 req, miss ratio 0.9780, byte miss ratio 0.9780
notification_deduping_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8000-1.4000 cache size   300164, 103050873 req, miss ratio 0.9721, byte miss ratio 0.9721
notification_deduping_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8000-1.4000 cache size  1000547, 103050873 req, miss ratio 0.9718, byte miss ratio 0.9718
notification_deduping_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8000-1.4000 cache size  3001641, 103050873 req, miss ratio 0.9716, byte miss ratio 0.9716
notification_deduping_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8000-1.4000 cache size 10005472, 103050873 req, miss ratio 0.9714, byte miss ratio 0.9714
notification_deduping_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8000-1.4000 cache size 20010944, 103050873 req, miss ratio 0.9712, byte miss ratio 0.9712
notification_deduping_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8000-1.4000 cache size 40021889, 103050873 req, miss ratio 0.9711, byte miss ratio 0.9711
notification_deduping_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8000-1.4000 cache size 80043778, 103050873 req, miss ratio 0.9709, byte miss ratio 0.9709
notification_deduping_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0100-1.7000 cache size   100054, 103050873 req, miss ratio 0.9780, byte miss ratio 0.9780
notification_deduping_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0100-1.7000 cache size   300164, 103050873 req, miss ratio 0.9758, byte miss ratio 0.9758
notification_deduping_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0100-1.7000 cache size  1000547, 103050873 req, miss ratio 0.9718, byte miss ratio 0.9718
notification_deduping_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0100-1.7000 cache size  3001641, 103050873 req, miss ratio 0.9716, byte miss ratio 0.9716
notification_deduping_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0100-1.7000 cache size 10005472, 103050873 req, miss ratio 0.9714, byte miss ratio 0.9714
notification_deduping_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0100-1.7000 cache size 20010944, 103050873 req, miss ratio 0.9712, byte miss ratio 0.9712
notification_deduping_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0100-1.7000 cache size 40021889, 103050873 req, miss ratio 0.9711, byte miss ratio 0.9711
notification_deduping_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0100-1.7000 cache size 80043778, 103050873 req, miss ratio 0.9709, byte miss ratio 0.9709
notification_deduping_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8000-1.9000 cache size   100054, 103050873 req, miss ratio 0.9780, byte miss ratio 0.9780
notification_deduping_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8000-1.9000 cache size   300164, 103050873 req, miss ratio 0.9721, byte miss ratio 0.9721
notification_deduping_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8000-1.9000 cache size  1000547, 103050873 req, miss ratio 0.9718, byte miss ratio 0.9718
notification_deduping_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8000-1.9000 cache size  3001641, 103050873 req, miss ratio 0.9716, byte miss ratio 0.9716
notification_deduping_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8000-1.9000 cache size 10005472, 103050873 req, miss ratio 0.9714, byte miss ratio 0.9714
notification_deduping_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8000-1.9000 cache size 20010944, 103050873 req, miss ratio 0.9712, byte miss ratio 0.9712
notification_deduping_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8000-1.9000 cache size 40021889, 103050873 req, miss ratio 0.9711, byte miss ratio 0.9711
