cdn1_allcolo.ns1155 S3FIFO-0.9500-1.9000 cache size        8, 7053025 req, miss ratio 0.9591, byte miss ratio 0.9591
cdn1_allcolo.ns1155 S3FIFO-0.9500-1.9000 cache size       26, 7053025 req, miss ratio 0.8936, byte miss ratio 0.8936
cdn1_allcolo.ns1155 S3FIFO-0.9500-1.9000 cache size       86, 7053025 req, miss ratio 0.6981, byte miss ratio 0.6981
cdn1_allcolo.ns1155 S3FIFO-0.9500-1.9000 cache size      260, 7053025 req, miss ratio 0.3358, byte miss ratio 0.3358
cdn1_allcolo.ns1155 S3FIFO-0.9500-1.9000 cache size      867, 7053025 req, miss ratio 0.0404, byte miss ratio 0.0404
cdn1_allcolo.ns1155 S3FIFO-0.9500-1.9000 cache size     1735, 7053025 req, miss ratio 0.0159, byte miss ratio 0.0159
cdn1_allcolo.ns1155 S3FIFO-0.9500-1.9000 cache size     3470, 7053025 req, miss ratio 0.0055, byte miss ratio 0.0055
cdn1_allcolo.ns1155 S3FIFO-0.9500-1.9000 cache size     6940, 7053025 req, miss ratio 0.0018, byte miss ratio 0.0018
cdn1_allcolo.ns1155 S3FIFO-0.5500-1.9000 cache size        8, 7053025 req, miss ratio 0.9438, byte miss ratio 0.9438
cdn1_allcolo.ns1155 S3FIFO-0.5500-1.9000 cache size       26, 7053025 req, miss ratio 0.8624, byte miss ratio 0.8624
cdn1_allcolo.ns1155 S3FIFO-0.5500-1.9000 cache size       86, 7053025 req, miss ratio 0.6662, byte miss ratio 0.6662
cdn1_allcolo.ns1155 S3FIFO-0.5500-1.9000 cache size      260, 7053025 req, miss ratio 0.2965, byte miss ratio 0.2965
cdn1_allcolo.ns1155 S3FIFO-0.5500-1.9000 cache size      867, 7053025 req, miss ratio 0.0282, byte miss ratio 0.0282
cdn1_allcolo.ns1155 S3FIFO-0.5500-1.9000 cache size     1735, 7053025 req, miss ratio 0.0121, byte miss ratio 0.0121
cdn1_allcolo.ns1155 S3FIFO-0.5500-1.9000 cache size     3470, 7053025 req, miss ratio 0.0041, byte miss ratio 0.0041
cdn1_allcolo.ns1155 S3FIFO-0.5500-1.9000 cache size     6940, 7053025 req, miss ratio 0.0014, byte miss ratio 0.0014
cdn1_allcolo.ns1155 S3FIFO-0.0010-1.9000 cache size        8, 7053025 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns1155 S3FIFO-0.0010-1.9000 cache size       26, 7053025 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns1155 S3FIFO-0.0010-1.9000 cache size       86, 7053025 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns1155 S3FIFO-0.0010-1.9000 cache size      260, 7053025 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns1155 S3FIFO-0.0010-1.9000 cache size      867, 7053025 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns1155 S3FIFO-0.0010-1.9000 cache size     1735, 7053025 req, miss ratio 0.0093, byte miss ratio 0.0093
cdn1_allcolo.ns1155 S3FIFO-0.0010-1.9000 cache size     3470, 7053025 req, miss ratio 0.0027, byte miss ratio 0.0027
cdn1_allcolo.ns1155 S3FIFO-0.0010-1.9000 cache size     6940, 7053025 req, miss ratio 0.0013, byte miss ratio 0.0013
cdn1_allcolo.ns1155 S3FIFO-0.2500-1.9000 cache size        8, 7053025 req, miss ratio 0.9309, byte miss ratio 0.9309
cdn1_allcolo.ns1155 S3FIFO-0.2500-1.9000 cache size       26, 7053025 req, miss ratio 0.8315, byte miss ratio 0.8315
cdn1_allcolo.ns1155 S3FIFO-0.2500-1.9000 cache size       86, 7053025 req, miss ratio 0.6294, byte miss ratio 0.6294
cdn1_allcolo.ns1155 S3FIFO-0.2500-1.9000 cache size      260, 7053025 req, miss ratio 0.2665, byte miss ratio 0.2665
cdn1_allcolo.ns1155 S3FIFO-0.2500-1.9000 cache size      867, 7053025 req, miss ratio 0.0234, byte miss ratio 0.0234
cdn1_allcolo.ns1155 S3FIFO-0.2500-1.9000 cache size     1735, 7053025 req, miss ratio 0.0105, byte miss ratio 0.0105
cdn1_allcolo.ns1155 S3FIFO-0.2500-1.9000 cache size     3470, 7053025 req, miss ratio 0.0033, byte miss ratio 0.0033
cdn1_allcolo.ns1155 S3FIFO-0.2500-1.9000 cache size     6940, 7053025 req, miss ratio 0.0013, byte miss ratio 0.0013
cdn1_allcolo.ns1155 S3FIFO-0.4000-1.9000 cache size        8, 7053025 req, miss ratio 0.9374, byte miss ratio 0.9374
cdn1_allcolo.ns1155 S3FIFO-0.4000-1.9000 cache size       26, 7053025 req, miss ratio 0.8471, byte miss ratio 0.8471
cdn1_allcolo.ns1155 S3FIFO-0.4000-1.9000 cache size       86, 7053025 req, miss ratio 0.6480, byte miss ratio 0.6480
cdn1_allcolo.ns1155 S3FIFO-0.4000-1.9000 cache size      260, 7053025 req, miss ratio 0.2819, byte miss ratio 0.2819
cdn1_allcolo.ns1155 S3FIFO-0.4000-1.9000 cache size      867, 7053025 req, miss ratio 0.0249, byte miss ratio 0.0249
cdn1_allcolo.ns1155 S3FIFO-0.4000-1.9000 cache size     1735, 7053025 req, miss ratio 0.0112, byte miss ratio 0.0112
cdn1_allcolo.ns1155 S3FIFO-0.4000-1.9000 cache size     3470, 7053025 req, miss ratio 0.0037, byte miss ratio 0.0037
cdn1_allcolo.ns1155 S3FIFO-0.4000-1.9000 cache size     6940, 7053025 req, miss ratio 0.0013, byte miss ratio 0.0013
cdn1_allcolo.ns1155 S3FIFO-0.5000-1.9000 cache size        8, 7053025 req, miss ratio 0.9438, byte miss ratio 0.9438
cdn1_allcolo.ns1155 S3FIFO-0.5000-1.9000 cache size       26, 7053025 req, miss ratio 0.8586, byte miss ratio 0.8586
cdn1_allcolo.ns1155 S3FIFO-0.5000-1.9000 cache size       86, 7053025 req, miss ratio 0.6609, byte miss ratio 0.6609
cdn1_allcolo.ns1155 S3FIFO-0.5000-1.9000 cache size      260, 7053025 req, miss ratio 0.2918, byte miss ratio 0.2918
cdn1_allcolo.ns1155 S3FIFO-0.5000-1.9000 cache size      867, 7053025 req, miss ratio 0.0268, byte miss ratio 0.0268
cdn1_allcolo.ns1155 S3FIFO-0.5000-1.9000 cache size     1735, 7053025 req, miss ratio 0.0118, byte miss ratio 0.0118
cdn1_allcolo.ns1155 S3FIFO-0.5000-1.9000 cache size     3470, 7053025 req, miss ratio 0.0040, byte miss ratio 0.0040
cdn1_allcolo.ns1155 S3FIFO-0.5000-1.9000 cache size     6940, 7053025 req, miss ratio 0.0014, byte miss ratio 0.0014
cdn1_allcolo.ns1155 S3FIFO-0.0250-1.9000 cache size        8, 7053025 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns1155 S3FIFO-0.0250-1.9000 cache size       26, 7053025 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns1155 S3FIFO-0.0250-1.9000 cache size       86, 7053025 req, miss ratio 0.6025, byte miss ratio 0.6025
cdn1_allcolo.ns1155 S3FIFO-0.0250-1.9000 cache size      260, 7053025 req, miss ratio 0.2402, byte miss ratio 0.2402
cdn1_allcolo.ns1155 S3FIFO-0.0250-1.9000 cache size      867, 7053025 req, miss ratio 0.0213, byte miss ratio 0.0213
cdn1_allcolo.ns1155 S3FIFO-0.0250-1.9000 cache size     1735, 7053025 req, miss ratio 0.0093, byte miss ratio 0.0093
cdn1_allcolo.ns1155 S3FIFO-0.0250-1.9000 cache size     3470, 7053025 req, miss ratio 0.0028, byte miss ratio 0.0028
cdn1_allcolo.ns1155 S3FIFO-0.0250-1.9000 cache size     6940, 7053025 req, miss ratio 0.0013, byte miss ratio 0.0013
cdn1_allcolo.ns1155 S3FIFO-0.3000-1.9000 cache size        8, 7053025 req, miss ratio 0.9309, byte miss ratio 0.9309
cdn1_allcolo.ns1155 S3FIFO-0.3000-1.9000 cache size       26, 7053025 req, miss ratio 0.8354, byte miss ratio 0.8354
cdn1_allcolo.ns1155 S3FIFO-0.3000-1.9000 cache size       86, 7053025 req, miss ratio 0.6351, byte miss ratio 0.6351
cdn1_allcolo.ns1155 S3FIFO-0.3000-1.9000 cache size      260, 7053025 req, miss ratio 0.2718, byte miss ratio 0.2718
cdn1_allcolo.ns1155 S3FIFO-0.3000-1.9000 cache size      867, 7053025 req, miss ratio 0.0239, byte miss ratio 0.0239
cdn1_allcolo.ns1155 S3FIFO-0.3000-1.9000 cache size     1735, 7053025 req, miss ratio 0.0107, byte miss ratio 0.0107
cdn1_allcolo.ns1155 S3FIFO-0.3000-1.9000 cache size     3470, 7053025 req, miss ratio 0.0034, byte miss ratio 0.0034
cdn1_allcolo.ns1155 S3FIFO-0.3000-1.9000 cache size     6940, 7053025 req, miss ratio 0.0013, byte miss ratio 0.0013
cdn1_allcolo.ns1155 S3FIFO-0.4500-1.9000 cache size        8, 7053025 req, miss ratio 0.9374, byte miss ratio 0.9374
cdn1_allcolo.ns1155 S3FIFO-0.4500-1.9000 cache size       26, 7053025 req, miss ratio 0.8509, byte miss ratio 0.8509
cdn1_allcolo.ns1155 S3FIFO-0.4500-1.9000 cache size       86, 7053025 req, miss ratio 0.6538, byte miss ratio 0.6538
