timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8000-1.9000 cache size  2064598, 103671855 req, miss ratio 0.3519, byte miss ratio 0.3519
timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8000-1.9000 cache size  4129197, 103671855 req, miss ratio 0.3058, byte miss ratio 0.3058
timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8000-1.9000 cache size  8258394, 103671855 req, miss ratio 0.2494, byte miss ratio 0.2494
timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8000-1.9000 cache size 16516789, 103671855 req, miss ratio 0.2040, byte miss ratio 0.2040
timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0500-1.9000 cache size    20645, 103671855 req, miss ratio 0.7157, byte miss ratio 0.7157
timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0500-1.9000 cache size    61937, 103671855 req, miss ratio 0.6333, byte miss ratio 0.6333
timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0500-1.9000 cache size   206459, 103671855 req, miss ratio 0.5175, byte miss ratio 0.5175
timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0500-1.9000 cache size   619379, 103671855 req, miss ratio 0.4099, byte miss ratio 0.4099
timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0500-1.9000 cache size  2064598, 103671855 req, miss ratio 0.3305, byte miss ratio 0.3305
timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0500-1.9000 cache size  4129197, 103671855 req, miss ratio 0.2850, byte miss ratio 0.2850
timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0500-1.9000 cache size  8258394, 103671855 req, miss ratio 0.2334, byte miss ratio 0.2334
timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0500-1.9000 cache size 16516789, 103671855 req, miss ratio 0.2013, byte miss ratio 0.2013
timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7000-1.9000 cache size    20645, 103671855 req, miss ratio 0.7536, byte miss ratio 0.7536
timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7000-1.9000 cache size    61937, 103671855 req, miss ratio 0.6611, byte miss ratio 0.6611
timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7000-1.9000 cache size   206459, 103671855 req, miss ratio 0.5515, byte miss ratio 0.5515
timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7000-1.9000 cache size   619379, 103671855 req, miss ratio 0.4344, byte miss ratio 0.4344
timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7000-1.9000 cache size  2064598, 103671855 req, miss ratio 0.3466, byte miss ratio 0.3466
timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7000-1.9000 cache size  4129197, 103671855 req, miss ratio 0.3016, byte miss ratio 0.3016
timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7000-1.9000 cache size  8258394, 103671855 req, miss ratio 0.2458, byte miss ratio 0.2458
timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7000-1.9000 cache size 16516789, 103671855 req, miss ratio 0.2025, byte miss ratio 0.2025
timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8500-0.9000 cache size    20645, 103671855 req, miss ratio 0.7664, byte miss ratio 0.7664
timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8500-0.9000 cache size    61937, 103671855 req, miss ratio 0.6743, byte miss ratio 0.6743
timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8500-0.9000 cache size   206459, 103671855 req, miss ratio 0.5640, byte miss ratio 0.5640
timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8500-0.9000 cache size   619379, 103671855 req, miss ratio 0.4479, byte miss ratio 0.4479
timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8500-0.9000 cache size  2064598, 103671855 req, miss ratio 0.3552, byte miss ratio 0.3552
timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8500-0.9000 cache size  4129197, 103671855 req, miss ratio 0.3085, byte miss ratio 0.3085
timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8500-0.9000 cache size  8258394, 103671855 req, miss ratio 0.2512, byte miss ratio 0.2512
