tencentBlock.ns11458 S3FIFO-0.9900-1.9000 cache size       54, 2131888 req, miss ratio 0.5313, byte miss ratio 0.5313
tencentBlock.ns11458 S3FIFO-0.9900-1.9000 cache size      163, 2131888 req, miss ratio 0.3943, byte miss ratio 0.3943
tencentBlock.ns11458 S3FIFO-0.9900-1.9000 cache size      545, 2131888 req, miss ratio 0.2780, byte miss ratio 0.2780
tencentBlock.ns11458 S3FIFO-0.9900-1.9000 cache size     1637, 2131888 req, miss ratio 0.2350, byte miss ratio 0.2350
tencentBlock.ns11458 S3FIFO-0.9900-1.9000 cache size     5457, 2131888 req, miss ratio 0.1605, byte miss ratio 0.1605
tencentBlock.ns11458 S3FIFO-0.9900-1.9000 cache size    10914, 2131888 req, miss ratio 0.1153, byte miss ratio 0.1153
tencentBlock.ns11458 S3FIFO-0.9900-1.9000 cache size    21829, 2131888 req, miss ratio 0.0696, byte miss ratio 0.0696
tencentBlock.ns11458 S3FIFO-0.9900-1.9000 cache size    43659, 2131888 req, miss ratio 0.0322, byte miss ratio 0.0322
tencentBlock.ns11458 S3FIFO-0.7000-1.9000 cache size       54, 2131888 req, miss ratio 0.4874, byte miss ratio 0.4874
tencentBlock.ns11458 S3FIFO-0.7000-1.9000 cache size      163, 2131888 req, miss ratio 0.3769, byte miss ratio 0.3769
tencentBlock.ns11458 S3FIFO-0.7000-1.9000 cache size      545, 2131888 req, miss ratio 0.2570, byte miss ratio 0.2570
tencentBlock.ns11458 S3FIFO-0.7000-1.9000 cache size     1637, 2131888 req, miss ratio 0.2264, byte miss ratio 0.2264
tencentBlock.ns11458 S3FIFO-0.7000-1.9000 cache size     5457, 2131888 req, miss ratio 0.1559, byte miss ratio 0.1559
tencentBlock.ns11458 S3FIFO-0.7000-1.9000 cache size    10914, 2131888 req, miss ratio 0.1080, byte miss ratio 0.1080
tencentBlock.ns11458 S3FIFO-0.7000-1.9000 cache size    21829, 2131888 req, miss ratio 0.0615, byte miss ratio 0.0615
tencentBlock.ns11458 S3FIFO-0.7000-1.9000 cache size    43659, 2131888 req, miss ratio 0.0290, byte miss ratio 0.0290
tencentBlock.ns11458 S3FIFO-0.9900-0.9000 cache size       54, 2131888 req, miss ratio 0.5321, byte miss ratio 0.5321
tencentBlock.ns11458 S3FIFO-0.9900-0.9000 cache size      163, 2131888 req, miss ratio 0.3946, byte miss ratio 0.3946
tencentBlock.ns11458 S3FIFO-0.9900-0.9000 cache size      545, 2131888 req, miss ratio 0.2775, byte miss ratio 0.2775
tencentBlock.ns11458 S3FIFO-0.9900-0.9000 cache size     1637, 2131888 req, miss ratio 0.2376, byte miss ratio 0.2376
tencentBlock.ns11458 S3FIFO-0.9900-0.9000 cache size     5457, 2131888 req, miss ratio 0.1671, byte miss ratio 0.1671
tencentBlock.ns11458 S3FIFO-0.9900-0.9000 cache size    10914, 2131888 req, miss ratio 0.1158, byte miss ratio 0.1158
tencentBlock.ns11458 S3FIFO-0.9900-0.9000 cache size    21829, 2131888 req, miss ratio 0.0696, byte miss ratio 0.0696
tencentBlock.ns11458 S3FIFO-0.9900-0.9000 cache size    43659, 2131888 req, miss ratio 0.0322, byte miss ratio 0.0322
tencentBlock.ns11458 S3FIFO-0.8500-1.9000 cache size       54, 2131888 req, miss ratio 0.5104, byte miss ratio 0.5104
tencentBlock.ns11458 S3FIFO-0.8500-1.9000 cache size      163, 2131888 req, miss ratio 0.3840, byte miss ratio 0.3840
tencentBlock.ns11458 S3FIFO-0.8500-1.9000 cache size      545, 2131888 req, miss ratio 0.2660, byte miss ratio 0.2660
tencentBlock.ns11458 S3FIFO-0.8500-1.9000 cache size     1637, 2131888 req, miss ratio 0.2313, byte miss ratio 0.2313
tencentBlock.ns11458 S3FIFO-0.8500-1.9000 cache size     5457, 2131888 req, miss ratio 0.1594, byte miss ratio 0.1594
tencentBlock.ns11458 S3FIFO-0.8500-1.9000 cache size    10914, 2131888 req, miss ratio 0.1124, byte miss ratio 0.1124
tencentBlock.ns11458 S3FIFO-0.8500-1.9000 cache size    21829, 2131888 req, miss ratio 0.0663, byte miss ratio 0.0663
tencentBlock.ns11458 S3FIFO-0.8500-1.9000 cache size    43659, 2131888 req, miss ratio 0.0301, byte miss ratio 0.0301
tencentBlock.ns11458 S3FIFO-0.4500-0.9000 cache size       54, 2131888 req, miss ratio 0.4567, byte miss ratio 0.4567
tencentBlock.ns11458 S3FIFO-0.4500-0.9000 cache size      163, 2131888 req, miss ratio 0.3680, byte miss ratio 0.3680
tencentBlock.ns11458 S3FIFO-0.4500-0.9000 cache size      545, 2131888 req, miss ratio 0.2458, byte miss ratio 0.2458
tencentBlock.ns11458 S3FIFO-0.4500-0.9000 cache size     1637, 2131888 req, miss ratio 0.2090, byte miss ratio 0.2090
tencentBlock.ns11458 S3FIFO-0.4500-0.9000 cache size     5457, 2131888 req, miss ratio 0.1526, byte miss ratio 0.1526
tencentBlock.ns11458 S3FIFO-0.4500-0.9000 cache size    10914, 2131888 req, miss ratio 0.0993, byte miss ratio 0.0993
tencentBlock.ns11458 S3FIFO-0.4500-0.9000 cache size    21829, 2131888 req, miss ratio 0.0581, byte miss ratio 0.0581
tencentBlock.ns11458 S3FIFO-0.4500-0.9000 cache size    43659, 2131888 req, miss ratio 0.0278, byte miss ratio 0.0278
tencentBlock.ns11458 S3FIFO-0.5500-1.9000 cache size       54, 2131888 req, miss ratio 0.4691, byte miss ratio 0.4691
tencentBlock.ns11458 S3FIFO-0.5500-1.9000 cache size      163, 2131888 req, miss ratio 0.3755, byte miss ratio 0.3755
tencentBlock.ns11458 S3FIFO-0.5500-1.9000 cache size      545, 2131888 req, miss ratio 0.2505, byte miss ratio 0.2505
tencentBlock.ns11458 S3FIFO-0.5500-1.9000 cache size     1637, 2131888 req, miss ratio 0.2199, byte miss ratio 0.2199
tencentBlock.ns11458 S3FIFO-0.5500-1.9000 cache size     5457, 2131888 req, miss ratio 0.1558, byte miss ratio 0.1558
tencentBlock.ns11458 S3FIFO-0.5500-1.9000 cache size    10914, 2131888 req, miss ratio 0.1026, byte miss ratio 0.1026
tencentBlock.ns11458 S3FIFO-0.5500-1.9000 cache size    21829, 2131888 req, miss ratio 0.0589, byte miss ratio 0.0589
tencentBlock.ns11458 S3FIFO-0.5500-1.9000 cache size    43659, 2131888 req, miss ratio 0.0281, byte miss ratio 0.0281
tencentBlock.ns11458 S3FIFO-0.2000-0.9000 cache size       54, 2131888 req, miss ratio 0.4283, byte miss ratio 0.4283
tencentBlock.ns11458 S3FIFO-0.2000-0.9000 cache size      163, 2131888 req, miss ratio 0.3474, byte miss ratio 0.3474
tencentBlock.ns11458 S3FIFO-0.2000-0.9000 cache size      545, 2131888 req, miss ratio 0.2370, byte miss ratio 0.2370
tencentBlock.ns11458 S3FIFO-0.2000-0.9000 cache size     1637, 2131888 req, miss ratio 0.1940, byte miss ratio 0.1940
tencentBlock.ns11458 S3FIFO-0.2000-0.9000 cache size     5457, 2131888 req, miss ratio 0.1290, byte miss ratio 0.1290
tencentBlock.ns11458 S3FIFO-0.2000-0.9000 cache size    10914, 2131888 req, miss ratio 0.0912, byte miss ratio 0.0912
tencentBlock.ns11458 S3FIFO-0.2000-0.9000 cache size    21829, 2131888 req, miss ratio 0.0566, byte miss ratio 0.0566
tencentBlock.ns11458 S3FIFO-0.2000-0.9000 cache size    43659, 2131888 req, miss ratio 0.0273, byte miss ratio 0.0273
tencentBlock.ns11458 S3FIFO-0.1000-1.9000 cache size       54, 2131888 req, miss ratio 0.4203, byte miss ratio 0.4203
tencentBlock.ns11458 S3FIFO-0.1000-1.9000 cache size      163, 2131888 req, miss ratio 0.3465, byte miss ratio 0.3465
tencentBlock.ns11458 S3FIFO-0.1000-1.9000 cache size      545, 2131888 req, miss ratio 0.2363, byte miss ratio 0.2363
tencentBlock.ns11458 S3FIFO-0.1000-1.9000 cache size     1637, 2131888 req, miss ratio 0.1912, byte miss ratio 0.1912
tencentBlock.ns11458 S3FIFO-0.1000-1.9000 cache size     5457, 2131888 req, miss ratio 0.1297, byte miss ratio 0.1297
tencentBlock.ns11458 S3FIFO-0.1000-1.9000 cache size    10914, 2131888 req, miss ratio 0.0893, byte miss ratio 0.0893
tencentBlock.ns11458 S3FIFO-0.1000-1.9000 cache size    21829, 2131888 req, miss ratio 0.0549, byte miss ratio 0.0549
tencentBlock.ns11458 S3FIFO-0.1000-1.9000 cache size    43659, 2131888 req, miss ratio 0.0271, byte miss ratio 0.0271
tencentBlock.ns11458 S3FIFO-0.2500-1.9000 cache size       54, 2131888 req, miss ratio 0.4254, byte miss ratio 0.4254
tencentBlock.ns11458 S3FIFO-0.2500-1.9000 cache size      163, 2131888 req, miss ratio 0.3556, byte miss ratio 0.3556
tencentBlock.ns11458 S3FIFO-0.2500-1.9000 cache size      545, 2131888 req, miss ratio 0.2376, byte miss ratio 0.2376
tencentBlock.ns11458 S3FIFO-0.2500-1.9000 cache size     1637, 2131888 req, miss ratio 0.1987, byte miss ratio 0.1987
tencentBlock.ns11458 S3FIFO-0.2500-1.9000 cache size     5457, 2131888 req, miss ratio 0.1427, byte miss ratio 0.1427
tencentBlock.ns11458 S3FIFO-0.2500-1.9000 cache size    10914, 2131888 req, miss ratio 0.0930, byte miss ratio 0.0930
tencentBlock.ns11458 S3FIFO-0.2500-1.9000 cache size    21829, 2131888 req, miss ratio 0.0573, byte miss ratio 0.0573
tencentBlock.ns11458 S3FIFO-0.2500-1.9000 cache size    43659, 2131888 req, miss ratio 0.0274, byte miss ratio 0.0274
tencentBlock.ns11458 S3FIFO-0.8500-0.9000 cache size       54, 2131888 req, miss ratio 0.5096, byte miss ratio 0.5096
tencentBlock.ns11458 S3FIFO-0.8500-0.9000 cache size      163, 2131888 req, miss ratio 0.3836, byte miss ratio 0.3836
tencentBlock.ns11458 S3FIFO-0.8500-0.9000 cache size      545, 2131888 req, miss ratio 0.2652, byte miss ratio 0.2652
tencentBlock.ns11458 S3FIFO-0.8500-0.9000 cache size     1637, 2131888 req, miss ratio 0.2309, byte miss ratio 0.2309
tencentBlock.ns11458 S3FIFO-0.8500-0.9000 cache size     5457, 2131888 req, miss ratio 0.1623, byte miss ratio 0.1623
tencentBlock.ns11458 S3FIFO-0.8500-0.9000 cache size    10914, 2131888 req, miss ratio 0.1127, byte miss ratio 0.1127
tencentBlock.ns11458 S3FIFO-0.8500-0.9000 cache size    21829, 2131888 req, miss ratio 0.0663, byte miss ratio 0.0663
tencentBlock.ns11458 S3FIFO-0.8500-0.9000 cache size    43659, 2131888 req, miss ratio 0.0301, byte miss ratio 0.0301
tencentBlock.ns11458 S3FIFO-0.6000-0.9000 cache size       54, 2131888 req, miss ratio 0.4745, byte miss ratio 0.4745
