tencentBlock.ns7315 S3FIFO-0.6000-1.9000 cache size     2728, 149044977 req, miss ratio 0.5517, byte miss ratio 0.5517
tencentBlock.ns7315 S3FIFO-0.6000-1.9000 cache size     8184, 149044977 req, miss ratio 0.4481, byte miss ratio 0.4481
tencentBlock.ns7315 S3FIFO-0.6000-1.9000 cache size    27280, 149044977 req, miss ratio 0.1432, byte miss ratio 0.1432
tencentBlock.ns7315 S3FIFO-0.6000-1.9000 cache size    81841, 149044977 req, miss ratio 0.0486, byte miss ratio 0.0486
tencentBlock.ns7315 S3FIFO-0.6000-1.9000 cache size   272804, 149044977 req, miss ratio 0.0313, byte miss ratio 0.0313
tencentBlock.ns7315 S3FIFO-0.6000-1.9000 cache size   545609, 149044977 req, miss ratio 0.0288, byte miss ratio 0.0288
tencentBlock.ns7315 S3FIFO-0.6000-1.9000 cache size  1091218, 149044977 req, miss ratio 0.0257, byte miss ratio 0.0257
tencentBlock.ns7315 S3FIFO-0.6000-1.9000 cache size  2182436, 149044977 req, miss ratio 0.0188, byte miss ratio 0.0188
tencentBlock.ns7315 S3FIFO-0.5500-1.9000 cache size     2728, 149044977 req, miss ratio 0.5467, byte miss ratio 0.5467
tencentBlock.ns7315 S3FIFO-0.5500-1.9000 cache size     8184, 149044977 req, miss ratio 0.4458, byte miss ratio 0.4458
tencentBlock.ns7315 S3FIFO-0.5500-1.9000 cache size    27280, 149044977 req, miss ratio 0.1386, byte miss ratio 0.1386
tencentBlock.ns7315 S3FIFO-0.5500-1.9000 cache size    81841, 149044977 req, miss ratio 0.0482, byte miss ratio 0.0482
tencentBlock.ns7315 S3FIFO-0.5500-1.9000 cache size   272804, 149044977 req, miss ratio 0.0310, byte miss ratio 0.0310
tencentBlock.ns7315 S3FIFO-0.5500-1.9000 cache size   545609, 149044977 req, miss ratio 0.0290, byte miss ratio 0.0290
tencentBlock.ns7315 S3FIFO-0.5500-1.9000 cache size  1091218, 149044977 req, miss ratio 0.0255, byte miss ratio 0.0255
tencentBlock.ns7315 S3FIFO-0.5500-1.9000 cache size  2182436, 149044977 req, miss ratio 0.0188, byte miss ratio 0.0188
tencentBlock.ns7315 S3FIFO-0.3000-0.9000 cache size     2728, 149044977 req, miss ratio 0.5121, byte miss ratio 0.5121
tencentBlock.ns7315 S3FIFO-0.3000-0.9000 cache size     8184, 149044977 req, miss ratio 0.3833, byte miss ratio 0.3833
tencentBlock.ns7315 S3FIFO-0.3000-0.9000 cache size    27280, 149044977 req, miss ratio 0.1176, byte miss ratio 0.1176
tencentBlock.ns7315 S3FIFO-0.3000-0.9000 cache size    81841, 149044977 req, miss ratio 0.0476, byte miss ratio 0.0476
tencentBlock.ns7315 S3FIFO-0.3000-0.9000 cache size   272804, 149044977 req, miss ratio 0.0305, byte miss ratio 0.0305
tencentBlock.ns7315 S3FIFO-0.3000-0.9000 cache size   545609, 149044977 req, miss ratio 0.0287, byte miss ratio 0.0287
tencentBlock.ns7315 S3FIFO-0.3000-0.9000 cache size  1091218, 149044977 req, miss ratio 0.0244, byte miss ratio 0.0244
tencentBlock.ns7315 S3FIFO-0.3000-0.9000 cache size  2182436, 149044977 req, miss ratio 0.0188, byte miss ratio 0.0188
tencentBlock.ns7315 S3FIFO-0.3500-1.9000 cache size     2728, 149044977 req, miss ratio 0.5267, byte miss ratio 0.5267
tencentBlock.ns7315 S3FIFO-0.3500-1.9000 cache size     8184, 149044977 req, miss ratio 0.4379, byte miss ratio 0.4379
tencentBlock.ns7315 S3FIFO-0.3500-1.9000 cache size    27280, 149044977 req, miss ratio 0.1222, byte miss ratio 0.1222
tencentBlock.ns7315 S3FIFO-0.3500-1.9000 cache size    81841, 149044977 req, miss ratio 0.0475, byte miss ratio 0.0475
tencentBlock.ns7315 S3FIFO-0.3500-1.9000 cache size   272804, 149044977 req, miss ratio 0.0306, byte miss ratio 0.0306
tencentBlock.ns7315 S3FIFO-0.3500-1.9000 cache size   545609, 149044977 req, miss ratio 0.0288, byte miss ratio 0.0288
tencentBlock.ns7315 S3FIFO-0.3500-1.9000 cache size  1091218, 149044977 req, miss ratio 0.0246, byte miss ratio 0.0246
tencentBlock.ns7315 S3FIFO-0.3500-1.9000 cache size  2182436, 149044977 req, miss ratio 0.0187, byte miss ratio 0.0187
tencentBlock.ns7315 S3FIFO-0.1500-0.9000 cache size     2728, 149044977 req, miss ratio 0.4979, byte miss ratio 0.4979
tencentBlock.ns7315 S3FIFO-0.1500-0.9000 cache size     8184, 149044977 req, miss ratio 0.3602, byte miss ratio 0.3602
tencentBlock.ns7315 S3FIFO-0.1500-0.9000 cache size    27280, 149044977 req, miss ratio 0.1101, byte miss ratio 0.1101
tencentBlock.ns7315 S3FIFO-0.1500-0.9000 cache size    81841, 149044977 req, miss ratio 0.0496, byte miss ratio 0.0496
tencentBlock.ns7315 S3FIFO-0.1500-0.9000 cache size   272804, 149044977 req, miss ratio 0.0304, byte miss ratio 0.0304
tencentBlock.ns7315 S3FIFO-0.1500-0.9000 cache size   545609, 149044977 req, miss ratio 0.0283, byte miss ratio 0.0283
tencentBlock.ns7315 S3FIFO-0.1500-0.9000 cache size  1091218, 149044977 req, miss ratio 0.0236, byte miss ratio 0.0236
tencentBlock.ns7315 S3FIFO-0.1500-0.9000 cache size  2182436, 149044977 req, miss ratio 0.0187, byte miss ratio 0.0187
tencentBlock.ns7315 S3FIFO-0.7000-0.9000 cache size     2728, 149044977 req, miss ratio 0.5638, byte miss ratio 0.5638
tencentBlock.ns7315 S3FIFO-0.7000-0.9000 cache size     8184, 149044977 req, miss ratio 0.4381, byte miss ratio 0.4381
tencentBlock.ns7315 S3FIFO-0.7000-0.9000 cache size    27280, 149044977 req, miss ratio 0.1532, byte miss ratio 0.1532
tencentBlock.ns7315 S3FIFO-0.7000-0.9000 cache size    81841, 149044977 req, miss ratio 0.0499, byte miss ratio 0.0499
tencentBlock.ns7315 S3FIFO-0.7000-0.9000 cache size   272804, 149044977 req, miss ratio 0.0321, byte miss ratio 0.0321
tencentBlock.ns7315 S3FIFO-0.7000-0.9000 cache size   545609, 149044977 req, miss ratio 0.0288, byte miss ratio 0.0288
tencentBlock.ns7315 S3FIFO-0.7000-0.9000 cache size  1091218, 149044977 req, miss ratio 0.0260, byte miss ratio 0.0260
tencentBlock.ns7315 S3FIFO-0.7000-0.9000 cache size  2182436, 149044977 req, miss ratio 0.0188, byte miss ratio 0.0188
tencentBlock.ns7315 S3FIFO-0.2500-0.9000 cache size     2728, 149044977 req, miss ratio 0.5063, byte miss ratio 0.5063
tencentBlock.ns7315 S3FIFO-0.2500-0.9000 cache size     8184, 149044977 req, miss ratio 0.3736, byte miss ratio 0.3736
tencentBlock.ns7315 S3FIFO-0.2500-0.9000 cache size    27280, 149044977 req, miss ratio 0.1141, byte miss ratio 0.1141
tencentBlock.ns7315 S3FIFO-0.2500-0.9000 cache size    81841, 149044977 req, miss ratio 0.0480, byte miss ratio 0.0480
tencentBlock.ns7315 S3FIFO-0.2500-0.9000 cache size   272804, 149044977 req, miss ratio 0.0304, byte miss ratio 0.0304
tencentBlock.ns7315 S3FIFO-0.2500-0.9000 cache size   545609, 149044977 req, miss ratio 0.0286, byte miss ratio 0.0286
tencentBlock.ns7315 S3FIFO-0.2500-0.9000 cache size  1091218, 149044977 req, miss ratio 0.0242, byte miss ratio 0.0242
tencentBlock.ns7315 S3FIFO-0.2500-0.9000 cache size  2182436, 149044977 req, miss ratio 0.0187, byte miss ratio 0.0187
tencentBlock.ns7315 S3FIFO-0.9000-1.9000 cache size     2728, 149044977 req, miss ratio 0.6165, byte miss ratio 0.6165
tencentBlock.ns7315 S3FIFO-0.9000-1.9000 cache size     8184, 149044977 req, miss ratio 0.4601, byte miss ratio 0.4601
tencentBlock.ns7315 S3FIFO-0.9000-1.9000 cache size    27280, 149044977 req, miss ratio 0.1632, byte miss ratio 0.1632
tencentBlock.ns7315 S3FIFO-0.9000-1.9000 cache size    81841, 149044977 req, miss ratio 0.0548, byte miss ratio 0.0548
tencentBlock.ns7315 S3FIFO-0.9000-1.9000 cache size   272804, 149044977 req, miss ratio 0.0345, byte miss ratio 0.0345
tencentBlock.ns7315 S3FIFO-0.9000-1.9000 cache size   545609, 149044977 req, miss ratio 0.0297, byte miss ratio 0.0297
tencentBlock.ns7315 S3FIFO-0.9000-1.9000 cache size  1091218, 149044977 req, miss ratio 0.0264, byte miss ratio 0.0264
tencentBlock.ns7315 S3FIFO-0.9000-1.9000 cache size  2182436, 149044977 req, miss ratio 0.0189, byte miss ratio 0.0189
tencentBlock.ns7315 S3FIFO-0.9900-0.9000 cache size     2728, 149044977 req, miss ratio 0.6465, byte miss ratio 0.6465
tencentBlock.ns7315 S3FIFO-0.9900-0.9000 cache size     8184, 149044977 req, miss ratio 0.4778, byte miss ratio 0.4778
tencentBlock.ns7315 S3FIFO-0.9900-0.9000 cache size    27280, 149044977 req, miss ratio 0.1723, byte miss ratio 0.1723
tencentBlock.ns7315 S3FIFO-0.9900-0.9000 cache size    81841, 149044977 req, miss ratio 0.0589, byte miss ratio 0.0589
tencentBlock.ns7315 S3FIFO-0.9900-0.9000 cache size   272804, 149044977 req, miss ratio 0.0363, byte miss ratio 0.0363
tencentBlock.ns7315 S3FIFO-0.9900-0.9000 cache size   545609, 149044977 req, miss ratio 0.0311, byte miss ratio 0.0311
tencentBlock.ns7315 S3FIFO-0.9900-0.9000 cache size  1091218, 149044977 req, miss ratio 0.0272, byte miss ratio 0.0272
tencentBlock.ns7315 S3FIFO-0.9900-0.9000 cache size  2182436, 149044977 req, miss ratio 0.0192, byte miss ratio 0.0192
tencentBlock.ns7315 S3FIFO-0.0100-1.9000 cache size     2728, 149044977 req, miss ratio 0.4969, byte miss ratio 0.4969
tencentBlock.ns7315 S3FIFO-0.0100-1.9000 cache size     8184, 149044977 req, miss ratio 0.3945, byte miss ratio 0.3945
tencentBlock.ns7315 S3FIFO-0.0100-1.9000 cache size    27280, 149044977 req, miss ratio 0.1116, byte miss ratio 0.1116
tencentBlock.ns7315 S3FIFO-0.0100-1.9000 cache size    81841, 149044977 req, miss ratio 0.0613, byte miss ratio 0.0613
tencentBlock.ns7315 S3FIFO-0.0100-1.9000 cache size   272804, 149044977 req, miss ratio 0.0369, byte miss ratio 0.0369
tencentBlock.ns7315 S3FIFO-0.0100-1.9000 cache size   545609, 149044977 req, miss ratio 0.0317, byte miss ratio 0.0317
tencentBlock.ns7315 S3FIFO-0.0100-1.9000 cache size  1091218, 149044977 req, miss ratio 0.0233, byte miss ratio 0.0233
tencentBlock.ns7315 S3FIFO-0.0100-1.9000 cache size  2182436, 149044977 req, miss ratio 0.0186, byte miss ratio 0.0186
tencentBlock.ns7315 S3FIFO-0.6500-0.9000 cache size     2728, 149044977 req, miss ratio 0.5555, byte miss ratio 0.5555
tencentBlock.ns7315 S3FIFO-0.6500-0.9000 cache size     8184, 149044977 req, miss ratio 0.4338, byte miss ratio 0.4338
tencentBlock.ns7315 S3FIFO-0.6500-0.9000 cache size    27280, 149044977 req, miss ratio 0.1490, byte miss ratio 0.1490
tencentBlock.ns7315 S3FIFO-0.6500-0.9000 cache size    81841, 149044977 req, miss ratio 0.0492, byte miss ratio 0.0492
tencentBlock.ns7315 S3FIFO-0.6500-0.9000 cache size   272804, 149044977 req, miss ratio 0.0315, byte miss ratio 0.0315
tencentBlock.ns7315 S3FIFO-0.6500-0.9000 cache size   545609, 149044977 req, miss ratio 0.0288, byte miss ratio 0.0288
tencentBlock.ns7315 S3FIFO-0.6500-0.9000 cache size  1091218, 149044977 req, miss ratio 0.0259, byte miss ratio 0.0259
tencentBlock.ns7315 S3FIFO-0.6500-0.9000 cache size  2182436, 149044977 req, miss ratio 0.0188, byte miss ratio 0.0188
tencentBlock.ns7315 S3FIFO-0.5500-0.9000 cache size     2728, 149044977 req, miss ratio 0.5428, byte miss ratio 0.5428
tencentBlock.ns7315 S3FIFO-0.5500-0.9000 cache size     8184, 149044977 req, miss ratio 0.4233, byte miss ratio 0.4233
tencentBlock.ns7315 S3FIFO-0.5500-0.9000 cache size    27280, 149044977 req, miss ratio 0.1395, byte miss ratio 0.1395
tencentBlock.ns7315 S3FIFO-0.5500-0.9000 cache size    81841, 149044977 req, miss ratio 0.0483, byte miss ratio 0.0483
tencentBlock.ns7315 S3FIFO-0.5500-0.9000 cache size   272804, 149044977 req, miss ratio 0.0309, byte miss ratio 0.0309
tencentBlock.ns7315 S3FIFO-0.5500-0.9000 cache size   545609, 149044977 req, miss ratio 0.0290, byte miss ratio 0.0290
tencentBlock.ns7315 S3FIFO-0.5500-0.9000 cache size  1091218, 149044977 req, miss ratio 0.0255, byte miss ratio 0.0255
tencentBlock.ns7315 S3FIFO-0.5500-0.9000 cache size  2182436, 149044977 req, miss ratio 0.0188, byte miss ratio 0.0188
tencentBlock.ns7315 S3FIFO-0.0100-0.9000 cache size     2728, 149044977 req, miss ratio 0.4936, byte miss ratio 0.4936
tencentBlock.ns7315 S3FIFO-0.0100-0.9000 cache size     8184, 149044977 req, miss ratio 0.3515, byte miss ratio 0.3515
tencentBlock.ns7315 S3FIFO-0.0100-0.9000 cache size    27280, 149044977 req, miss ratio 0.1102, byte miss ratio 0.1102
tencentBlock.ns7315 S3FIFO-0.0100-0.9000 cache size    81841, 149044977 req, miss ratio 0.0614, byte miss ratio 0.0614
tencentBlock.ns7315 S3FIFO-0.0100-0.9000 cache size   272804, 149044977 req, miss ratio 0.0375, byte miss ratio 0.0375
