tencentBlock.ns18047 S3FIFO-0.9000-1.9000 cache size      219, 2540212 req, miss ratio 0.6293, byte miss ratio 0.6293
tencentBlock.ns18047 S3FIFO-0.9000-1.9000 cache size      659, 2540212 req, miss ratio 0.4568, byte miss ratio 0.4568
tencentBlock.ns18047 S3FIFO-0.9000-1.9000 cache size     2197, 2540212 req, miss ratio 0.3215, byte miss ratio 0.3215
tencentBlock.ns18047 S3FIFO-0.9000-1.9000 cache size     6591, 2540212 req, miss ratio 0.2398, byte miss ratio 0.2398
tencentBlock.ns18047 S3FIFO-0.9000-1.9000 cache size    21971, 2540212 req, miss ratio 0.1724, byte miss ratio 0.1724
tencentBlock.ns18047 S3FIFO-0.9000-1.9000 cache size    43943, 2540212 req, miss ratio 0.1366, byte miss ratio 0.1366
tencentBlock.ns18047 S3FIFO-0.9000-1.9000 cache size    87886, 2540212 req, miss ratio 0.1046, byte miss ratio 0.1046
tencentBlock.ns18047 S3FIFO-0.9000-1.9000 cache size   175773, 2540212 req, miss ratio 0.0901, byte miss ratio 0.0901
tencentBlock.ns18047 S3FIFO-0.8000-0.9000 cache size      219, 2540212 req, miss ratio 0.5990, byte miss ratio 0.5990
tencentBlock.ns18047 S3FIFO-0.8000-0.9000 cache size      659, 2540212 req, miss ratio 0.4274, byte miss ratio 0.4274
tencentBlock.ns18047 S3FIFO-0.8000-0.9000 cache size     2197, 2540212 req, miss ratio 0.3089, byte miss ratio 0.3089
tencentBlock.ns18047 S3FIFO-0.8000-0.9000 cache size     6591, 2540212 req, miss ratio 0.2252, byte miss ratio 0.2252
tencentBlock.ns18047 S3FIFO-0.8000-0.9000 cache size    21971, 2540212 req, miss ratio 0.1723, byte miss ratio 0.1723
tencentBlock.ns18047 S3FIFO-0.8000-0.9000 cache size    43943, 2540212 req, miss ratio 0.1354, byte miss ratio 0.1354
tencentBlock.ns18047 S3FIFO-0.8000-0.9000 cache size    87886, 2540212 req, miss ratio 0.1027, byte miss ratio 0.1027
tencentBlock.ns18047 S3FIFO-0.8000-0.9000 cache size   175773, 2540212 req, miss ratio 0.0889, byte miss ratio 0.0889
tencentBlock.ns18047 S3FIFO-0.0010-0.9000 cache size      219, 2540212 req, miss ratio 1.0000, byte miss ratio 1.0000
tencentBlock.ns18047 S3FIFO-0.0010-0.9000 cache size      659, 2540212 req, miss ratio 1.0000, byte miss ratio 1.0000
tencentBlock.ns18047 S3FIFO-0.0010-0.9000 cache size     2197, 2540212 req, miss ratio 0.2727, byte miss ratio 0.2727
tencentBlock.ns18047 S3FIFO-0.0010-0.9000 cache size     6591, 2540212 req, miss ratio 0.2321, byte miss ratio 0.2321
tencentBlock.ns18047 S3FIFO-0.0010-0.9000 cache size    21971, 2540212 req, miss ratio 0.1733, byte miss ratio 0.1733
tencentBlock.ns18047 S3FIFO-0.0010-0.9000 cache size    43943, 2540212 req, miss ratio 0.1356, byte miss ratio 0.1356
