cdn1_allcolo.ns1083 S3FIFO-0.6000-0.9000 cache size       32, 2054878 req, miss ratio 0.0166, byte miss ratio 0.0166
cdn1_allcolo.ns1083 S3FIFO-0.6000-0.9000 cache size       98, 2054878 req, miss ratio 0.0161, byte miss ratio 0.0161
cdn1_allcolo.ns1083 S3FIFO-0.6000-0.9000 cache size      327, 2054878 req, miss ratio 0.0160, byte miss ratio 0.0160
cdn1_allcolo.ns1083 S3FIFO-0.6000-0.9000 cache size      982, 2054878 req, miss ratio 0.0160, byte miss ratio 0.0160
cdn1_allcolo.ns1083 S3FIFO-0.6000-0.9000 cache size     3274, 2054878 req, miss ratio 0.0159, byte miss ratio 0.0159
cdn1_allcolo.ns1083 S3FIFO-0.6000-0.9000 cache size     6549, 2054878 req, miss ratio 0.0159, byte miss ratio 0.0159
cdn1_allcolo.ns1083 S3FIFO-0.6000-0.9000 cache size    13098, 2054878 req, miss ratio 0.0159, byte miss ratio 0.0159
cdn1_allcolo.ns1083 S3FIFO-0.6000-0.9000 cache size    26196, 2054878 req, miss ratio 0.0159, byte miss ratio 0.0159
cdn1_allcolo.ns1083 S3FIFO-0.0010-0.9000 cache size       32, 2054878 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns1083 S3FIFO-0.0010-0.9000 cache size       98, 2054878 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns1083 S3FIFO-0.0010-0.9000 cache size      327, 2054878 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns1083 S3FIFO-0.0010-0.9000 cache size      982, 2054878 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns1083 S3FIFO-0.0010-0.9000 cache size     3274, 2054878 req, miss ratio 0.0159, byte miss ratio 0.0159
cdn1_allcolo.ns1083 S3FIFO-0.0010-0.9000 cache size     6549, 2054878 req, miss ratio 0.0159, byte miss ratio 0.0159
cdn1_allcolo.ns1083 S3FIFO-0.0010-0.9000 cache size    13098, 2054878 req, miss ratio 0.0159, byte miss ratio 0.0159
