io_traces.ns210 S3FIFO-0.9500-0.9000 cache size     2198, 11600000 req, miss ratio 0.5773, byte miss ratio 0.5773
io_traces.ns210 S3FIFO-0.9500-0.9000 cache size     6596, 11600000 req, miss ratio 0.4688, byte miss ratio 0.4688
io_traces.ns210 S3FIFO-0.9500-0.9000 cache size    21989, 11600000 req, miss ratio 0.3396, byte miss ratio 0.3396
io_traces.ns210 S3FIFO-0.9500-0.9000 cache size    65967, 11600000 req, miss ratio 0.2947, byte miss ratio 0.2947
io_traces.ns210 S3FIFO-0.9500-0.9000 cache size   219892, 11600000 req, miss ratio 0.2390, byte miss ratio 0.2390
io_traces.ns210 S3FIFO-0.9500-0.9000 cache size   439785, 11600000 req, miss ratio 0.2154, byte miss ratio 0.2154
io_traces.ns210 S3FIFO-0.9500-0.9000 cache size   879570, 11600000 req, miss ratio 0.1976, byte miss ratio 0.1976
io_traces.ns210 S3FIFO-0.9500-0.9000 cache size  1759140, 11600000 req, miss ratio 0.1900, byte miss ratio 0.1900
io_traces.ns210 S3FIFO-0.6500-0.9000 cache size     2198, 11600000 req, miss ratio 0.5385, byte miss ratio 0.5385
io_traces.ns210 S3FIFO-0.6500-0.9000 cache size     6596, 11600000 req, miss ratio 0.4536, byte miss ratio 0.4536
io_traces.ns210 S3FIFO-0.6500-0.9000 cache size    21989, 11600000 req, miss ratio 0.3266, byte miss ratio 0.3266
io_traces.ns210 S3FIFO-0.6500-0.9000 cache size    65967, 11600000 req, miss ratio 0.2844, byte miss ratio 0.2844
io_traces.ns210 S3FIFO-0.6500-0.9000 cache size   219892, 11600000 req, miss ratio 0.2207, byte miss ratio 0.2207
io_traces.ns210 S3FIFO-0.6500-0.9000 cache size   439785, 11600000 req, miss ratio 0.2017, byte miss ratio 0.2017
io_traces.ns210 S3FIFO-0.6500-0.9000 cache size   879570, 11600000 req, miss ratio 0.1926, byte miss ratio 0.1926
io_traces.ns210 S3FIFO-0.6500-0.9000 cache size  1759140, 11600000 req, miss ratio 0.1896, byte miss ratio 0.1896
io_traces.ns210 S3FIFO-0.5000-0.9000 cache size     2198, 11600000 req, miss ratio 0.5182, byte miss ratio 0.5182
io_traces.ns210 S3FIFO-0.5000-0.9000 cache size     6596, 11600000 req, miss ratio 0.4455, byte miss ratio 0.4455
io_traces.ns210 S3FIFO-0.5000-0.9000 cache size    21989, 11600000 req, miss ratio 0.3260, byte miss ratio 0.3260
io_traces.ns210 S3FIFO-0.5000-0.9000 cache size    65967, 11600000 req, miss ratio 0.2807, byte miss ratio 0.2807
io_traces.ns210 S3FIFO-0.5000-0.9000 cache size   219892, 11600000 req, miss ratio 0.2164, byte miss ratio 0.2164
io_traces.ns210 S3FIFO-0.5000-0.9000 cache size   439785, 11600000 req, miss ratio 0.2021, byte miss ratio 0.2021
io_traces.ns210 S3FIFO-0.5000-0.9000 cache size   879570, 11600000 req, miss ratio 0.1929, byte miss ratio 0.1929
io_traces.ns210 S3FIFO-0.5000-0.9000 cache size  1759140, 11600000 req, miss ratio 0.1896, byte miss ratio 0.1896
io_traces.ns210 S3FIFO-0.4500-1.9000 cache size     2198, 11600000 req, miss ratio 0.5312, byte miss ratio 0.5312
io_traces.ns210 S3FIFO-0.4500-1.9000 cache size     6596, 11600000 req, miss ratio 0.4448, byte miss ratio 0.4448
io_traces.ns210 S3FIFO-0.4500-1.9000 cache size    21989, 11600000 req, miss ratio 0.3256, byte miss ratio 0.3256
io_traces.ns210 S3FIFO-0.4500-1.9000 cache size    65967, 11600000 req, miss ratio 0.2805, byte miss ratio 0.2805
io_traces.ns210 S3FIFO-0.4500-1.9000 cache size   219892, 11600000 req, miss ratio 0.2162, byte miss ratio 0.2162
io_traces.ns210 S3FIFO-0.4500-1.9000 cache size   439785, 11600000 req, miss ratio 0.2023, byte miss ratio 0.2023
io_traces.ns210 S3FIFO-0.4500-1.9000 cache size   879570, 11600000 req, miss ratio 0.1940, byte miss ratio 0.1940
io_traces.ns210 S3FIFO-0.4500-1.9000 cache size  1759140, 11600000 req, miss ratio 0.1896, byte miss ratio 0.1896
io_traces.ns210 S3FIFO-0.1500-0.9000 cache size     2198, 11600000 req, miss ratio 0.4901, byte miss ratio 0.4901
io_traces.ns210 S3FIFO-0.1500-0.9000 cache size     6596, 11600000 req, miss ratio 0.4229, byte miss ratio 0.4229
io_traces.ns210 S3FIFO-0.1500-0.9000 cache size    21989, 11600000 req, miss ratio 0.3631, byte miss ratio 0.3631
io_traces.ns210 S3FIFO-0.1500-0.9000 cache size    65967, 11600000 req, miss ratio 0.2807, byte miss ratio 0.2807
io_traces.ns210 S3FIFO-0.1500-0.9000 cache size   219892, 11600000 req, miss ratio 0.2154, byte miss ratio 0.2154
io_traces.ns210 S3FIFO-0.1500-0.9000 cache size   439785, 11600000 req, miss ratio 0.2045, byte miss ratio 0.2045
io_traces.ns210 S3FIFO-0.1500-0.9000 cache size   879570, 11600000 req, miss ratio 0.1950, byte miss ratio 0.1950
io_traces.ns210 S3FIFO-0.1500-0.9000 cache size  1759140, 11600000 req, miss ratio 0.1896, byte miss ratio 0.1896
io_traces.ns210 S3FIFO-0.0010-0.9000 cache size     2198, 11600000 req, miss ratio 0.5031, byte miss ratio 0.5031
io_traces.ns210 S3FIFO-0.0010-0.9000 cache size     6596, 11600000 req, miss ratio 0.4314, byte miss ratio 0.4314
io_traces.ns210 S3FIFO-0.0010-0.9000 cache size    21989, 11600000 req, miss ratio 0.3930, byte miss ratio 0.3930
io_traces.ns210 S3FIFO-0.0010-0.9000 cache size    65967, 11600000 req, miss ratio 0.3435, byte miss ratio 0.3435
io_traces.ns210 S3FIFO-0.0010-0.9000 cache size   219892, 11600000 req, miss ratio 0.2659, byte miss ratio 0.2659
io_traces.ns210 S3FIFO-0.0010-0.9000 cache size   439785, 11600000 req, miss ratio 0.2393, byte miss ratio 0.2393
