io_traces.ns196 S3FIFO-0.6500-0.9000 cache size      142, 8000000 req, miss ratio 0.5637, byte miss ratio 0.5637
io_traces.ns196 S3FIFO-0.6500-0.9000 cache size      427, 8000000 req, miss ratio 0.5021, byte miss ratio 0.5021
io_traces.ns196 S3FIFO-0.6500-0.9000 cache size     1424, 8000000 req, miss ratio 0.3994, byte miss ratio 0.3994
io_traces.ns196 S3FIFO-0.6500-0.9000 cache size     4273, 8000000 req, miss ratio 0.3536, byte miss ratio 0.3536
io_traces.ns196 S3FIFO-0.6500-0.9000 cache size    14245, 8000000 req, miss ratio 0.2944, byte miss ratio 0.2944
io_traces.ns196 S3FIFO-0.6500-0.9000 cache size    28491, 8000000 req, miss ratio 0.2485, byte miss ratio 0.2485
io_traces.ns196 S3FIFO-0.6500-0.9000 cache size    56983, 8000000 req, miss ratio 0.1823, byte miss ratio 0.1823
io_traces.ns196 S3FIFO-0.6500-0.9000 cache size   113966, 8000000 req, miss ratio 0.0248, byte miss ratio 0.0248
io_traces.ns196 S3FIFO-0.9500-1.9000 cache size      142, 8000000 req, miss ratio 0.6136, byte miss ratio 0.6136
io_traces.ns196 S3FIFO-0.9500-1.9000 cache size      427, 8000000 req, miss ratio 0.5222, byte miss ratio 0.5222
io_traces.ns196 S3FIFO-0.9500-1.9000 cache size     1424, 8000000 req, miss ratio 0.4203, byte miss ratio 0.4203
io_traces.ns196 S3FIFO-0.9500-1.9000 cache size     4273, 8000000 req, miss ratio 0.3608, byte miss ratio 0.3608
io_traces.ns196 S3FIFO-0.9500-1.9000 cache size    14245, 8000000 req, miss ratio 0.3070, byte miss ratio 0.3070
io_traces.ns196 S3FIFO-0.9500-1.9000 cache size    28491, 8000000 req, miss ratio 0.2723, byte miss ratio 0.2723
io_traces.ns196 S3FIFO-0.9500-1.9000 cache size    56983, 8000000 req, miss ratio 0.1779, byte miss ratio 0.1779
io_traces.ns196 S3FIFO-0.9500-1.9000 cache size   113966, 8000000 req, miss ratio 0.0286, byte miss ratio 0.0286
io_traces.ns196 S3FIFO-0.8500-1.9000 cache size      142, 8000000 req, miss ratio 0.5973, byte miss ratio 0.5973
io_traces.ns196 S3FIFO-0.8500-1.9000 cache size      427, 8000000 req, miss ratio 0.5120, byte miss ratio 0.5120
io_traces.ns196 S3FIFO-0.8500-1.9000 cache size     1424, 8000000 req, miss ratio 0.4146, byte miss ratio 0.4146
io_traces.ns196 S3FIFO-0.8500-1.9000 cache size     4273, 8000000 req, miss ratio 0.3549, byte miss ratio 0.3549
io_traces.ns196 S3FIFO-0.8500-1.9000 cache size    14245, 8000000 req, miss ratio 0.3035, byte miss ratio 0.3035
io_traces.ns196 S3FIFO-0.8500-1.9000 cache size    28491, 8000000 req, miss ratio 0.2724, byte miss ratio 0.2724
io_traces.ns196 S3FIFO-0.8500-1.9000 cache size    56983, 8000000 req, miss ratio 0.1845, byte miss ratio 0.1845
io_traces.ns196 S3FIFO-0.8500-1.9000 cache size   113966, 8000000 req, miss ratio 0.0270, byte miss ratio 0.0270
io_traces.ns196 S3FIFO-0.4000-0.9000 cache size      142, 8000000 req, miss ratio 0.5286, byte miss ratio 0.5286
io_traces.ns196 S3FIFO-0.4000-0.9000 cache size      427, 8000000 req, miss ratio 0.4946, byte miss ratio 0.4946
io_traces.ns196 S3FIFO-0.4000-0.9000 cache size     1424, 8000000 req, miss ratio 0.3878, byte miss ratio 0.3878
io_traces.ns196 S3FIFO-0.4000-0.9000 cache size     4273, 8000000 req, miss ratio 0.3534, byte miss ratio 0.3534
io_traces.ns196 S3FIFO-0.4000-0.9000 cache size    14245, 8000000 req, miss ratio 0.2725, byte miss ratio 0.2725
io_traces.ns196 S3FIFO-0.4000-0.9000 cache size    28491, 8000000 req, miss ratio 0.2327, byte miss ratio 0.2327
io_traces.ns196 S3FIFO-0.4000-0.9000 cache size    56983, 8000000 req, miss ratio 0.1892, byte miss ratio 0.1892
io_traces.ns196 S3FIFO-0.4000-0.9000 cache size   113966, 8000000 req, miss ratio 0.0211, byte miss ratio 0.0211
io_traces.ns196 S3FIFO-0.8000-1.9000 cache size      142, 8000000 req, miss ratio 0.5890, byte miss ratio 0.5890
io_traces.ns196 S3FIFO-0.8000-1.9000 cache size      427, 8000000 req, miss ratio 0.5079, byte miss ratio 0.5079
io_traces.ns196 S3FIFO-0.8000-1.9000 cache size     1424, 8000000 req, miss ratio 0.4114, byte miss ratio 0.4114
io_traces.ns196 S3FIFO-0.8000-1.9000 cache size     4273, 8000000 req, miss ratio 0.3542, byte miss ratio 0.3542
io_traces.ns196 S3FIFO-0.8000-1.9000 cache size    14245, 8000000 req, miss ratio 0.3018, byte miss ratio 0.3018
io_traces.ns196 S3FIFO-0.8000-1.9000 cache size    28491, 8000000 req, miss ratio 0.2711, byte miss ratio 0.2711
io_traces.ns196 S3FIFO-0.8000-1.9000 cache size    56983, 8000000 req, miss ratio 0.1841, byte miss ratio 0.1841
io_traces.ns196 S3FIFO-0.8000-1.9000 cache size   113966, 8000000 req, miss ratio 0.0266, byte miss ratio 0.0266
io_traces.ns196 S3FIFO-0.9000-1.9000 cache size      142, 8000000 req, miss ratio 0.6050, byte miss ratio 0.6050
io_traces.ns196 S3FIFO-0.9000-1.9000 cache size      427, 8000000 req, miss ratio 0.5179, byte miss ratio 0.5179
io_traces.ns196 S3FIFO-0.9000-1.9000 cache size     1424, 8000000 req, miss ratio 0.4172, byte miss ratio 0.4172
io_traces.ns196 S3FIFO-0.9000-1.9000 cache size     4273, 8000000 req, miss ratio 0.3575, byte miss ratio 0.3575
io_traces.ns196 S3FIFO-0.9000-1.9000 cache size    14245, 8000000 req, miss ratio 0.3053, byte miss ratio 0.3053
io_traces.ns196 S3FIFO-0.9000-1.9000 cache size    28491, 8000000 req, miss ratio 0.2726, byte miss ratio 0.2726
io_traces.ns196 S3FIFO-0.9000-1.9000 cache size    56983, 8000000 req, miss ratio 0.1801, byte miss ratio 0.1801
io_traces.ns196 S3FIFO-0.9000-1.9000 cache size   113966, 8000000 req, miss ratio 0.0277, byte miss ratio 0.0277
io_traces.ns196 S3FIFO-0.7500-1.9000 cache size      142, 8000000 req, miss ratio 0.5813, byte miss ratio 0.5813
io_traces.ns196 S3FIFO-0.7500-1.9000 cache size      427, 8000000 req, miss ratio 0.5053, byte miss ratio 0.5053
io_traces.ns196 S3FIFO-0.7500-1.9000 cache size     1424, 8000000 req, miss ratio 0.4080, byte miss ratio 0.4080
io_traces.ns196 S3FIFO-0.7500-1.9000 cache size     4273, 8000000 req, miss ratio 0.3540, byte miss ratio 0.3540
io_traces.ns196 S3FIFO-0.7500-1.9000 cache size    14245, 8000000 req, miss ratio 0.2997, byte miss ratio 0.2997
io_traces.ns196 S3FIFO-0.7500-1.9000 cache size    28491, 8000000 req, miss ratio 0.2694, byte miss ratio 0.2694
io_traces.ns196 S3FIFO-0.7500-1.9000 cache size    56983, 8000000 req, miss ratio 0.1799, byte miss ratio 0.1799
io_traces.ns196 S3FIFO-0.7500-1.9000 cache size   113966, 8000000 req, miss ratio 0.0262, byte miss ratio 0.0262
io_traces.ns196 S3FIFO-0.0250-0.9000 cache size      142, 8000000 req, miss ratio 0.5352, byte miss ratio 0.5352
io_traces.ns196 S3FIFO-0.0250-0.9000 cache size      427, 8000000 req, miss ratio 0.4963, byte miss ratio 0.4963
io_traces.ns196 S3FIFO-0.0250-0.9000 cache size     1424, 8000000 req, miss ratio 0.3858, byte miss ratio 0.3858
io_traces.ns196 S3FIFO-0.0250-0.9000 cache size     4273, 8000000 req, miss ratio 0.3664, byte miss ratio 0.3664
io_traces.ns196 S3FIFO-0.0250-0.9000 cache size    14245, 8000000 req, miss ratio 0.2605, byte miss ratio 0.2605
io_traces.ns196 S3FIFO-0.0250-0.9000 cache size    28491, 8000000 req, miss ratio 0.2137, byte miss ratio 0.2137
io_traces.ns196 S3FIFO-0.0250-0.9000 cache size    56983, 8000000 req, miss ratio 0.1665, byte miss ratio 0.1665
io_traces.ns196 S3FIFO-0.0250-0.9000 cache size   113966, 8000000 req, miss ratio 0.0199, byte miss ratio 0.0199
io_traces.ns196 S3FIFO-0.2000-1.9000 cache size      142, 8000000 req, miss ratio 0.5226, byte miss ratio 0.5226
io_traces.ns196 S3FIFO-0.2000-1.9000 cache size      427, 8000000 req, miss ratio 0.4894, byte miss ratio 0.4894
io_traces.ns196 S3FIFO-0.2000-1.9000 cache size     1424, 8000000 req, miss ratio 0.3854, byte miss ratio 0.3854
io_traces.ns196 S3FIFO-0.2000-1.9000 cache size     4273, 8000000 req, miss ratio 0.3524, byte miss ratio 0.3524
io_traces.ns196 S3FIFO-0.2000-1.9000 cache size    14245, 8000000 req, miss ratio 0.2637, byte miss ratio 0.2637
io_traces.ns196 S3FIFO-0.2000-1.9000 cache size    28491, 8000000 req, miss ratio 0.2447, byte miss ratio 0.2447
io_traces.ns196 S3FIFO-0.2000-1.9000 cache size    56983, 8000000 req, miss ratio 0.1823, byte miss ratio 0.1823
io_traces.ns196 S3FIFO-0.2000-1.9000 cache size   113966, 8000000 req, miss ratio 0.0206, byte miss ratio 0.0206
io_traces.ns196 S3FIFO-0.0500-1.9000 cache size      142, 8000000 req, miss ratio 0.5286, byte miss ratio 0.5286
io_traces.ns196 S3FIFO-0.0500-1.9000 cache size      427, 8000000 req, miss ratio 0.4930, byte miss ratio 0.4930
io_traces.ns196 S3FIFO-0.0500-1.9000 cache size     1424, 8000000 req, miss ratio 0.3853, byte miss ratio 0.3853
io_traces.ns196 S3FIFO-0.0500-1.9000 cache size     4273, 8000000 req, miss ratio 0.3532, byte miss ratio 0.3532
io_traces.ns196 S3FIFO-0.0500-1.9000 cache size    14245, 8000000 req, miss ratio 0.2616, byte miss ratio 0.2616
io_traces.ns196 S3FIFO-0.0500-1.9000 cache size    28491, 8000000 req, miss ratio 0.2446, byte miss ratio 0.2446
io_traces.ns196 S3FIFO-0.0500-1.9000 cache size    56983, 8000000 req, miss ratio 0.1703, byte miss ratio 0.1703
io_traces.ns196 S3FIFO-0.0500-1.9000 cache size   113966, 8000000 req, miss ratio 0.0198, byte miss ratio 0.0198
io_traces.ns196 S3FIFO-0.4500-0.9000 cache size      142, 8000000 req, miss ratio 0.5321, byte miss ratio 0.5321
io_traces.ns196 S3FIFO-0.4500-0.9000 cache size      427, 8000000 req, miss ratio 0.4977, byte miss ratio 0.4977
io_traces.ns196 S3FIFO-0.4500-0.9000 cache size     1424, 8000000 req, miss ratio 0.3885, byte miss ratio 0.3885
io_traces.ns196 S3FIFO-0.4500-0.9000 cache size     4273, 8000000 req, miss ratio 0.3521, byte miss ratio 0.3521
io_traces.ns196 S3FIFO-0.4500-0.9000 cache size    14245, 8000000 req, miss ratio 0.2806, byte miss ratio 0.2806
io_traces.ns196 S3FIFO-0.4500-0.9000 cache size    28491, 8000000 req, miss ratio 0.2350, byte miss ratio 0.2350
io_traces.ns196 S3FIFO-0.4500-0.9000 cache size    56983, 8000000 req, miss ratio 0.1857, byte miss ratio 0.1857
io_traces.ns196 S3FIFO-0.4500-0.9000 cache size   113966, 8000000 req, miss ratio 0.0215, byte miss ratio 0.0215
io_traces.ns196 S3FIFO-0.1500-1.9000 cache size      142, 8000000 req, miss ratio 0.5216, byte miss ratio 0.5216
io_traces.ns196 S3FIFO-0.1500-1.9000 cache size      427, 8000000 req, miss ratio 0.4889, byte miss ratio 0.4889
io_traces.ns196 S3FIFO-0.1500-1.9000 cache size     1424, 8000000 req, miss ratio 0.3851, byte miss ratio 0.3851
io_traces.ns196 S3FIFO-0.1500-1.9000 cache size     4273, 8000000 req, miss ratio 0.3523, byte miss ratio 0.3523
io_traces.ns196 S3FIFO-0.1500-1.9000 cache size    14245, 8000000 req, miss ratio 0.2625, byte miss ratio 0.2625
io_traces.ns196 S3FIFO-0.1500-1.9000 cache size    28491, 8000000 req, miss ratio 0.2444, byte miss ratio 0.2444
io_traces.ns196 S3FIFO-0.1500-1.9000 cache size    56983, 8000000 req, miss ratio 0.1709, byte miss ratio 0.1709
io_traces.ns196 S3FIFO-0.1500-1.9000 cache size   113966, 8000000 req, miss ratio 0.0203, byte miss ratio 0.0203
io_traces.ns196 S3FIFO-0.1500-0.9000 cache size      142, 8000000 req, miss ratio 0.5219, byte miss ratio 0.5219
io_traces.ns196 S3FIFO-0.1500-0.9000 cache size      427, 8000000 req, miss ratio 0.4870, byte miss ratio 0.4870
io_traces.ns196 S3FIFO-0.1500-0.9000 cache size     1424, 8000000 req, miss ratio 0.3850, byte miss ratio 0.3850
io_traces.ns196 S3FIFO-0.1500-0.9000 cache size     4273, 8000000 req, miss ratio 0.3532, byte miss ratio 0.3532
io_traces.ns196 S3FIFO-0.1500-0.9000 cache size    14245, 8000000 req, miss ratio 0.2628, byte miss ratio 0.2628
io_traces.ns196 S3FIFO-0.1500-0.9000 cache size    28491, 8000000 req, miss ratio 0.2170, byte miss ratio 0.2170
io_traces.ns196 S3FIFO-0.1500-0.9000 cache size    56983, 8000000 req, miss ratio 0.1709, byte miss ratio 0.1709
io_traces.ns196 S3FIFO-0.1500-0.9000 cache size   113966, 8000000 req, miss ratio 0.0203, byte miss ratio 0.0203
io_traces.ns196 S3FIFO-0.0100-0.9000 cache size      142, 8000000 req, miss ratio 0.5381, byte miss ratio 0.5381
io_traces.ns196 S3FIFO-0.0100-0.9000 cache size      427, 8000000 req, miss ratio 0.5076, byte miss ratio 0.5076
io_traces.ns196 S3FIFO-0.0100-0.9000 cache size     1424, 8000000 req, miss ratio 0.3899, byte miss ratio 0.3899
io_traces.ns196 S3FIFO-0.0100-0.9000 cache size     4273, 8000000 req, miss ratio 0.3667, byte miss ratio 0.3667
io_traces.ns196 S3FIFO-0.0100-0.9000 cache size    14245, 8000000 req, miss ratio 0.2599, byte miss ratio 0.2599
io_traces.ns196 S3FIFO-0.0100-0.9000 cache size    28491, 8000000 req, miss ratio 0.2124, byte miss ratio 0.2124
io_traces.ns196 S3FIFO-0.0100-0.9000 cache size    56983, 8000000 req, miss ratio 0.1642, byte miss ratio 0.1642
io_traces.ns196 S3FIFO-0.0100-0.9000 cache size   113966, 8000000 req, miss ratio 0.0200, byte miss ratio 0.0200
io_traces.ns196 S3FIFO-0.1000-0.9000 cache size      142, 8000000 req, miss ratio 0.5227, byte miss ratio 0.5227
io_traces.ns196 S3FIFO-0.1000-0.9000 cache size      427, 8000000 req, miss ratio 0.4888, byte miss ratio 0.4888
io_traces.ns196 S3FIFO-0.1000-0.9000 cache size     1424, 8000000 req, miss ratio 0.3849, byte miss ratio 0.3849
io_traces.ns196 S3FIFO-0.1000-0.9000 cache size     4273, 8000000 req, miss ratio 0.3664, byte miss ratio 0.3664
io_traces.ns196 S3FIFO-0.1000-0.9000 cache size    14245, 8000000 req, miss ratio 0.2631, byte miss ratio 0.2631
io_traces.ns196 S3FIFO-0.1000-0.9000 cache size    28491, 8000000 req, miss ratio 0.2156, byte miss ratio 0.2156
io_traces.ns196 S3FIFO-0.1000-0.9000 cache size    56983, 8000000 req, miss ratio 0.1708, byte miss ratio 0.1708
io_traces.ns196 S3FIFO-0.1000-0.9000 cache size   113966, 8000000 req, miss ratio 0.0200, byte miss ratio 0.0200
io_traces.ns196 S3FIFO-0.6000-0.9000 cache size      142, 8000000 req, miss ratio 0.5543, byte miss ratio 0.5543
io_traces.ns196 S3FIFO-0.6000-0.9000 cache size      427, 8000000 req, miss ratio 0.5012, byte miss ratio 0.5012
io_traces.ns196 S3FIFO-0.6000-0.9000 cache size     1424, 8000000 req, miss ratio 0.3951, byte miss ratio 0.3951
io_traces.ns196 S3FIFO-0.6000-0.9000 cache size     4273, 8000000 req, miss ratio 0.3534, byte miss ratio 0.3534
io_traces.ns196 S3FIFO-0.6000-0.9000 cache size    14245, 8000000 req, miss ratio 0.2925, byte miss ratio 0.2925
io_traces.ns196 S3FIFO-0.6000-0.9000 cache size    28491, 8000000 req, miss ratio 0.2448, byte miss ratio 0.2448
io_traces.ns196 S3FIFO-0.6000-0.9000 cache size    56983, 8000000 req, miss ratio 0.1851, byte miss ratio 0.1851
io_traces.ns196 S3FIFO-0.6000-0.9000 cache size   113966, 8000000 req, miss ratio 0.0241, byte miss ratio 0.0241
io_traces.ns196 S3FIFO-0.8500-0.9000 cache size      142, 8000000 req, miss ratio 0.5974, byte miss ratio 0.5974
io_traces.ns196 S3FIFO-0.8500-0.9000 cache size      427, 8000000 req, miss ratio 0.5119, byte miss ratio 0.5119
io_traces.ns196 S3FIFO-0.8500-0.9000 cache size     1424, 8000000 req, miss ratio 0.4152, byte miss ratio 0.4152
io_traces.ns196 S3FIFO-0.8500-0.9000 cache size     4273, 8000000 req, miss ratio 0.3549, byte miss ratio 0.3549
io_traces.ns196 S3FIFO-0.8500-0.9000 cache size    14245, 8000000 req, miss ratio 0.3038, byte miss ratio 0.3038
io_traces.ns196 S3FIFO-0.8500-0.9000 cache size    28491, 8000000 req, miss ratio 0.2756, byte miss ratio 0.2756
io_traces.ns196 S3FIFO-0.8500-0.9000 cache size    56983, 8000000 req, miss ratio 0.1845, byte miss ratio 0.1845
io_traces.ns196 S3FIFO-0.8500-0.9000 cache size   113966, 8000000 req, miss ratio 0.0270, byte miss ratio 0.0270
io_traces.ns196 S3FIFO-0.9900-1.9000 cache size      142, 8000000 req, miss ratio 0.6203, byte miss ratio 0.6203
io_traces.ns196 S3FIFO-0.9900-1.9000 cache size      427, 8000000 req, miss ratio 0.5257, byte miss ratio 0.5257
io_traces.ns196 S3FIFO-0.9900-1.9000 cache size     1424, 8000000 req, miss ratio 0.4240, byte miss ratio 0.4240
io_traces.ns196 S3FIFO-0.9900-1.9000 cache size     4273, 8000000 req, miss ratio 0.3620, byte miss ratio 0.3620
io_traces.ns196 S3FIFO-0.9900-1.9000 cache size    14245, 8000000 req, miss ratio 0.3094, byte miss ratio 0.3094
io_traces.ns196 S3FIFO-0.9900-1.9000 cache size    28491, 8000000 req, miss ratio 0.2713, byte miss ratio 0.2713
io_traces.ns196 S3FIFO-0.9900-1.9000 cache size    56983, 8000000 req, miss ratio 0.1747, byte miss ratio 0.1747
io_traces.ns196 S3FIFO-0.9900-1.9000 cache size   113966, 8000000 req, miss ratio 0.0299, byte miss ratio 0.0299
io_traces.ns196 S3FIFO-0.3000-0.9000 cache size      142, 8000000 req, miss ratio 0.5240, byte miss ratio 0.5240
io_traces.ns196 S3FIFO-0.3000-0.9000 cache size      427, 8000000 req, miss ratio 0.4888, byte miss ratio 0.4888
io_traces.ns196 S3FIFO-0.3000-0.9000 cache size     1424, 8000000 req, miss ratio 0.3860, byte miss ratio 0.3860
io_traces.ns196 S3FIFO-0.3000-0.9000 cache size     4273, 8000000 req, miss ratio 0.3536, byte miss ratio 0.3536
io_traces.ns196 S3FIFO-0.3000-0.9000 cache size    14245, 8000000 req, miss ratio 0.2668, byte miss ratio 0.2668
io_traces.ns196 S3FIFO-0.3000-0.9000 cache size    28491, 8000000 req, miss ratio 0.2246, byte miss ratio 0.2246
io_traces.ns196 S3FIFO-0.3000-0.9000 cache size    56983, 8000000 req, miss ratio 0.1914, byte miss ratio 0.1914
io_traces.ns196 S3FIFO-0.3000-0.9000 cache size   113966, 8000000 req, miss ratio 0.0210, byte miss ratio 0.0210
io_traces.ns196 S3FIFO-0.5500-1.9000 cache size      142, 8000000 req, miss ratio 0.5467, byte miss ratio 0.5467
io_traces.ns196 S3FIFO-0.5500-1.9000 cache size      427, 8000000 req, miss ratio 0.5006, byte miss ratio 0.5006
io_traces.ns196 S3FIFO-0.5500-1.9000 cache size     1424, 8000000 req, miss ratio 0.3915, byte miss ratio 0.3915
io_traces.ns196 S3FIFO-0.5500-1.9000 cache size     4273, 8000000 req, miss ratio 0.3523, byte miss ratio 0.3523
io_traces.ns196 S3FIFO-0.5500-1.9000 cache size    14245, 8000000 req, miss ratio 0.2911, byte miss ratio 0.2911
io_traces.ns196 S3FIFO-0.5500-1.9000 cache size    28491, 8000000 req, miss ratio 0.2601, byte miss ratio 0.2601
io_traces.ns196 S3FIFO-0.5500-1.9000 cache size    56983, 8000000 req, miss ratio 0.1880, byte miss ratio 0.1880
io_traces.ns196 S3FIFO-0.5500-1.9000 cache size   113966, 8000000 req, miss ratio 0.0224, byte miss ratio 0.0224
io_traces.ns196 S3FIFO-0.9000-0.9000 cache size      142, 8000000 req, miss ratio 0.6052, byte miss ratio 0.6052
io_traces.ns196 S3FIFO-0.9000-0.9000 cache size      427, 8000000 req, miss ratio 0.5180, byte miss ratio 0.5180
io_traces.ns196 S3FIFO-0.9000-0.9000 cache size     1424, 8000000 req, miss ratio 0.4179, byte miss ratio 0.4179
io_traces.ns196 S3FIFO-0.9000-0.9000 cache size     4273, 8000000 req, miss ratio 0.3576, byte miss ratio 0.3576
io_traces.ns196 S3FIFO-0.9000-0.9000 cache size    14245, 8000000 req, miss ratio 0.3054, byte miss ratio 0.3054
io_traces.ns196 S3FIFO-0.9000-0.9000 cache size    28491, 8000000 req, miss ratio 0.2808, byte miss ratio 0.2808
