cluster30.oracleGeneral.sample10.zst S3FIFO-0.0250-0.9000 cache size    38864, 239772077 req, miss ratio 0.0211, byte miss ratio 0.0211
cluster30.oracleGeneral.sample10.zst S3FIFO-0.0250-0.9000 cache size   129548, 239772077 req, miss ratio 0.0086, byte miss ratio 0.0086
cluster30.oracleGeneral.sample10.zst S3FIFO-0.0250-0.9000 cache size   259096, 239772077 req, miss ratio 0.0068, byte miss ratio 0.0068
cluster30.oracleGeneral.sample10.zst S3FIFO-0.0250-0.9000 cache size   518192, 239772077 req, miss ratio 0.0055, byte miss ratio 0.0055
cluster30.oracleGeneral.sample10.zst S3FIFO-0.0250-0.9000 cache size  1036384, 239772077 req, miss ratio 0.0054, byte miss ratio 0.0054
cluster30.oracleGeneral.sample10.zst S3FIFO-0.7500-0.9000 cache size     1295, 239772077 req, miss ratio 0.2327, byte miss ratio 0.2327
cluster30.oracleGeneral.sample10.zst S3FIFO-0.7500-0.9000 cache size     3886, 239772077 req, miss ratio 0.1373, byte miss ratio 0.1373
cluster30.oracleGeneral.sample10.zst S3FIFO-0.7500-0.9000 cache size    12954, 239772077 req, miss ratio 0.0689, byte miss ratio 0.0689
cluster30.oracleGeneral.sample10.zst S3FIFO-0.7500-0.9000 cache size    38864, 239772077 req, miss ratio 0.0287, byte miss ratio 0.0287
cluster30.oracleGeneral.sample10.zst S3FIFO-0.7500-0.9000 cache size   129548, 239772077 req, miss ratio 0.0097, byte miss ratio 0.0097
cluster30.oracleGeneral.sample10.zst S3FIFO-0.7500-0.9000 cache size   259096, 239772077 req, miss ratio 0.0054, byte miss ratio 0.0054
cluster30.oracleGeneral.sample10.zst S3FIFO-0.7500-0.9000 cache size   518192, 239772077 req, miss ratio 0.0054, byte miss ratio 0.0054
cluster30.oracleGeneral.sample10.zst S3FIFO-0.7500-0.9000 cache size  1036384, 239772077 req, miss ratio 0.0054, byte miss ratio 0.0054
cluster30.oracleGeneral.sample10.zst S3FIFO-0.1000-0.9000 cache size     1295, 239772077 req, miss ratio 0.1719, byte miss ratio 0.1719
cluster30.oracleGeneral.sample10.zst S3FIFO-0.1000-0.9000 cache size     3886, 239772077 req, miss ratio 0.1026, byte miss ratio 0.1026
cluster30.oracleGeneral.sample10.zst S3FIFO-0.1000-0.9000 cache size    12954, 239772077 req, miss ratio 0.0530, byte miss ratio 0.0530
cluster30.oracleGeneral.sample10.zst S3FIFO-0.1000-0.9000 cache size    38864, 239772077 req, miss ratio 0.0217, byte miss ratio 0.0217
cluster30.oracleGeneral.sample10.zst S3FIFO-0.1000-0.9000 cache size   129548, 239772077 req, miss ratio 0.0085, byte miss ratio 0.0085
cluster30.oracleGeneral.sample10.zst S3FIFO-0.1000-0.9000 cache size   259096, 239772077 req, miss ratio 0.0062, byte miss ratio 0.0062
cluster30.oracleGeneral.sample10.zst S3FIFO-0.1000-0.9000 cache size   518192, 239772077 req, miss ratio 0.0054, byte miss ratio 0.0054
cluster30.oracleGeneral.sample10.zst S3FIFO-0.1000-0.9000 cache size  1036384, 239772077 req, miss ratio 0.0054, byte miss ratio 0.0054
cluster30.oracleGeneral.sample10.zst S3FIFO-0.4000-0.9000 cache size     1295, 239772077 req, miss ratio 0.1951, byte miss ratio 0.1951
cluster30.oracleGeneral.sample10.zst S3FIFO-0.4000-0.9000 cache size     3886, 239772077 req, miss ratio 0.1161, byte miss ratio 0.1161
cluster30.oracleGeneral.sample10.zst S3FIFO-0.4000-0.9000 cache size    12954, 239772077 req, miss ratio 0.0597, byte miss ratio 0.0597
cluster30.oracleGeneral.sample10.zst S3FIFO-0.4000-0.9000 cache size    38864, 239772077 req, miss ratio 0.0244, byte miss ratio 0.0244
cluster30.oracleGeneral.sample10.zst S3FIFO-0.4000-0.9000 cache size   129548, 239772077 req, miss ratio 0.0089, byte miss ratio 0.0089
cluster30.oracleGeneral.sample10.zst S3FIFO-0.4000-0.9000 cache size   259096, 239772077 req, miss ratio 0.0055, byte miss ratio 0.0055
cluster30.oracleGeneral.sample10.zst S3FIFO-0.4000-0.9000 cache size   518192, 239772077 req, miss ratio 0.0054, byte miss ratio 0.0054
cluster30.oracleGeneral.sample10.zst S3FIFO-0.4000-0.9000 cache size  1036384, 239772077 req, miss ratio 0.0054, byte miss ratio 0.0054
cluster30.oracleGeneral.sample10.zst S3FIFO-0.8500-1.9000 cache size     1295, 239772077 req, miss ratio 0.2450, byte miss ratio 0.2450
cluster30.oracleGeneral.sample10.zst S3FIFO-0.8500-1.9000 cache size     3886, 239772077 req, miss ratio 0.1435, byte miss ratio 0.1435
cluster30.oracleGeneral.sample10.zst S3FIFO-0.8500-1.9000 cache size    12954, 239772077 req, miss ratio 0.0708, byte miss ratio 0.0708
