cdn1_colo28.ns623 S3FIFO-0.0010-0.9000 cache size     1076, 1263053 req, miss ratio 0.8678, byte miss ratio 0.8678
cdn1_colo28.ns623 S3FIFO-0.0010-0.9000 cache size     3229, 1263053 req, miss ratio 0.8628, byte miss ratio 0.8628
cdn1_colo28.ns623 S3FIFO-0.0010-0.9000 cache size    10763, 1263053 req, miss ratio 0.8559, byte miss ratio 0.8559
cdn1_colo28.ns623 S3FIFO-0.0010-0.9000 cache size    32291, 1263053 req, miss ratio 0.8539, byte miss ratio 0.8539
cdn1_colo28.ns623 S3FIFO-0.0010-0.9000 cache size   107638, 1263053 req, miss ratio 0.8535, byte miss ratio 0.8535
cdn1_colo28.ns623 S3FIFO-0.0010-0.9000 cache size   215276, 1263053 req, miss ratio 0.8532, byte miss ratio 0.8532
cdn1_colo28.ns623 S3FIFO-0.0010-0.9000 cache size   430552, 1263053 req, miss ratio 0.8528, byte miss ratio 0.8528
cdn1_colo28.ns623 S3FIFO-0.0010-0.9000 cache size   861104, 1263053 req, miss ratio 0.8523, byte miss ratio 0.8523
cdn1_colo28.ns623 S3FIFO-0.2000-0.9000 cache size     1076, 1263053 req, miss ratio 0.8558, byte miss ratio 0.8558
cdn1_colo28.ns623 S3FIFO-0.2000-0.9000 cache size     3229, 1263053 req, miss ratio 0.8550, byte miss ratio 0.8550
cdn1_colo28.ns623 S3FIFO-0.2000-0.9000 cache size    10763, 1263053 req, miss ratio 0.8545, byte miss ratio 0.8545
cdn1_colo28.ns623 S3FIFO-0.2000-0.9000 cache size    32291, 1263053 req, miss ratio 0.8539, byte miss ratio 0.8539
cdn1_colo28.ns623 S3FIFO-0.2000-0.9000 cache size   107638, 1263053 req, miss ratio 0.8535, byte miss ratio 0.8535
cdn1_colo28.ns623 S3FIFO-0.2000-0.9000 cache size   215276, 1263053 req, miss ratio 0.8532, byte miss ratio 0.8532
cdn1_colo28.ns623 S3FIFO-0.2000-0.9000 cache size   430552, 1263053 req, miss ratio 0.8528, byte miss ratio 0.8528
cdn1_colo28.ns623 S3FIFO-0.2000-0.9000 cache size   861104, 1263053 req, miss ratio 0.8523, byte miss ratio 0.8523
cdn1_colo28.ns623 S3FIFO-0.0050-0.9000 cache size     1076, 1263053 req, miss ratio 0.8616, byte miss ratio 0.8616
cdn1_colo28.ns623 S3FIFO-0.0050-0.9000 cache size     3229, 1263053 req, miss ratio 0.8563, byte miss ratio 0.8563
cdn1_colo28.ns623 S3FIFO-0.0050-0.9000 cache size    10763, 1263053 req, miss ratio 0.8547, byte miss ratio 0.8547
cdn1_colo28.ns623 S3FIFO-0.0050-0.9000 cache size    32291, 1263053 req, miss ratio 0.8539, byte miss ratio 0.8539
cdn1_colo28.ns623 S3FIFO-0.0050-0.9000 cache size   107638, 1263053 req, miss ratio 0.8535, byte miss ratio 0.8535
cdn1_colo28.ns623 S3FIFO-0.0050-0.9000 cache size   215276, 1263053 req, miss ratio 0.8532, byte miss ratio 0.8532
cdn1_colo28.ns623 S3FIFO-0.0050-0.9000 cache size   430552, 1263053 req, miss ratio 0.8528, byte miss ratio 0.8528
cdn1_colo28.ns623 S3FIFO-0.0050-0.9000 cache size   861104, 1263053 req, miss ratio 0.8523, byte miss ratio 0.8523
cdn1_colo28.ns623 S3FIFO-0.8500-0.9000 cache size     1076, 1263053 req, miss ratio 0.9026, byte miss ratio 0.9026
cdn1_colo28.ns623 S3FIFO-0.8500-0.9000 cache size     3229, 1263053 req, miss ratio 0.8555, byte miss ratio 0.8555
cdn1_colo28.ns623 S3FIFO-0.8500-0.9000 cache size    10763, 1263053 req, miss ratio 0.8546, byte miss ratio 0.8546
cdn1_colo28.ns623 S3FIFO-0.8500-0.9000 cache size    32291, 1263053 req, miss ratio 0.8540, byte miss ratio 0.8540
cdn1_colo28.ns623 S3FIFO-0.8500-0.9000 cache size   107638, 1263053 req, miss ratio 0.8535, byte miss ratio 0.8535
cdn1_colo28.ns623 S3FIFO-0.8500-0.9000 cache size   215276, 1263053 req, miss ratio 0.8532, byte miss ratio 0.8532
cdn1_colo28.ns623 S3FIFO-0.8500-0.9000 cache size   430552, 1263053 req, miss ratio 0.8528, byte miss ratio 0.8528
cdn1_colo28.ns623 S3FIFO-0.8500-0.9000 cache size   861104, 1263053 req, miss ratio 0.8523, byte miss ratio 0.8523
cdn1_colo28.ns623 S3FIFO-0.0050-1.9000 cache size     1076, 1263053 req, miss ratio 0.8615, byte miss ratio 0.8615
cdn1_colo28.ns623 S3FIFO-0.0050-1.9000 cache size     3229, 1263053 req, miss ratio 0.8563, byte miss ratio 0.8563
cdn1_colo28.ns623 S3FIFO-0.0050-1.9000 cache size    10763, 1263053 req, miss ratio 0.8545, byte miss ratio 0.8545
cdn1_colo28.ns623 S3FIFO-0.0050-1.9000 cache size    32291, 1263053 req, miss ratio 0.8538, byte miss ratio 0.8538
cdn1_colo28.ns623 S3FIFO-0.0050-1.9000 cache size   107638, 1263053 req, miss ratio 0.8535, byte miss ratio 0.8535
cdn1_colo28.ns623 S3FIFO-0.0050-1.9000 cache size   215276, 1263053 req, miss ratio 0.8532, byte miss ratio 0.8532
cdn1_colo28.ns623 S3FIFO-0.0050-1.9000 cache size   430552, 1263053 req, miss ratio 0.8528, byte miss ratio 0.8528
cdn1_colo28.ns623 S3FIFO-0.0050-1.9000 cache size   861104, 1263053 req, miss ratio 0.8523, byte miss ratio 0.8523
cdn1_colo28.ns623 S3FIFO-0.5000-0.9000 cache size     1076, 1263053 req, miss ratio 0.8557, byte miss ratio 0.8557
cdn1_colo28.ns623 S3FIFO-0.5000-0.9000 cache size     3229, 1263053 req, miss ratio 0.8551, byte miss ratio 0.8551
cdn1_colo28.ns623 S3FIFO-0.5000-0.9000 cache size    10763, 1263053 req, miss ratio 0.8544, byte miss ratio 0.8544
cdn1_colo28.ns623 S3FIFO-0.5000-0.9000 cache size    32291, 1263053 req, miss ratio 0.8539, byte miss ratio 0.8539
cdn1_colo28.ns623 S3FIFO-0.5000-0.9000 cache size   107638, 1263053 req, miss ratio 0.8535, byte miss ratio 0.8535
cdn1_colo28.ns623 S3FIFO-0.5000-0.9000 cache size   215276, 1263053 req, miss ratio 0.8532, byte miss ratio 0.8532
cdn1_colo28.ns623 S3FIFO-0.5000-0.9000 cache size   430552, 1263053 req, miss ratio 0.8528, byte miss ratio 0.8528
cdn1_colo28.ns623 S3FIFO-0.5000-0.9000 cache size   861104, 1263053 req, miss ratio 0.8523, byte miss ratio 0.8523
cdn1_colo28.ns623 S3FIFO-0.8500-1.9000 cache size     1076, 1263053 req, miss ratio 0.9035, byte miss ratio 0.9035
cdn1_colo28.ns623 S3FIFO-0.8500-1.9000 cache size     3229, 1263053 req, miss ratio 0.8555, byte miss ratio 0.8555
cdn1_colo28.ns623 S3FIFO-0.8500-1.9000 cache size    10763, 1263053 req, miss ratio 0.8545, byte miss ratio 0.8545
cdn1_colo28.ns623 S3FIFO-0.8500-1.9000 cache size    32291, 1263053 req, miss ratio 0.8539, byte miss ratio 0.8539
cdn1_colo28.ns623 S3FIFO-0.8500-1.9000 cache size   107638, 1263053 req, miss ratio 0.8535, byte miss ratio 0.8535
cdn1_colo28.ns623 S3FIFO-0.8500-1.9000 cache size   215276, 1263053 req, miss ratio 0.8532, byte miss ratio 0.8532
cdn1_colo28.ns623 S3FIFO-0.8500-1.9000 cache size   430552, 1263053 req, miss ratio 0.8528, byte miss ratio 0.8528
cdn1_colo28.ns623 S3FIFO-0.8500-1.9000 cache size   861104, 1263053 req, miss ratio 0.8523, byte miss ratio 0.8523
cdn1_colo28.ns623 S3FIFO-0.9500-0.9000 cache size     1076, 1263053 req, miss ratio 0.9275, byte miss ratio 0.9275
cdn1_colo28.ns623 S3FIFO-0.9500-0.9000 cache size     3229, 1263053 req, miss ratio 0.8842, byte miss ratio 0.8842
cdn1_colo28.ns623 S3FIFO-0.9500-0.9000 cache size    10763, 1263053 req, miss ratio 0.8551, byte miss ratio 0.8551
cdn1_colo28.ns623 S3FIFO-0.9500-0.9000 cache size    32291, 1263053 req, miss ratio 0.8542, byte miss ratio 0.8542
cdn1_colo28.ns623 S3FIFO-0.9500-0.9000 cache size   107638, 1263053 req, miss ratio 0.8536, byte miss ratio 0.8536
cdn1_colo28.ns623 S3FIFO-0.9500-0.9000 cache size   215276, 1263053 req, miss ratio 0.8532, byte miss ratio 0.8532
cdn1_colo28.ns623 S3FIFO-0.9500-0.9000 cache size   430552, 1263053 req, miss ratio 0.8528, byte miss ratio 0.8528
cdn1_colo28.ns623 S3FIFO-0.9500-0.9000 cache size   861104, 1263053 req, miss ratio 0.8523, byte miss ratio 0.8523
cdn1_colo28.ns623 S3FIFO-0.1500-1.9000 cache size     1076, 1263053 req, miss ratio 0.8558, byte miss ratio 0.8558
cdn1_colo28.ns623 S3FIFO-0.1500-1.9000 cache size     3229, 1263053 req, miss ratio 0.8550, byte miss ratio 0.8550
cdn1_colo28.ns623 S3FIFO-0.1500-1.9000 cache size    10763, 1263053 req, miss ratio 0.8543, byte miss ratio 0.8543
cdn1_colo28.ns623 S3FIFO-0.1500-1.9000 cache size    32291, 1263053 req, miss ratio 0.8538, byte miss ratio 0.8538
cdn1_colo28.ns623 S3FIFO-0.1500-1.9000 cache size   107638, 1263053 req, miss ratio 0.8535, byte miss ratio 0.8535
cdn1_colo28.ns623 S3FIFO-0.1500-1.9000 cache size   215276, 1263053 req, miss ratio 0.8532, byte miss ratio 0.8532
cdn1_colo28.ns623 S3FIFO-0.1500-1.9000 cache size   430552, 1263053 req, miss ratio 0.8528, byte miss ratio 0.8528
cdn1_colo28.ns623 S3FIFO-0.1500-1.9000 cache size   861104, 1263053 req, miss ratio 0.8523, byte miss ratio 0.8523
cdn1_colo28.ns623 S3FIFO-0.5500-1.9000 cache size     1076, 1263053 req, miss ratio 0.8557, byte miss ratio 0.8557
cdn1_colo28.ns623 S3FIFO-0.5500-1.9000 cache size     3229, 1263053 req, miss ratio 0.8552, byte miss ratio 0.8552
cdn1_colo28.ns623 S3FIFO-0.5500-1.9000 cache size    10763, 1263053 req, miss ratio 0.8543, byte miss ratio 0.8543
cdn1_colo28.ns623 S3FIFO-0.5500-1.9000 cache size    32291, 1263053 req, miss ratio 0.8538, byte miss ratio 0.8538
cdn1_colo28.ns623 S3FIFO-0.5500-1.9000 cache size   107638, 1263053 req, miss ratio 0.8535, byte miss ratio 0.8535
cdn1_colo28.ns623 S3FIFO-0.5500-1.9000 cache size   215276, 1263053 req, miss ratio 0.8532, byte miss ratio 0.8532
cdn1_colo28.ns623 S3FIFO-0.5500-1.9000 cache size   430552, 1263053 req, miss ratio 0.8528, byte miss ratio 0.8528
cdn1_colo28.ns623 S3FIFO-0.5500-1.9000 cache size   861104, 1263053 req, miss ratio 0.8523, byte miss ratio 0.8523
cdn1_colo28.ns623 S3FIFO-0.4500-0.9000 cache size     1076, 1263053 req, miss ratio 0.8557, byte miss ratio 0.8557
cdn1_colo28.ns623 S3FIFO-0.4500-0.9000 cache size     3229, 1263053 req, miss ratio 0.8551, byte miss ratio 0.8551
cdn1_colo28.ns623 S3FIFO-0.4500-0.9000 cache size    10763, 1263053 req, miss ratio 0.8544, byte miss ratio 0.8544
cdn1_colo28.ns623 S3FIFO-0.4500-0.9000 cache size    32291, 1263053 req, miss ratio 0.8539, byte miss ratio 0.8539
cdn1_colo28.ns623 S3FIFO-0.4500-0.9000 cache size   107638, 1263053 req, miss ratio 0.8535, byte miss ratio 0.8535
cdn1_colo28.ns623 S3FIFO-0.4500-0.9000 cache size   215276, 1263053 req, miss ratio 0.8532, byte miss ratio 0.8532
cdn1_colo28.ns623 S3FIFO-0.4500-0.9000 cache size   430552, 1263053 req, miss ratio 0.8528, byte miss ratio 0.8528
cdn1_colo28.ns623 S3FIFO-0.4500-0.9000 cache size   861104, 1263053 req, miss ratio 0.8523, byte miss ratio 0.8523
cdn1_colo28.ns623 S3FIFO-0.0500-1.9000 cache size     1076, 1263053 req, miss ratio 0.8560, byte miss ratio 0.8560
cdn1_colo28.ns623 S3FIFO-0.0500-1.9000 cache size     3229, 1263053 req, miss ratio 0.8551, byte miss ratio 0.8551
cdn1_colo28.ns623 S3FIFO-0.0500-1.9000 cache size    10763, 1263053 req, miss ratio 0.8543, byte miss ratio 0.8543
cdn1_colo28.ns623 S3FIFO-0.0500-1.9000 cache size    32291, 1263053 req, miss ratio 0.8538, byte miss ratio 0.8538
cdn1_colo28.ns623 S3FIFO-0.0500-1.9000 cache size   107638, 1263053 req, miss ratio 0.8535, byte miss ratio 0.8535
cdn1_colo28.ns623 S3FIFO-0.0500-1.9000 cache size   215276, 1263053 req, miss ratio 0.8532, byte miss ratio 0.8532
cdn1_colo28.ns623 S3FIFO-0.0500-1.9000 cache size   430552, 1263053 req, miss ratio 0.8528, byte miss ratio 0.8528
cdn1_colo28.ns623 S3FIFO-0.0500-1.9000 cache size   861104, 1263053 req, miss ratio 0.8523, byte miss ratio 0.8523
cdn1_colo28.ns623 S3FIFO-0.9000-1.9000 cache size     1076, 1263053 req, miss ratio 0.9168, byte miss ratio 0.9168
cdn1_colo28.ns623 S3FIFO-0.9000-1.9000 cache size     3229, 1263053 req, miss ratio 0.8606, byte miss ratio 0.8606
cdn1_colo28.ns623 S3FIFO-0.9000-1.9000 cache size    10763, 1263053 req, miss ratio 0.8549, byte miss ratio 0.8549
cdn1_colo28.ns623 S3FIFO-0.9000-1.9000 cache size    32291, 1263053 req, miss ratio 0.8540, byte miss ratio 0.8540
cdn1_colo28.ns623 S3FIFO-0.9000-1.9000 cache size   107638, 1263053 req, miss ratio 0.8535, byte miss ratio 0.8535
cdn1_colo28.ns623 S3FIFO-0.9000-1.9000 cache size   215276, 1263053 req, miss ratio 0.8532, byte miss ratio 0.8532
cdn1_colo28.ns623 S3FIFO-0.9000-1.9000 cache size   430552, 1263053 req, miss ratio 0.8528, byte miss ratio 0.8528
cdn1_colo28.ns623 S3FIFO-0.9000-1.9000 cache size   861104, 1263053 req, miss ratio 0.8523, byte miss ratio 0.8523
cdn1_colo28.ns623 S3FIFO-0.6500-1.9000 cache size     1076, 1263053 req, miss ratio 0.8566, byte miss ratio 0.8566
cdn1_colo28.ns623 S3FIFO-0.6500-1.9000 cache size     3229, 1263053 req, miss ratio 0.8553, byte miss ratio 0.8553
cdn1_colo28.ns623 S3FIFO-0.6500-1.9000 cache size    10763, 1263053 req, miss ratio 0.8543, byte miss ratio 0.8543
cdn1_colo28.ns623 S3FIFO-0.6500-1.9000 cache size    32291, 1263053 req, miss ratio 0.8539, byte miss ratio 0.8539
cdn1_colo28.ns623 S3FIFO-0.6500-1.9000 cache size   107638, 1263053 req, miss ratio 0.8535, byte miss ratio 0.8535
cdn1_colo28.ns623 S3FIFO-0.6500-1.9000 cache size   215276, 1263053 req, miss ratio 0.8532, byte miss ratio 0.8532
cdn1_colo28.ns623 S3FIFO-0.6500-1.9000 cache size   430552, 1263053 req, miss ratio 0.8528, byte miss ratio 0.8528
cdn1_colo28.ns623 S3FIFO-0.6500-1.9000 cache size   861104, 1263053 req, miss ratio 0.8523, byte miss ratio 0.8523
cdn1_colo28.ns623 S3FIFO-0.7000-1.9000 cache size     1076, 1263053 req, miss ratio 0.8638, byte miss ratio 0.8638
cdn1_colo28.ns623 S3FIFO-0.7000-1.9000 cache size     3229, 1263053 req, miss ratio 0.8554, byte miss ratio 0.8554
cdn1_colo28.ns623 S3FIFO-0.7000-1.9000 cache size    10763, 1263053 req, miss ratio 0.8543, byte miss ratio 0.8543
cdn1_colo28.ns623 S3FIFO-0.7000-1.9000 cache size    32291, 1263053 req, miss ratio 0.8539, byte miss ratio 0.8539
cdn1_colo28.ns623 S3FIFO-0.7000-1.9000 cache size   107638, 1263053 req, miss ratio 0.8535, byte miss ratio 0.8535
cdn1_colo28.ns623 S3FIFO-0.7000-1.9000 cache size   215276, 1263053 req, miss ratio 0.8532, byte miss ratio 0.8532
cdn1_colo28.ns623 S3FIFO-0.7000-1.9000 cache size   430552, 1263053 req, miss ratio 0.8528, byte miss ratio 0.8528
cdn1_colo28.ns623 S3FIFO-0.7000-1.9000 cache size   861104, 1263053 req, miss ratio 0.8523, byte miss ratio 0.8523
cdn1_colo28.ns623 S3FIFO-0.9900-0.9000 cache size     1076, 1263053 req, miss ratio 0.9362, byte miss ratio 0.9362
cdn1_colo28.ns623 S3FIFO-0.9900-0.9000 cache size     3229, 1263053 req, miss ratio 0.9026, byte miss ratio 0.9026
cdn1_colo28.ns623 S3FIFO-0.9900-0.9000 cache size    10763, 1263053 req, miss ratio 0.8696, byte miss ratio 0.8696
cdn1_colo28.ns623 S3FIFO-0.9900-0.9000 cache size    32291, 1263053 req, miss ratio 0.8560, byte miss ratio 0.8560
cdn1_colo28.ns623 S3FIFO-0.9900-0.9000 cache size   107638, 1263053 req, miss ratio 0.8539, byte miss ratio 0.8539
cdn1_colo28.ns623 S3FIFO-0.9900-0.9000 cache size   215276, 1263053 req, miss ratio 0.8534, byte miss ratio 0.8534
cdn1_colo28.ns623 S3FIFO-0.9900-0.9000 cache size   430552, 1263053 req, miss ratio 0.8529, byte miss ratio 0.8529
cdn1_colo28.ns623 S3FIFO-0.9900-0.9000 cache size   861104, 1263053 req, miss ratio 0.8523, byte miss ratio 0.8523
cdn1_colo28.ns623 S3FIFO-0.0250-0.9000 cache size     1076, 1263053 req, miss ratio 0.8565, byte miss ratio 0.8565
cdn1_colo28.ns623 S3FIFO-0.0250-0.9000 cache size     3229, 1263053 req, miss ratio 0.8552, byte miss ratio 0.8552
cdn1_colo28.ns623 S3FIFO-0.0250-0.9000 cache size    10763, 1263053 req, miss ratio 0.8545, byte miss ratio 0.8545
