tencentBlock.ns1911 S3FIFO-0.2000-1.9000 cache size     2236, 3049149 req, miss ratio 0.9999, byte miss ratio 0.9999
tencentBlock.ns1911 S3FIFO-0.2000-1.9000 cache size     6709, 3049149 req, miss ratio 0.9997, byte miss ratio 0.9997
tencentBlock.ns1911 S3FIFO-0.2000-1.9000 cache size    22364, 3049149 req, miss ratio 0.9992, byte miss ratio 0.9992
tencentBlock.ns1911 S3FIFO-0.2000-1.9000 cache size    67093, 3049149 req, miss ratio 0.9978, byte miss ratio 0.9978
tencentBlock.ns1911 S3FIFO-0.2000-1.9000 cache size   223644, 3049149 req, miss ratio 0.9925, byte miss ratio 0.9925
tencentBlock.ns1911 S3FIFO-0.2000-1.9000 cache size   447288, 3049149 req, miss ratio 0.9386, byte miss ratio 0.9386
tencentBlock.ns1911 S3FIFO-0.2000-1.9000 cache size   894577, 3049149 req, miss ratio 0.9343, byte miss ratio 0.9343
tencentBlock.ns1911 S3FIFO-0.2000-1.9000 cache size  1789155, 3049149 req, miss ratio 0.7343, byte miss ratio 0.7343
tencentBlock.ns1911 S3FIFO-0.8500-1.9000 cache size     2236, 3049149 req, miss ratio 0.9999, byte miss ratio 0.9999
tencentBlock.ns1911 S3FIFO-0.8500-1.9000 cache size     6709, 3049149 req, miss ratio 0.9997, byte miss ratio 0.9997
tencentBlock.ns1911 S3FIFO-0.8500-1.9000 cache size    22364, 3049149 req, miss ratio 0.9992, byte miss ratio 0.9992
tencentBlock.ns1911 S3FIFO-0.8500-1.9000 cache size    67093, 3049149 req, miss ratio 0.9978, byte miss ratio 0.9978
tencentBlock.ns1911 S3FIFO-0.8500-1.9000 cache size   223644, 3049149 req, miss ratio 0.9920, byte miss ratio 0.9920
tencentBlock.ns1911 S3FIFO-0.8500-1.9000 cache size   447288, 3049149 req, miss ratio 0.9394, byte miss ratio 0.9394
tencentBlock.ns1911 S3FIFO-0.8500-1.9000 cache size   894577, 3049149 req, miss ratio 0.9592, byte miss ratio 0.9592
tencentBlock.ns1911 S3FIFO-0.8500-1.9000 cache size  1789155, 3049149 req, miss ratio 0.7343, byte miss ratio 0.7343
tencentBlock.ns1911 S3FIFO-0.0250-0.9000 cache size     2236, 3049149 req, miss ratio 0.9999, byte miss ratio 0.9999
tencentBlock.ns1911 S3FIFO-0.0250-0.9000 cache size     6709, 3049149 req, miss ratio 0.9998, byte miss ratio 0.9998
tencentBlock.ns1911 S3FIFO-0.0250-0.9000 cache size    22364, 3049149 req, miss ratio 0.9993, byte miss ratio 0.9993
tencentBlock.ns1911 S3FIFO-0.0250-0.9000 cache size    67093, 3049149 req, miss ratio 0.9982, byte miss ratio 0.9982
tencentBlock.ns1911 S3FIFO-0.0250-0.9000 cache size   223644, 3049149 req, miss ratio 0.9935, byte miss ratio 0.9935
tencentBlock.ns1911 S3FIFO-0.0250-0.9000 cache size   447288, 3049149 req, miss ratio 0.9392, byte miss ratio 0.9392
tencentBlock.ns1911 S3FIFO-0.0250-0.9000 cache size   894577, 3049149 req, miss ratio 0.9343, byte miss ratio 0.9343
tencentBlock.ns1911 S3FIFO-0.0250-0.9000 cache size  1789155, 3049149 req, miss ratio 0.7343, byte miss ratio 0.7343
tencentBlock.ns1911 S3FIFO-0.3500-0.9000 cache size     2236, 3049149 req, miss ratio 0.9999, byte miss ratio 0.9999
tencentBlock.ns1911 S3FIFO-0.3500-0.9000 cache size     6709, 3049149 req, miss ratio 0.9998, byte miss ratio 0.9998
tencentBlock.ns1911 S3FIFO-0.3500-0.9000 cache size    22364, 3049149 req, miss ratio 0.9993, byte miss ratio 0.9993
tencentBlock.ns1911 S3FIFO-0.3500-0.9000 cache size    67093, 3049149 req, miss ratio 0.9982, byte miss ratio 0.9982
tencentBlock.ns1911 S3FIFO-0.3500-0.9000 cache size   223644, 3049149 req, miss ratio 0.9943, byte miss ratio 0.9943
tencentBlock.ns1911 S3FIFO-0.3500-0.9000 cache size   447288, 3049149 req, miss ratio 0.9392, byte miss ratio 0.9392
tencentBlock.ns1911 S3FIFO-0.3500-0.9000 cache size   894577, 3049149 req, miss ratio 0.9344, byte miss ratio 0.9344
tencentBlock.ns1911 S3FIFO-0.3500-0.9000 cache size  1789155, 3049149 req, miss ratio 0.7343, byte miss ratio 0.7343
tencentBlock.ns1911 S3FIFO-0.5000-1.9000 cache size     2236, 3049149 req, miss ratio 0.9999, byte miss ratio 0.9999
tencentBlock.ns1911 S3FIFO-0.5000-1.9000 cache size     6709, 3049149 req, miss ratio 0.9997, byte miss ratio 0.9997
tencentBlock.ns1911 S3FIFO-0.5000-1.9000 cache size    22364, 3049149 req, miss ratio 0.9992, byte miss ratio 0.9992
tencentBlock.ns1911 S3FIFO-0.5000-1.9000 cache size    67093, 3049149 req, miss ratio 0.9978, byte miss ratio 0.9978
tencentBlock.ns1911 S3FIFO-0.5000-1.9000 cache size   223644, 3049149 req, miss ratio 0.9933, byte miss ratio 0.9933
tencentBlock.ns1911 S3FIFO-0.5000-1.9000 cache size   447288, 3049149 req, miss ratio 0.9386, byte miss ratio 0.9386
tencentBlock.ns1911 S3FIFO-0.5000-1.9000 cache size   894577, 3049149 req, miss ratio 0.9349, byte miss ratio 0.9349
tencentBlock.ns1911 S3FIFO-0.5000-1.9000 cache size  1789155, 3049149 req, miss ratio 0.7343, byte miss ratio 0.7343
tencentBlock.ns1911 S3FIFO-0.7500-1.9000 cache size     2236, 3049149 req, miss ratio 0.9999, byte miss ratio 0.9999
tencentBlock.ns1911 S3FIFO-0.7500-1.9000 cache size     6709, 3049149 req, miss ratio 0.9997, byte miss ratio 0.9997
tencentBlock.ns1911 S3FIFO-0.7500-1.9000 cache size    22364, 3049149 req, miss ratio 0.9992, byte miss ratio 0.9992
tencentBlock.ns1911 S3FIFO-0.7500-1.9000 cache size    67093, 3049149 req, miss ratio 0.9978, byte miss ratio 0.9978
tencentBlock.ns1911 S3FIFO-0.7500-1.9000 cache size   223644, 3049149 req, miss ratio 0.9940, byte miss ratio 0.9940
tencentBlock.ns1911 S3FIFO-0.7500-1.9000 cache size   447288, 3049149 req, miss ratio 0.9391, byte miss ratio 0.9391
tencentBlock.ns1911 S3FIFO-0.7500-1.9000 cache size   894577, 3049149 req, miss ratio 0.9362, byte miss ratio 0.9362
tencentBlock.ns1911 S3FIFO-0.7500-1.9000 cache size  1789155, 3049149 req, miss ratio 0.7343, byte miss ratio 0.7343
tencentBlock.ns1911 S3FIFO-0.4500-0.9000 cache size     2236, 3049149 req, miss ratio 0.9999, byte miss ratio 0.9999
