cdn1_allcolo.ns10344 S3FIFO-0.0500-1.9000 cache size        5, 1360551 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns10344 S3FIFO-0.0500-1.9000 cache size       15, 1360551 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns10344 S3FIFO-0.0500-1.9000 cache size       51, 1360551 req, miss ratio 0.0114, byte miss ratio 0.0114
cdn1_allcolo.ns10344 S3FIFO-0.0500-1.9000 cache size      153, 1360551 req, miss ratio 0.0073, byte miss ratio 0.0073
cdn1_allcolo.ns10344 S3FIFO-0.0500-1.9000 cache size      512, 1360551 req, miss ratio 0.0051, byte miss ratio 0.0051
cdn1_allcolo.ns10344 S3FIFO-0.0500-1.9000 cache size     1025, 1360551 req, miss ratio 0.0044, byte miss ratio 0.0044
cdn1_allcolo.ns10344 S3FIFO-0.0500-1.9000 cache size     2051, 1360551 req, miss ratio 0.0040, byte miss ratio 0.0040
cdn1_allcolo.ns10344 S3FIFO-0.0500-1.9000 cache size     4103, 1360551 req, miss ratio 0.0038, byte miss ratio 0.0038
cdn1_allcolo.ns10344 S3FIFO-0.9000-1.9000 cache size        5, 1360551 req, miss ratio 0.0628, byte miss ratio 0.0628
cdn1_allcolo.ns10344 S3FIFO-0.9000-1.9000 cache size       15, 1360551 req, miss ratio 0.0325, byte miss ratio 0.0325
cdn1_allcolo.ns10344 S3FIFO-0.9000-1.9000 cache size       51, 1360551 req, miss ratio 0.0158, byte miss ratio 0.0158
cdn1_allcolo.ns10344 S3FIFO-0.9000-1.9000 cache size      153, 1360551 req, miss ratio 0.0095, byte miss ratio 0.0095
cdn1_allcolo.ns10344 S3FIFO-0.9000-1.9000 cache size      512, 1360551 req, miss ratio 0.0063, byte miss ratio 0.0063
cdn1_allcolo.ns10344 S3FIFO-0.9000-1.9000 cache size     1025, 1360551 req, miss ratio 0.0052, byte miss ratio 0.0052
cdn1_allcolo.ns10344 S3FIFO-0.9000-1.9000 cache size     2051, 1360551 req, miss ratio 0.0043, byte miss ratio 0.0043
cdn1_allcolo.ns10344 S3FIFO-0.9000-1.9000 cache size     4103, 1360551 req, miss ratio 0.0039, byte miss ratio 0.0039
cdn1_allcolo.ns10344 S3FIFO-0.3500-0.9000 cache size        5, 1360551 req, miss ratio 0.0484, byte miss ratio 0.0484
cdn1_allcolo.ns10344 S3FIFO-0.3500-0.9000 cache size       15, 1360551 req, miss ratio 0.0257, byte miss ratio 0.0257
cdn1_allcolo.ns10344 S3FIFO-0.3500-0.9000 cache size       51, 1360551 req, miss ratio 0.0124, byte miss ratio 0.0124
cdn1_allcolo.ns10344 S3FIFO-0.3500-0.9000 cache size      153, 1360551 req, miss ratio 0.0078, byte miss ratio 0.0078
cdn1_allcolo.ns10344 S3FIFO-0.3500-0.9000 cache size      512, 1360551 req, miss ratio 0.0054, byte miss ratio 0.0054
cdn1_allcolo.ns10344 S3FIFO-0.3500-0.9000 cache size     1025, 1360551 req, miss ratio 0.0045, byte miss ratio 0.0045
cdn1_allcolo.ns10344 S3FIFO-0.3500-0.9000 cache size     2051, 1360551 req, miss ratio 0.0040, byte miss ratio 0.0040
cdn1_allcolo.ns10344 S3FIFO-0.3500-0.9000 cache size     4103, 1360551 req, miss ratio 0.0038, byte miss ratio 0.0038
cdn1_allcolo.ns10344 S3FIFO-0.2000-0.9000 cache size        5, 1360551 req, miss ratio 0.0484, byte miss ratio 0.0484
cdn1_allcolo.ns10344 S3FIFO-0.2000-0.9000 cache size       15, 1360551 req, miss ratio 0.0244, byte miss ratio 0.0244
cdn1_allcolo.ns10344 S3FIFO-0.2000-0.9000 cache size       51, 1360551 req, miss ratio 0.0118, byte miss ratio 0.0118
cdn1_allcolo.ns10344 S3FIFO-0.2000-0.9000 cache size      153, 1360551 req, miss ratio 0.0075, byte miss ratio 0.0075
cdn1_allcolo.ns10344 S3FIFO-0.2000-0.9000 cache size      512, 1360551 req, miss ratio 0.0052, byte miss ratio 0.0052
cdn1_allcolo.ns10344 S3FIFO-0.2000-0.9000 cache size     1025, 1360551 req, miss ratio 0.0044, byte miss ratio 0.0044
cdn1_allcolo.ns10344 S3FIFO-0.2000-0.9000 cache size     2051, 1360551 req, miss ratio 0.0040, byte miss ratio 0.0040
cdn1_allcolo.ns10344 S3FIFO-0.2000-0.9000 cache size     4103, 1360551 req, miss ratio 0.0038, byte miss ratio 0.0038
cdn1_allcolo.ns10344 S3FIFO-0.2500-0.9000 cache size        5, 1360551 req, miss ratio 0.0484, byte miss ratio 0.0484
cdn1_allcolo.ns10344 S3FIFO-0.2500-0.9000 cache size       15, 1360551 req, miss ratio 0.0244, byte miss ratio 0.0244
cdn1_allcolo.ns10344 S3FIFO-0.2500-0.9000 cache size       51, 1360551 req, miss ratio 0.0120, byte miss ratio 0.0120
cdn1_allcolo.ns10344 S3FIFO-0.2500-0.9000 cache size      153, 1360551 req, miss ratio 0.0076, byte miss ratio 0.0076
