io_traces.ns580 S3FIFO-0.0050-0.9000 cache size      650, 7800000 req, miss ratio 0.5580, byte miss ratio 0.5580
io_traces.ns580 S3FIFO-0.0050-0.9000 cache size     1952, 7800000 req, miss ratio 0.5312, byte miss ratio 0.5312
io_traces.ns580 S3FIFO-0.0050-0.9000 cache size     6509, 7800000 req, miss ratio 0.4994, byte miss ratio 0.4994
io_traces.ns580 S3FIFO-0.0050-0.9000 cache size    19527, 7800000 req, miss ratio 0.3742, byte miss ratio 0.3742
io_traces.ns580 S3FIFO-0.0050-0.9000 cache size    65090, 7800000 req, miss ratio 0.1428, byte miss ratio 0.1428
io_traces.ns580 S3FIFO-0.0050-0.9000 cache size   130180, 7800000 req, miss ratio 0.1279, byte miss ratio 0.1279
io_traces.ns580 S3FIFO-0.0050-0.9000 cache size   260360, 7800000 req, miss ratio 0.0897, byte miss ratio 0.0897
io_traces.ns580 S3FIFO-0.0050-0.9000 cache size   520720, 7800000 req, miss ratio 0.0836, byte miss ratio 0.0836
io_traces.ns580 S3FIFO-0.1500-1.9000 cache size      650, 7800000 req, miss ratio 0.5443, byte miss ratio 0.5443
io_traces.ns580 S3FIFO-0.1500-1.9000 cache size     1952, 7800000 req, miss ratio 0.5189, byte miss ratio 0.5189
io_traces.ns580 S3FIFO-0.1500-1.9000 cache size     6509, 7800000 req, miss ratio 0.4843, byte miss ratio 0.4843
io_traces.ns580 S3FIFO-0.1500-1.9000 cache size    19527, 7800000 req, miss ratio 0.3925, byte miss ratio 0.3925
io_traces.ns580 S3FIFO-0.1500-1.9000 cache size    65090, 7800000 req, miss ratio 0.1542, byte miss ratio 0.1542
io_traces.ns580 S3FIFO-0.1500-1.9000 cache size   130180, 7800000 req, miss ratio 0.1277, byte miss ratio 0.1277
io_traces.ns580 S3FIFO-0.1500-1.9000 cache size   260360, 7800000 req, miss ratio 0.0886, byte miss ratio 0.0886
io_traces.ns580 S3FIFO-0.1500-1.9000 cache size   520720, 7800000 req, miss ratio 0.0836, byte miss ratio 0.0836
io_traces.ns580 S3FIFO-0.0010-0.9000 cache size      650, 7800000 req, miss ratio 1.0000, byte miss ratio 1.0000
io_traces.ns580 S3FIFO-0.0010-0.9000 cache size     1952, 7800000 req, miss ratio 0.5654, byte miss ratio 0.5654
io_traces.ns580 S3FIFO-0.0010-0.9000 cache size     6509, 7800000 req, miss ratio 0.5049, byte miss ratio 0.5049
