tencentBlock.ns4998 S3FIFO-0.1000-1.9000 cache size       73, 3251308 req, miss ratio 0.2838, byte miss ratio 0.2838
tencentBlock.ns4998 S3FIFO-0.1000-1.9000 cache size      220, 3251308 req, miss ratio 0.1353, byte miss ratio 0.1353
tencentBlock.ns4998 S3FIFO-0.1000-1.9000 cache size      734, 3251308 req, miss ratio 0.0934, byte miss ratio 0.0934
tencentBlock.ns4998 S3FIFO-0.1000-1.9000 cache size     2203, 3251308 req, miss ratio 0.0777, byte miss ratio 0.0777
tencentBlock.ns4998 S3FIFO-0.1000-1.9000 cache size     7345, 3251308 req, miss ratio 0.0615, byte miss ratio 0.0615
tencentBlock.ns4998 S3FIFO-0.1000-1.9000 cache size    14690, 3251308 req, miss ratio 0.0533, byte miss ratio 0.0533
tencentBlock.ns4998 S3FIFO-0.1000-1.9000 cache size    29380, 3251308 req, miss ratio 0.0379, byte miss ratio 0.0379
tencentBlock.ns4998 S3FIFO-0.1000-1.9000 cache size    58760, 3251308 req, miss ratio 0.0241, byte miss ratio 0.0241
tencentBlock.ns4998 S3FIFO-0.8500-0.9000 cache size       73, 3251308 req, miss ratio 0.3790, byte miss ratio 0.3790
tencentBlock.ns4998 S3FIFO-0.8500-0.9000 cache size      220, 3251308 req, miss ratio 0.1806, byte miss ratio 0.1806
tencentBlock.ns4998 S3FIFO-0.8500-0.9000 cache size      734, 3251308 req, miss ratio 0.1092, byte miss ratio 0.1092
tencentBlock.ns4998 S3FIFO-0.8500-0.9000 cache size     2203, 3251308 req, miss ratio 0.0876, byte miss ratio 0.0876
tencentBlock.ns4998 S3FIFO-0.8500-0.9000 cache size     7345, 3251308 req, miss ratio 0.0681, byte miss ratio 0.0681
tencentBlock.ns4998 S3FIFO-0.8500-0.9000 cache size    14690, 3251308 req, miss ratio 0.0566, byte miss ratio 0.0566
tencentBlock.ns4998 S3FIFO-0.8500-0.9000 cache size    29380, 3251308 req, miss ratio 0.0403, byte miss ratio 0.0403
tencentBlock.ns4998 S3FIFO-0.8500-0.9000 cache size    58760, 3251308 req, miss ratio 0.0250, byte miss ratio 0.0250
tencentBlock.ns4998 S3FIFO-0.4000-0.9000 cache size       73, 3251308 req, miss ratio 0.3172, byte miss ratio 0.3172
tencentBlock.ns4998 S3FIFO-0.4000-0.9000 cache size      220, 3251308 req, miss ratio 0.1424, byte miss ratio 0.1424
tencentBlock.ns4998 S3FIFO-0.4000-0.9000 cache size      734, 3251308 req, miss ratio 0.0961, byte miss ratio 0.0961
