cdn1_colo28.ns414 S3FIFO-0.9500-0.9000 cache size      294, 6388153 req, miss ratio 0.3421, byte miss ratio 0.3421
cdn1_colo28.ns414 S3FIFO-0.9500-0.9000 cache size      883, 6388153 req, miss ratio 0.3030, byte miss ratio 0.3030
cdn1_colo28.ns414 S3FIFO-0.9500-0.9000 cache size     2946, 6388153 req, miss ratio 0.2540, byte miss ratio 0.2540
cdn1_colo28.ns414 S3FIFO-0.9500-0.9000 cache size     8838, 6388153 req, miss ratio 0.2024, byte miss ratio 0.2024
cdn1_colo28.ns414 S3FIFO-0.9500-0.9000 cache size    29460, 6388153 req, miss ratio 0.1416, byte miss ratio 0.1416
cdn1_colo28.ns414 S3FIFO-0.9500-0.9000 cache size    58920, 6388153 req, miss ratio 0.1079, byte miss ratio 0.1079
cdn1_colo28.ns414 S3FIFO-0.9500-0.9000 cache size   117841, 6388153 req, miss ratio 0.0771, byte miss ratio 0.0771
cdn1_colo28.ns414 S3FIFO-0.9500-0.9000 cache size   235682, 6388153 req, miss ratio 0.0521, byte miss ratio 0.0521
cdn1_colo28.ns414 S3FIFO-0.3500-0.9000 cache size      294, 6388153 req, miss ratio 0.3223, byte miss ratio 0.3223
cdn1_colo28.ns414 S3FIFO-0.3500-0.9000 cache size      883, 6388153 req, miss ratio 0.2856, byte miss ratio 0.2856
cdn1_colo28.ns414 S3FIFO-0.3500-0.9000 cache size     2946, 6388153 req, miss ratio 0.2335, byte miss ratio 0.2335
cdn1_colo28.ns414 S3FIFO-0.3500-0.9000 cache size     8838, 6388153 req, miss ratio 0.1801, byte miss ratio 0.1801
cdn1_colo28.ns414 S3FIFO-0.3500-0.9000 cache size    29460, 6388153 req, miss ratio 0.1220, byte miss ratio 0.1220
cdn1_colo28.ns414 S3FIFO-0.3500-0.9000 cache size    58920, 6388153 req, miss ratio 0.0915, byte miss ratio 0.0915
cdn1_colo28.ns414 S3FIFO-0.3500-0.9000 cache size   117841, 6388153 req, miss ratio 0.0666, byte miss ratio 0.0666
cdn1_colo28.ns414 S3FIFO-0.3500-0.9000 cache size   235682, 6388153 req, miss ratio 0.0496, byte miss ratio 0.0496
cdn1_colo28.ns414 S3FIFO-0.8500-0.9000 cache size      294, 6388153 req, miss ratio 0.3367, byte miss ratio 0.3367
cdn1_colo28.ns414 S3FIFO-0.8500-0.9000 cache size      883, 6388153 req, miss ratio 0.2991, byte miss ratio 0.2991
cdn1_colo28.ns414 S3FIFO-0.8500-0.9000 cache size     2946, 6388153 req, miss ratio 0.2508, byte miss ratio 0.2508
cdn1_colo28.ns414 S3FIFO-0.8500-0.9000 cache size     8838, 6388153 req, miss ratio 0.1984, byte miss ratio 0.1984
cdn1_colo28.ns414 S3FIFO-0.8500-0.9000 cache size    29460, 6388153 req, miss ratio 0.1376, byte miss ratio 0.1376
cdn1_colo28.ns414 S3FIFO-0.8500-0.9000 cache size    58920, 6388153 req, miss ratio 0.1045, byte miss ratio 0.1045
cdn1_colo28.ns414 S3FIFO-0.8500-0.9000 cache size   117841, 6388153 req, miss ratio 0.0746, byte miss ratio 0.0746
cdn1_colo28.ns414 S3FIFO-0.8500-0.9000 cache size   235682, 6388153 req, miss ratio 0.0504, byte miss ratio 0.0504
cdn1_colo28.ns414 S3FIFO-0.0050-0.9000 cache size      294, 6388153 req, miss ratio 0.3209, byte miss ratio 0.3209
cdn1_colo28.ns414 S3FIFO-0.0050-0.9000 cache size      883, 6388153 req, miss ratio 0.2799, byte miss ratio 0.2799
cdn1_colo28.ns414 S3FIFO-0.0050-0.9000 cache size     2946, 6388153 req, miss ratio 0.2246, byte miss ratio 0.2246
cdn1_colo28.ns414 S3FIFO-0.0050-0.9000 cache size     8838, 6388153 req, miss ratio 0.1714, byte miss ratio 0.1714
cdn1_colo28.ns414 S3FIFO-0.0050-0.9000 cache size    29460, 6388153 req, miss ratio 0.1146, byte miss ratio 0.1146
cdn1_colo28.ns414 S3FIFO-0.0050-0.9000 cache size    58920, 6388153 req, miss ratio 0.0858, byte miss ratio 0.0858
cdn1_colo28.ns414 S3FIFO-0.0050-0.9000 cache size   117841, 6388153 req, miss ratio 0.0640, byte miss ratio 0.0640
cdn1_colo28.ns414 S3FIFO-0.0050-0.9000 cache size   235682, 6388153 req, miss ratio 0.0496, byte miss ratio 0.0496
cdn1_colo28.ns414 S3FIFO-0.1000-0.9000 cache size      294, 6388153 req, miss ratio 0.3180, byte miss ratio 0.3180
cdn1_colo28.ns414 S3FIFO-0.1000-0.9000 cache size      883, 6388153 req, miss ratio 0.2798, byte miss ratio 0.2798
cdn1_colo28.ns414 S3FIFO-0.1000-0.9000 cache size     2946, 6388153 req, miss ratio 0.2267, byte miss ratio 0.2267
cdn1_colo28.ns414 S3FIFO-0.1000-0.9000 cache size     8838, 6388153 req, miss ratio 0.1733, byte miss ratio 0.1733
cdn1_colo28.ns414 S3FIFO-0.1000-0.9000 cache size    29460, 6388153 req, miss ratio 0.1164, byte miss ratio 0.1164
cdn1_colo28.ns414 S3FIFO-0.1000-0.9000 cache size    58920, 6388153 req, miss ratio 0.0871, byte miss ratio 0.0871
cdn1_colo28.ns414 S3FIFO-0.1000-0.9000 cache size   117841, 6388153 req, miss ratio 0.0645, byte miss ratio 0.0645
cdn1_colo28.ns414 S3FIFO-0.1000-0.9000 cache size   235682, 6388153 req, miss ratio 0.0496, byte miss ratio 0.0496
cdn1_colo28.ns414 S3FIFO-0.6000-0.9000 cache size      294, 6388153 req, miss ratio 0.3274, byte miss ratio 0.3274
cdn1_colo28.ns414 S3FIFO-0.6000-0.9000 cache size      883, 6388153 req, miss ratio 0.2921, byte miss ratio 0.2921
cdn1_colo28.ns414 S3FIFO-0.6000-0.9000 cache size     2946, 6388153 req, miss ratio 0.2416, byte miss ratio 0.2416
cdn1_colo28.ns414 S3FIFO-0.6000-0.9000 cache size     8838, 6388153 req, miss ratio 0.1883, byte miss ratio 0.1883
cdn1_colo28.ns414 S3FIFO-0.6000-0.9000 cache size    29460, 6388153 req, miss ratio 0.1289, byte miss ratio 0.1289
cdn1_colo28.ns414 S3FIFO-0.6000-0.9000 cache size    58920, 6388153 req, miss ratio 0.0972, byte miss ratio 0.0972
cdn1_colo28.ns414 S3FIFO-0.6000-0.9000 cache size   117841, 6388153 req, miss ratio 0.0696, byte miss ratio 0.0696
cdn1_colo28.ns414 S3FIFO-0.6000-0.9000 cache size   235682, 6388153 req, miss ratio 0.0496, byte miss ratio 0.0496
cdn1_colo28.ns414 S3FIFO-0.5500-1.9000 cache size      294, 6388153 req, miss ratio 0.3262, byte miss ratio 0.3262
cdn1_colo28.ns414 S3FIFO-0.5500-1.9000 cache size      883, 6388153 req, miss ratio 0.2908, byte miss ratio 0.2908
cdn1_colo28.ns414 S3FIFO-0.5500-1.9000 cache size     2946, 6388153 req, miss ratio 0.2399, byte miss ratio 0.2399
cdn1_colo28.ns414 S3FIFO-0.5500-1.9000 cache size     8838, 6388153 req, miss ratio 0.1866, byte miss ratio 0.1866
cdn1_colo28.ns414 S3FIFO-0.5500-1.9000 cache size    29460, 6388153 req, miss ratio 0.1274, byte miss ratio 0.1274
cdn1_colo28.ns414 S3FIFO-0.5500-1.9000 cache size    58920, 6388153 req, miss ratio 0.0959, byte miss ratio 0.0959
cdn1_colo28.ns414 S3FIFO-0.5500-1.9000 cache size   117841, 6388153 req, miss ratio 0.0688, byte miss ratio 0.0688
cdn1_colo28.ns414 S3FIFO-0.5500-1.9000 cache size   235682, 6388153 req, miss ratio 0.0496, byte miss ratio 0.0496
cdn1_colo28.ns414 S3FIFO-0.4500-1.9000 cache size      294, 6388153 req, miss ratio 0.3242, byte miss ratio 0.3242
cdn1_colo28.ns414 S3FIFO-0.4500-1.9000 cache size      883, 6388153 req, miss ratio 0.2881, byte miss ratio 0.2881
cdn1_colo28.ns414 S3FIFO-0.4500-1.9000 cache size     2946, 6388153 req, miss ratio 0.2365, byte miss ratio 0.2365
cdn1_colo28.ns414 S3FIFO-0.4500-1.9000 cache size     8838, 6388153 req, miss ratio 0.1832, byte miss ratio 0.1832
cdn1_colo28.ns414 S3FIFO-0.4500-1.9000 cache size    29460, 6388153 req, miss ratio 0.1246, byte miss ratio 0.1246
cdn1_colo28.ns414 S3FIFO-0.4500-1.9000 cache size    58920, 6388153 req, miss ratio 0.0936, byte miss ratio 0.0936
cdn1_colo28.ns414 S3FIFO-0.4500-1.9000 cache size   117841, 6388153 req, miss ratio 0.0676, byte miss ratio 0.0676
cdn1_colo28.ns414 S3FIFO-0.4500-1.9000 cache size   235682, 6388153 req, miss ratio 0.0496, byte miss ratio 0.0496
cdn1_colo28.ns414 S3FIFO-0.5000-0.9000 cache size      294, 6388153 req, miss ratio 0.3252, byte miss ratio 0.3252
cdn1_colo28.ns414 S3FIFO-0.5000-0.9000 cache size      883, 6388153 req, miss ratio 0.2894, byte miss ratio 0.2894
cdn1_colo28.ns414 S3FIFO-0.5000-0.9000 cache size     2946, 6388153 req, miss ratio 0.2382, byte miss ratio 0.2382
cdn1_colo28.ns414 S3FIFO-0.5000-0.9000 cache size     8838, 6388153 req, miss ratio 0.1848, byte miss ratio 0.1848
cdn1_colo28.ns414 S3FIFO-0.5000-0.9000 cache size    29460, 6388153 req, miss ratio 0.1260, byte miss ratio 0.1260
cdn1_colo28.ns414 S3FIFO-0.5000-0.9000 cache size    58920, 6388153 req, miss ratio 0.0947, byte miss ratio 0.0947
cdn1_colo28.ns414 S3FIFO-0.5000-0.9000 cache size   117841, 6388153 req, miss ratio 0.0682, byte miss ratio 0.0682
cdn1_colo28.ns414 S3FIFO-0.5000-0.9000 cache size   235682, 6388153 req, miss ratio 0.0496, byte miss ratio 0.0496
cdn1_colo28.ns414 S3FIFO-0.2000-1.9000 cache size      294, 6388153 req, miss ratio 0.3197, byte miss ratio 0.3197
cdn1_colo28.ns414 S3FIFO-0.2000-1.9000 cache size      883, 6388153 req, miss ratio 0.2821, byte miss ratio 0.2821
cdn1_colo28.ns414 S3FIFO-0.2000-1.9000 cache size     2946, 6388153 req, miss ratio 0.2293, byte miss ratio 0.2293
cdn1_colo28.ns414 S3FIFO-0.2000-1.9000 cache size     8838, 6388153 req, miss ratio 0.1758, byte miss ratio 0.1758
cdn1_colo28.ns414 S3FIFO-0.2000-1.9000 cache size    29460, 6388153 req, miss ratio 0.1185, byte miss ratio 0.1185
cdn1_colo28.ns414 S3FIFO-0.2000-1.9000 cache size    58920, 6388153 req, miss ratio 0.0888, byte miss ratio 0.0888
cdn1_colo28.ns414 S3FIFO-0.2000-1.9000 cache size   117841, 6388153 req, miss ratio 0.0652, byte miss ratio 0.0652
cdn1_colo28.ns414 S3FIFO-0.2000-1.9000 cache size   235682, 6388153 req, miss ratio 0.0496, byte miss ratio 0.0496
cdn1_colo28.ns414 S3FIFO-0.8500-1.9000 cache size      294, 6388153 req, miss ratio 0.3367, byte miss ratio 0.3367
cdn1_colo28.ns414 S3FIFO-0.8500-1.9000 cache size      883, 6388153 req, miss ratio 0.2991, byte miss ratio 0.2991
cdn1_colo28.ns414 S3FIFO-0.8500-1.9000 cache size     2946, 6388153 req, miss ratio 0.2508, byte miss ratio 0.2508
cdn1_colo28.ns414 S3FIFO-0.8500-1.9000 cache size     8838, 6388153 req, miss ratio 0.1984, byte miss ratio 0.1984
cdn1_colo28.ns414 S3FIFO-0.8500-1.9000 cache size    29460, 6388153 req, miss ratio 0.1376, byte miss ratio 0.1376
cdn1_colo28.ns414 S3FIFO-0.8500-1.9000 cache size    58920, 6388153 req, miss ratio 0.1045, byte miss ratio 0.1045
cdn1_colo28.ns414 S3FIFO-0.8500-1.9000 cache size   117841, 6388153 req, miss ratio 0.0746, byte miss ratio 0.0746
cdn1_colo28.ns414 S3FIFO-0.8500-1.9000 cache size   235682, 6388153 req, miss ratio 0.0504, byte miss ratio 0.0504
cdn1_colo28.ns414 S3FIFO-0.9000-1.9000 cache size      294, 6388153 req, miss ratio 0.3398, byte miss ratio 0.3398
cdn1_colo28.ns414 S3FIFO-0.9000-1.9000 cache size      883, 6388153 req, miss ratio 0.3006, byte miss ratio 0.3006
cdn1_colo28.ns414 S3FIFO-0.9000-1.9000 cache size     2946, 6388153 req, miss ratio 0.2525, byte miss ratio 0.2525
cdn1_colo28.ns414 S3FIFO-0.9000-1.9000 cache size     8838, 6388153 req, miss ratio 0.2005, byte miss ratio 0.2005
cdn1_colo28.ns414 S3FIFO-0.9000-1.9000 cache size    29460, 6388153 req, miss ratio 0.1396, byte miss ratio 0.1396
cdn1_colo28.ns414 S3FIFO-0.9000-1.9000 cache size    58920, 6388153 req, miss ratio 0.1062, byte miss ratio 0.1062
cdn1_colo28.ns414 S3FIFO-0.9000-1.9000 cache size   117841, 6388153 req, miss ratio 0.0758, byte miss ratio 0.0758
cdn1_colo28.ns414 S3FIFO-0.9000-1.9000 cache size   235682, 6388153 req, miss ratio 0.0511, byte miss ratio 0.0511
cdn1_colo28.ns414 S3FIFO-0.0250-0.9000 cache size      294, 6388153 req, miss ratio 0.3179, byte miss ratio 0.3179
cdn1_colo28.ns414 S3FIFO-0.0250-0.9000 cache size      883, 6388153 req, miss ratio 0.2784, byte miss ratio 0.2784
cdn1_colo28.ns414 S3FIFO-0.0250-0.9000 cache size     2946, 6388153 req, miss ratio 0.2249, byte miss ratio 0.2249
cdn1_colo28.ns414 S3FIFO-0.0250-0.9000 cache size     8838, 6388153 req, miss ratio 0.1717, byte miss ratio 0.1717
cdn1_colo28.ns414 S3FIFO-0.0250-0.9000 cache size    29460, 6388153 req, miss ratio 0.1149, byte miss ratio 0.1149
cdn1_colo28.ns414 S3FIFO-0.0250-0.9000 cache size    58920, 6388153 req, miss ratio 0.0861, byte miss ratio 0.0861
cdn1_colo28.ns414 S3FIFO-0.0250-0.9000 cache size   117841, 6388153 req, miss ratio 0.0641, byte miss ratio 0.0641
cdn1_colo28.ns414 S3FIFO-0.0250-0.9000 cache size   235682, 6388153 req, miss ratio 0.0496, byte miss ratio 0.0496
cdn1_colo28.ns414 S3FIFO-0.9900-1.9000 cache size      294, 6388153 req, miss ratio 0.3428, byte miss ratio 0.3428
cdn1_colo28.ns414 S3FIFO-0.9900-1.9000 cache size      883, 6388153 req, miss ratio 0.3045, byte miss ratio 0.3045
cdn1_colo28.ns414 S3FIFO-0.9900-1.9000 cache size     2946, 6388153 req, miss ratio 0.2553, byte miss ratio 0.2553
cdn1_colo28.ns414 S3FIFO-0.9900-1.9000 cache size     8838, 6388153 req, miss ratio 0.2035, byte miss ratio 0.2035
cdn1_colo28.ns414 S3FIFO-0.9900-1.9000 cache size    29460, 6388153 req, miss ratio 0.1429, byte miss ratio 0.1429
cdn1_colo28.ns414 S3FIFO-0.9900-1.9000 cache size    58920, 6388153 req, miss ratio 0.1091, byte miss ratio 0.1091
cdn1_colo28.ns414 S3FIFO-0.9900-1.9000 cache size   117841, 6388153 req, miss ratio 0.0780, byte miss ratio 0.0780
cdn1_colo28.ns414 S3FIFO-0.9900-1.9000 cache size   235682, 6388153 req, miss ratio 0.0529, byte miss ratio 0.0529
cdn1_colo28.ns414 S3FIFO-0.5000-1.9000 cache size      294, 6388153 req, miss ratio 0.3253, byte miss ratio 0.3253
cdn1_colo28.ns414 S3FIFO-0.5000-1.9000 cache size      883, 6388153 req, miss ratio 0.2894, byte miss ratio 0.2894
cdn1_colo28.ns414 S3FIFO-0.5000-1.9000 cache size     2946, 6388153 req, miss ratio 0.2382, byte miss ratio 0.2382
