tencentBlock.ns1380 S3FIFO-0.0500-0.9000 cache size      325, 2482464 req, miss ratio 0.4792, byte miss ratio 0.4792
tencentBlock.ns1380 S3FIFO-0.0500-0.9000 cache size      977, 2482464 req, miss ratio 0.4456, byte miss ratio 0.4456
tencentBlock.ns1380 S3FIFO-0.0500-0.9000 cache size     3257, 2482464 req, miss ratio 0.3879, byte miss ratio 0.3879
tencentBlock.ns1380 S3FIFO-0.0500-0.9000 cache size     9773, 2482464 req, miss ratio 0.3583, byte miss ratio 0.3583
tencentBlock.ns1380 S3FIFO-0.0500-0.9000 cache size    32579, 2482464 req, miss ratio 0.3100, byte miss ratio 0.3100
tencentBlock.ns1380 S3FIFO-0.0500-0.9000 cache size    65159, 2482464 req, miss ratio 0.2435, byte miss ratio 0.2435
tencentBlock.ns1380 S3FIFO-0.0500-0.9000 cache size   130319, 2482464 req, miss ratio 0.1537, byte miss ratio 0.1537
tencentBlock.ns1380 S3FIFO-0.0500-0.9000 cache size   260639, 2482464 req, miss ratio 0.1337, byte miss ratio 0.1337
tencentBlock.ns1380 S3FIFO-0.3000-1.9000 cache size      325, 2482464 req, miss ratio 0.4460, byte miss ratio 0.4460
tencentBlock.ns1380 S3FIFO-0.3000-1.9000 cache size      977, 2482464 req, miss ratio 0.4066, byte miss ratio 0.4066
tencentBlock.ns1380 S3FIFO-0.3000-1.9000 cache size     3257, 2482464 req, miss ratio 0.3873, byte miss ratio 0.3873
tencentBlock.ns1380 S3FIFO-0.3000-1.9000 cache size     9773, 2482464 req, miss ratio 0.3542, byte miss ratio 0.3542
tencentBlock.ns1380 S3FIFO-0.3000-1.9000 cache size    32579, 2482464 req, miss ratio 0.3096, byte miss ratio 0.3096
tencentBlock.ns1380 S3FIFO-0.3000-1.9000 cache size    65159, 2482464 req, miss ratio 0.2633, byte miss ratio 0.2633
tencentBlock.ns1380 S3FIFO-0.3000-1.9000 cache size   130319, 2482464 req, miss ratio 0.1614, byte miss ratio 0.1614
tencentBlock.ns1380 S3FIFO-0.3000-1.9000 cache size   260639, 2482464 req, miss ratio 0.1337, byte miss ratio 0.1337
tencentBlock.ns1380 S3FIFO-0.7000-0.9000 cache size      325, 2482464 req, miss ratio 0.4817, byte miss ratio 0.4817
tencentBlock.ns1380 S3FIFO-0.7000-0.9000 cache size      977, 2482464 req, miss ratio 0.4356, byte miss ratio 0.4356
tencentBlock.ns1380 S3FIFO-0.7000-0.9000 cache size     3257, 2482464 req, miss ratio 0.3917, byte miss ratio 0.3917
tencentBlock.ns1380 S3FIFO-0.7000-0.9000 cache size     9773, 2482464 req, miss ratio 0.3731, byte miss ratio 0.3731
tencentBlock.ns1380 S3FIFO-0.7000-0.9000 cache size    32579, 2482464 req, miss ratio 0.3082, byte miss ratio 0.3082
tencentBlock.ns1380 S3FIFO-0.7000-0.9000 cache size    65159, 2482464 req, miss ratio 0.2740, byte miss ratio 0.2740
tencentBlock.ns1380 S3FIFO-0.7000-0.9000 cache size   130319, 2482464 req, miss ratio 0.1829, byte miss ratio 0.1829
tencentBlock.ns1380 S3FIFO-0.7000-0.9000 cache size   260639, 2482464 req, miss ratio 0.1378, byte miss ratio 0.1378
tencentBlock.ns1380 S3FIFO-0.8500-1.9000 cache size      325, 2482464 req, miss ratio 0.5379, byte miss ratio 0.5379
tencentBlock.ns1380 S3FIFO-0.8500-1.9000 cache size      977, 2482464 req, miss ratio 0.4452, byte miss ratio 0.4452
tencentBlock.ns1380 S3FIFO-0.8500-1.9000 cache size     3257, 2482464 req, miss ratio 0.4005, byte miss ratio 0.4005
tencentBlock.ns1380 S3FIFO-0.8500-1.9000 cache size     9773, 2482464 req, miss ratio 0.3775, byte miss ratio 0.3775
tencentBlock.ns1380 S3FIFO-0.8500-1.9000 cache size    32579, 2482464 req, miss ratio 0.3132, byte miss ratio 0.3132
tencentBlock.ns1380 S3FIFO-0.8500-1.9000 cache size    65159, 2482464 req, miss ratio 0.2549, byte miss ratio 0.2549
tencentBlock.ns1380 S3FIFO-0.8500-1.9000 cache size   130319, 2482464 req, miss ratio 0.1916, byte miss ratio 0.1916
tencentBlock.ns1380 S3FIFO-0.8500-1.9000 cache size   260639, 2482464 req, miss ratio 0.1425, byte miss ratio 0.1425
