cdn1_allcolo.ns2608 S3FIFO-0.0010-1.9000 cache size        5, 3223275 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns2608 S3FIFO-0.0010-1.9000 cache size       16, 3223275 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns2608 S3FIFO-0.0010-1.9000 cache size       50, 3223275 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns2608 S3FIFO-0.0010-1.9000 cache size      168, 3223275 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns2608 S3FIFO-0.0010-1.9000 cache size      337, 3223275 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns2608 S3FIFO-0.0010-1.9000 cache size      674, 3223275 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns2608 S3FIFO-0.0010-1.9000 cache size     1348, 3223275 req, miss ratio 0.0005, byte miss ratio 0.0005
cdn1_allcolo.ns2608 S3FIFO-0.0250-0.9000 cache size        5, 3223275 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns2608 S3FIFO-0.0250-0.9000 cache size       16, 3223275 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns2608 S3FIFO-0.0250-0.9000 cache size       50, 3223275 req, miss ratio 0.2128, byte miss ratio 0.2128
cdn1_allcolo.ns2608 S3FIFO-0.0250-0.9000 cache size      168, 3223275 req, miss ratio 0.0599, byte miss ratio 0.0599
cdn1_allcolo.ns2608 S3FIFO-0.0250-0.9000 cache size      337, 3223275 req, miss ratio 0.0187, byte miss ratio 0.0187
cdn1_allcolo.ns2608 S3FIFO-0.0250-0.9000 cache size      674, 3223275 req, miss ratio 0.0033, byte miss ratio 0.0033
cdn1_allcolo.ns2608 S3FIFO-0.0250-0.9000 cache size     1348, 3223275 req, miss ratio 0.0005, byte miss ratio 0.0005
cdn1_allcolo.ns2608 S3FIFO-0.8000-1.9000 cache size        5, 3223275 req, miss ratio 0.8010, byte miss ratio 0.8010
cdn1_allcolo.ns2608 S3FIFO-0.8000-1.9000 cache size       16, 3223275 req, miss ratio 0.5770, byte miss ratio 0.5770
cdn1_allcolo.ns2608 S3FIFO-0.8000-1.9000 cache size       50, 3223275 req, miss ratio 0.3062, byte miss ratio 0.3062
cdn1_allcolo.ns2608 S3FIFO-0.8000-1.9000 cache size      168, 3223275 req, miss ratio 0.0911, byte miss ratio 0.0911
cdn1_allcolo.ns2608 S3FIFO-0.8000-1.9000 cache size      337, 3223275 req, miss ratio 0.0311, byte miss ratio 0.0311
cdn1_allcolo.ns2608 S3FIFO-0.8000-1.9000 cache size      674, 3223275 req, miss ratio 0.0064, byte miss ratio 0.0064
cdn1_allcolo.ns2608 S3FIFO-0.8000-1.9000 cache size     1348, 3223275 req, miss ratio 0.0008, byte miss ratio 0.0008
cdn1_allcolo.ns2608 S3FIFO-0.6500-1.9000 cache size        5, 3223275 req, miss ratio 0.7678, byte miss ratio 0.7678
cdn1_allcolo.ns2608 S3FIFO-0.6500-1.9000 cache size       16, 3223275 req, miss ratio 0.5550, byte miss ratio 0.5550
cdn1_allcolo.ns2608 S3FIFO-0.6500-1.9000 cache size       50, 3223275 req, miss ratio 0.2855, byte miss ratio 0.2855
cdn1_allcolo.ns2608 S3FIFO-0.6500-1.9000 cache size      168, 3223275 req, miss ratio 0.0840, byte miss ratio 0.0840
cdn1_allcolo.ns2608 S3FIFO-0.6500-1.9000 cache size      337, 3223275 req, miss ratio 0.0279, byte miss ratio 0.0279
cdn1_allcolo.ns2608 S3FIFO-0.6500-1.9000 cache size      674, 3223275 req, miss ratio 0.0055, byte miss ratio 0.0055
cdn1_allcolo.ns2608 S3FIFO-0.6500-1.9000 cache size     1348, 3223275 req, miss ratio 0.0007, byte miss ratio 0.0007
