cdn1_allcolo.ns2507 S3FIFO-0.9000-0.9000 cache size     1498, 1514403 req, miss ratio 0.9897, byte miss ratio 0.9897
cdn1_allcolo.ns2507 S3FIFO-0.9000-0.9000 cache size     4495, 1514403 req, miss ratio 0.9897, byte miss ratio 0.9897
cdn1_allcolo.ns2507 S3FIFO-0.9000-0.9000 cache size    14985, 1514403 req, miss ratio 0.9897, byte miss ratio 0.9897
cdn1_allcolo.ns2507 S3FIFO-0.9000-0.9000 cache size    44957, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
cdn1_allcolo.ns2507 S3FIFO-0.9000-0.9000 cache size   149859, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
cdn1_allcolo.ns2507 S3FIFO-0.9000-0.9000 cache size   299718, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
cdn1_allcolo.ns2507 S3FIFO-0.9000-0.9000 cache size   599437, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
cdn1_allcolo.ns2507 S3FIFO-0.9000-0.9000 cache size  1198874, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
cdn1_allcolo.ns2507 S3FIFO-0.6500-1.9000 cache size     1498, 1514403 req, miss ratio 0.9897, byte miss ratio 0.9897
cdn1_allcolo.ns2507 S3FIFO-0.6500-1.9000 cache size     4495, 1514403 req, miss ratio 0.9897, byte miss ratio 0.9897
cdn1_allcolo.ns2507 S3FIFO-0.6500-1.9000 cache size    14985, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
cdn1_allcolo.ns2507 S3FIFO-0.6500-1.9000 cache size    44957, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
cdn1_allcolo.ns2507 S3FIFO-0.6500-1.9000 cache size   149859, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
cdn1_allcolo.ns2507 S3FIFO-0.6500-1.9000 cache size   299718, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
cdn1_allcolo.ns2507 S3FIFO-0.6500-1.9000 cache size   599437, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
cdn1_allcolo.ns2507 S3FIFO-0.6500-1.9000 cache size  1198874, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
cdn1_allcolo.ns2507 S3FIFO-0.2000-0.9000 cache size     1498, 1514403 req, miss ratio 0.9897, byte miss ratio 0.9897
cdn1_allcolo.ns2507 S3FIFO-0.2000-0.9000 cache size     4495, 1514403 req, miss ratio 0.9897, byte miss ratio 0.9897
cdn1_allcolo.ns2507 S3FIFO-0.2000-0.9000 cache size    14985, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
cdn1_allcolo.ns2507 S3FIFO-0.2000-0.9000 cache size    44957, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
cdn1_allcolo.ns2507 S3FIFO-0.2000-0.9000 cache size   149859, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
cdn1_allcolo.ns2507 S3FIFO-0.2000-0.9000 cache size   299718, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
cdn1_allcolo.ns2507 S3FIFO-0.2000-0.9000 cache size   599437, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
cdn1_allcolo.ns2507 S3FIFO-0.2000-0.9000 cache size  1198874, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
cdn1_allcolo.ns2507 S3FIFO-0.2500-1.9000 cache size     1498, 1514403 req, miss ratio 0.9897, byte miss ratio 0.9897
cdn1_allcolo.ns2507 S3FIFO-0.2500-1.9000 cache size     4495, 1514403 req, miss ratio 0.9897, byte miss ratio 0.9897
cdn1_allcolo.ns2507 S3FIFO-0.2500-1.9000 cache size    14985, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
cdn1_allcolo.ns2507 S3FIFO-0.2500-1.9000 cache size    44957, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
cdn1_allcolo.ns2507 S3FIFO-0.2500-1.9000 cache size   149859, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
cdn1_allcolo.ns2507 S3FIFO-0.2500-1.9000 cache size   299718, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
cdn1_allcolo.ns2507 S3FIFO-0.2500-1.9000 cache size   599437, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
cdn1_allcolo.ns2507 S3FIFO-0.2500-1.9000 cache size  1198874, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
cdn1_allcolo.ns2507 S3FIFO-0.6000-0.9000 cache size     1498, 1514403 req, miss ratio 0.9897, byte miss ratio 0.9897
cdn1_allcolo.ns2507 S3FIFO-0.6000-0.9000 cache size     4495, 1514403 req, miss ratio 0.9897, byte miss ratio 0.9897
cdn1_allcolo.ns2507 S3FIFO-0.6000-0.9000 cache size    14985, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
cdn1_allcolo.ns2507 S3FIFO-0.6000-0.9000 cache size    44957, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
cdn1_allcolo.ns2507 S3FIFO-0.6000-0.9000 cache size   149859, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
cdn1_allcolo.ns2507 S3FIFO-0.6000-0.9000 cache size   299718, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
cdn1_allcolo.ns2507 S3FIFO-0.6000-0.9000 cache size   599437, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
cdn1_allcolo.ns2507 S3FIFO-0.6000-0.9000 cache size  1198874, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
cdn1_allcolo.ns2507 S3FIFO-0.3500-0.9000 cache size     1498, 1514403 req, miss ratio 0.9897, byte miss ratio 0.9897
cdn1_allcolo.ns2507 S3FIFO-0.3500-0.9000 cache size     4495, 1514403 req, miss ratio 0.9897, byte miss ratio 0.9897
cdn1_allcolo.ns2507 S3FIFO-0.3500-0.9000 cache size    14985, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
