sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5500-0.9000 cache size      409, 4080605 req, miss ratio 0.5736, byte miss ratio 0.5736
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5500-0.9000 cache size     1364, 4080605 req, miss ratio 0.4143, byte miss ratio 0.4143
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5500-0.9000 cache size     4092, 4080605 req, miss ratio 0.3054, byte miss ratio 0.3054
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5500-0.9000 cache size    13640, 4080605 req, miss ratio 0.2001, byte miss ratio 0.2001
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5500-0.9000 cache size    27280, 4080605 req, miss ratio 0.1429, byte miss ratio 0.1429
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5500-0.9000 cache size    54560, 4080605 req, miss ratio 0.0864, byte miss ratio 0.0864
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5500-0.9000 cache size   109121, 4080605 req, miss ratio 0.0391, byte miss ratio 0.0391
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6000-0.3000 cache size      136, 4080605 req, miss ratio 0.7079, byte miss ratio 0.7079
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6000-0.3000 cache size      409, 4080605 req, miss ratio 0.5742, byte miss ratio 0.5742
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6000-0.3000 cache size     1364, 4080605 req, miss ratio 0.4150, byte miss ratio 0.4150
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6000-0.3000 cache size     4092, 4080605 req, miss ratio 0.3061, byte miss ratio 0.3061
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6000-0.3000 cache size    13640, 4080605 req, miss ratio 0.2011, byte miss ratio 0.2011
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6000-0.3000 cache size    27280, 4080605 req, miss ratio 0.1442, byte miss ratio 0.1442
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6000-0.3000 cache size    54560, 4080605 req, miss ratio 0.0882, byte miss ratio 0.0882
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6000-0.3000 cache size   109121, 4080605 req, miss ratio 0.0395, byte miss ratio 0.0395
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.3000-1.2000 cache size      136, 4080605 req, miss ratio 0.6990, byte miss ratio 0.6990
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.3000-1.2000 cache size      409, 4080605 req, miss ratio 0.5682, byte miss ratio 0.5682
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.3000-1.2000 cache size     1364, 4080605 req, miss ratio 0.4105, byte miss ratio 0.4105
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.3000-1.2000 cache size     4092, 4080605 req, miss ratio 0.2995, byte miss ratio 0.2995
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.3000-1.2000 cache size    13640, 4080605 req, miss ratio 0.1947, byte miss ratio 0.1947
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.3000-1.2000 cache size    27280, 4080605 req, miss ratio 0.1356, byte miss ratio 0.1356
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.3000-1.2000 cache size    54560, 4080605 req, miss ratio 0.0775, byte miss ratio 0.0775
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.3000-1.2000 cache size   109121, 4080605 req, miss ratio 0.0384, byte miss ratio 0.0384
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9000-1.7000 cache size      136, 4080605 req, miss ratio 0.7282, byte miss ratio 0.7282
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9000-1.7000 cache size      409, 4080605 req, miss ratio 0.5990, byte miss ratio 0.5990
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9000-1.7000 cache size     1364, 4080605 req, miss ratio 0.4405, byte miss ratio 0.4405
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9000-1.7000 cache size     4092, 4080605 req, miss ratio 0.3253, byte miss ratio 0.3253
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9000-1.7000 cache size    13640, 4080605 req, miss ratio 0.2137, byte miss ratio 0.2137
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9000-1.7000 cache size    27280, 4080605 req, miss ratio 0.1542, byte miss ratio 0.1542
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9000-1.7000 cache size    54560, 4080605 req, miss ratio 0.0958, byte miss ratio 0.0958
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9000-1.7000 cache size   109121, 4080605 req, miss ratio 0.0438, byte miss ratio 0.0438
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0100-0.9000 cache size      136, 4080605 req, miss ratio 0.7015, byte miss ratio 0.7015
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0100-0.9000 cache size      409, 4080605 req, miss ratio 0.5818, byte miss ratio 0.5818
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0100-0.9000 cache size     1364, 4080605 req, miss ratio 0.4444, byte miss ratio 0.4444
