tencentBlock.ns22419 S3FIFO-0.6500-0.9000 cache size      259, 2751529 req, miss ratio 0.5242, byte miss ratio 0.5242
tencentBlock.ns22419 S3FIFO-0.6500-0.9000 cache size      779, 2751529 req, miss ratio 0.4230, byte miss ratio 0.4230
tencentBlock.ns22419 S3FIFO-0.6500-0.9000 cache size     2597, 2751529 req, miss ratio 0.2790, byte miss ratio 0.2790
tencentBlock.ns22419 S3FIFO-0.6500-0.9000 cache size     7791, 2751529 req, miss ratio 0.2329, byte miss ratio 0.2329
tencentBlock.ns22419 S3FIFO-0.6500-0.9000 cache size    25972, 2751529 req, miss ratio 0.1758, byte miss ratio 0.1758
tencentBlock.ns22419 S3FIFO-0.6500-0.9000 cache size    51944, 2751529 req, miss ratio 0.1352, byte miss ratio 0.1352
tencentBlock.ns22419 S3FIFO-0.6500-0.9000 cache size   103888, 2751529 req, miss ratio 0.1054, byte miss ratio 0.1054
tencentBlock.ns22419 S3FIFO-0.6500-0.9000 cache size   207777, 2751529 req, miss ratio 0.0958, byte miss ratio 0.0958
tencentBlock.ns22419 S3FIFO-0.3000-0.9000 cache size      259, 2751529 req, miss ratio 0.4993, byte miss ratio 0.4993
tencentBlock.ns22419 S3FIFO-0.3000-0.9000 cache size      779, 2751529 req, miss ratio 0.3978, byte miss ratio 0.3978
tencentBlock.ns22419 S3FIFO-0.3000-0.9000 cache size     2597, 2751529 req, miss ratio 0.2507, byte miss ratio 0.2507
tencentBlock.ns22419 S3FIFO-0.3000-0.9000 cache size     7791, 2751529 req, miss ratio 0.2273, byte miss ratio 0.2273
tencentBlock.ns22419 S3FIFO-0.3000-0.9000 cache size    25972, 2751529 req, miss ratio 0.1767, byte miss ratio 0.1767
tencentBlock.ns22419 S3FIFO-0.3000-0.9000 cache size    51944, 2751529 req, miss ratio 0.1322, byte miss ratio 0.1322
tencentBlock.ns22419 S3FIFO-0.3000-0.9000 cache size   103888, 2751529 req, miss ratio 0.1016, byte miss ratio 0.1016
tencentBlock.ns22419 S3FIFO-0.3000-0.9000 cache size   207777, 2751529 req, miss ratio 0.0948, byte miss ratio 0.0948
tencentBlock.ns22419 S3FIFO-0.5500-0.9000 cache size      259, 2751529 req, miss ratio 0.5034, byte miss ratio 0.5034
tencentBlock.ns22419 S3FIFO-0.5500-0.9000 cache size      779, 2751529 req, miss ratio 0.4165, byte miss ratio 0.4165
tencentBlock.ns22419 S3FIFO-0.5500-0.9000 cache size     2597, 2751529 req, miss ratio 0.2609, byte miss ratio 0.2609
tencentBlock.ns22419 S3FIFO-0.5500-0.9000 cache size     7791, 2751529 req, miss ratio 0.2315, byte miss ratio 0.2315
